QUARTER,TIME_REMAINING,TORONTO_ACTION,NEW YORK_ACTION,TORONTO_SCORE,NEW YORK_SCORE
1,11:41.0,,D. Dotson misses 3-pt jump shot from 24 ft,0,0
1,11:40.0,Defensive rebound by S. Ibaka,,0,0
1,11:19.0,K. Leonard makes 3-pt jump shot from 25 ft (assist by S. Ibaka),,3,0
1,10:58.0,,Shooting foul by P. Siakam (drawn by D. Jordan),3,0
1,10:58.0,,D. Jordan makes free throw 1 of 2,3,1
1,10:58.0,,D. Jordan misses free throw 2 of 2,3,1
1,10:56.0,Defensive rebound by S. Ibaka,,3,1
1,10:44.0,K. Leonard misses 2-pt jump shot from 12 ft,,3,1
1,10:42.0,,Defensive rebound by K. Knox,3,1
1,10:38.0,,D. Dotson misses 2-pt layup from 1 ft (block by D. Green),3,1
1,10:37.0,,Offensive rebound by Team,3,1
1,10:31.0,,D. Dotson misses 3-pt jump shot from 25 ft,3,1
1,10:28.0,,Offensive rebound by K. Knox,3,1
1,10:21.0,,D. Smith misses 2-pt jump shot from 19 ft,3,1
1,10:19.0,Defensive rebound by Team,,3,1
1,10:07.0,D. Green misses 2-pt layup from 2 ft,,3,1
1,10:04.0,,Defensive rebound by D. Dotson,3,1
1,10:01.0,,K. Knox makes 3-pt jump shot from 26 ft (assist by D. Smith),3,4
1,9:37.0,D. Green misses 2-pt jump shot from 16 ft,,3,4
1,9:36.0,,Defensive rebound by M. Hezonja,3,4
1,9:30.0,,Turnover by M. Hezonja (bad pass; steal by K. Leonard),3,4
1,9:23.0,K. Lowry misses 3-pt jump shot from 26 ft,,3,4
1,9:21.0,,Defensive rebound by M. Hezonja,3,4
1,9:05.0,,D. Jordan makes 2-pt dunk from 2 ft (assist by D. Smith),3,6
1,8:58.0,P. Siakam misses 2-pt layup at rim,,3,6
1,8:56.0,,Defensive rebound by M. Hezonja,3,6
1,8:54.0,,D. Dotson makes 2-pt layup from 1 ft (assist by M. Hezonja),3,8
1,8:41.0,Personal foul by D. Dotson (drawn by S. Ibaka),,3,8
1,8:26.0,S. Ibaka misses 2-pt jump shot from 22 ft,,3,8
1,8:24.0,,Defensive rebound by M. Hezonja,3,8
1,8:12.0,,D. Smith makes 2-pt layup from 2 ft,3,10
1,8:00.0,K. Leonard misses 2-pt jump shot from 15 ft,,3,10
1,7:58.0,,Defensive rebound by D. Jordan,3,10
1,7:50.0,,Offensive foul by D. Dotson (drawn by K. Lowry),3,10
1,7:50.0,,Turnover by D. Dotson (offensive foul),3,10
1,7:50.0,,A. Trier enters the game for D. Dotson,3,10
1,7:38.0,Turnover by S. Ibaka (bad pass; steal by D. Smith),,3,10
1,7:34.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Smith),3,12
1,7:24.0,K. Leonard misses 2-pt layup at rim,,3,12
1,7:22.0,,Defensive rebound by D. Jordan,3,12
1,7:17.0,,K. Knox misses 3-pt jump shot from 25 ft,3,12
1,7:11.0,,Offensive rebound by M. Hezonja,3,12
1,7:09.0,,K. Knox misses 2-pt layup at rim,3,12
1,7:08.0,,D. Jordan makes 2-pt dunk from 1 ft,3,14
1,7:08.0,,Offensive rebound by D. Jordan,3,14
1,7:08.0,Toronto full timeout,,3,14
1,6:55.0,P. Siakam misses 2-pt layup from 1 ft (block by D. Jordan),,3,14
1,6:55.0,Offensive rebound by Team,,3,14
1,6:51.0,Turnover by K. Lowry (bad pass; steal by K. Knox),,3,14
1,6:42.0,,Turnover by M. Hezonja (traveling),3,14
1,6:28.0,K. Lowry makes 2-pt jump shot from 20 ft (assist by S. Ibaka),,5,14
1,6:13.0,,A. Trier makes 3-pt jump shot from 23 ft (assist by D. Smith),5,17
1,6:01.0,D. Green makes 3-pt jump shot from 23 ft (assist by K. Leonard),,8,17
1,5:45.0,,A. Trier misses 3-pt jump shot from 27 ft,8,17
1,5:42.0,Defensive rebound by P. Siakam,,8,17
1,5:37.0,S. Ibaka makes 2-pt dunk from 1 ft (assist by P. Siakam),,10,17
1,5:20.0,,M. Hezonja makes 2-pt jump shot from 16 ft,10,19
1,5:09.0,Offensive foul by S. Ibaka (drawn by D. Smith),,10,19
1,5:09.0,Turnover by S. Ibaka (offensive foul),,10,19
1,5:09.0,,M. Robinson enters the game for D. Jordan,10,19
1,4:51.0,,D. Smith misses 2-pt jump shot from 18 ft,10,19
1,4:48.0,Defensive rebound by S. Ibaka,,10,19
1,4:43.0,Shooting foul by M. Hezonja (drawn by K. Leonard),,10,19
1,4:43.0,K. Leonard makes free throw 1 of 2,,11,19
1,4:43.0,K. Leonard misses free throw 2 of 2,,11,19
1,4:40.0,,Defensive rebound by M. Hezonja,11,19
1,4:19.0,,Turnover by D. Smith (bad pass; steal by S. Ibaka),11,19
1,4:18.0,Personal foul by D. Smith (drawn by K. Lowry),,11,19
1,4:04.0,P. Siakam makes 2-pt layup from 5 ft,,13,19
1,3:57.0,,New York full timeout,13,19
1,3:49.0,,K. Knox misses 2-pt layup at rim,13,19
1,3:47.0,Defensive rebound by K. Leonard,,13,19
1,3:39.0,Personal foul by D. Smith (drawn by K. Lowry),,13,19
1,3:39.0,,K. Allen enters the game for D. Smith,13,19
1,3:30.0,P. Siakam misses 2-pt layup from 2 ft,,13,19
1,3:30.0,Offensive rebound by S. Ibaka,,13,19
1,3:30.0,Shooting foul by M. Robinson (drawn by S. Ibaka),,13,19
1,3:30.0,F. VanVleet enters the game for K. Lowry,,13,19
1,3:30.0,,N. Vonleh enters the game for M. Hezonja,13,19
1,3:30.0,S. Ibaka makes free throw 1 of 2,,14,19
1,3:30.0,S. Ibaka misses free throw 2 of 2,,14,19
1,3:27.0,,Defensive rebound by K. Allen,14,19
1,3:15.0,,M. Robinson makes 2-pt dunk at rim (assist by K. Allen),14,21
1,3:00.0,P. Siakam misses 2-pt jump shot from 13 ft,,14,21
1,3:00.0,Offensive rebound by D. Green,,14,21
1,2:57.0,D. Green makes 2-pt layup at rim,,16,21
1,2:38.0,,N. Vonleh makes 2-pt dunk from 1 ft,16,23
1,2:20.0,Personal foul by K. Allen (drawn by F. VanVleet),,16,23
1,2:20.0,F. VanVleet makes free throw 1 of 2,,17,23
1,2:20.0,O. Anunoby enters the game for D. Green,,17,23
1,2:20.0,M. Gasol enters the game for S. Ibaka,,17,23
1,2:20.0,N. Powell enters the game for K. Leonard,,17,23
1,2:20.0,F. VanVleet makes free throw 2 of 2,,18,23
1,2:06.0,,K. Allen misses 2-pt jump shot from 9 ft,18,23
1,2:03.0,Defensive rebound by O. Anunoby,,18,23
1,1:58.0,Turnover by O. Anunoby (lost ball; steal by K. Allen),,18,23
1,1:54.0,,A. Trier misses 3-pt jump shot from 23 ft,18,23
1,1:52.0,Defensive rebound by O. Anunoby,,18,23
1,1:43.0,P. Siakam makes 2-pt layup from 3 ft (assist by F. VanVleet),,20,23
1,1:24.0,,Turnover by K. Knox (bad pass; steal by M. Gasol),20,23
1,1:21.0,Shooting foul by M. Robinson (drawn by P. Siakam),,20,23
1,1:21.0,P. Siakam makes free throw 1 of 2,,21,23
1,1:21.0,P. Siakam makes free throw 2 of 2,,22,23
1,0:58.0,,K. Allen misses 3-pt jump shot from 28 ft,22,23
1,0:56.0,Defensive rebound by M. Gasol,,22,23
1,0:46.0,N. Powell makes 3-pt jump shot from 23 ft (assist by F. VanVleet),,25,23
1,0:30.0,,Personal foul by N. Powell (drawn by A. Trier),25,23
1,0:30.0,P. McCaw enters the game for P. Siakam,,25,23
1,0:20.0,,K. Knox misses 3-pt jump shot from 25 ft,25,23
1,0:16.0,Defensive rebound by M. Gasol,,25,23
1,0:02.0,F. VanVleet misses 3-pt jump shot from 25 ft,,25,23
1,0:00.0,,Defensive rebound by N. Vonleh,25,23
2,11:46.0,N. Powell misses 3-pt jump shot from 25 ft,,25,23
2,11:43.0,,Defensive rebound by K. Allen,25,23
2,11:39.0,,K. Allen misses 2-pt layup from 1 ft,25,23
2,11:36.0,,Offensive rebound by M. Robinson,25,23
2,11:36.0,,M. Robinson makes 2-pt dunk from 1 ft,25,25
2,11:11.0,M. Gasol makes 2-pt hook shot from 5 ft (assist by N. Powell),,27,25
2,10:50.0,,N. Vonleh misses 2-pt hook shot from 6 ft,27,25
2,10:47.0,Defensive rebound by M. Gasol,,27,25
2,10:37.0,O. Anunoby misses 2-pt hook shot from 7 ft,,27,25
