QUARTER,TIME_REMAINING,TORONTO_ACTION,CLEVELAND_ACTION,TORONTO_SCORE,CLEVELAND_SCORE
1,11:36.0,K. Leonard makes 2-pt layup from 2 ft (assist by K. Lowry),,2,0
1,11:17.0,,A. Žižić makes 2-pt layup from 1 ft (assist by K. Love),2,2
1,11:10.0,K. Leonard misses 3-pt jump shot from 24 ft,,2,2
1,11:07.0,,Defensive rebound by A. Žižić,2,2
1,10:59.0,,C. Osman misses 2-pt jump shot from 1 ft (block by K. Lowry),2,2
1,10:58.0,Defensive rebound by K. Lowry,,2,2
1,10:48.0,M. Gasol misses 2-pt jump shot from 15 ft,,2,2
1,10:43.0,,Defensive rebound by K. Love,2,2
1,10:25.0,,C. Osman misses 3-pt jump shot from 31 ft,2,2
1,10:23.0,Defensive rebound by M. Gasol,,2,2
1,10:09.0,P. Siakam misses 3-pt jump shot from 23 ft,,2,2
1,10:06.0,,Defensive rebound by B. Knight,2,2
1,9:55.0,,B. Knight makes 3-pt jump shot from 26 ft,2,5
1,9:48.0,K. Lowry misses 3-pt jump shot from 30 ft,,2,5
1,9:44.0,,Defensive rebound by C. Osman,2,5
1,9:36.0,,A. Žižić makes 2-pt layup from 1 ft (assist by C. Osman),2,7
1,9:15.0,D. Green makes 2-pt jump shot from 11 ft (assist by M. Gasol),,4,7
1,8:59.0,,K. Love makes 3-pt jump shot from 24 ft (assist by C. Osman),4,10
1,8:51.0,Turnover by K. Lowry (bad pass; steal by B. Knight),,4,10
1,8:37.0,,B. Knight misses 3-pt jump shot from 23 ft,4,10
1,8:35.0,Defensive rebound by K. Lowry,,4,10
1,8:32.0,Offensive foul by P. Siakam (drawn by K. Love),,4,10
1,8:32.0,Turnover by P. Siakam (offensive foul),,4,10
1,8:15.0,,A. Žižić misses 2-pt layup from 2 ft,4,10
1,8:13.0,Defensive rebound by K. Leonard,,4,10
1,8:13.0,Turnover by D. Green (out of bounds lost ball),,4,10
1,8:06.0,,C. Sexton misses 2-pt layup from 2 ft,4,10
1,8:04.0,Defensive rebound by K. Leonard,,4,10
1,8:02.0,Personal foul by B. Knight (drawn by K. Leonard),,4,10
1,7:52.0,P. Siakam misses 3-pt jump shot from 25 ft,,4,10
1,7:48.0,,Defensive rebound by C. Osman,4,10
1,7:39.0,,C. Osman makes 2-pt jump shot from 19 ft,4,12
1,7:21.0,K. Leonard makes 2-pt jump shot from 18 ft,,6,12
1,7:21.0,Shooting foul by C. Osman (drawn by K. Leonard),,6,12
1,7:21.0,K. Leonard misses free throw 1 of 1,,6,12
1,7:18.0,,Defensive rebound by K. Love,6,12
1,7:03.0,,K. Love misses 3-pt jump shot from 23 ft,6,12
1,7:00.0,Defensive rebound by K. Lowry,,6,12
1,6:49.0,K. Leonard makes 2-pt layup from 1 ft,,8,12
1,6:38.0,,C. Sexton misses 3-pt jump shot from 23 ft,8,12
1,6:35.0,,Offensive rebound by A. Žižić,8,12
1,6:30.0,,A. Žižić makes 2-pt layup at rim (assist by C. Osman),8,14
1,6:24.0,K. Leonard makes 3-pt jump shot from 23 ft (assist by P. Siakam),,11,14
1,5:57.0,,C. Osman misses 2-pt jump shot from 18 ft,11,14
1,5:52.0,,Offensive rebound by A. Žižić,11,14
1,5:52.0,,A. Žižić misses 2-pt layup from 1 ft,11,14
1,5:51.0,Defensive rebound by D. Green,,11,14
1,5:48.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by K. Leonard),,14,14
1,5:48.0,,Cleveland full timeout,14,14
1,5:48.0,,J. Clarkson enters the game for B. Knight,14,14
1,5:34.0,,Offensive foul by K. Love (drawn by D. Green),14,14
1,5:34.0,,Turnover by K. Love (offensive foul),14,14
1,5:21.0,K. Leonard misses 2-pt jump shot from 13 ft,,14,14
1,5:19.0,,Defensive rebound by K. Love,14,14
1,5:17.0,,Shooting foul by M. Gasol (drawn by C. Osman),14,14
1,5:17.0,,C. Osman makes free throw 1 of 2,14,15
1,5:17.0,,M. Chriss enters the game for A. Žižić,14,15
1,5:17.0,,C. Osman makes free throw 2 of 2,14,16
1,5:02.0,Turnover by K. Leonard (bad pass),,14,16
1,4:51.0,,C. Sexton makes 2-pt layup from 2 ft (assist by J. Clarkson),14,18
1,4:39.0,M. Gasol misses 3-pt jump shot from 26 ft,,14,18
1,4:33.0,,Defensive rebound by C. Osman,14,18
1,4:33.0,S. Ibaka enters the game for M. Gasol,,14,18
1,4:33.0,J. Lin enters the game for K. Lowry,,14,18
1,4:33.0,,D. Nwaba enters the game for K. Love,14,18
1,4:24.0,,C. Sexton misses 2-pt jump shot from 10 ft,14,18
1,4:20.0,Defensive rebound by K. Leonard,,14,18
1,4:02.0,D. Green misses 3-pt jump shot from 27 ft,,14,18
1,3:59.0,,Defensive rebound by C. Osman,14,18
