QUARTER,TIME_REMAINING,INDIANA_ACTION,MIAMI_ACTION,INDIANA_SCORE,MIAMI_SCORE
1,11:41.0,D. Collison makes 2-pt jump shot from 17 ft,,2,0
1,11:23.0,,Turnover by R. McGruder (bad pass; steal by B. Bogdanović),2,0
1,11:18.0,D. Collison misses 3-pt jump shot from 25 ft,,2,0
1,11:14.0,,Defensive rebound by H. Whiteside,2,0
1,11:11.0,,Shooting foul by M. Turner (drawn by J. Winslow),2,0
1,11:11.0,,J. Winslow makes free throw 1 of 2,2,1
1,11:11.0,,J. Winslow misses free throw 2 of 2,2,1
1,11:07.0,Defensive rebound by B. Bogdanović,,2,1
1,10:53.0,B. Bogdanović misses 2-pt layup from 4 ft (block by H. Whiteside),,2,1
1,10:48.0,Offensive rebound by T. Young,,2,1
1,10:46.0,T. Young misses 2-pt layup from 5 ft,,2,1
1,10:45.0,,Defensive rebound by H. Whiteside,2,1
1,10:41.0,,Turnover by J. Winslow (bad pass),2,1
1,10:27.0,Turnover by T. Young (out of bounds lost ball),,2,1
1,10:13.0,,Turnover by J. Winslow (out of bounds lost ball),2,1
1,10:00.0,V. Oladipo misses 2-pt layup from 1 ft (block by H. Whiteside),,2,1
1,10:00.0,Offensive rebound by Team,,2,1
1,10:00.0,,Loose ball foul by J. Winslow (drawn by T. Young),2,1
1,9:45.0,B. Bogdanović misses 2-pt jump shot from 23 ft,,2,1
1,9:41.0,,Defensive rebound by H. Whiteside,2,1
1,9:39.0,,Personal foul by V. Oladipo (drawn by R. McGruder),2,1
1,9:34.0,,Shooting foul by D. Collison (drawn by J. Richardson),2,1
1,9:34.0,,J. Richardson makes free throw 1 of 3,2,2
1,9:34.0,,J. Richardson makes free throw 2 of 3,2,3
1,9:34.0,,J. Richardson misses free throw 3 of 3,2,3
1,9:31.0,Defensive rebound by T. Young,,2,3
1,9:19.0,Personal foul by H. Whiteside (drawn by M. Turner),,2,3
1,9:11.0,Turnover by B. Bogdanović (traveling),,2,3
1,8:51.0,,Offensive foul by J. Richardson (drawn by D. Collison),2,3
1,8:51.0,,Turnover by J. Richardson (offensive foul),2,3
1,8:37.0,V. Oladipo misses 2-pt jump shot from 14 ft,,2,3
1,8:35.0,,Defensive rebound by H. Whiteside,2,3
1,8:23.0,,W. Ellington misses 3-pt jump shot from 23 ft,2,3
1,8:19.0,,Offensive rebound by R. McGruder,2,3
1,8:05.0,,H. Whiteside misses 2-pt hook shot from 4 ft,2,3
1,8:00.0,Defensive rebound by T. Young,,2,3
1,7:52.0,B. Bogdanović makes 2-pt jump shot from 15 ft,,4,3
1,7:37.0,,R. McGruder misses 2-pt jump shot from 8 ft,4,3
1,7:32.0,Defensive rebound by D. Collison,,4,3
1,7:27.0,M. Turner misses 3-pt jump shot from 26 ft,,4,3
1,7:26.0,Offensive rebound by Team,,4,3
1,7:26.0,,Loose ball foul by J. Richardson (drawn by T. Young),4,3
1,7:26.0,,T. Johnson enters the game for J. Richardson,4,3
1,7:21.0,B. Bogdanović makes 2-pt dunk from 1 ft (assist by T. Young),,6,3
1,6:59.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by R. McGruder),6,5
1,6:47.0,Shooting foul by R. McGruder (drawn by V. Oladipo),,6,5
1,6:47.0,,Miami full timeout,6,5
1,6:47.0,V. Oladipo misses free throw 1 of 2,,6,5
1,6:47.0,Offensive rebound by Team,,6,5
1,6:47.0,V. Oladipo misses free throw 2 of 2,,6,5
1,6:45.0,,Defensive rebound by H. Whiteside,6,5
1,6:31.0,,R. McGruder misses 2-pt layup from 3 ft,6,5
1,6:28.0,Defensive rebound by M. Turner,,6,5
1,6:24.0,V. Oladipo misses 2-pt layup from 1 ft,,6,5
1,6:18.0,Offensive rebound by T. Young,,6,5
1,6:18.0,T. Young makes 2-pt layup from 1 ft,,8,5
1,6:13.0,,R. McGruder makes 3-pt jump shot from 23 ft (assist by J. Winslow),8,8
1,5:54.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Collison),,11,8
1,5:38.0,,J. Winslow makes 3-pt jump shot from 23 ft (assist by W. Ellington),11,11
1,5:28.0,Personal foul by W. Ellington (drawn by B. Bogdanović),,11,11
1,5:28.0,B. Bogdanović misses free throw 1 of 2,,11,11
1,5:28.0,Offensive rebound by Team,,11,11
1,5:28.0,B. Bogdanović makes free throw 2 of 2,,12,11
1,5:17.0,,T. Johnson makes 3-pt jump shot from 24 ft (assist by J. Winslow),12,14
1,4:56.0,Turnover by M. Turner (bad pass; steal by R. McGruder),,12,14
1,4:51.0,,J. Winslow misses 2-pt layup from 2 ft,12,14
1,4:46.0,,Offensive rebound by R. McGruder,12,14
1,4:45.0,,R. McGruder makes 2-pt layup from 1 ft,12,16
1,4:31.0,Turnover by T. Young (traveling),,12,16
1,4:14.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Winslow),12,18
1,4:00.0,M. Turner misses 2-pt jump shot from 17 ft,,12,18
1,4:00.0,Offensive rebound by Team,,12,18
1,4:00.0,,Loose ball foul by J. Winslow (drawn by T. Young),12,18
1,4:00.0,T. Young misses free throw 1 of 2,,12,18
1,4:00.0,Offensive rebound by Team,,12,18
