QUARTER,TIME_REMAINING,DETROIT_ACTION,PHILADELPHIA_ACTION,DETROIT_SCORE,PHILADELPHIA_SCORE
1,11:44.0,,D. Šarić misses 3-pt jump shot from 26 ft,0,0
1,11:42.0,Defensive rebound by A. Drummond,,0,0
1,11:35.0,A. Drummond misses 3-pt jump shot from 28 ft,,0,0
1,11:30.0,,Defensive rebound by J. Embiid,0,0
1,11:12.0,,J. Embiid makes 2-pt dunk from 1 ft,0,2
1,11:05.0,Personal foul by R. Covington (drawn by B. Griffin),,0,2
1,11:05.0,,Technical foul by J. Embiid,0,2
1,11:05.0,R. Jackson makes technical free throw,,1,2
1,10:53.0,R. Jackson misses 2-pt jump shot from 8 ft,,1,2
1,10:50.0,,Defensive rebound by J. Embiid,1,2
1,10:48.0,,Personal foul by R. Jackson (drawn by M. Fultz),1,2
1,10:36.0,,J. Embiid makes 2-pt layup from 3 ft,1,4
1,10:36.0,,Shooting foul by A. Drummond (drawn by J. Embiid),1,4
1,10:36.0,,J. Embiid makes free throw 1 of 1,1,5
1,10:36.0,,Violation by Team (delay of game),1,5
1,10:17.0,S. Johnson misses 2-pt jump shot from 11 ft,,1,5
1,10:14.0,,Defensive rebound by J. Embiid,1,5
1,10:08.0,,M. Fultz misses 2-pt jump shot from 7 ft,1,5
1,10:07.0,Defensive rebound by B. Griffin,,1,5
1,9:58.0,B. Griffin misses 3-pt jump shot from 26 ft,,1,5
1,9:55.0,,Defensive rebound by D. Šarić,1,5
1,9:52.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by B. Simmons),1,7
1,9:46.0,Detroit full timeout,,1,7
1,9:35.0,B. Griffin makes 2-pt layup from 1 ft,,3,7
1,9:20.0,,Personal foul by A. Drummond (drawn by J. Embiid),3,7
1,9:20.0,Z. Pachulia enters the game for A. Drummond,,3,7
1,9:08.0,,J. Embiid misses 2-pt jump shot from 14 ft,3,7
1,9:05.0,Defensive rebound by B. Griffin,,3,7
1,9:04.0,Turnover by B. Griffin (lost ball; steal by B. Simmons),,3,7
1,9:00.0,,D. Šarić makes 2-pt layup from 2 ft (assist by B. Simmons),3,9
1,8:45.0,Turnover by B. Griffin (bad pass),,3,9
1,8:37.0,,Shooting foul by Z. Pachulia (drawn by J. Embiid),3,9
1,8:37.0,,J. Embiid makes free throw 1 of 2,3,10
1,8:37.0,,J. Embiid misses free throw 2 of 2,3,10
1,8:33.0,Defensive rebound by B. Brown,,3,10
1,8:30.0,R. Jackson misses 2-pt layup from 3 ft,,3,10
1,8:28.0,Offensive rebound by R. Jackson,,3,10
1,8:19.0,Shooting foul by D. Šarić (drawn by B. Griffin),,3,10
1,8:19.0,B. Griffin makes free throw 1 of 2,,4,10
1,8:19.0,B. Griffin misses free throw 2 of 2,,4,10
1,8:17.0,,Defensive rebound by J. Embiid,4,10
1,8:09.0,,Personal foul by S. Johnson (drawn by B. Simmons),4,10
1,8:09.0,,B. Simmons makes free throw 1 of 2,4,11
1,8:09.0,,B. Simmons makes free throw 2 of 2,4,12
1,7:47.0,S. Johnson misses 3-pt jump shot from 28 ft,,4,12
1,7:44.0,,Defensive rebound by J. Embiid,4,12
1,7:40.0,,R. Covington misses 3-pt jump shot from 27 ft,4,12
1,7:36.0,Defensive rebound by B. Griffin,,4,12
1,7:23.0,R. Jackson misses 3-pt jump shot from 28 ft,,4,12
1,7:20.0,Offensive rebound by B. Griffin,,4,12
1,7:16.0,Offensive foul by B. Griffin (drawn by R. Covington),,4,12
1,7:16.0,Turnover by B. Griffin (offensive foul),,4,12
1,7:16.0,,A. Johnson enters the game for J. Embiid,4,12
1,7:16.0,,J. Redick enters the game for M. Fultz,4,12
1,7:09.0,,D. Šarić makes 3-pt jump shot from 27 ft (assist by B. Simmons),4,15
1,6:50.0,R. Jackson makes 3-pt jump shot from 28 ft (assist by Z. Pachulia),,7,15
1,6:32.0,,Turnover by J. Redick (bad pass; steal by B. Griffin),7,15
1,6:26.0,Z. Pachulia makes 2-pt layup from 2 ft (assist by R. Jackson),,9,15
1,6:10.0,,Personal foul by B. Brown (drawn by A. Johnson),9,15
1,6:10.0,,A. Johnson makes free throw 1 of 2,9,16
1,6:10.0,L. Galloway enters the game for B. Brown,,9,16
1,6:10.0,I. Smith enters the game for R. Jackson,,9,16
1,6:10.0,,M. Muscala enters the game for D. Šarić,9,16
1,6:10.0,,A. Johnson makes free throw 2 of 2,9,17
1,5:57.0,S. Johnson misses 3-pt jump shot from 29 ft,,9,17
1,5:54.0,,Defensive rebound by A. Johnson,9,17
1,5:47.0,,M. Muscala misses 3-pt jump shot from 27 ft,9,17
1,5:43.0,Defensive rebound by B. Griffin,,9,17
1,5:39.0,Turnover by S. Johnson (bad pass; steal by R. Covington),,9,17
1,5:31.0,,A. Johnson misses 2-pt layup from 6 ft,9,17
1,5:30.0,,Offensive rebound by M. Muscala,9,17
1,5:30.0,,M. Muscala misses 2-pt layup at rim,9,17
1,5:30.0,,Offensive rebound by A. Johnson,9,17
1,5:30.0,,Shooting foul by S. Johnson (drawn by A. Johnson),9,17
1,5:30.0,,A. Johnson makes free throw 1 of 2,9,18
1,5:30.0,G. Robinson enters the game for S. Johnson,,9,18
1,5:30.0,,W. Chandler enters the game for R. Covington,9,18
1,5:30.0,,A. Johnson makes free throw 2 of 2,9,19
