QUARTER,TIME_REMAINING,DETROIT_ACTION,CHICAGO_ACTION,DETROIT_SCORE,CHICAGO_SCORE
1,11:44.0,B. Griffin makes 2-pt layup from 1 ft (assist by R. Jackson),,2,0
1,11:30.0,,W. Carter makes 2-pt dunk at rim (assist by C. Payne),2,2
1,11:14.0,B. Griffin makes 3-pt jump shot from 26 ft (assist by R. Jackson),,5,2
1,10:58.0,,Turnover by W. Carter (lost ball; steal by R. Bullock),5,2
1,10:53.0,R. Bullock makes 2-pt layup from 1 ft,,7,2
1,10:39.0,,B. Portis misses 2-pt jump shot from 15 ft (block by B. Griffin),7,2
1,10:35.0,Defensive rebound by S. Johnson,,7,2
1,10:31.0,S. Johnson misses 2-pt layup from 1 ft,,7,2
1,10:29.0,,Defensive rebound by W. Carter,7,2
1,10:27.0,,J. Holiday makes 2-pt layup from 2 ft (assist by C. Payne),7,4
1,10:13.0,R. Bullock misses 2-pt layup from 1 ft,,7,4
1,10:10.0,,Defensive rebound by J. Holiday,7,4
1,10:03.0,,B. Portis misses 2-pt layup from 2 ft (block by S. Johnson),7,4
1,9:58.0,,Offensive rebound by B. Portis,7,4
1,9:57.0,,W. Carter makes 2-pt jump shot from 4 ft (assist by B. Portis),7,6
1,9:44.0,S. Johnson misses 3-pt jump shot from 25 ft,,7,6
1,9:40.0,,Defensive rebound by Z. LaVine,7,6
1,9:33.0,,Z. LaVine misses 2-pt jump shot from 20 ft,7,6
1,9:33.0,,Offensive rebound by Team,7,6
1,9:33.0,Loose ball foul by A. Drummond (drawn by W. Carter),,7,6
1,9:21.0,,C. Payne misses 2-pt jump shot from 2 ft,7,6
1,9:19.0,Defensive rebound by A. Drummond,,7,6
1,9:11.0,A. Drummond misses 3-pt jump shot from 26 ft,,7,6
1,9:09.0,,Defensive rebound by C. Payne,7,6
1,9:01.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by W. Carter),7,8
1,8:57.0,Personal foul by W. Carter (drawn by A. Drummond),,7,8
1,8:53.0,Personal foul by C. Payne (drawn by B. Griffin),,7,8
1,8:44.0,R. Jackson misses 3-pt jump shot from 24 ft,,7,8
1,8:39.0,,Defensive rebound by B. Portis,7,8
