QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CLEVELAND_ACTION,WASHINGTON_SCORE,CLEVELAND_SCORE
1,1:15.0,,Defensive rebound by C. Sexton,25,30
1,1:08.0,,C. Sexton makes 3-pt jump shot from 25 ft,25,33
1,0:51.0,Turnover by B. Beal (bad pass; steal by C. Sexton),,25,33
1,0:46.0,,J. Clarkson makes 3-pt jump shot from 26 ft (assist by C. Sexton),25,36
1,0:38.0,B. Beal misses 3-pt jump shot from 29 ft,,25,36
1,0:35.0,,Defensive rebound by L. Nance,25,36
1,0:29.0,,J. Clarkson makes 2-pt layup at rim,25,38
1,0:05.0,A. Rivers misses 3-pt jump shot from 27 ft,,25,38
1,0:01.0,,Defensive rebound by J. Clarkson,25,38
2,11:37.0,,Shooting foul by A. Rivers (drawn by J. Clarkson),25,38
2,11:37.0,,J. Clarkson makes free throw 1 of 2,25,39
2,11:37.0,,J. Clarkson makes free throw 2 of 2,25,40
2,11:28.0,K. Oubre misses 2-pt jump shot from 3 ft,,25,40
2,11:28.0,Offensive rebound by K. Oubre,,25,40
2,11:26.0,K. Oubre misses 2-pt layup from 1 ft (block by J. Jones),,25,40
2,11:26.0,Offensive rebound by Team,,25,40
2,11:11.0,M. Morris misses 2-pt jump shot from 15 ft,,25,40
2,11:09.0,,Defensive rebound by A. Burks,25,40
2,10:51.0,,T. Thompson makes 2-pt layup from 1 ft,25,42
2,10:43.0,Shooting foul by T. Thompson (drawn by J. Green),,25,42
2,10:43.0,J. Green misses free throw 1 of 2,,25,42
2,10:43.0,Offensive rebound by Team,,25,42
2,10:43.0,J. Green makes free throw 2 of 2,,26,42
2,10:30.0,,Turnover by A. Burks (offensive foul),26,42
2,10:30.0,,Offensive foul by A. Burks (drawn by K. Oubre),26,42
2,10:22.0,A. Rivers misses 2-pt jump shot from 14 ft,,26,42
2,10:17.0,,Defensive rebound by L. Nance,26,42
2,10:06.0,,Personal foul by K. Oubre (drawn by A. Burks),26,42
2,9:54.0,,J. Clarkson misses 3-pt jump shot from 25 ft,26,42
2,9:52.0,,Offensive rebound by T. Thompson,26,42
2,9:52.0,,Turnover by Team (shot clock),26,42
2,9:28.0,J. Green misses 3-pt jump shot from 23 ft,,26,42
2,9:24.0,,Defensive rebound by T. Thompson,26,42
2,9:09.0,,T. Thompson misses 2-pt layup from 4 ft (block by M. Morris),26,42
2,9:09.0,,Offensive rebound by T. Thompson,26,42
2,9:09.0,,Shooting foul by K. Oubre (drawn by T. Thompson),26,42
2,9:09.0,,T. Thompson misses free throw 1 of 2,26,42
2,9:09.0,,Offensive rebound by Team,26,42
2,9:09.0,,J. Blossomgame enters the game for A. Burks,26,42
2,9:09.0,,C. Sexton enters the game for J. Jones,26,42
2,9:09.0,,T. Thompson makes free throw 2 of 2,26,43
2,8:52.0,Turnover by J. Green (out of bounds lost ball),,26,43
2,8:52.0,J. Wall enters the game for T. Satoranský,,26,43
2,8:30.0,,T. Thompson makes 2-pt hook shot from 9 ft (assist by J. Clarkson),26,45
2,8:29.0,Washington full timeout,,26,45
2,8:17.0,M. Morris misses 2-pt jump shot from 15 ft,,26,45
2,8:13.0,,Defensive rebound by T. Thompson,26,45
2,7:55.0,,C. Sexton makes 2-pt jump shot from 19 ft,26,47
2,7:40.0,K. Oubre misses 3-pt jump shot from 26 ft,,26,47
2,7:38.0,,Defensive rebound by T. Thompson,26,47
2,7:33.0,,C. Sexton misses 2-pt jump shot from 15 ft,26,47
2,7:30.0,Defensive rebound by J. Wall,,26,47
2,7:27.0,Turnover by J. Wall (bad pass; steal by L. Nance),,26,47
2,7:13.0,,J. Clarkson misses 2-pt jump shot from 6 ft,26,47
2,7:12.0,,Offensive rebound by J. Clarkson,26,47
2,7:12.0,,J. Clarkson misses 2-pt layup from 1 ft,26,47
2,7:09.0,,Offensive rebound by T. Thompson,26,47
2,6:56.0,,T. Thompson makes 2-pt layup from 2 ft (assist by C. Sexton),26,49
2,6:56.0,Washington full timeout,,26,49
2,6:56.0,B. Beal enters the game for K. Oubre,,26,49
2,6:56.0,O. Porter enters the game for A. Rivers,,26,49
2,6:33.0,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),,29,49
2,6:16.0,,Personal foul by J. Green (drawn by T. Thompson),29,49
2,6:02.0,,T. Thompson misses 2-pt layup from 2 ft (block by J. Green),29,49
2,5:53.0,,Offensive rebound by T. Thompson,29,49
2,5:53.0,,T. Thompson makes 2-pt hook shot from 3 ft,29,51
2,5:47.0,Personal foul by J. Blossomgame (drawn by B. Beal),,29,51
