QUARTER,TIME_REMAINING,CHICAGO_ACTION,WASHINGTON_ACTION,CHICAGO_SCORE,WASHINGTON_SCORE
1,11:41.0,,B. Portis misses 2-pt layup from 2 ft,0,0
1,11:40.0,,Offensive rebound by B. Portis,0,0
1,11:38.0,,B. Portis misses 2-pt jump shot from 17 ft,0,0
1,11:35.0,Defensive rebound by T. Luwawu-Cabarrot,,0,0
1,11:20.0,Shooting foul by B. Portis (drawn by R. Lopez),,0,0
1,11:20.0,R. Lopez makes free throw 1 of 2,,1,0
1,11:20.0,R. Lopez makes free throw 2 of 2,,2,0
1,11:08.0,,T. Satoranský misses 2-pt jump shot from 18 ft,2,0
1,11:05.0,Defensive rebound by W. Selden,,2,0
1,10:57.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 24 ft,,2,0
1,10:51.0,Offensive rebound by R. Lopez,,2,0
1,10:51.0,R. Lopez makes 2-pt dunk from 1 ft,,4,0
1,10:36.0,,B. Beal makes 2-pt layup from 1 ft (assist by B. Portis),4,2
1,10:23.0,Turnover by W. Lemon (bad pass; steal by B. Portis),,4,2
1,10:20.0,,B. Portis makes 2-pt dunk from 1 ft,4,4
1,9:53.0,Turnover by R. Lopez (3 sec),,4,4
1,9:41.0,,B. Beal misses 2-pt layup from 3 ft,4,4
1,9:38.0,Defensive rebound by W. Lemon,,4,4
1,9:37.0,Turnover by T. Luwawu-Cabarrot (out of bounds lost ball),,4,4
1,9:19.0,,Turnover by T. Satoranský (lost ball; steal by S. Harrison),4,4
1,9:15.0,S. Harrison makes 2-pt layup from 1 ft,,6,4
1,9:04.0,,T. Bryant misses 3-pt jump shot from 27 ft,6,4
1,9:01.0,Defensive rebound by T. Luwawu-Cabarrot,,6,4
1,8:55.0,W. Lemon makes 2-pt jump shot from 15 ft,,8,4
1,8:40.0,,B. Beal makes 2-pt jump shot from 21 ft,8,6
1,8:18.0,W. Selden makes 2-pt jump shot from 2 ft (assist by W. Lemon),,10,6
1,8:04.0,,B. Portis makes 3-pt jump shot from 25 ft (assist by T. Satoranský),10,9
1,7:51.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 24 ft,,10,9
1,7:46.0,,Defensive rebound by B. Portis,10,9
1,7:34.0,,B. Portis misses 2-pt jump shot from 17 ft,10,9
1,7:34.0,,Offensive rebound by Team,10,9
1,7:34.0,Loose ball foul by S. Harrison (drawn by T. Bryant),,10,9
1,7:26.0,,B. Beal misses 2-pt jump shot from 13 ft,10,9
1,7:21.0,,Offensive rebound by T. Satoranský,10,9
1,7:21.0,,T. Satoranský misses 2-pt layup at rim,10,9
1,7:20.0,Defensive rebound by W. Selden,,10,9
1,7:16.0,W. Lemon makes 2-pt layup from 1 ft (assist by W. Selden),,12,9
1,7:08.0,,B. Beal makes 2-pt jump shot from 4 ft (assist by T. Satoranský),12,11
1,6:53.0,Turnover by W. Lemon (bad pass; steal by T. Brown),,12,11
1,6:50.0,,T. Brown makes 2-pt dunk from 2 ft,12,13
1,6:50.0,Chicago full timeout,,12,13
1,6:33.0,W. Selden misses 2-pt jump shot from 19 ft,,12,13
1,6:31.0,,Defensive rebound by B. Portis,12,13
1,6:18.0,,T. Satoranský misses 3-pt jump shot from 26 ft,12,13
1,6:14.0,Defensive rebound by W. Selden,,12,13
1,6:01.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 24 ft (assist by S. Harrison),,15,13
1,5:50.0,,B. Portis misses 3-pt jump shot from 25 ft,15,13
1,5:47.0,,Offensive rebound by T. Bryant,15,13
1,5:45.0,,B. Portis makes 2-pt dunk from 2 ft (assist by T. Bryant),15,15
1,5:27.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 23 ft,,15,15
1,5:25.0,,Defensive rebound by T. Bryant,15,15
1,5:12.0,,B. Beal misses 2-pt layup from 1 ft (block by S. Harrison),15,15
1,5:08.0,Defensive rebound by T. Luwawu-Cabarrot,,15,15
1,5:07.0,Offensive foul by W. Selden (drawn by T. Brown),,15,15
1,5:07.0,Turnover by W. Selden (offensive foul),,15,15
1,5:07.0,R. Arcidiacono enters the game for W. Lemon,,15,15
1,5:07.0,J. Sampson enters the game for W. Selden,,15,15
1,5:07.0,,J. Parker enters the game for T. Bryant,15,15
1,4:55.0,,T. Brown misses 3-pt jump shot from 26 ft,15,15
1,4:50.0,Defensive rebound by R. Arcidiacono,,15,15
1,4:44.0,T. Luwawu-Cabarrot makes 2-pt layup from 2 ft,,17,15
1,4:28.0,,J. Parker misses 2-pt jump shot from 6 ft,17,15
1,4:25.0,Defensive rebound by J. Sampson,,17,15
1,4:14.0,R. Arcidiacono makes 2-pt jump shot from 10 ft,,19,15
1,4:03.0,,B. Beal misses 2-pt jump shot from 4 ft (block by T. Luwawu-Cabarrot),19,15
1,4:03.0,,Offensive rebound by Team,19,15
1,4:03.0,,J. McRae enters the game for T. Satoranský,19,15
1,3:56.0,,B. Beal makes 2-pt jump shot from 17 ft,19,17
1,3:33.0,R. Lopez makes 2-pt hook shot from 9 ft (assist by T. Luwawu-Cabarrot),,21,17
1,3:19.0,,B. Portis misses 2-pt jump shot from 18 ft,21,17
1,3:15.0,Defensive rebound by S. Harrison,,21,17
1,3:15.0,Offensive foul by S. Harrison (drawn by B. Beal),,21,17
1,3:15.0,Turnover by S. Harrison (offensive foul),,21,17
1,3:00.0,,Shooting foul by J. Sampson (drawn by J. Parker),21,17
1,3:00.0,,J. Parker makes free throw 1 of 2,21,18
1,3:00.0,R. Alkins enters the game for S. Harrison,,21,18
1,3:00.0,,J. Parker makes free throw 2 of 2,21,19
1,2:51.0,R. Arcidiacono misses 2-pt jump shot from 12 ft,,21,19
1,2:48.0,,Defensive rebound by B. Beal,21,19
1,2:37.0,,J. McRae misses 3-pt jump shot from 26 ft,21,19
1,2:33.0,Defensive rebound by R. Arcidiacono,,21,19
1,2:31.0,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft (assist by R. Arcidiacono),,23,19
1,2:31.0,Shooting foul by J. McRae (drawn by T. Luwawu-Cabarrot),,23,19
1,2:31.0,,Washington full timeout,23,19
1,2:31.0,C. Felício enters the game for R. Lopez,,23,19
1,2:31.0,,S. Dekker enters the game for T. Brown,23,19
1,2:31.0,T. Luwawu-Cabarrot makes free throw 1 of 1,,24,19
1,2:21.0,,B. Beal makes 2-pt layup from 1 ft (assist by S. Dekker),24,21
1,2:21.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by B. Beal),24,21
1,2:21.0,,B. Beal misses free throw 1 of 1,24,21
1,2:18.0,Defensive rebound by C. Felício,,24,21
1,2:09.0,J. Sampson misses 2-pt layup from 4 ft,,24,21
1,2:06.0,Offensive rebound by J. Sampson,,24,21
1,2:03.0,J. Sampson misses 2-pt layup from 4 ft (block by B. Portis),,24,21
1,2:03.0,Offensive rebound by J. Sampson,,24,21
1,1:56.0,J. Sampson misses 2-pt hook shot from 4 ft,,24,21
1,1:55.0,,Defensive rebound by J. Parker,24,21
1,1:55.0,,Offensive foul by S. Dekker (drawn by R. Arcidiacono),24,21
1,1:55.0,,Turnover by S. Dekker (offensive foul),24,21
1,1:38.0,Turnover by C. Felício (lost ball; steal by B. Beal),,24,21
1,1:25.0,,J. Parker misses 3-pt jump shot from 26 ft,24,21
1,1:21.0,Defensive rebound by R. Arcidiacono,,24,21
1,1:12.0,R. Alkins makes 2-pt layup from 1 ft (assist by R. Arcidiacono),,26,21
1,1:00.0,,B. Beal makes 2-pt jump shot from 8 ft (assist by J. McRae),26,23
1,0:38.0,R. Arcidiacono misses 3-pt jump shot from 26 ft,,26,23
1,0:35.0,,Defensive rebound by B. Beal,26,23
1,0:31.0,,B. Beal makes 3-pt jump shot from 33 ft,26,26
1,0:11.0,R. Arcidiacono misses 3-pt jump shot from 28 ft,,26,26
1,0:08.0,,Defensive rebound by B. Beal,26,26
1,0:01.0,,Shooting foul by J. Sampson (drawn by S. Dekker),26,26
1,0:01.0,,S. Dekker makes free throw 1 of 2,26,27
1,0:01.0,,S. Dekker makes free throw 2 of 2,26,28
2,11:42.0,C. Felício misses 2-pt hook shot from 7 ft,,26,28
2,11:41.0,Offensive rebound by Team,,26,28
2,11:39.0,Offensive foul by B. Sampson (drawn by C. Randle),,26,28
2,11:39.0,Turnover by B. Sampson (offensive foul),,26,28
2,11:28.0,,J. Parker misses 2-pt layup from 1 ft,26,28
2,11:26.0,Defensive rebound by B. Sampson,,26,28
2,11:20.0,R. Alkins makes 3-pt jump shot from 26 ft (assist by R. Arcidiacono),,29,28
2,11:07.0,,J. Parker misses 3-pt jump shot from 25 ft,29,28
2,11:04.0,Defensive rebound by C. Felício,,29,28
2,10:56.0,Shooting foul by T. Bryant (drawn by R. Alkins),,29,28
2,10:56.0,R. Alkins misses free throw 1 of 2,,29,28
2,10:56.0,Offensive rebound by Team,,29,28
2,10:56.0,R. Alkins makes free throw 2 of 2,,30,28
2,10:45.0,,Def 3 sec tech foul by Team,30,28
2,10:45.0,,J. McRae misses technical free throw,30,28
2,10:45.0,,Offensive rebound by Team,30,28
2,10:40.0,,C. Randle makes 3-pt jump shot from 26 ft,30,31
2,10:26.0,R. Arcidiacono makes 2-pt jump shot from 14 ft,,32,31
2,10:14.0,,T. Bryant misses 2-pt jump shot from 17 ft,32,31
2,10:10.0,Defensive rebound by R. Alkins,,32,31
2,10:07.0,R. Alkins makes 2-pt layup from 1 ft,,34,31
2,9:51.0,,T. Bryant makes 2-pt dunk from 1 ft (assist by J. McRae),34,33
2,9:30.0,C. Felício makes 2-pt layup from 1 ft (assist by R. Alkins),,36,33
2,9:30.0,Shooting foul by T. Bryant (drawn by C. Felício),,36,33
2,9:30.0,C. Felício misses free throw 1 of 1,,36,33
2,9:27.0,,Defensive rebound by J. Parker,36,33
2,9:18.0,,S. Dekker misses 2-pt jump shot from 22 ft,36,33
2,9:15.0,Defensive rebound by R. Alkins,,36,33
2,9:09.0,C. Felício misses 2-pt dunk from 1 ft (block by J. Parker),,36,33
2,9:09.0,,Defensive rebound by C. Randle,36,33
2,9:02.0,,J. Parker misses 2-pt layup from 2 ft,36,33
2,9:00.0,Defensive rebound by J. Sampson,,36,33
2,8:41.0,R. Alkins misses 3-pt jump shot from 26 ft,,36,33
2,8:38.0,,Defensive rebound by J. Parker,36,33
2,8:30.0,,J. McRae makes 2-pt jump shot from 18 ft,36,35
2,8:07.0,Turnover by C. Felício (lost ball; steal by J. McRae),,36,35
2,8:05.0,,J. McRae makes 2-pt layup from 3 ft (assist by C. Randle),36,37
2,8:05.0,,Shooting foul by R. Alkins (drawn by J. McRae),36,37
2,8:05.0,W. Lemon enters the game for R. Arcidiacono,,36,37
2,8:05.0,W. Selden enters the game for J. Sampson,,36,37
2,8:05.0,,J. McRae misses free throw 1 of 1,36,37
2,7:56.0,Defensive rebound by C. Felício,,36,37
2,7:46.0,W. Lemon makes 2-pt jump shot from 15 ft,,38,37
2,7:28.0,,S. Dekker makes 2-pt layup from 2 ft (assist by J. Parker),38,39
2,7:28.0,,Shooting foul by W. Selden (drawn by S. Dekker),38,39
2,7:28.0,,S. Dekker makes free throw 1 of 1,38,40
2,7:16.0,W. Lemon makes 2-pt layup from 1 ft,,40,40
2,7:03.0,,S. Dekker makes 2-pt layup from 2 ft (assist by T. Bryant),40,42
2,6:42.0,W. Selden misses 3-pt jump shot from 28 ft,,40,42
2,6:37.0,,Defensive rebound by J. Parker,40,42
2,6:32.0,,Turnover by J. Parker (bad pass; steal by C. Felício),40,42
2,6:28.0,B. Sampson makes 2-pt layup from 2 ft (assist by W. Lemon),,42,42
2,6:28.0,,Washington full timeout,42,42
2,6:28.0,S. Harrison enters the game for R. Alkins,,42,42
2,6:17.0,,Offensive foul by J. Parker (drawn by W. Lemon),42,42
2,6:17.0,,Turnover by J. Parker (offensive foul),42,42
2,6:06.0,W. Lemon misses 2-pt layup from 2 ft (block by C. Randle),,42,42
2,6:03.0,,Defensive rebound by T. Bryant,42,42
2,5:55.0,,T. Bryant makes 2-pt dunk from 1 ft (assist by C. Randle),42,44
2,5:29.0,B. Sampson makes 2-pt jump shot from 3 ft,,44,44
2,5:17.0,,Shooting foul by W. Selden (drawn by T. Bryant),44,44
2,5:17.0,,T. Bryant makes free throw 1 of 2,44,45
2,5:17.0,J. Sampson enters the game for W. Selden,,44,45
2,5:17.0,,T. Satoranský enters the game for J. Parker,44,45
