QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MILWAUKEE_ACTION,LA LAKERS_SCORE,MILWAUKEE_SCORE
1,11:42.0,R. Bullock makes 3-pt jump shot from 26 ft (assist by K. Kuzma),,3,0
1,11:26.0,,K. Middleton misses 3-pt jump shot from 26 ft,3,0
1,11:23.0,Defensive rebound by J. McGee,,3,0
1,11:13.0,R. Bullock misses 2-pt layup from 1 ft,,3,0
1,11:11.0,Offensive rebound by R. Bullock,,3,0
1,11:03.0,R. Rondo makes 2-pt jump shot from 6 ft,,5,0
1,10:53.0,,N. Mirotić makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),5,3
1,10:43.0,M. Muscala misses 3-pt jump shot from 28 ft,,5,3
1,10:40.0,,Defensive rebound by E. Bledsoe,5,3
1,10:36.0,,Turnover by E. Bledsoe (bad pass; steal by M. Muscala),5,3
1,10:27.0,K. Kuzma misses 2-pt jump shot from 18 ft,,5,3
1,10:27.0,Offensive rebound by J. McGee,,5,3
1,10:27.0,J. McGee makes 2-pt layup from 2 ft,,7,3
1,10:08.0,,K. Middleton makes 2-pt jump shot from 15 ft,7,5
1,10:00.0,R. Rondo misses 2-pt layup from 3 ft (block by B. Lopez),,7,5
1,10:00.0,,Defensive rebound by B. Lopez,7,5
1,9:51.0,,B. Lopez makes 3-pt jump shot from 29 ft (assist by N. Mirotić),7,8
1,9:35.0,M. Muscala misses 3-pt jump shot from 26 ft,,7,8
1,9:34.0,Offensive rebound by Team,,7,8
1,9:25.0,R. Rondo misses 2-pt jump shot from 6 ft,,7,8
1,9:24.0,Offensive rebound by J. McGee,,7,8
1,9:23.0,J. McGee makes 2-pt layup from 1 ft,,9,8
1,9:17.0,,K. Middleton misses 2-pt layup from 3 ft,9,8
1,9:12.0,Defensive rebound by M. Muscala,,9,8
1,9:10.0,K. Kuzma makes 2-pt layup from 1 ft (assist by R. Rondo),,11,8
1,9:00.0,,Shooting foul by R. Bullock (drawn by B. Lopez),11,8
1,9:00.0,,B. Lopez makes free throw 1 of 2,11,9
1,9:00.0,,B. Lopez makes free throw 2 of 2,11,10
1,8:46.0,M. Muscala misses 3-pt jump shot from 28 ft,,11,10
1,8:42.0,,Defensive rebound by T. Snell,11,10
1,8:34.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),11,13
1,8:18.0,R. Rondo misses 3-pt jump shot from 25 ft,,11,13
1,8:14.0,,Defensive rebound by E. Bledsoe,11,13
1,8:08.0,,K. Middleton misses 3-pt jump shot from 27 ft,11,13
1,8:03.0,,Offensive rebound by N. Mirotić,11,13
1,8:03.0,,N. Mirotić makes 2-pt layup at rim,11,15
1,7:59.0,Turnover by K. Kuzma (bad pass; steal by K. Middleton),,11,15
1,7:49.0,,T. Snell misses 3-pt jump shot from 28 ft,11,15
1,7:45.0,Defensive rebound by M. Muscala,,11,15
1,7:43.0,Shooting foul by T. Snell (drawn by K. Kuzma),,11,15
1,7:43.0,K. Kuzma misses free throw 1 of 2,,11,15
1,7:43.0,Offensive rebound by Team,,11,15
1,7:43.0,,P. Connaughton enters the game for N. Mirotić,11,15
1,7:43.0,K. Kuzma misses free throw 2 of 2,,11,15
1,7:36.0,,Defensive rebound by T. Snell,11,15
1,7:32.0,,B. Lopez misses 3-pt jump shot from 29 ft,11,15
1,7:28.0,Defensive rebound by R. Rondo,,11,15
