QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MIAMI_ACTION,CLEVELAND_SCORE,MIAMI_SCORE
4,1:39.0,,R. McGruder makes 3-pt jump shot from 23 ft (assist by K. Olynyk),94,114
4,1:31.0,J. Blossomgame misses 3-pt jump shot from 25 ft,,94,114
4,1:30.0,,Defensive rebound by B. Adebayo,94,114
4,1:10.0,,J. Winslow makes 2-pt jump shot from 17 ft,94,116
4,1:05.0,Turnover by C. Sexton (bad pass; steal by J. Winslow),,94,116
4,0:59.0,,K. Olynyk makes 2-pt layup from 4 ft (assist by J. Richardson),94,118
4,0:55.0,Personal take foul by R. McGruder (drawn by J. Clarkson),,94,118
4,0:55.0,,T. Johnson enters the game for J. Richardson,94,118
4,0:55.0,,D. Jones enters the game for J. Winslow,94,118
4,0:39.0,J. Blossomgame misses 2-pt jump shot from 7 ft,,94,118
4,0:37.0,,Defensive rebound by D. Jones,94,118
4,0:17.0,,R. McGruder misses 3-pt jump shot from 25 ft,94,118
4,0:13.0,Defensive rebound by J. Blossomgame,,94,118
