QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,GOLDEN STATE_ACTION,SACRAMENTO_SCORE,GOLDEN STATE_SCORE
2,10:21.0,M. Bagley makes 2-pt jump shot from 10 ft (assist by Y. Ferrell),,39,37
2,10:06.0,,D. Cousins makes 2-pt dunk from 2 ft (assist by K. Thompson),39,39
2,9:42.0,M. Bagley makes 2-pt layup from 2 ft,,41,39
2,9:42.0,Shooting foul by A. Iguodala (drawn by M. Bagley),,41,39
2,9:42.0,M. Bagley makes free throw 1 of 1,,42,39
2,9:25.0,,K. Thompson misses 3-pt jump shot from 26 ft,42,39
2,9:23.0,Defensive rebound by H. Giles,,42,39
2,9:18.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by H. Giles),,45,39
2,9:18.0,,A. McKinnie enters the game for A. Iguodala,45,39
2,9:01.0,,Def 3 sec tech foul by Team,45,39
2,9:01.0,,K. Thompson makes technical free throw,45,40
2,8:58.0,,Personal foul by C. Brewer (drawn by K. Thompson),45,40
2,8:47.0,,K. Thompson misses 3-pt jump shot from 26 ft,45,40
2,8:45.0,Defensive rebound by M. Bagley,,45,40
2,8:26.0,Y. Ferrell misses 2-pt jump shot from 12 ft,,45,40
2,8:25.0,Offensive rebound by M. Bagley,,45,40
2,8:25.0,M. Bagley misses 2-pt layup at rim,,45,40
2,8:24.0,Offensive rebound by M. Bagley,,45,40
2,8:24.0,M. Bagley misses 2-pt layup at rim,,45,40
2,8:23.0,,Defensive rebound by D. Cousins,45,40
2,8:13.0,,Q. Cook misses 2-pt jump shot from 2 ft,45,40
2,8:12.0,Defensive rebound by H. Giles,,45,40
2,8:07.0,Y. Ferrell makes 2-pt jump shot from 12 ft,,47,40
2,7:50.0,,D. Cousins misses 2-pt jump shot from 6 ft (block by H. Giles),47,40
2,7:49.0,Defensive rebound by Y. Ferrell,,47,40
2,7:39.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,47,40
2,7:39.0,,Defensive rebound by Q. Cook,47,40
2,7:39.0,W. Cauley-Stein enters the game for C. Brewer,,47,40
2,7:39.0,B. Hield enters the game for H. Giles,,47,40
2,7:39.0,,S. Curry enters the game for Q. Cook,47,40
2,7:35.0,,Turnover by S. Curry (bad pass; steal by W. Cauley-Stein),47,40
2,7:24.0,B. Hield makes 2-pt jump shot from 17 ft,,49,40
2,7:14.0,,D. Green makes 3-pt jump shot from 28 ft (assist by D. Cousins),49,43
2,7:04.0,Shooting foul by D. Green (drawn by W. Cauley-Stein),,49,43
2,7:04.0,W. Cauley-Stein makes free throw 1 of 2,,50,43
2,7:04.0,,K. Looney enters the game for D. Cousins,50,43
2,7:04.0,W. Cauley-Stein misses free throw 2 of 2,,50,43
2,7:03.0,,Defensive rebound by K. Looney,50,43
2,6:49.0,,K. Thompson misses 2-pt jump shot from 13 ft,50,43
2,6:48.0,Defensive rebound by B. Bogdanović,,50,43
2,6:33.0,B. Hield misses 3-pt jump shot from 26 ft,,50,43
2,6:31.0,Offensive rebound by Y. Ferrell,,50,43
2,6:28.0,Y. Ferrell misses 3-pt jump shot from 23 ft,,50,43
2,6:26.0,Offensive rebound by M. Bagley,,50,43
2,6:26.0,Personal foul by K. Thompson (drawn by M. Bagley),,50,43
2,6:26.0,,Golden State full timeout,50,43
2,6:26.0,D. Fox enters the game for Y. Ferrell,,50,43
2,6:26.0,,K. Durant enters the game for D. Green,50,43
2,6:26.0,,A. Iguodala enters the game for K. Thompson,50,43
2,6:15.0,M. Bagley misses 2-pt jump shot from 11 ft (block by K. Durant),,50,43
2,6:14.0,,Defensive rebound by K. Looney,50,43
2,6:11.0,,Turnover by K. Durant (bad pass; steal by W. Cauley-Stein),50,43
2,6:05.0,M. Bagley makes 2-pt layup from 3 ft,,52,43
2,6:05.0,Shooting foul by K. Looney (drawn by M. Bagley),,52,43
2,6:05.0,M. Bagley makes free throw 1 of 1,,53,43
2,5:51.0,,Turnover by K. Durant (bad pass; steal by D. Fox),53,43
2,5:46.0,Turnover by B. Hield (step out of bounds),,53,43
2,5:37.0,,Personal foul by D. Fox (drawn by K. Durant),53,43
2,5:37.0,H. Barnes enters the game for B. Bogdanović,,53,43
2,5:28.0,,Turnover by K. Looney (bad pass; steal by D. Fox),53,43
2,5:26.0,B. Hield misses 2-pt layup from 3 ft (block by K. Durant),,53,43
2,5:25.0,Offensive rebound by Team,,53,43
2,5:22.0,Personal foul by A. McKinnie (drawn by W. Cauley-Stein),,53,43
2,5:22.0,W. Cauley-Stein misses free throw 1 of 2,,53,43
2,5:22.0,Offensive rebound by Team,,53,43
2,5:22.0,W. Cauley-Stein makes free throw 2 of 2,,54,43
2,5:03.0,,Turnover by K. Durant (bad pass),54,43
2,4:43.0,M. Bagley misses 3-pt jump shot from 23 ft,,54,43
2,4:41.0,Offensive rebound by W. Cauley-Stein,,54,43
2,4:40.0,Turnover by W. Cauley-Stein (bad pass),,54,43
2,4:30.0,,S. Curry makes 3-pt jump shot from 27 ft,54,46
2,4:21.0,M. Bagley misses 2-pt jump shot from 9 ft (block by K. Durant),,54,46
2,4:19.0,,Defensive rebound by K. Durant,54,46
2,4:13.0,,Personal foul by D. Fox (drawn by S. Curry),54,46
2,4:13.0,Y. Ferrell enters the game for D. Fox,,54,46
2,4:13.0,,D. Green enters the game for K. Looney,54,46
2,4:13.0,,K. Thompson enters the game for A. McKinnie,54,46
2,4:05.0,,A. Iguodala makes 2-pt dunk from 3 ft (assist by S. Curry),54,48
2,3:57.0,Sacramento full timeout,,54,48
2,3:57.0,B. Bogdanović enters the game for M. Bagley,,54,48
2,3:45.0,H. Barnes misses 2-pt jump shot from 7 ft,,54,48
2,3:44.0,,Defensive rebound by K. Thompson,54,48
2,3:39.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by K. Thompson),54,51
2,3:21.0,B. Hield misses 2-pt jump shot from 12 ft,,54,51
2,3:20.0,,Defensive rebound by A. Iguodala,54,51
2,3:13.0,,K. Durant makes 2-pt dunk from 2 ft (assist by A. Iguodala),54,53
2,2:51.0,H. Barnes misses 3-pt jump shot from 27 ft,,54,53
2,2:49.0,Offensive rebound by B. Hield,,54,53
2,2:39.0,W. Cauley-Stein misses 2-pt layup from 3 ft,,54,53
2,2:38.0,,Defensive rebound by S. Curry,54,53
2,2:34.0,,S. Curry misses 3-pt jump shot from 28 ft,54,53
2,2:32.0,Defensive rebound by W. Cauley-Stein,,54,53
2,2:25.0,H. Barnes makes 2-pt dunk from 1 ft (assist by Y. Ferrell),,56,53
2,2:01.0,,D. Green misses 2-pt jump shot from 20 ft,56,53
2,2:00.0,Defensive rebound by H. Barnes,,56,53
2,1:52.0,Y. Ferrell misses 2-pt jump shot from 7 ft,,56,53
2,1:51.0,Offensive rebound by W. Cauley-Stein,,56,53
2,1:47.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,56,53
2,1:45.0,,Defensive rebound by K. Thompson,56,53
2,1:35.0,,K. Durant misses 2-pt jump shot from 8 ft,56,53
2,1:34.0,Defensive rebound by B. Hield,,56,53
2,1:23.0,Shooting foul by K. Durant (drawn by B. Bogdanović),,56,53
2,1:23.0,B. Bogdanović makes free throw 1 of 3,,57,53
2,1:23.0,B. Bogdanović makes free throw 2 of 3,,58,53
2,1:23.0,B. Bogdanović makes free throw 3 of 3,,59,53
2,1:14.0,,Shooting foul by B. Bogdanović (drawn by K. Durant),59,53
2,1:14.0,,K. Durant makes free throw 1 of 2,59,54
2,1:14.0,,K. Durant makes free throw 2 of 2,59,55
2,1:05.0,Y. Ferrell makes 2-pt jump shot from 19 ft,,61,55
2,0:47.0,,K. Thompson makes 3-pt jump shot from 23 ft (assist by A. Iguodala),61,58
2,0:37.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,61,58
2,0:35.0,,Defensive rebound by K. Durant,61,58
2,0:30.0,,Turnover by S. Curry (out of bounds lost ball),61,58
2,0:30.0,M. Bagley enters the game for W. Cauley-Stein,,61,58
2,0:15.0,Shooting foul by K. Durant (drawn by M. Bagley),,61,58
2,0:15.0,M. Bagley makes free throw 1 of 2,,62,58
2,0:15.0,C. Brewer enters the game for B. Bogdanović,,62,58
2,0:15.0,A. Burks enters the game for B. Hield,,62,58
2,0:15.0,M. Bagley misses free throw 2 of 2,,62,58
2,0:14.0,,Defensive rebound by D. Green,62,58
2,0:05.0,,A. Iguodala makes 2-pt dunk from 3 ft (assist by D. Green),62,60
2,0:01.0,C. Brewer misses 3-pt jump shot from 37 ft,,62,60
2,0:00.0,Offensive rebound by Team,,62,60
3,11:44.0,B. Bogdanović makes 2-pt layup from 2 ft,,64,60
3,11:20.0,,D. Green misses 3-pt jump shot from 27 ft,64,60
3,11:18.0,Defensive rebound by H. Barnes,,64,60
3,11:11.0,B. Hield makes 2-pt jump shot from 11 ft,,66,60
3,11:10.0,,Golden State full timeout,66,60
3,11:08.0,,Turnover by S. Curry (bad pass; steal by B. Bogdanović),66,60
3,10:56.0,D. Fox makes 2-pt dunk from 2 ft (assist by B. Bogdanović),,68,60
