QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DENVER_ACTION,PHILADELPHIA_SCORE,DENVER_SCORE
1,11:39.0,,N. Jokić misses 2-pt layup from 1 ft,0,0
1,11:37.0,,Offensive rebound by N. Jokić,0,0
1,11:37.0,,N. Jokić misses 2-pt layup from 1 ft,0,0
1,11:36.0,,Offensive rebound by N. Jokić,0,0
1,11:31.0,,N. Jokić makes 2-pt hook shot from 2 ft (assist by P. Millsap),0,2
1,11:09.0,C. Brewer makes 2-pt layup from 3 ft,,2,2
1,10:59.0,,W. Barton makes 2-pt jump shot from 2 ft,2,4
1,10:48.0,B. Simmons makes 2-pt layup from 2 ft (assist by T. McConnell),,4,4
1,10:45.0,,Away from play foul by C. Brewer (drawn by W. Barton),4,4
1,10:45.0,,W. Barton makes free throw 1 of 1,4,5
1,10:32.0,,N. Jokić makes 2-pt jump shot from 5 ft (assist by G. Harris),4,7
1,10:32.0,,Shooting foul by B. Simmons (drawn by N. Jokić),4,7
1,10:32.0,,N. Jokić makes free throw 1 of 1,4,8
1,10:20.0,J. Redick misses 2-pt jump shot from 15 ft,,4,8
1,10:18.0,,Defensive rebound by N. Jokić,4,8
1,10:14.0,,W. Barton misses 3-pt jump shot from 25 ft,4,8
1,10:09.0,Defensive rebound by C. Brewer,,4,8
1,10:07.0,Shooting foul by P. Millsap (drawn by C. Brewer),,4,8
1,10:07.0,C. Brewer makes free throw 1 of 2,,5,8
1,10:07.0,C. Brewer makes free throw 2 of 2,,6,8
1,9:53.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by W. Barton),6,11
1,9:31.0,J. Bolden misses 3-pt jump shot from 25 ft,,6,11
1,9:30.0,,Defensive rebound by W. Barton,6,11
1,9:27.0,,Personal foul by J. Bolden (drawn by N. Jokić),6,11
1,9:25.0,,G. Harris misses 3-pt jump shot from 25 ft,6,11
1,9:22.0,Defensive rebound by B. Simmons,,6,11
1,9:17.0,Offensive foul by J. Redick (drawn by T. Craig),,6,11
1,9:17.0,Turnover by J. Redick (offensive foul),,6,11
1,9:05.0,,Turnover by G. Harris (bad pass; steal by C. Brewer),6,11
1,9:01.0,T. McConnell makes 2-pt jump shot from 13 ft,,8,11
1,8:46.0,,G. Harris misses 2-pt jump shot from 4 ft,8,11
1,8:46.0,Defensive rebound by Team,,8,11
1,8:32.0,Shooting foul by T. Craig (drawn by J. Bolden),,8,11
1,8:32.0,J. Bolden makes free throw 1 of 2,,9,11
1,8:32.0,J. Bolden misses free throw 2 of 2,,9,11
1,8:30.0,,Defensive rebound by N. Jokić,9,11
1,8:24.0,,T. Craig makes 2-pt layup from 2 ft (assist by N. Jokić),9,13
1,8:08.0,J. Redick makes 2-pt jump shot from 21 ft,,11,13
1,7:48.0,,N. Jokić misses 2-pt jump shot from 4 ft,11,13
1,7:46.0,,Offensive rebound by T. Craig,11,13
1,7:46.0,,T. Craig misses 2-pt layup from 1 ft,11,13
1,7:46.0,,Offensive rebound by N. Jokić,11,13
1,7:44.0,,N. Jokić makes 2-pt layup from 5 ft,11,15
1,7:38.0,Personal foul by G. Harris (drawn by J. Redick),,11,15
1,7:28.0,J. Redick misses 3-pt jump shot from 26 ft,,11,15
1,7:26.0,,Defensive rebound by N. Jokić,11,15
1,7:16.0,,W. Barton makes 2-pt layup from 1 ft (assist by N. Jokić),11,17
1,7:03.0,B. Simmons misses 2-pt layup from 4 ft,,11,17
1,7:01.0,,Defensive rebound by W. Barton,11,17
