QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MINNESOTA_ACTION,MILWAUKEE_SCORE,MINNESOTA_SCORE
1,11:47.0,,K. Towns misses 2-pt jump shot from 11 ft,0,0
1,11:46.0,Defensive rebound by E. Bledsoe,,0,0
1,11:30.0,G. Antetokounmpo misses 3-pt jump shot from 22 ft,,0,0
1,11:27.0,,Defensive rebound by J. Butler,0,0
1,11:19.0,,J. Teague misses 3-pt jump shot from 25 ft,0,0
1,11:15.0,Defensive rebound by G. Antetokounmpo,,0,0
1,11:05.0,K. Middleton makes 2-pt jump shot from 16 ft (assist by G. Antetokounmpo),,2,0
1,10:38.0,,J. Teague misses 2-pt layup from 6 ft (block by B. Lopez),2,0
1,10:38.0,,Offensive rebound by Team,2,0
1,10:38.0,,Turnover by Team (shot clock),2,0
1,10:29.0,Turnover by K. Middleton (lost ball; steal by J. Butler),,2,0
1,10:25.0,,J. Butler misses 3-pt jump shot from 24 ft,2,0
1,10:24.0,Defensive rebound by G. Antetokounmpo,,2,0
1,10:17.0,M. Brogdon makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,5,0
1,10:08.0,,K. Towns misses 3-pt jump shot from 26 ft,5,0
1,10:08.0,Defensive rebound by G. Antetokounmpo,,5,0
1,10:01.0,G. Antetokounmpo misses 2-pt hook shot from 7 ft (block by T. Gibson),,5,0
1,10:01.0,,Defensive rebound by Team,5,0
1,9:55.0,,Personal foul by G. Antetokounmpo (drawn by T. Gibson),5,0
1,9:45.0,,J. Okogie misses 3-pt jump shot from 25 ft,5,0
1,9:42.0,Defensive rebound by G. Antetokounmpo,,5,0
1,9:33.0,M. Brogdon makes 2-pt layup from 6 ft,,7,0
1,9:19.0,,T. Gibson misses 2-pt layup from 5 ft (block by G. Antetokounmpo),7,0
1,9:17.0,,Offensive rebound by T. Gibson,7,0
1,9:10.0,,T. Gibson misses 2-pt jump shot from 11 ft,7,0
1,9:08.0,Defensive rebound by M. Brogdon,,7,0
1,8:57.0,M. Brogdon misses 3-pt jump shot from 26 ft,,7,0
1,8:54.0,,Defensive rebound by J. Butler,7,0
1,8:39.0,,J. Teague misses 3-pt jump shot from 26 ft,7,0
1,8:37.0,Defensive rebound by G. Antetokounmpo,,7,0
1,8:33.0,Offensive foul by E. Bledsoe (drawn by J. Okogie),,7,0
1,8:33.0,Turnover by E. Bledsoe (offensive foul),,7,0
1,8:17.0,,J. Butler misses 3-pt jump shot from 27 ft,7,0
1,8:15.0,Defensive rebound by B. Lopez,,7,0
1,7:57.0,B. Lopez misses 3-pt jump shot from 24 ft,,7,0
1,7:55.0,,Defensive rebound by T. Gibson,7,0
1,7:45.0,,K. Towns misses 2-pt hook shot from 9 ft,7,0
1,7:44.0,Defensive rebound by Team,,7,0
1,7:44.0,,Loose ball foul by T. Gibson (drawn by G. Antetokounmpo),7,0
1,7:36.0,Personal foul by K. Towns (drawn by B. Lopez),,7,0
1,7:31.0,K. Middleton misses 3-pt jump shot from 26 ft,,7,0
1,7:29.0,,Defensive rebound by T. Gibson,7,0
1,7:19.0,,J. Butler makes 2-pt jump shot from 11 ft,7,2
1,7:11.0,Shooting foul by T. Gibson (drawn by G. Antetokounmpo),,7,2
1,7:11.0,G. Antetokounmpo makes free throw 1 of 2,,8,2
1,7:11.0,E. İlyasova enters the game for M. Brogdon,,8,2
1,7:11.0,G. Antetokounmpo makes free throw 2 of 2,,9,2
1,6:54.0,,T. Gibson misses 2-pt jump shot from 10 ft,9,2
1,6:52.0,,Offensive rebound by K. Towns,9,2
1,6:51.0,,K. Towns makes 2-pt layup from 3 ft,9,4
1,6:28.0,Turnover by E. Bledsoe (out of bounds lost ball),,9,4
1,6:28.0,,Minnesota full timeout,9,4
1,6:28.0,,A. Tolliver enters the game for T. Gibson,9,4
1,6:11.0,,J. Butler misses 2-pt jump shot from 15 ft,9,4
1,6:09.0,Defensive rebound by G. Antetokounmpo,,9,4
1,6:03.0,Turnover by K. Middleton (bad pass; steal by J. Butler),,9,4
1,5:59.0,,J. Okogie makes 2-pt dunk from 1 ft,9,6
1,5:53.0,Turnover by E. Bledsoe (lost ball; steal by J. Okogie),,9,6
1,5:48.0,,Turnover by J. Teague (bad pass; steal by K. Middleton),9,6
1,5:41.0,E. Bledsoe makes 2-pt jump shot from 16 ft,,11,6
1,5:30.0,,A. Tolliver misses 3-pt jump shot from 24 ft,11,6
1,5:28.0,Defensive rebound by E. Bledsoe,,11,6
1,5:26.0,E. İlyasova makes 2-pt layup from 1 ft (assist by E. Bledsoe),,13,6
1,5:09.0,,J. Butler makes 2-pt layup from 4 ft,13,8
1,4:53.0,B. Lopez misses 3-pt jump shot from 27 ft,,13,8
1,4:50.0,,Defensive rebound by J. Teague,13,8
1,4:36.0,,K. Towns misses 2-pt jump shot from 17 ft,13,8
1,4:32.0,Defensive rebound by G. Antetokounmpo,,13,8
1,4:29.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,13,8
1,4:24.0,,Defensive rebound by J. Okogie,13,8
1,4:11.0,,K. Towns misses 2-pt jump shot from 6 ft,13,8
1,4:10.0,Defensive rebound by K. Middleton,,13,8
1,4:06.0,Milwaukee full timeout,,13,8
1,4:06.0,M. Brogdon enters the game for G. Antetokounmpo,,13,8
1,4:06.0,D. DiVincenzo enters the game for E. Bledsoe,,13,8
1,4:06.0,J. Henson enters the game for B. Lopez,,13,8
1,4:06.0,,D. Rose enters the game for J. Butler,13,8
1,3:53.0,D. DiVincenzo misses 3-pt jump shot from 23 ft,,13,8
1,3:49.0,,Defensive rebound by J. Teague,13,8
1,3:36.0,,D. Rose makes 2-pt jump shot from 19 ft,13,10
1,3:23.0,D. DiVincenzo misses 2-pt layup from 9 ft,,13,10
1,3:21.0,,Defensive rebound by A. Tolliver,13,10
1,3:11.0,,D. Rose makes 2-pt jump shot from 12 ft (assist by A. Tolliver),13,12
1,2:53.0,E. İlyasova makes 3-pt jump shot from 26 ft (assist by J. Henson),,16,12
1,2:44.0,,Personal foul by M. Brogdon (drawn by J. Teague),16,12
1,2:44.0,,G. Dieng enters the game for J. Teague,16,12
1,2:44.0,,T. Jones enters the game for K. Towns,16,12
1,2:37.0,,T. Jones misses 2-pt jump shot from 11 ft,16,12
1,2:34.0,Defensive rebound by K. Middleton,,16,12
1,2:26.0,M. Brogdon misses 2-pt layup from 2 ft,,16,12
1,2:24.0,,Defensive rebound by A. Tolliver,16,12
1,2:18.0,,J. Okogie misses 3-pt jump shot from 22 ft,16,12
1,2:16.0,Defensive rebound by J. Henson,,16,12
1,2:07.0,K. Middleton makes 3-pt jump shot from 25 ft,,19,12
1,1:52.0,,A. Tolliver misses 3-pt jump shot from 25 ft,19,12
1,1:50.0,,Offensive rebound by G. Dieng,19,12
1,1:45.0,,G. Dieng makes 2-pt jump shot from 11 ft,19,14
1,1:30.0,J. Henson makes 3-pt jump shot from 23 ft (assist by M. Brogdon),,22,14
1,1:17.0,,Shooting foul by D. DiVincenzo (drawn by D. Rose),22,14
1,1:17.0,,D. Rose misses free throw 1 of 2,22,14
1,1:17.0,,Offensive rebound by Team,22,14
1,1:17.0,T. Snell enters the game for K. Middleton,,22,14
1,1:17.0,,D. Rose misses free throw 2 of 2,22,14
1,1:14.0,Defensive rebound by J. Henson,,22,14
1,1:07.0,M. Brogdon makes 2-pt layup from 1 ft,,24,14
