QUARTER,TIME_REMAINING,WASHINGTON_ACTION,SACRAMENTO_ACTION,WASHINGTON_SCORE,SACRAMENTO_SCORE
1,11:45.0,,B. Hield misses 2-pt jump shot from 18 ft,0,0
1,11:43.0,Defensive rebound by J. Wall,,0,0
1,11:31.0,Shooting foul by I. Shumpert (drawn by I. Mahinmi),,0,0
1,11:31.0,I. Mahinmi misses free throw 1 of 2,,0,0
1,11:31.0,Offensive rebound by Team,,0,0
1,11:31.0,I. Mahinmi misses free throw 2 of 2,,0,0
1,11:30.0,Offensive rebound by Team,,0,0
1,11:30.0,,Loose ball foul by W. Cauley-Stein (drawn by M. Morris),0,0
1,11:22.0,B. Beal misses 3-pt jump shot from 24 ft,,0,0
1,11:20.0,,Defensive rebound by N. Bjelica,0,0
1,11:18.0,,Personal foul by O. Porter (drawn by N. Bjelica),0,0
1,11:12.0,,D. Fox misses 2-pt jump shot from 8 ft (block by J. Wall),0,0
1,11:08.0,Defensive rebound by I. Mahinmi,,0,0
1,11:01.0,O. Porter misses 2-pt jump shot from 11 ft,,0,0
1,10:59.0,,Defensive rebound by W. Cauley-Stein,0,0
1,10:51.0,,B. Hield makes 2-pt layup from 3 ft,0,2
1,10:41.0,Personal foul by D. Fox (drawn by I. Mahinmi),,0,2
1,10:29.0,Turnover by J. Wall (traveling),,0,2
1,10:18.0,,Personal foul by J. Wall (drawn by I. Shumpert),0,2
1,10:10.0,,I. Shumpert misses 2-pt jump shot from 20 ft,0,2
1,10:06.0,Defensive rebound by M. Morris,,0,2
1,10:00.0,J. Wall misses 3-pt jump shot from 25 ft,,0,2
1,9:57.0,,Defensive rebound by W. Cauley-Stein,0,2
1,9:52.0,,Turnover by W. Cauley-Stein (traveling),0,2
1,9:45.0,J. Wall misses 2-pt layup from 3 ft (block by I. Shumpert),,0,2
1,9:45.0,Offensive rebound by Team,,0,2
1,9:36.0,,Violation by Team (kicked ball),0,2
1,9:30.0,Personal foul by N. Bjelica (drawn by M. Morris),,0,2
1,9:19.0,B. Beal misses 2-pt jump shot from 14 ft,,0,2
1,9:16.0,,Defensive rebound by D. Fox,0,2
1,9:08.0,,W. Cauley-Stein misses 2-pt layup from 7 ft,0,2
1,9:05.0,Defensive rebound by I. Mahinmi,,0,2
1,9:01.0,J. Wall misses 2-pt layup from 3 ft,,0,2
1,8:56.0,Offensive rebound by O. Porter,,0,2
1,8:56.0,I. Mahinmi makes 2-pt layup from 3 ft,,2,2
1,8:52.0,,B. Hield misses 3-pt jump shot from 26 ft,2,2
1,8:52.0,Defensive rebound by I. Mahinmi,,2,2
1,8:35.0,J. Wall makes 2-pt jump shot from 18 ft,,4,2
1,8:24.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by D. Fox),4,4
1,8:16.0,Personal foul by I. Shumpert (drawn by I. Mahinmi),,4,4
1,8:16.0,I. Mahinmi makes free throw 1 of 2,,5,4
1,8:16.0,I. Mahinmi makes free throw 2 of 2,,6,4
1,8:07.0,,D. Fox makes 3-pt jump shot from 25 ft,6,7
1,7:52.0,I. Mahinmi misses 3-pt jump shot from 23 ft,,6,7
1,7:47.0,,Defensive rebound by B. Hield,6,7
1,7:42.0,,N. Bjelica misses 3-pt jump shot from 25 ft,6,7
1,7:39.0,Defensive rebound by B. Beal,,6,7
1,7:31.0,M. Morris misses 3-pt jump shot from 24 ft,,6,7
1,7:31.0,,Defensive rebound by B. Hield,6,7
1,7:21.0,,D. Fox makes 2-pt jump shot from 19 ft,6,9
1,7:03.0,B. Beal misses 3-pt jump shot from 25 ft,,6,9
1,7:01.0,,Defensive rebound by W. Cauley-Stein,6,9
1,6:57.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by D. Fox),6,12
1,6:56.0,Washington full timeout,,6,12
1,6:56.0,,J. Jackson enters the game for I. Shumpert,6,12
1,6:42.0,Turnover by O. Porter (bad pass; steal by W. Cauley-Stein),,6,12
1,6:24.0,,B. Hield makes 2-pt jump shot from 20 ft (assist by W. Cauley-Stein),6,14
1,6:03.0,J. Wall makes 2-pt layup from 2 ft,,8,14
1,5:56.0,,N. Bjelica misses 3-pt jump shot from 25 ft,8,14
1,5:50.0,Defensive rebound by M. Morris,,8,14
1,5:49.0,Shooting foul by D. Fox (drawn by J. Wall),,8,14
1,5:49.0,J. Wall makes free throw 1 of 2,,9,14
1,5:49.0,,M. Bagley enters the game for N. Bjelica,9,14
1,5:49.0,,F. Mason enters the game for D. Fox,9,14
1,5:49.0,J. Wall misses free throw 2 of 2,,9,14
1,5:44.0,,Defensive rebound by F. Mason,9,14
1,5:34.0,,J. Jackson makes 2-pt jump shot from 11 ft,9,16
1,5:21.0,B. Beal makes 3-pt jump shot from 23 ft (assist by J. Wall),,12,16
1,5:02.0,,M. Bagley misses 2-pt layup from 2 ft,12,16
1,5:02.0,Defensive rebound by M. Morris,,12,16
1,4:56.0,J. Wall misses 3-pt jump shot from 25 ft,,12,16
1,4:53.0,,Defensive rebound by B. Hield,12,16
1,4:43.0,,W. Cauley-Stein makes 2-pt hook shot from 7 ft,12,18
1,4:14.0,J. Wall makes 2-pt jump shot from 15 ft,,14,18
1,3:57.0,,J. Jackson misses 3-pt jump shot from 25 ft,14,18
1,3:55.0,Defensive rebound by M. Morris,,14,18
1,3:53.0,Personal foul by F. Mason (drawn by J. Wall),,14,18
1,3:53.0,J. Wall makes free throw 1 of 2,,15,18
1,3:53.0,K. Oubre enters the game for B. Beal,,15,18
1,3:53.0,A. Rivers enters the game for O. Porter,,15,18
1,3:53.0,J. Wall makes free throw 2 of 2,,16,18
1,3:41.0,,Turnover by J. Jackson (bad pass; steal by I. Mahinmi),16,18
1,3:40.0,Turnover by I. Mahinmi (bad pass),,16,18
1,3:26.0,,Turnover by W. Cauley-Stein (out of bounds lost ball),16,18
1,3:26.0,J. Green enters the game for I. Mahinmi,,16,18
1,3:06.0,A. Rivers makes 3-pt jump shot from 25 ft (assist by J. Green),,19,18
1,2:50.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by B. Hield),19,20
1,2:35.0,J. Wall makes 2-pt layup from 1 ft,,21,20
1,2:30.0,,F. Mason makes 2-pt layup from 2 ft,21,22
1,2:30.0,,Shooting foul by M. Morris (drawn by F. Mason),21,22
1,2:30.0,,Sacramento full timeout,21,22
1,2:30.0,,F. Mason makes free throw 1 of 1,21,23
1,2:13.0,M. Morris makes 2-pt layup from 3 ft,,23,23
1,1:57.0,,Personal foul by J. Wall (drawn by M. Bagley),23,23
1,1:57.0,T. Satoranský enters the game for J. Wall,,23,23
