QUARTER,TIME_REMAINING,TORONTO_ACTION,MEMPHIS_ACTION,TORONTO_SCORE,MEMPHIS_SCORE
1,11:44.0,S. Ibaka makes 2-pt jump shot from 18 ft (assist by K. Lowry),,2,0
1,11:22.0,,Offensive foul by J. Jackson (drawn by D. Green),2,0
1,11:22.0,,Turnover by J. Jackson (offensive foul),2,0
1,11:11.0,Shooting foul by J. Jackson (drawn by P. Siakam),,2,0
1,11:11.0,P. Siakam makes free throw 1 of 2,,3,0
1,11:11.0,,J. Green enters the game for J. Jackson,3,0
1,11:11.0,P. Siakam misses free throw 2 of 2,,3,0
1,11:09.0,Offensive rebound by P. Siakam,,3,0
1,11:05.0,P. Siakam makes 2-pt layup from 3 ft,,5,0
1,10:49.0,,G. Temple misses 3-pt jump shot from 24 ft,5,0
1,10:46.0,Defensive rebound by P. Siakam,,5,0
1,10:41.0,D. Green makes 3-pt jump shot from 26 ft (assist by P. Siakam),,8,0
1,10:39.0,,Memphis full timeout,8,0
1,10:16.0,,G. Temple makes 2-pt jump shot from 15 ft,8,2
1,9:52.0,Turnover by D. Green (bad pass; steal by M. Gasol),,8,2
1,9:41.0,,M. Gasol makes 2-pt jump shot from 10 ft (assist by G. Temple),8,4
1,9:29.0,K. Leonard makes 2-pt jump shot from 10 ft,,10,4
1,9:04.0,,Def 3 sec tech foul by Team,10,4
1,9:04.0,,M. Conley makes technical free throw,10,5
1,8:59.0,,G. Temple misses 3-pt jump shot from 23 ft,10,5
1,8:56.0,,Offensive rebound by M. Gasol,10,5
1,8:51.0,,K. Anderson makes 2-pt layup from 7 ft (assist by M. Gasol),10,7
1,8:42.0,K. Lowry misses 3-pt jump shot from 24 ft,,10,7
1,8:39.0,,Defensive rebound by G. Temple,10,7
1,8:28.0,,J. Green makes 2-pt jump shot from 14 ft,10,9
1,8:19.0,Turnover by S. Ibaka (bad pass; steal by M. Gasol),,10,9
1,8:07.0,,Turnover by J. Green (step out of bounds),10,9
1,7:44.0,D. Green makes 3-pt jump shot from 26 ft (assist by S. Ibaka),,13,9
1,7:29.0,,M. Conley makes 2-pt layup from 4 ft,13,11
1,7:08.0,S. Ibaka misses 3-pt jump shot from 26 ft,,13,11
1,7:05.0,,Defensive rebound by J. Green,13,11
1,7:02.0,,M. Conley misses 3-pt jump shot from 25 ft,13,11
1,6:58.0,Defensive rebound by K. Leonard,,13,11
1,6:46.0,S. Ibaka misses 2-pt jump shot from 6 ft,,13,11
1,6:44.0,Offensive rebound by S. Ibaka,,13,11
1,6:39.0,D. Green misses 3-pt jump shot from 25 ft,,13,11
1,6:37.0,,Defensive rebound by J. Green,13,11
1,6:28.0,,M. Conley misses 3-pt jump shot from 22 ft,13,11
1,6:24.0,,Offensive rebound by M. Conley,13,11
1,6:11.0,,M. Conley misses 2-pt jump shot from 8 ft (block by D. Green),13,11
1,6:11.0,,Offensive rebound by Team,13,11
1,6:11.0,,Turnover by Team (shot clock),13,11
1,6:11.0,Toronto full timeout,,13,11
1,5:57.0,P. Siakam misses 3-pt jump shot from 22 ft,,13,11
1,5:55.0,,Defensive rebound by G. Temple,13,11
1,5:40.0,,M. Gasol misses 3-pt jump shot from 25 ft,13,11
1,5:37.0,,Offensive rebound by G. Temple,13,11
1,5:36.0,,Turnover by G. Temple (lost ball; steal by K. Leonard),13,11
1,5:32.0,S. Ibaka makes 2-pt dunk from 1 ft (assist by P. Siakam),,15,11
1,5:24.0,,Personal foul by K. Lowry (drawn by G. Temple),15,11
1,5:13.0,,G. Temple makes 3-pt jump shot from 25 ft (assist by K. Anderson),15,14
1,4:56.0,Personal foul by J. Green (drawn by P. Siakam),,15,14
1,4:56.0,,S. Mack enters the game for M. Conley,15,14
1,4:49.0,K. Leonard misses 3-pt jump shot from 25 ft,,15,14
1,4:46.0,,Defensive rebound by K. Anderson,15,14
1,4:38.0,,Turnover by S. Mack (bad pass),15,14
1,4:27.0,K. Leonard misses 2-pt jump shot from 13 ft,,15,14
1,4:24.0,,Defensive rebound by J. Green,15,14
1,4:13.0,,J. Green makes 2-pt hook shot from 4 ft (assist by M. Gasol),15,16
1,4:13.0,,Shooting foul by P. Siakam (drawn by J. Green),15,16
1,4:13.0,,W. Selden enters the game for G. Temple,15,16
1,4:13.0,,J. Green makes free throw 1 of 1,15,17
1,3:55.0,P. Siakam makes 2-pt jump shot from 13 ft,,17,17
1,3:41.0,,W. Selden misses 2-pt jump shot from 3 ft,17,17
1,3:38.0,Defensive rebound by D. Green,,17,17
1,3:29.0,S. Ibaka makes 2-pt dunk at rim (assist by P. Siakam),,19,17
1,3:10.0,,K. Anderson misses 2-pt jump shot from 12 ft,19,17
1,3:06.0,Defensive rebound by D. Green,,19,17
1,2:59.0,D. Green misses 3-pt jump shot from 26 ft,,19,17
1,2:57.0,,Defensive rebound by S. Mack,19,17
1,2:53.0,,W. Selden makes 2-pt layup from 1 ft (assist by J. Green),19,19
1,2:41.0,K. Leonard makes 2-pt layup from 2 ft,,21,19
1,2:36.0,,Memphis full timeout,21,19
1,2:36.0,O. Anunoby enters the game for D. Green,,21,19
1,2:36.0,J. Valančiūnas enters the game for K. Leonard,,21,19
1,2:36.0,F. VanVleet enters the game for P. Siakam,,21,19
1,2:36.0,,O. Casspi enters the game for K. Anderson,21,19
1,2:25.0,,Personal foul by J. Valančiūnas (drawn by M. Gasol),21,19
1,2:17.0,,M. Gasol makes 2-pt jump shot from 15 ft (assist by S. Mack),21,21
1,2:03.0,J. Valančiūnas makes 2-pt hook shot from 6 ft (assist by K. Lowry),,23,21
1,1:45.0,,J. Green makes 2-pt dunk from 2 ft (assist by W. Selden),23,23
1,1:35.0,Turnover by K. Lowry (traveling),,23,23
1,1:21.0,,M. Gasol makes 2-pt jump shot from 14 ft (assist by W. Selden),23,25
1,1:09.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by J. Valančiūnas),,26,25
1,0:58.0,,S. Mack makes 2-pt jump shot from 14 ft (assist by M. Gasol),26,27
1,0:54.0,Personal foul by W. Selden (drawn by O. Anunoby),,26,27
1,0:54.0,C. Miles enters the game for S. Ibaka,,26,27
1,0:54.0,D. Wright enters the game for K. Lowry,,26,27
1,0:54.0,,G. Temple enters the game for J. Green,26,27
1,0:38.0,C. Miles makes 3-pt jump shot from 23 ft (assist by J. Valančiūnas),,29,27
1,0:32.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by S. Mack),29,30
1,0:10.0,F. VanVleet makes 2-pt layup from 3 ft,,31,30
1,0:05.0,Violation by Team (kicked ball),,31,30
1,0:05.0,L. Brown enters the game for F. VanVleet,,31,30
1,0:02.0,,S. Mack makes 2-pt jump shot from 16 ft,31,32
