QUARTER,TIME_REMAINING,NEW YORK_ACTION,CHICAGO_ACTION,NEW YORK_SCORE,CHICAGO_SCORE
2,0:59.0,,Offensive rebound by R. Lopez,53,48
2,0:58.0,,R. Lopez misses 2-pt layup from 3 ft,53,48
2,0:56.0,Defensive rebound by M. Robinson,,53,48
2,0:52.0,D. Smith makes 2-pt layup from 2 ft,,55,48
2,0:39.0,,Shooting foul by D. Dotson (drawn by R. Arcidiacono),55,48
2,0:39.0,,R. Arcidiacono makes free throw 1 of 2,55,49
2,0:39.0,,S. Harrison enters the game for W. Selden,55,49
2,0:39.0,,R. Arcidiacono makes free throw 2 of 2,55,50
2,0:33.0,D. Smith misses 3-pt jump shot from 26 ft,,55,50
2,0:30.0,,Defensive rebound by S. Harrison,55,50
2,0:12.0,,J. Sampson misses 2-pt jump shot from 20 ft,55,50
2,0:10.0,Defensive rebound by D. Dotson,,55,50
2,0:04.0,Personal foul by R. Arcidiacono (drawn by D. Dotson),,55,50
2,0:04.0,,W. Selden enters the game for R. Arcidiacono,55,50
2,0:00.0,D. Smith makes 2-pt layup at rim,,57,50
3,11:39.0,,S. Harrison makes 2-pt layup from 2 ft,57,52
3,11:28.0,Personal foul by T. Luwawu-Cabarrot (drawn by K. Knox),,57,52
3,11:23.0,L. Kornet makes 3-pt jump shot from 23 ft (assist by D. Smith),,60,52
3,11:05.0,,J. Sampson misses 3-pt jump shot from 25 ft,60,52
3,11:02.0,Defensive rebound by K. Knox,,60,52
3,10:58.0,M. Robinson makes 2-pt dunk from 1 ft (assist by K. Knox),,62,52
3,10:36.0,,R. Lopez misses 3-pt jump shot from 23 ft,62,52
3,10:33.0,Defensive rebound by K. Knox,,62,52
3,10:20.0,K. Knox misses 3-pt jump shot from 24 ft,,62,52
3,10:17.0,,Defensive rebound by J. Sampson,62,52
3,10:02.0,,R. Lopez misses 2-pt hook shot from 5 ft,62,52
3,10:00.0,Defensive rebound by M. Robinson,,62,52
3,9:44.0,Turnover by D. Smith (lost ball; steal by R. Arcidiacono),,62,52
3,9:38.0,,Turnover by R. Arcidiacono (bad pass),62,52
3,9:30.0,D. Smith misses 3-pt jump shot from 25 ft,,62,52
3,9:27.0,,Defensive rebound by J. Sampson,62,52
3,9:15.0,,T. Luwawu-Cabarrot misses 2-pt dunk from 1 ft,62,52
3,9:13.0,,Offensive rebound by R. Lopez,62,52
3,9:07.0,,J. Sampson makes 2-pt layup from 1 ft,62,54
3,8:53.0,D. Smith misses 2-pt layup from 2 ft,,62,54
3,8:51.0,,Defensive rebound by S. Harrison,62,54
3,8:45.0,,R. Arcidiacono misses 3-pt jump shot from 26 ft,62,54
3,8:42.0,Defensive rebound by M. Robinson,,62,54
3,8:34.0,Shooting foul by T. Luwawu-Cabarrot (drawn by K. Knox),,62,54
3,8:34.0,K. Knox misses free throw 1 of 2,,62,54
3,8:34.0,Offensive rebound by Team,,62,54
3,8:34.0,K. Knox makes free throw 2 of 2,,63,54
3,8:22.0,,R. Arcidiacono makes 2-pt layup from 2 ft,63,56
3,8:06.0,D. Smith makes 2-pt layup from 2 ft,,65,56
3,7:58.0,,J. Sampson misses 3-pt jump shot from 25 ft,65,56
3,7:55.0,Defensive rebound by K. Knox,,65,56
3,7:42.0,L. Kornet misses 2-pt jump shot from 12 ft,,65,56
3,7:40.0,,Defensive rebound by R. Arcidiacono,65,56
3,7:25.0,,R. Lopez misses 2-pt hook shot from 8 ft,65,56
3,7:22.0,Defensive rebound by K. Knox,,65,56
3,7:22.0,Personal foul by S. Harrison (drawn by K. Knox),,65,56
3,7:09.0,D. Dotson misses 2-pt jump shot from 16 ft,,65,56
3,7:08.0,,Defensive rebound by T. Luwawu-Cabarrot,65,56
3,7:02.0,,Shooting foul by L. Kornet (drawn by S. Harrison),65,56
3,7:02.0,,S. Harrison misses free throw 1 of 2,65,56
3,7:02.0,,Offensive rebound by Team,65,56
3,7:02.0,,S. Harrison makes free throw 2 of 2,65,57
3,6:38.0,L. Kornet misses 3-pt jump shot from 23 ft,,65,57
3,6:34.0,,Defensive rebound by T. Luwawu-Cabarrot,65,57
3,6:27.0,,J. Sampson misses 2-pt jump shot from 19 ft,65,57
3,6:26.0,,Offensive rebound by Team,65,57
3,6:26.0,Loose ball foul by K. Knox (drawn by R. Lopez),,65,57
3,6:26.0,,Chicago full timeout,65,57
3,6:17.0,,Shooting foul by K. Knox (drawn by T. Luwawu-Cabarrot),65,57
3,6:17.0,,T. Luwawu-Cabarrot makes free throw 1 of 2,65,58
3,6:17.0,,T. Luwawu-Cabarrot makes free throw 2 of 2,65,59
3,5:52.0,D. Smith misses 3-pt jump shot from 24 ft,,65,59
3,5:49.0,,Defensive rebound by S. Harrison,65,59
3,5:46.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 23 ft,65,59
3,5:46.0,Defensive rebound by K. Knox,,65,59
3,5:31.0,L. Kornet misses 3-pt jump shot from 25 ft,,65,59
3,5:28.0,,Defensive rebound by T. Luwawu-Cabarrot,65,59
3,5:21.0,,R. Arcidiacono misses 2-pt jump shot from 9 ft (block by L. Kornet),65,59
3,5:18.0,Defensive rebound by M. Robinson,,65,59
3,5:13.0,D. Smith misses 2-pt layup from 3 ft,,65,59
3,5:10.0,Offensive rebound by L. Kornet,,65,59
3,5:10.0,L. Kornet makes 2-pt layup at rim,,67,59
3,4:48.0,,S. Harrison misses 2-pt layup from 2 ft,67,59
3,4:46.0,Defensive rebound by L. Kornet,,67,59
3,4:38.0,K. Knox misses 3-pt jump shot from 25 ft,,67,59
3,4:38.0,,Defensive rebound by Team,67,59
3,4:38.0,B. Garrett enters the game for D. Smith,,67,59
3,4:38.0,,W. Lemon enters the game for R. Arcidiacono,67,59
3,4:38.0,,B. Sampson enters the game for T. Luwawu-Cabarrot,67,59
3,4:14.0,,W. Lemon makes 2-pt layup from 2 ft (assist by S. Harrison),67,61
3,3:54.0,B. Garrett makes 2-pt jump shot from 13 ft,,69,61
3,3:42.0,,Offensive foul by R. Lopez (drawn by L. Kornet),69,61
3,3:42.0,,Turnover by R. Lopez (offensive foul),69,61
3,3:42.0,H. Ellenson enters the game for L. Kornet,,69,61
3,3:42.0,,W. Selden enters the game for S. Harrison,69,61
3,3:29.0,Shooting foul by R. Lopez (drawn by K. Knox),,69,61
3,3:29.0,K. Knox makes free throw 1 of 2,,70,61
3,3:29.0,K. Knox makes free throw 2 of 2,,71,61
3,3:13.0,,W. Lemon misses 2-pt jump shot from 17 ft,71,61
3,3:10.0,,Offensive rebound by J. Sampson,71,61
3,3:10.0,,J. Sampson misses 2-pt layup from 1 ft,71,61
3,3:09.0,Defensive rebound by M. Robinson,,71,61
3,3:01.0,D. Dotson makes 3-pt jump shot from 26 ft (assist by B. Garrett),,74,61
3,2:47.0,,J. Sampson misses 3-pt jump shot from 25 ft,74,61
3,2:44.0,Defensive rebound by H. Ellenson,,74,61
3,2:34.0,M. Robinson misses 2-pt jump shot from 16 ft,,74,61
3,2:30.0,,Defensive rebound by W. Selden,74,61
3,2:22.0,,W. Lemon makes 2-pt layup from 1 ft (assist by W. Selden),74,63
3,2:10.0,H. Ellenson misses 3-pt jump shot from 25 ft,,74,63
3,2:10.0,,Defensive rebound by W. Selden,74,63
3,2:01.0,,Offensive foul by W. Lemon (drawn by B. Garrett),74,63
3,2:01.0,,Turnover by W. Lemon (offensive foul),74,63
3,2:01.0,New York full timeout,,74,63
3,2:01.0,J. Jenkins enters the game for D. Dotson,,74,63
3,2:01.0,,R. Alkins enters the game for J. Sampson,74,63
3,1:48.0,K. Knox misses 2-pt layup from 2 ft,,74,63
3,1:46.0,,Defensive rebound by W. Lemon,74,63
3,1:43.0,,Shooting foul by M. Robinson (drawn by B. Sampson),74,63
3,1:43.0,,B. Sampson makes free throw 1 of 2,74,64
3,1:43.0,,B. Sampson misses free throw 2 of 2,74,64
3,1:40.0,Defensive rebound by B. Garrett,,74,64
3,1:28.0,B. Garrett misses 3-pt jump shot from 25 ft,,74,64
3,1:25.0,Offensive rebound by K. Knox,,74,64
3,1:22.0,K. Knox misses 2-pt hook shot at rim,,74,64
3,1:19.0,,Defensive rebound by W. Selden,74,64
3,1:17.0,,Turnover by B. Sampson (step out of bounds),74,64
3,1:05.0,K. Knox misses 2-pt jump shot from 21 ft,,74,64
3,1:01.0,,Defensive rebound by W. Lemon,74,64
3,0:50.0,,R. Alkins makes 2-pt layup from 1 ft (assist by W. Selden),74,66
3,0:37.0,B. Garrett misses 2-pt jump shot from 21 ft,,74,66
3,0:35.0,,Defensive rebound by B. Sampson,74,66
3,0:23.0,,R. Lopez makes 2-pt hook shot from 6 ft (assist by R. Alkins),74,68
3,0:00.0,K. Knox misses 2-pt layup from 4 ft (block by R. Lopez),,74,68
3,0:00.0,,Defensive rebound by R. Alkins,74,68
4,11:39.0,B. Garrett makes 2-pt jump shot from 14 ft (assist by L. Kornet),,76,68
4,11:18.0,,B. Sampson misses 2-pt layup from 2 ft,76,68
4,11:16.0,Defensive rebound by D. Dotson,,76,68
4,10:59.0,B. Garrett misses 2-pt jump shot from 13 ft,,76,68
4,10:57.0,,Defensive rebound by R. Alkins,76,68
4,10:42.0,,B. Sampson misses 2-pt layup from 3 ft,76,68
4,10:37.0,Defensive rebound by J. Jenkins,,76,68
4,10:22.0,D. Dotson misses 3-pt jump shot from 25 ft,,76,68
4,10:18.0,,Defensive rebound by W. Lemon,76,68
4,10:11.0,,B. Sampson makes 3-pt jump shot from 24 ft (assist by W. Lemon),76,71
4,9:56.0,H. Ellenson makes 3-pt jump shot from 26 ft (assist by B. Garrett),,79,71
4,9:43.0,,Turnover by C. Felício (out of bounds lost ball),79,71
4,9:43.0,D. Smith enters the game for B. Garrett,,79,71
4,9:33.0,H. Ellenson makes 2-pt jump shot from 12 ft (assist by D. Smith),,81,71
4,9:33.0,Shooting foul by C. Felício (drawn by H. Ellenson),,81,71
4,9:33.0,H. Ellenson misses free throw 1 of 1,,81,71
4,9:30.0,,Defensive rebound by C. Felício,81,71
4,9:15.0,,B. Sampson misses 2-pt jump shot from 8 ft,81,71
4,9:13.0,Defensive rebound by L. Kornet,,81,71
4,8:59.0,Personal foul by W. Lemon (drawn by H. Ellenson),,81,71
4,8:51.0,Personal foul by B. Sampson (drawn by J. Jenkins),,81,71
4,8:51.0,,R. Arcidiacono enters the game for R. Alkins,81,71
4,8:51.0,,T. Luwawu-Cabarrot enters the game for W. Lemon,81,71
4,8:42.0,H. Ellenson misses 3-pt jump shot from 24 ft,,81,71
4,8:35.0,Offensive rebound by L. Kornet,,81,71
4,8:35.0,L. Kornet misses 2-pt layup at rim,,81,71
4,8:35.0,,Defensive rebound by W. Selden,81,71
4,8:25.0,,W. Selden misses 3-pt jump shot from 25 ft,81,71
4,8:23.0,Defensive rebound by J. Jenkins,,81,71
4,8:12.0,J. Jenkins makes 3-pt jump shot from 25 ft (assist by D. Dotson),,84,71
4,8:10.0,,Chicago full timeout,84,71
4,8:10.0,,J. Sampson enters the game for W. Selden,84,71
4,8:01.0,,Shooting foul by J. Jenkins (drawn by C. Felício),84,71
4,8:01.0,,C. Felício makes free throw 1 of 2,84,72
4,8:01.0,,C. Felício misses free throw 2 of 2,84,72
4,7:57.0,Defensive rebound by H. Ellenson,,84,72
4,7:36.0,D. Dotson misses 3-pt jump shot from 23 ft,,84,72
4,7:33.0,,Defensive rebound by C. Felício,84,72
4,7:15.0,,J. Sampson makes 2-pt jump shot from 9 ft,84,74
4,6:55.0,D. Smith misses 3-pt jump shot from 24 ft,,84,74
4,6:49.0,,Defensive rebound by J. Sampson,84,74
4,6:45.0,,Shooting foul by J. Jenkins (drawn by R. Arcidiacono),84,74
4,6:45.0,,R. Arcidiacono makes free throw 1 of 2,84,75
4,6:45.0,M. Robinson enters the game for H. Ellenson,,84,75
