QUARTER,TIME_REMAINING,NEW YORK_ACTION,CHICAGO_ACTION,NEW YORK_SCORE,CHICAGO_SCORE
4,3:36.0,,J. Sampson misses 2-pt layup from 1 ft,86,79
4,3:33.0,,Offensive rebound by C. Felício,86,79
4,3:33.0,,C. Felício misses 2-pt layup from 1 ft,86,79
4,3:32.0,Defensive rebound by K. Knox,,86,79
4,3:16.0,K. Knox misses 3-pt jump shot from 24 ft,,86,79
4,3:15.0,Offensive rebound by M. Robinson,,86,79
4,3:15.0,New York full timeout,,86,79
4,2:59.0,D. Smith misses 3-pt jump shot from 33 ft,,86,79
4,2:57.0,Offensive rebound by M. Robinson,,86,79
4,2:44.0,D. Dotson makes 3-pt jump shot from 23 ft (assist by D. Smith),,89,79
4,2:42.0,,Chicago full timeout,89,79
4,2:42.0,,W. Lemon enters the game for C. Felício,89,79
4,2:42.0,,R. Lopez enters the game for T. Luwawu-Cabarrot,89,79
4,2:22.0,,S. Harrison makes 2-pt layup from 1 ft,89,81
4,2:01.0,Shooting foul by W. Lemon (drawn by M. Robinson),,89,81
4,2:01.0,M. Robinson makes free throw 1 of 2,,90,81
4,2:01.0,M. Robinson makes free throw 2 of 2,,91,81
4,1:44.0,,W. Lemon misses 2-pt layup from 2 ft (block by M. Robinson),91,81
4,1:42.0,Defensive rebound by M. Robinson,,91,81
4,1:42.0,New York full timeout,,91,81
4,1:25.0,M. Robinson misses 2-pt dunk from 2 ft,,91,81
4,1:23.0,,Defensive rebound by S. Harrison,91,81
4,1:22.0,,S. Harrison makes 2-pt layup from 1 ft,91,83
4,1:04.0,D. Smith misses 2-pt layup from 2 ft (block by R. Lopez),,91,83
4,1:04.0,Offensive rebound by Team,,91,83
4,0:58.0,K. Knox makes 3-pt jump shot from 23 ft (assist by L. Kornet),,94,83
4,0:47.0,,S. Harrison misses 3-pt jump shot from 23 ft,94,83
4,0:44.0,Defensive rebound by L. Kornet,,94,83
4,0:25.0,D. Smith makes 2-pt jump shot from 7 ft,,96,83
4,0:17.0,,W. Lemon misses 2-pt layup from 3 ft (block by L. Kornet),96,83
4,0:17.0,,Offensive rebound by Team,96,83
4,0:11.0,,R. Lopez makes 3-pt jump shot from 26 ft (assist by S. Harrison),96,86
