QUARTER,TIME_REMAINING,TORONTO_ACTION,GOLDEN STATE_ACTION,TORONTO_SCORE,GOLDEN STATE_SCORE
1,11:40.0,K. Lowry makes 2-pt jump shot from 18 ft,,2,0
1,11:25.0,,K. Thompson misses 3-pt jump shot from 26 ft,2,0
1,11:23.0,Defensive rebound by P. Siakam,,2,0
1,11:15.0,Turnover by P. Siakam (lost ball; steal by K. Looney),,2,0
1,11:10.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by K. Thompson),2,3
1,10:46.0,K. Lowry makes 2-pt jump shot from 12 ft,,4,3
1,10:36.0,,Turnover by K. Durant (bad pass; steal by S. Ibaka),4,3
1,10:26.0,D. Green misses 2-pt layup from 4 ft,,4,3
1,10:25.0,,Defensive rebound by D. Green,4,3
1,10:18.0,,K. Durant makes 2-pt jump shot from 13 ft,4,5
1,9:55.0,Turnover by P. Siakam (out of bounds lost ball),,4,5
1,9:38.0,,K. Looney makes 2-pt dunk from 2 ft (assist by K. Durant),4,7
1,9:32.0,Personal foul by D. Green (drawn by K. Lowry),,4,7
1,9:24.0,Turnover by K. Lowry (offensive foul),,4,7
1,9:24.0,Offensive foul by K. Lowry (drawn by K. Thompson),,4,7
1,9:14.0,,Turnover by S. Curry (bad pass; steal by F. VanVleet),4,7
1,9:10.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Lowry),,7,7
1,8:52.0,,K. Looney misses 2-pt jump shot from 13 ft,7,7
1,8:51.0,Defensive rebound by K. Lowry,,7,7
1,8:45.0,K. Lowry misses 2-pt jump shot from 14 ft,,7,7
1,8:44.0,,Defensive rebound by D. Green,7,7
1,8:37.0,,K. Thompson misses 2-pt layup from 3 ft (block by P. Siakam),7,7
1,8:36.0,Defensive rebound by D. Green,,7,7
1,8:25.0,S. Ibaka makes 2-pt jump shot from 19 ft (assist by P. Siakam),,9,7
1,8:15.0,,Offensive foul by D. Green (drawn by K. Lowry),9,7
1,8:15.0,,Turnover by D. Green (offensive foul),9,7
1,8:15.0,,Technical foul by D. Green,9,7
1,8:15.0,K. Lowry makes technical free throw,,10,7
1,8:15.0,,J. Bell enters the game for D. Green,10,7
1,8:15.0,,J. Jerebko enters the game for K. Looney,10,7
1,8:05.0,S. Ibaka misses 2-pt jump shot from 19 ft,,10,7
1,8:04.0,,Defensive rebound by J. Bell,10,7
1,7:55.0,,K. Durant misses 2-pt jump shot from 10 ft,10,7
1,7:54.0,Defensive rebound by S. Ibaka,,10,7
1,7:42.0,S. Ibaka misses 3-pt jump shot from 26 ft,,10,7
1,7:40.0,Offensive rebound by F. VanVleet,,10,7
1,7:36.0,S. Ibaka makes 2-pt layup from 4 ft (assist by D. Green),,12,7
1,7:17.0,,J. Bell makes 2-pt jump shot from 15 ft (assist by K. Durant),12,9
1,7:03.0,Shooting foul by J. Bell (drawn by S. Ibaka),,12,9
1,7:03.0,S. Ibaka makes free throw 1 of 2,,13,9
1,7:03.0,,Golden State full timeout,13,9
1,7:03.0,S. Ibaka makes free throw 2 of 2,,14,9
1,6:48.0,,Turnover by S. Curry (lost ball; steal by K. Lowry),14,9
1,6:44.0,P. Siakam makes 2-pt layup from 3 ft (assist by K. Lowry),,16,9
1,6:28.0,,K. Thompson misses 3-pt jump shot from 26 ft,16,9
1,6:26.0,Defensive rebound by K. Lowry,,16,9
1,6:08.0,F. VanVleet makes 3-pt jump shot from 25 ft (assist by S. Ibaka),,19,9
1,6:00.0,,S. Curry misses 2-pt jump shot from 22 ft,19,9
1,5:58.0,Defensive rebound by S. Ibaka,,19,9
1,5:42.0,K. Lowry makes 2-pt hook shot from 2 ft,,21,9
1,5:42.0,Shooting foul by J. Bell (drawn by K. Lowry),,21,9
1,5:42.0,K. Lowry makes free throw 1 of 1,,22,9
1,5:28.0,,K. Durant makes 2-pt jump shot from 12 ft,22,11
1,5:01.0,S. Ibaka misses 3-pt jump shot from 23 ft,,22,11
1,4:59.0,,Defensive rebound by J. Jerebko,22,11
1,4:49.0,,K. Thompson makes 2-pt layup from 1 ft (assist by J. Jerebko),22,13
1,4:31.0,S. Ibaka misses 2-pt jump shot from 6 ft (block by J. Jerebko),,22,13
1,4:30.0,Offensive rebound by S. Ibaka,,22,13
1,4:25.0,K. Lowry misses 3-pt jump shot from 26 ft,,22,13
1,4:23.0,,Defensive rebound by J. Bell,22,13
1,4:10.0,,S. Curry misses 3-pt jump shot from 23 ft,22,13
1,4:08.0,Defensive rebound by S. Ibaka,,22,13
1,4:01.0,P. Siakam makes 2-pt layup from 2 ft (assist by K. Lowry),,24,13
1,3:45.0,,K. Thompson makes 2-pt jump shot from 12 ft (assist by J. Jerebko),24,15
1,3:45.0,Toronto full timeout,,24,15
1,3:45.0,O. Anunoby enters the game for S. Ibaka,,24,15
1,3:45.0,J. Valančiūnas enters the game for K. Lowry,,24,15
1,3:45.0,D. Wright enters the game for P. Siakam,,24,15
1,3:45.0,,K. Looney enters the game for J. Bell,24,15
1,3:45.0,,A. McKinnie enters the game for K. Thompson,24,15
1,3:33.0,D. Green misses 3-pt jump shot from 22 ft,,24,15
1,3:31.0,,Defensive rebound by A. McKinnie,24,15
1,3:17.0,,S. Curry misses 3-pt jump shot from 23 ft,24,15
1,3:15.0,Defensive rebound by O. Anunoby,,24,15
1,3:04.0,J. Valančiūnas misses 2-pt jump shot from 8 ft,,24,15
1,3:03.0,,Defensive rebound by K. Durant,24,15
1,2:54.0,,J. Jerebko makes 3-pt jump shot from 26 ft (assist by K. Durant),24,18
1,2:26.0,Shooting foul by J. Jerebko (drawn by D. Green),,24,18
1,2:26.0,D. Green makes free throw 1 of 2,,25,18
1,2:26.0,D. Green makes free throw 2 of 2,,26,18
1,2:11.0,,Personal foul by D. Wright (drawn by K. Looney),26,18
1,2:11.0,,S. Livingston enters the game for S. Curry,26,18
1,2:04.0,,A. McKinnie misses 3-pt jump shot from 26 ft,26,18
1,2:02.0,Defensive rebound by J. Valančiūnas,,26,18
1,1:58.0,O. Anunoby makes 2-pt layup from 1 ft (assist by D. Green),,28,18
1,1:58.0,,Violation by Team (def goaltending),28,18
1,1:43.0,,K. Durant misses 2-pt jump shot from 11 ft,28,18
1,1:42.0,Defensive rebound by F. VanVleet,,28,18
1,1:36.0,D. Wright misses 3-pt jump shot from 26 ft,,28,18
1,1:34.0,,Defensive rebound by K. Durant,28,18
1,1:30.0,,Shooting foul by O. Anunoby (drawn by K. Durant),28,18
1,1:30.0,,K. Durant makes free throw 1 of 2,28,19
1,1:30.0,K. Lowry enters the game for D. Green,,28,19
1,1:30.0,P. Siakam enters the game for F. VanVleet,,28,19
1,1:30.0,,K. Durant makes free throw 2 of 2,28,20
1,1:12.0,Shooting foul by K. Looney (drawn by O. Anunoby),,28,20
1,1:12.0,O. Anunoby misses free throw 1 of 2,,28,20
1,1:12.0,Offensive rebound by Team,,28,20
1,1:12.0,O. Anunoby misses free throw 2 of 2,,28,20
