QUARTER,TIME_REMAINING,PORTLAND_ACTION,GOLDEN STATE_ACTION,PORTLAND_SCORE,GOLDEN STATE_SCORE
1,11:41.0,J. Nurkić misses 2-pt layup from 2 ft (block by K. Durant),,0,0
1,11:41.0,Offensive rebound by Team,,0,0
1,11:38.0,J. Nurkić misses 2-pt hook shot from 5 ft,,0,0
1,11:37.0,,Defensive rebound by K. Thompson,0,0
1,11:25.0,,Q. Cook misses 2-pt jump shot from 18 ft,0,0
1,11:24.0,Defensive rebound by A. Aminu,,0,0
1,11:12.0,Shooting foul by K. Durant (drawn by J. Nurkić),,0,0
1,11:12.0,J. Nurkić misses free throw 1 of 2,,0,0
1,11:12.0,Offensive rebound by Team,,0,0
1,11:12.0,J. Nurkić makes free throw 2 of 2,,1,0
1,11:03.0,,K. Durant misses 2-pt jump shot from 16 ft,1,0
1,11:02.0,Defensive rebound by Team,,1,0
1,11:02.0,,Loose ball foul by D. Jones (drawn by J. Nurkić),1,0
1,10:46.0,A. Aminu makes 2-pt layup from 3 ft (assist by D. Lillard),,3,0
1,10:36.0,,K. Durant makes 2-pt jump shot from 19 ft,3,2
1,10:19.0,C. McCollum makes 3-pt jump shot from 28 ft,,6,2
1,10:06.0,,K. Durant makes 2-pt jump shot from 16 ft (assist by D. Jones),6,4
1,9:55.0,Personal foul by Q. Cook (drawn by C. McCollum),,6,4
1,9:47.0,J. Layman misses 3-pt jump shot from 23 ft,,6,4
1,9:45.0,,Defensive rebound by K. Durant,6,4
1,9:39.0,,K. Durant misses 3-pt jump shot from 27 ft,6,4
1,9:37.0,Defensive rebound by J. Nurkić,,6,4
1,9:29.0,D. Lillard misses 2-pt jump shot from 21 ft,,6,4
1,9:28.0,Offensive rebound by J. Nurkić,,6,4
1,9:21.0,C. McCollum misses 3-pt jump shot from 27 ft,,6,4
1,9:19.0,,Defensive rebound by D. Jones,6,4
1,9:11.0,,K. Thompson makes 2-pt jump shot from 12 ft,6,6
1,8:49.0,J. Nurkić misses 2-pt jump shot from 8 ft,,6,6
1,8:48.0,,Defensive rebound by Q. Cook,6,6
1,8:37.0,,K. Thompson misses 2-pt jump shot from 17 ft,6,6
1,8:36.0,Defensive rebound by J. Layman,,6,6
1,8:27.0,D. Lillard makes 3-pt jump shot from 29 ft,,9,6
1,8:26.0,,Golden State full timeout,9,6
1,8:26.0,,K. Looney enters the game for D. Jones,9,6
1,8:12.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by K. Looney),9,8
1,7:54.0,J. Nurkić makes 2-pt layup from 3 ft (assist by D. Lillard),,11,8
1,7:54.0,Shooting foul by K. Durant (drawn by J. Nurkić),,11,8
1,7:54.0,J. Nurkić misses free throw 1 of 1,,11,8
1,7:52.0,,Defensive rebound by A. Iguodala,11,8
1,7:42.0,,Turnover by K. Thompson (bad pass),11,8
1,7:24.0,D. Lillard misses 2-pt layup from 3 ft,,11,8
1,7:23.0,,Defensive rebound by K. Thompson,11,8
1,7:12.0,,K. Thompson makes 2-pt jump shot from 17 ft,11,10
1,7:04.0,C. McCollum makes 2-pt jump shot from 13 ft,,13,10
1,6:52.0,,Offensive foul by K. Thompson (drawn by C. McCollum),13,10
1,6:52.0,,Turnover by K. Thompson (offensive foul),13,10
1,6:41.0,Turnover by D. Lillard (bad pass; steal by K. Thompson),,13,10
1,6:35.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by A. Iguodala),13,13
1,6:35.0,,Shooting foul by J. Nurkić (drawn by K. Thompson),13,13
1,6:35.0,,K. Thompson makes free throw 1 of 1,13,14
1,6:16.0,C. McCollum makes 2-pt jump shot from 10 ft,,15,14
1,6:07.0,,Offensive foul by K. Looney (drawn by A. Aminu),15,14
1,6:07.0,,Turnover by K. Looney (offensive foul),15,14
1,5:51.0,C. McCollum misses 3-pt jump shot from 25 ft,,15,14
1,5:49.0,,Defensive rebound by K. Durant,15,14
1,5:41.0,,K. Durant misses 2-pt jump shot from 12 ft,15,14
1,5:40.0,Defensive rebound by J. Nurkić,,15,14
