QUARTER,TIME_REMAINING,ATLANTA_ACTION,WASHINGTON_ACTION,ATLANTA_SCORE,WASHINGTON_SCORE
1,11:50.0,,B. Beal misses 2-pt jump shot from 20 ft,0,0
1,11:45.0,Defensive rebound by J. Collins,,0,0
1,11:32.0,D. Hamilton misses 3-pt jump shot from 26 ft,,0,0
1,11:30.0,,Defensive rebound by T. Bryant,0,0
1,11:24.0,,T. Satoranský makes 2-pt layup from 1 ft,0,2
1,11:04.0,K. Huerter makes 2-pt jump shot from 3 ft,,2,2
1,10:50.0,,T. Ariza makes 2-pt layup from 3 ft (assist by J. Green),2,4
1,10:50.0,,Shooting foul by J. Collins (drawn by T. Ariza),2,4
1,10:50.0,,T. Ariza misses free throw 1 of 1,2,4
1,10:48.0,Defensive rebound by D. Hamilton,,2,4
1,10:28.0,D. Dedmon makes 2-pt dunk from 2 ft (assist by K. Huerter),,4,4
1,10:14.0,,Shooting foul by K. Huerter (drawn by T. Bryant),4,4
1,10:14.0,,T. Bryant makes free throw 1 of 2,4,5
1,10:14.0,,T. Bryant makes free throw 2 of 2,4,6
1,9:56.0,Turnover by K. Huerter (bad pass; steal by T. Ariza),,4,6
1,9:51.0,,T. Ariza misses 2-pt layup from 5 ft,4,6
1,9:46.0,,Offensive rebound by T. Satoranský,4,6
1,9:45.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by T. Satoranský),4,9
1,9:39.0,T. Young makes 3-pt jump shot from 26 ft,,7,9
1,9:21.0,,T. Ariza makes 2-pt dunk from 1 ft (assist by J. Green),7,11
1,9:07.0,Personal foul by B. Beal (drawn by D. Hamilton),,7,11
1,8:58.0,J. Collins makes 3-pt jump shot from 24 ft (assist by T. Young),,10,11
1,8:41.0,,J. Green makes 3-pt jump shot from 24 ft (assist by B. Beal),10,14
1,8:17.0,D. Hamilton makes 2-pt layup from 2 ft,,12,14
1,8:03.0,,Shooting foul by D. Dedmon (drawn by T. Bryant),12,14
1,8:03.0,,T. Bryant makes free throw 1 of 2,12,15
1,8:03.0,,T. Bryant makes free throw 2 of 2,12,16
1,7:46.0,Personal foul by T. Satoranský (drawn by D. Dedmon),,12,16
1,7:38.0,J. Collins makes 2-pt dunk from 2 ft (assist by T. Young),,14,16
1,7:18.0,,Personal foul by D. Dedmon (drawn by T. Bryant),14,16
1,7:18.0,A. Len enters the game for D. Dedmon,,14,16
1,7:09.0,,J. Green misses 3-pt jump shot from 26 ft,14,16
1,7:06.0,Defensive rebound by A. Len,,14,16
1,6:56.0,J. Collins makes 3-pt jump shot from 25 ft (assist by D. Hamilton),,17,16
1,6:41.0,,B. Beal makes 2-pt jump shot from 4 ft,17,18
1,6:24.0,A. Len misses 2-pt layup from 2 ft,,17,18
1,6:23.0,Offensive rebound by Team,,17,18
1,6:23.0,,Washington full timeout,17,18
1,6:23.0,D. Bembry enters the game for D. Hamilton,,17,18
1,6:18.0,T. Young misses 2-pt jump shot from 22 ft,,17,18
1,6:15.0,,Defensive rebound by T. Bryant,17,18
1,5:54.0,,B. Beal misses 2-pt layup from 2 ft,17,18
1,5:53.0,,Offensive rebound by T. Bryant,17,18
1,5:52.0,,T. Bryant makes 2-pt layup from 2 ft,17,20
1,5:41.0,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),,19,20
1,5:18.0,,T. Bryant makes 2-pt dunk from 1 ft (assist by T. Satoranský),19,22
1,4:55.0,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),,21,22
1,4:35.0,,T. Ariza misses 2-pt layup from 2 ft,21,22
1,4:33.0,Defensive rebound by J. Collins,,21,22
1,4:29.0,T. Young misses 3-pt jump shot from 27 ft,,21,22
1,4:25.0,,Defensive rebound by T. Satoranský,21,22
1,4:25.0,J. Anderson enters the game for J. Collins,,21,22
1,4:25.0,V. Carter enters the game for K. Huerter,,21,22
1,4:25.0,,O. Porter enters the game for J. Green,21,22
1,4:15.0,,Shooting foul by A. Len (drawn by T. Satoranský),21,22
1,4:15.0,,T. Satoranský misses free throw 1 of 2,21,22
1,4:15.0,,Offensive rebound by Team,21,22
1,4:15.0,J. Lin enters the game for T. Young,,21,22
1,4:15.0,,T. Satoranský makes free throw 2 of 2,21,23
1,4:00.0,A. Len makes 2-pt layup from 3 ft (assist by V. Carter),,23,23
1,3:46.0,,T. Satoranský makes 3-pt jump shot from 25 ft (assist by B. Beal),23,26
1,3:25.0,V. Carter misses 3-pt jump shot from 27 ft,,23,26
1,3:23.0,Offensive rebound by D. Bembry,,23,26
1,3:15.0,J. Lin misses 3-pt jump shot from 26 ft,,23,26
1,3:15.0,,Defensive rebound by T. Ariza,23,26
1,3:15.0,,Personal foul by J. Anderson (drawn by T. Ariza),23,26
1,3:15.0,,T. Ariza misses free throw 1 of 2,23,26
1,3:15.0,,Offensive rebound by Team,23,26
1,3:15.0,,C. Randle enters the game for T. Satoranský,23,26
1,3:15.0,,Violation by T. Bryant (double lane),23,26
1,3:15.0,Violation by A. Len (double lane),,23,26
1,3:15.0,,S. Dekker enters the game for T. Ariza,23,26
1,3:02.0,,Shooting foul by D. Bembry (drawn by B. Beal),23,26
1,3:02.0,,B. Beal makes free throw 1 of 2,23,27
1,3:02.0,,B. Beal makes free throw 2 of 2,23,28
1,2:52.0,Shooting foul by S. Dekker (drawn by A. Len),,23,28
1,2:52.0,Atlanta full timeout,,23,28
1,2:52.0,K. Huerter enters the game for D. Bembry,,23,28
1,2:52.0,A. Len makes free throw 1 of 2,,24,28
1,2:52.0,A. Len misses free throw 2 of 2,,24,28
1,2:48.0,,Defensive rebound by T. Bryant,24,28
1,2:36.0,,T. Bryant makes 2-pt layup from 3 ft (assist by B. Beal),24,30
1,2:25.0,K. Huerter misses 3-pt jump shot from 28 ft,,24,30
1,2:23.0,Offensive rebound by A. Len,,24,30
1,2:10.0,A. Len misses 2-pt jump shot from 3 ft,,24,30
1,2:08.0,,Defensive rebound by T. Bryant,24,30
1,1:58.0,,Turnover by O. Porter (lost ball; steal by J. Lin),24,30
1,1:53.0,A. Len makes 2-pt dunk from 3 ft (assist by J. Lin),,26,30
1,1:39.0,,O. Porter misses 3-pt jump shot from 26 ft,26,30
1,1:37.0,Defensive rebound by A. Len,,26,30
1,1:33.0,J. Lin misses 3-pt jump shot from 26 ft,,26,30
1,1:31.0,,Defensive rebound by O. Porter,26,30
1,1:28.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by O. Porter),26,33
1,1:14.0,J. Anderson misses 3-pt jump shot from 26 ft,,26,33
1,1:10.0,,Defensive rebound by B. Beal,26,33
1,1:03.0,,C. Randle misses 3-pt jump shot from 26 ft,26,33
1,0:59.0,Defensive rebound by V. Carter,,26,33
1,0:58.0,Turnover by J. Anderson (lost ball; steal by B. Beal),,26,33
1,0:54.0,,B. Beal misses 3-pt jump shot from 26 ft,26,33
1,0:51.0,Defensive rebound by A. Len,,26,33
1,0:34.0,A. Len misses 2-pt jump shot from 14 ft,,26,33
1,0:31.0,,Defensive rebound by C. Randle,26,33
1,0:23.0,,O. Porter misses 2-pt layup from 2 ft,26,33
1,0:23.0,,Offensive rebound by S. Dekker,26,33
1,0:23.0,,S. Dekker makes 2-pt layup at rim,26,35
