QUARTER,TIME_REMAINING,HOUSTON_ACTION,BOSTON_ACTION,HOUSTON_SCORE,BOSTON_SCORE
1,11:44.0,,K. Irving makes 2-pt jump shot from 18 ft,0,2
1,11:30.0,,Violation by Team (kicked ball),0,2
1,11:21.0,C. Paul misses 2-pt jump shot from 12 ft,,0,2
1,11:19.0,,Defensive rebound by M. Morris,0,2
1,11:08.0,,Turnover by A. Horford (bad pass; steal by C. Capela),0,2
1,10:58.0,J. Harden makes 2-pt layup from 3 ft,,2,2
1,10:46.0,,A. Horford makes 2-pt jump shot from 15 ft (assist by K. Irving),2,4
1,10:38.0,Personal foul by K. Irving (drawn by C. Paul),,2,4
1,10:27.0,E. Gordon makes 3-pt jump shot from 23 ft (assist by C. Paul),,5,4
1,10:10.0,,J. Tatum makes 2-pt jump shot from 8 ft,5,6
1,9:49.0,C. Paul misses 3-pt jump shot from 26 ft,,5,6
1,9:47.0,,Defensive rebound by K. Irving,5,6
1,9:33.0,,Turnover by M. Morris (lost ball; steal by J. Harden),5,6
1,9:29.0,J. Harden makes 2-pt layup from 2 ft,,7,6
1,9:11.0,,Turnover by K. Irving (lost ball; steal by C. Paul),7,6
1,9:07.0,E. Gordon makes 2-pt layup from 1 ft (assist by C. Paul),,9,6
1,8:50.0,,M. Smart misses 3-pt jump shot from 25 ft,9,6
1,8:48.0,Defensive rebound by C. Capela,,9,6
1,8:37.0,E. Gordon misses 3-pt jump shot from 23 ft,,9,6
1,8:35.0,,Defensive rebound by M. Morris,9,6
1,8:26.0,,Turnover by M. Smart (bad pass),9,6
1,8:22.0,Shooting foul by J. Tatum (drawn by E. Gordon),,9,6
1,8:22.0,E. Gordon makes free throw 1 of 2,,10,6
1,8:22.0,E. Gordon misses free throw 2 of 2,,10,6
1,8:22.0,,Defensive rebound by J. Tatum,10,6
1,8:08.0,,J. Tatum misses 3-pt jump shot from 23 ft,10,6
1,8:06.0,Defensive rebound by C. Capela,,10,6
1,7:54.0,C. Capela makes 2-pt dunk from 1 ft (assist by E. Gordon),,12,6
1,7:54.0,,Boston full timeout,12,6
1,7:43.0,,Turnover by M. Morris (lost ball; steal by C. Paul),12,6
1,7:39.0,J. Harden makes 3-pt jump shot from 26 ft (assist by C. Paul),,15,6
1,7:15.0,,A. Horford makes 2-pt hook shot from 12 ft (assist by M. Smart),15,8
1,6:59.0,C. Capela makes 2-pt dunk from 2 ft (assist by J. Harden),,17,8
1,6:46.0,,A. Horford makes 2-pt jump shot from 16 ft (assist by J. Tatum),17,10
1,6:22.0,J. Harden misses 2-pt jump shot from 4 ft,,17,10
1,6:21.0,,Defensive rebound by M. Morris,17,10
1,6:19.0,,J. Tatum makes 2-pt dunk from 1 ft (assist by K. Irving),17,12
1,6:02.0,E. Gordon makes 3-pt jump shot from 28 ft (assist by C. Paul),,20,12
1,5:41.0,,J. Tatum misses 2-pt jump shot from 14 ft,20,12
1,5:40.0,Defensive rebound by C. Paul,,20,12
1,5:33.0,C. Paul misses 3-pt jump shot from 27 ft,,20,12
1,5:30.0,,Defensive rebound by M. Smart,20,12
1,5:20.0,,K. Irving makes 2-pt jump shot from 10 ft,20,14
1,5:10.0,E. Gordon makes 2-pt layup from 2 ft,,22,14
1,5:03.0,,Personal foul by C. Paul (drawn by K. Irving),22,14
