QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,SACRAMENTO_ACTION,SAN ANTONIO_SCORE,SACRAMENTO_SCORE
1,11:39.0,,Turnover by B. Hield (bad pass; steal by D. White),0,0
1,11:23.0,B. Forbes misses 2-pt jump shot from 13 ft,,0,0
1,11:20.0,,Defensive rebound by W. Cauley-Stein,0,0
1,11:13.0,,Turnover by D. Fox (back court),0,0
1,10:56.0,D. White makes 2-pt jump shot from 7 ft (assist by B. Forbes),,2,0
1,10:42.0,,B. Hield misses 2-pt jump shot from 17 ft,2,0
1,10:40.0,Defensive rebound by L. Aldridge,,2,0
1,10:25.0,L. Aldridge misses 2-pt jump shot from 14 ft,,2,0
1,10:22.0,,Defensive rebound by I. Shumpert,2,0
1,10:14.0,,D. Fox makes 2-pt jump shot from 12 ft,2,2
1,9:53.0,D. White misses 3-pt jump shot from 25 ft,,2,2
1,9:50.0,Offensive rebound by D. Cunningham,,2,2
1,9:41.0,L. Aldridge misses 2-pt jump shot from 5 ft,,2,2
1,9:39.0,,Defensive rebound by N. Bjelica,2,2
1,9:33.0,,W. Cauley-Stein misses 2-pt layup from 3 ft (block by L. Aldridge),2,2
1,9:32.0,,Offensive rebound by B. Hield,2,2
1,9:28.0,,B. Hield makes 2-pt jump shot from 10 ft,2,4
1,9:08.0,Turnover by L. Aldridge (lost ball; steal by B. Hield),,2,4
1,9:03.0,,D. Fox makes 3-pt jump shot from 25 ft (assist by B. Hield),2,7
1,8:41.0,D. DeRozan misses 2-pt jump shot from 19 ft,,2,7
1,8:41.0,Offensive rebound by Team,,2,7
1,8:41.0,,Loose ball foul by I. Shumpert (drawn by L. Aldridge),2,7
1,8:28.0,D. White makes 2-pt layup from 2 ft (assist by D. DeRozan),,4,7
1,8:15.0,,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by B. Hield),4,9
1,7:52.0,B. Forbes misses 2-pt jump shot from 18 ft,,4,9
1,7:48.0,,Defensive rebound by W. Cauley-Stein,4,9
1,7:44.0,,D. Fox misses 3-pt jump shot from 26 ft,4,9
1,7:41.0,Defensive rebound by L. Aldridge,,4,9
1,7:30.0,D. White misses 2-pt jump shot from 15 ft,,4,9
1,7:24.0,,Defensive rebound by N. Bjelica,4,9
1,7:19.0,,I. Shumpert misses 2-pt jump shot from 6 ft,4,9
1,7:17.0,Defensive rebound by L. Aldridge,,4,9
1,7:09.0,L. Aldridge makes 2-pt jump shot from 8 ft (assist by D. White),,6,9
1,6:50.0,,B. Hield makes 2-pt jump shot from 18 ft (assist by W. Cauley-Stein),6,11
1,6:31.0,L. Aldridge makes 2-pt jump shot from 13 ft,,8,11
1,6:22.0,,Turnover by D. Fox (traveling),8,11
1,6:22.0,,Sacramento full timeout,8,11
1,6:04.0,Def 3 sec tech foul by Team,,8,11
1,6:04.0,D. DeRozan makes technical free throw,,9,11
1,5:53.0,Turnover by D. Cunningham (bad pass; steal by I. Shumpert),,9,11
1,5:49.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by I. Shumpert),9,13
1,5:34.0,D. DeRozan makes 2-pt jump shot from 18 ft (assist by D. White),,11,13
1,5:11.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by W. Cauley-Stein),11,16
1,4:59.0,D. White misses 2-pt jump shot from 8 ft (block by D. Fox),,11,16
1,4:56.0,,Defensive rebound by D. Fox,11,16
1,4:52.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),11,19
1,4:39.0,Turnover by D. White (bad pass; steal by B. Hield),,11,19
1,4:36.0,,B. Hield misses 2-pt layup from 2 ft,11,19
1,4:33.0,Defensive rebound by L. Aldridge,,11,19
1,4:29.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. White),,14,19
1,4:22.0,,I. Shumpert misses 3-pt jump shot from 25 ft,14,19
1,4:19.0,Defensive rebound by L. Aldridge,,14,19
1,4:10.0,D. DeRozan makes 2-pt jump shot from 8 ft,,16,19
1,3:55.0,,W. Cauley-Stein makes 2-pt layup from 3 ft (assist by D. Fox),16,21
1,3:55.0,San Antonio full timeout,,16,21
1,3:55.0,M. Belinelli enters the game for L. Aldridge,,16,21
1,3:55.0,R. Gay enters the game for D. Cunningham,,16,21
1,3:55.0,P. Mills enters the game for B. Forbes,,16,21
1,3:55.0,J. Poeltl enters the game for D. White,,16,21
1,3:55.0,,M. Bagley enters the game for N. Bjelica,16,21
1,3:55.0,,B. Bogdanović enters the game for I. Shumpert,16,21
1,3:44.0,Personal foul by B. Bogdanović (drawn by D. DeRozan),,16,21
1,3:34.0,D. DeRozan misses 2-pt jump shot from 7 ft,,16,21
1,3:31.0,,Defensive rebound by W. Cauley-Stein,16,21
1,3:14.0,,W. Cauley-Stein misses 2-pt layup from 2 ft,16,21
1,3:12.0,Defensive rebound by J. Poeltl,,16,21
1,3:03.0,R. Gay makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,19,21
1,2:51.0,,Offensive foul by M. Bagley (drawn by R. Gay),19,21
1,2:51.0,,Turnover by M. Bagley (offensive foul),19,21
1,2:51.0,,J. Jackson enters the game for D. Fox,19,21
1,2:51.0,,F. Mason enters the game for B. Hield,19,21
1,2:31.0,P. Mills misses 2-pt jump shot from 16 ft,,19,21
1,2:28.0,,Defensive rebound by M. Bagley,19,21
1,2:15.0,,W. Cauley-Stein makes 2-pt layup from 2 ft,19,23
1,2:07.0,Personal foul by B. Bogdanović (drawn by D. DeRozan),,19,23
1,2:07.0,B. Forbes enters the game for D. DeRozan,,19,23
