QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MIAMI_ACTION,MILWAUKEE_SCORE,MIAMI_SCORE
1,11:42.0,B. Lopez makes 2-pt layup from 1 ft,,2,0
1,11:24.0,,R. McGruder misses 2-pt jump shot from 8 ft (block by B. Lopez),2,0
1,11:22.0,Defensive rebound by G. Antetokounmpo,,2,0
1,11:16.0,K. Middleton misses 3-pt jump shot from 22 ft,,2,0
1,11:13.0,,Defensive rebound by J. Richardson,2,0
1,11:05.0,,Personal foul by E. Bledsoe (drawn by J. Richardson),2,0
1,10:51.0,,Turnover by R. McGruder (bad pass; steal by B. Lopez),2,0
1,10:45.0,B. Lopez misses 3-pt jump shot from 29 ft,,2,0
1,10:43.0,,Defensive rebound by H. Whiteside,2,0
1,10:34.0,,J. Winslow misses 3-pt jump shot from 25 ft,2,0
1,10:30.0,Defensive rebound by G. Antetokounmpo,,2,0
1,10:22.0,G. Antetokounmpo misses 3-pt jump shot from 29 ft,,2,0
1,10:18.0,,Defensive rebound by H. Whiteside,2,0
1,10:06.0,,J. Winslow misses 3-pt jump shot from 23 ft,2,0
1,10:04.0,Defensive rebound by G. Antetokounmpo,,2,0
1,9:58.0,T. Snell misses 3-pt jump shot from 25 ft,,2,0
1,9:56.0,,Defensive rebound by Team,2,0
1,9:40.0,,J. Johnson misses 3-pt jump shot from 26 ft,2,0
1,9:37.0,Defensive rebound by K. Middleton,,2,0
1,9:31.0,B. Lopez misses 3-pt jump shot from 26 ft,,2,0
1,9:27.0,,Defensive rebound by J. Winslow,2,0
1,9:20.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Johnson),2,2
1,8:54.0,E. Bledsoe misses 2-pt jump shot from 10 ft,,2,2
1,8:50.0,,Defensive rebound by H. Whiteside,2,2
1,8:40.0,,J. Richardson misses 2-pt jump shot from 2 ft (block by B. Lopez),2,2
1,8:36.0,Defensive rebound by K. Middleton,,2,2
1,8:35.0,Turnover by K. Middleton (lost ball; steal by J. Johnson),,2,2
1,8:21.0,,J. Johnson makes 2-pt layup from 2 ft (assist by R. McGruder),2,4
1,8:08.0,K. Middleton makes 2-pt jump shot from 17 ft (assist by G. Antetokounmpo),,4,4
1,7:46.0,,Turnover by H. Whiteside (3 sec),4,4
1,7:46.0,D. Wilson enters the game for B. Lopez,,4,4
1,7:36.0,K. Middleton misses 3-pt jump shot from 26 ft,,4,4
1,7:34.0,,Defensive rebound by H. Whiteside,4,4
1,7:28.0,,H. Whiteside makes 2-pt jump shot from 7 ft,4,6
1,7:13.0,D. Wilson misses 3-pt jump shot from 24 ft,,4,6
1,7:11.0,,Defensive rebound by J. Winslow,4,6
1,7:06.0,,J. Richardson makes 3-pt jump shot from 26 ft (assist by J. Winslow),4,9
1,6:53.0,Turnover by G. Antetokounmpo (bad pass; steal by J. Winslow),,4,9
1,6:52.0,,Turnover by J. Richardson (bad pass),4,9
1,6:52.0,,Miami full timeout,4,9
1,6:37.0,T. Snell misses 3-pt jump shot from 25 ft,,4,9
1,6:34.0,,Defensive rebound by J. Johnson,4,9
1,6:30.0,,J. Richardson misses 3-pt jump shot from 27 ft,4,9
1,6:26.0,Defensive rebound by D. Wilson,,4,9
1,6:17.0,T. Snell misses 3-pt jump shot from 24 ft,,4,9
1,6:14.0,,Defensive rebound by J. Richardson,4,9
1,5:59.0,,H. Whiteside misses 2-pt jump shot from 3 ft,4,9
1,5:57.0,Defensive rebound by G. Antetokounmpo,,4,9
1,5:53.0,G. Antetokounmpo misses 2-pt layup from 3 ft,,4,9
1,5:50.0,,Defensive rebound by J. Richardson,4,9
1,5:40.0,,H. Whiteside misses 2-pt jump shot from 16 ft,4,9
1,5:38.0,Defensive rebound by G. Antetokounmpo,,4,9
1,5:16.0,Turnover by G. Antetokounmpo (bad pass),,4,9
1,5:16.0,S. Brown enters the game for G. Antetokounmpo,,4,9
1,5:16.0,B. Lopez enters the game for T. Snell,,4,9
1,5:16.0,,D. Wade enters the game for R. McGruder,4,9
1,4:57.0,,Turnover by J. Winslow (bad pass; steal by K. Middleton),4,9
1,4:53.0,K. Middleton misses 2-pt layup from 1 ft,,4,9
1,4:50.0,,Defensive rebound by J. Johnson,4,9
1,4:40.0,,J. Johnson makes 2-pt layup from 2 ft,4,11
1,4:26.0,K. Middleton makes 2-pt jump shot from 20 ft,,6,11
1,4:04.0,,H. Whiteside misses 2-pt jump shot from 7 ft,6,11
1,4:02.0,Defensive rebound by D. Wilson,,6,11
1,3:56.0,Turnover by K. Middleton (lost ball; steal by J. Johnson),,6,11
1,3:36.0,,J. Richardson makes 2-pt jump shot from 12 ft,6,13
1,3:36.0,Milwaukee full timeout,,6,13
1,3:36.0,P. Connaughton enters the game for E. Bledsoe,,6,13
1,3:36.0,G. Hill enters the game for K. Middleton,,6,13
1,3:36.0,,B. Adebayo enters the game for J. Johnson,6,13
1,3:36.0,,T. Johnson enters the game for H. Whiteside,6,13
1,3:36.0,,K. Olynyk enters the game for J. Winslow,6,13
1,3:21.0,B. Lopez misses 2-pt jump shot from 12 ft,,6,13
1,3:18.0,,Defensive rebound by D. Wade,6,13
1,3:10.0,,T. Johnson misses 2-pt jump shot from 7 ft (block by S. Brown),6,13
1,3:08.0,Defensive rebound by D. Wilson,,6,13
1,3:03.0,S. Brown misses 3-pt jump shot from 25 ft,,6,13
1,3:03.0,,Defensive rebound by D. Wade,6,13
1,2:46.0,,K. Olynyk misses 3-pt jump shot from 23 ft,6,13
1,2:44.0,Defensive rebound by S. Brown,,6,13
1,2:35.0,Turnover by S. Brown (bad pass),,6,13
1,2:19.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by J. Richardson),6,16
1,2:00.0,G. Hill misses 3-pt jump shot from 25 ft,,6,16
1,1:55.0,Offensive rebound by D. Wilson,,6,16
1,1:55.0,D. Wilson misses 2-pt layup at rim,,6,16
1,1:55.0,,Defensive rebound by K. Olynyk,6,16
1,1:47.0,,T. Johnson makes 3-pt jump shot from 24 ft (assist by J. Richardson),6,19
1,1:29.0,S. Brown makes 2-pt layup from 1 ft (assist by G. Hill),,8,19
1,1:13.0,,B. Adebayo makes 2-pt layup from 1 ft (assist by T. Johnson),8,21
1,0:50.0,D. Wilson misses 3-pt jump shot from 26 ft,,8,21
1,0:48.0,,Defensive rebound by T. Johnson,8,21
1,0:40.0,,D. Wade misses 2-pt jump shot from 20 ft,8,21
1,0:37.0,Defensive rebound by S. Brown,,8,21
1,0:33.0,Turnover by S. Brown (bad pass; steal by K. Olynyk),,8,21
1,0:13.0,,K. Olynyk misses 3-pt jump shot from 26 ft,8,21
1,0:10.0,,Offensive rebound by B. Adebayo,8,21
1,0:00.0,,K. Olynyk misses 2-pt layup from 2 ft (block by P. Connaughton),8,21
1,0:00.0,Defensive rebound by P. Connaughton,,8,21
2,11:43.0,,D. Jones misses 3-pt jump shot from 24 ft,8,21
2,11:37.0,Defensive rebound by Team,,8,21
2,11:37.0,,Loose ball foul by B. Adebayo (drawn by T. Maker),8,21
2,11:31.0,Shooting foul by K. Olynyk (drawn by T. Maker),,8,21
2,11:31.0,T. Maker misses free throw 1 of 2,,8,21
2,11:31.0,Offensive rebound by Team,,8,21
2,11:31.0,T. Maker makes free throw 2 of 2,,9,21
2,11:24.0,,T. Johnson misses 2-pt jump shot from 5 ft,9,21
2,11:22.0,Defensive rebound by T. Maker,,9,21
2,11:08.0,Turnover by G. Antetokounmpo (bad pass; steal by B. Adebayo),,9,21
2,11:05.0,,D. Jones makes 2-pt layup from 1 ft (assist by B. Adebayo),9,23
2,11:05.0,,Shooting foul by T. Maker (drawn by D. Jones),9,23
2,11:05.0,,D. Jones misses free throw 1 of 1,9,23
2,11:04.0,Defensive rebound by T. Snell,,9,23
2,10:52.0,G. Antetokounmpo misses 2-pt jump shot from 3 ft (block by D. Jones),,9,23
2,10:50.0,,Defensive rebound by D. Wade,9,23
2,10:46.0,,T. Johnson misses 3-pt jump shot from 23 ft,9,23
2,10:42.0,,Offensive rebound by D. Jones,9,23
2,10:35.0,,K. Olynyk makes 3-pt jump shot from 22 ft (assist by T. Johnson),9,26
2,10:07.0,G. Hill makes 2-pt jump shot from 20 ft (assist by P. Connaughton),,11,26
2,9:54.0,,Personal foul by G. Antetokounmpo (drawn by K. Olynyk),11,26
2,9:54.0,E. Bledsoe enters the game for G. Hill,,11,26
2,9:44.0,,Shooting foul by T. Maker (drawn by D. Jones),11,26
2,9:44.0,,D. Jones misses free throw 1 of 2,11,26
2,9:44.0,,Offensive rebound by Team,11,26
2,9:44.0,,D. Jones makes free throw 2 of 2,11,27
