QUARTER,TIME_REMAINING,ORLANDO_ACTION,ATLANTA_ACTION,ORLANDO_SCORE,ATLANTA_SCORE
1,11:44.0,,T. Prince makes 2-pt layup from 3 ft (assist by D. Bembry),0,2
1,11:24.0,N. Vučević makes 2-pt layup from 2 ft (assist by D. Augustin),,2,2
1,11:24.0,Shooting foul by D. Dedmon (drawn by N. Vučević),,2,2
1,11:24.0,N. Vučević makes free throw 1 of 1,,3,2
1,11:12.0,,T. Young misses 3-pt jump shot from 25 ft,3,2
1,11:09.0,Defensive rebound by N. Vučević,,3,2
1,10:54.0,N. Vučević makes 2-pt jump shot from 21 ft,,5,2
1,10:38.0,,T. Prince misses 2-pt jump shot from 13 ft,5,2
1,10:35.0,Defensive rebound by J. Isaac,,5,2
1,10:28.0,Offensive foul by D. Augustin (drawn by T. Young),,5,2
1,10:28.0,Turnover by D. Augustin (offensive foul),,5,2
1,10:20.0,,J. Collins makes 2-pt dunk from 1 ft (assist by D. Bembry),5,4
1,10:01.0,E. Fournier misses 2-pt layup from 2 ft,,5,4
1,9:59.0,,Defensive rebound by T. Prince,5,4
1,9:51.0,,D. Dedmon makes 3-pt jump shot from 26 ft (assist by J. Collins),5,7
1,9:38.0,Personal foul by T. Prince (drawn by E. Fournier),,5,7
1,9:24.0,J. Simmons misses 2-pt jump shot from 12 ft,,5,7
1,9:22.0,Offensive rebound by J. Simmons,,5,7
1,9:19.0,N. Vučević misses 2-pt hook shot from 11 ft,,5,7
1,9:17.0,,Defensive rebound by D. Dedmon,5,7
1,9:12.0,,D. Dedmon makes 3-pt jump shot from 25 ft (assist by T. Young),5,10
1,8:50.0,N. Vučević misses 2-pt hook shot from 13 ft,,5,10
1,8:48.0,,Defensive rebound by J. Collins,5,10
1,8:38.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),5,12
1,8:16.0,N. Vučević makes 2-pt layup from 2 ft (assist by J. Simmons),,7,12
1,8:03.0,,D. Bembry makes 2-pt dunk from 1 ft (assist by D. Dedmon),7,14
1,7:48.0,J. Isaac misses 3-pt jump shot from 25 ft,,7,14
1,7:48.0,Offensive rebound by Team,,7,14
1,7:48.0,,Loose ball foul by D. Dedmon (drawn by N. Vučević),7,14
1,7:48.0,,A. Len enters the game for D. Dedmon,7,14
1,7:42.0,Turnover by D. Augustin (bad pass; steal by D. Bembry),,7,14
1,7:38.0,,T. Prince makes 2-pt layup from 1 ft (assist by D. Bembry),7,16
1,7:38.0,Orlando full timeout,,7,16
1,7:28.0,Def 3 sec tech foul by Team,,7,16
1,7:28.0,D. Augustin makes technical free throw,,8,16
1,7:22.0,E. Fournier makes 2-pt layup from 6 ft,,10,16
1,7:22.0,Shooting foul by T. Prince (drawn by E. Fournier),,10,16
1,7:22.0,E. Fournier makes free throw 1 of 1,,11,16
1,7:06.0,,A. Len makes 2-pt dunk from 1 ft (assist by T. Prince),11,18
1,6:51.0,E. Fournier makes 2-pt jump shot from 16 ft,,13,18
1,6:36.0,,Turnover by T. Young (lost ball; steal by J. Simmons),13,18
1,6:32.0,J. Simmons makes 2-pt layup from 2 ft (assist by J. Isaac),,15,18
1,6:09.0,,Shooting foul by N. Vučević (drawn by T. Young),15,18
1,6:09.0,,T. Young makes free throw 1 of 3,15,19
1,6:09.0,,T. Young makes free throw 2 of 3,15,20
1,6:09.0,,J. Lin enters the game for J. Collins,15,20
1,6:09.0,,O. Spellman enters the game for T. Prince,15,20
1,6:09.0,,T. Young makes free throw 3 of 3,15,21
1,5:48.0,N. Vučević makes 2-pt jump shot from 19 ft (assist by E. Fournier),,17,21
1,5:36.0,,T. Young misses 2-pt jump shot from 12 ft,17,21
1,5:31.0,Defensive rebound by N. Vučević,,17,21
1,5:27.0,N. Vučević misses 3-pt jump shot from 25 ft,,17,21
1,5:24.0,,Defensive rebound by D. Bembry,17,21
1,5:19.0,,D. Bembry makes 2-pt layup from 2 ft,17,23
1,5:19.0,,Shooting foul by J. Isaac (drawn by D. Bembry),17,23
1,5:19.0,W. Iwundu enters the game for J. Simmons,,17,23
1,5:19.0,,D. Hamilton enters the game for T. Young,17,23
1,5:19.0,,D. Bembry makes free throw 1 of 1,17,24
1,5:19.0,I. Briscoe enters the game for D. Augustin,,17,24
1,5:03.0,Turnover by E. Fournier (bad pass),,17,24
1,4:40.0,,D. Bembry misses 2-pt layup from 5 ft,17,24
1,4:38.0,Defensive rebound by N. Vučević,,17,24
1,4:33.0,I. Briscoe misses 2-pt jump shot from 22 ft,,17,24
1,4:30.0,,Defensive rebound by O. Spellman,17,24
1,4:24.0,,D. Hamilton misses 2-pt layup from 2 ft,17,24
1,4:20.0,Defensive rebound by N. Vučević,,17,24
1,4:15.0,E. Fournier misses 2-pt layup from 3 ft,,17,24
1,4:13.0,,Defensive rebound by D. Hamilton,17,24
1,4:08.0,,D. Bembry misses 2-pt layup from 3 ft (block by W. Iwundu),17,24
1,4:05.0,Defensive rebound by W. Iwundu,,17,24
1,3:53.0,Shooting foul by D. Bembry (drawn by E. Fournier),,17,24
1,3:53.0,Orlando full timeout,,17,24
1,3:53.0,,T. Dorsey enters the game for D. Bembry,17,24
1,3:53.0,E. Fournier makes free throw 1 of 2,,18,24
1,3:53.0,E. Fournier makes free throw 2 of 2,,19,24
1,3:36.0,,J. Lin makes 2-pt jump shot from 18 ft,19,26
1,3:06.0,I. Briscoe misses 2-pt layup from 2 ft,,19,26
1,3:02.0,Offensive rebound by N. Vučević,,19,26
1,3:02.0,N. Vučević misses 2-pt layup at rim,,19,26
1,3:01.0,,Defensive rebound by A. Len,19,26
1,3:01.0,,Personal foul by I. Briscoe (drawn by J. Lin),19,26
1,3:01.0,J. Martin enters the game for E. Fournier,,19,26
1,3:01.0,T. Ross enters the game for J. Isaac,,19,26
1,2:50.0,,J. Lin misses 2-pt layup from 1 ft,19,26
1,2:46.0,Defensive rebound by I. Briscoe,,19,26
1,2:39.0,N. Vučević makes 2-pt dunk from 1 ft (assist by T. Ross),,21,26
1,2:24.0,,T. Dorsey makes 2-pt layup from 1 ft (assist by A. Len),21,28
1,1:59.0,T. Ross misses 3-pt jump shot from 26 ft,,21,28
1,1:55.0,,Defensive rebound by A. Len,21,28
1,1:47.0,,A. Len misses 2-pt jump shot from 21 ft,21,28
1,1:45.0,,Offensive rebound by D. Hamilton,21,28
1,1:44.0,,Shooting foul by W. Iwundu (drawn by A. Len),21,28
1,1:44.0,,A. Len misses free throw 1 of 2,21,28
1,1:44.0,,Offensive rebound by Team,21,28
1,1:44.0,M. Bamba enters the game for N. Vučević,,21,28
1,1:44.0,,V. Carter enters the game for O. Spellman,21,28
1,1:44.0,,A. Len misses free throw 2 of 2,21,28
1,1:42.0,Defensive rebound by W. Iwundu,,21,28
1,1:27.0,T. Ross misses 3-pt jump shot from 26 ft,,21,28
1,1:24.0,,Defensive rebound by V. Carter,21,28
1,1:11.0,,D. Hamilton misses 2-pt layup from 1 ft (block by J. Martin),21,28
1,1:11.0,,Offensive rebound by Team,21,28
1,1:11.0,,J. Collins enters the game for A. Len,21,28
1,1:11.0,,Offensive foul by J. Collins (drawn by W. Iwundu),21,28
1,1:11.0,,Turnover by J. Collins (offensive foul),21,28
1,1:02.0,Personal foul by D. Hamilton (drawn by M. Bamba),,21,28
1,1:02.0,M. Bamba makes free throw 1 of 2,,22,28
1,1:02.0,M. Bamba makes free throw 2 of 2,,23,28
1,0:55.0,,Shooting foul by I. Briscoe (drawn by J. Lin),23,28
1,0:55.0,,J. Lin makes free throw 1 of 3,23,29
1,0:55.0,,J. Lin makes free throw 2 of 3,23,30
1,0:55.0,,J. Lin makes free throw 3 of 3,23,31
1,0:40.0,M. Bamba makes 2-pt layup from 1 ft (assist by T. Ross),,25,31
