QUARTER,TIME_REMAINING,DALLAS_ACTION,LA CLIPPERS_ACTION,DALLAS_SCORE,LA CLIPPERS_SCORE
1,11:46.0,,I. Zubac makes 2-pt layup from 1 ft (assist by L. Shamet),0,2
1,11:24.0,T. Hardaway misses 3-pt jump shot from 24 ft,,0,2
1,11:21.0,,Defensive rebound by I. Zubac,0,2
1,11:12.0,,I. Zubac misses 2-pt jump shot from 9 ft (block by D. Nowitzki),0,2
1,11:08.0,Defensive rebound by D. Finney-Smith,,0,2
1,11:06.0,D. Nowitzki misses 3-pt jump shot from 27 ft,,0,2
1,11:06.0,,Defensive rebound by S. Gilgeous-Alexander,0,2
1,10:46.0,,D. Gallinari misses 2-pt jump shot from 10 ft,0,2
1,10:43.0,Defensive rebound by L. Dončić,,0,2
1,10:37.0,L. Dončić makes 3-pt jump shot from 27 ft,,3,2
1,10:22.0,,I. Zubac makes 2-pt layup from 2 ft (assist by D. Gallinari),3,4
1,10:22.0,,Shooting foul by D. Nowitzki (drawn by I. Zubac),3,4
1,10:22.0,,I. Zubac makes free throw 1 of 1,3,5
1,10:14.0,Turnover by L. Dončić (traveling),,3,5
1,10:03.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by P. Beverley),3,8
1,9:47.0,D. Powell makes 3-pt jump shot from 23 ft (assist by L. Dončić),,6,8
1,9:34.0,,L. Shamet misses 2-pt jump shot from 21 ft,6,8
1,9:31.0,Defensive rebound by D. Finney-Smith,,6,8
1,9:21.0,L. Dončić makes 3-pt jump shot from 27 ft,,9,8
1,9:05.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,9,8
1,8:59.0,Defensive rebound by T. Hardaway,,9,8
1,8:55.0,Turnover by T. Hardaway (bad pass; steal by S. Gilgeous-Alexander),,9,8
1,8:48.0,,P. Beverley misses 3-pt jump shot from 26 ft,9,8
1,8:44.0,Defensive rebound by L. Dončić,,9,8
1,8:40.0,Personal foul by P. Beverley (drawn by L. Dončić),,9,8
1,8:32.0,D. Nowitzki misses 2-pt jump shot from 18 ft,,9,8
1,8:28.0,Offensive rebound by D. Powell,,9,8
1,8:19.0,D. Powell makes 2-pt layup from 2 ft (assist by L. Dončić),,11,8
1,8:05.0,,I. Zubac misses 2-pt layup from 3 ft (block by D. Finney-Smith),11,8
1,8:02.0,Defensive rebound by D. Nowitzki,,11,8
1,7:57.0,T. Hardaway misses 2-pt hook shot from 6 ft,,11,8
1,7:52.0,,Defensive rebound by D. Gallinari,11,8
1,7:38.0,,D. Gallinari misses 2-pt jump shot from 21 ft,11,8
1,7:35.0,Defensive rebound by D. Nowitzki,,11,8
1,7:26.0,L. Dončić misses 2-pt layup from 4 ft (block by D. Gallinari),,11,8
1,7:24.0,,Defensive rebound by P. Beverley,11,8
1,7:22.0,,L. Shamet misses 3-pt jump shot from 24 ft,11,8
1,7:17.0,Defensive rebound by D. Powell,,11,8
1,7:07.0,Offensive foul by L. Dončić (drawn by P. Beverley),,11,8
1,7:07.0,Turnover by L. Dončić (offensive foul),,11,8
1,6:47.0,,D. Gallinari makes 2-pt layup from 2 ft,11,10
1,6:32.0,L. Dončić makes 2-pt layup from 2 ft (assist by T. Hardaway),,13,10
1,6:17.0,,P. Beverley makes 3-pt jump shot from 26 ft,13,13
1,5:58.0,D. Powell makes 2-pt layup from 1 ft (assist by L. Dončić),,15,13
1,5:36.0,,L. Shamet misses 3-pt jump shot from 25 ft,15,13
1,5:33.0,,Offensive rebound by Team,15,13
1,5:33.0,,LA Clippers full timeout,15,13
1,5:33.0,J. Brunson enters the game for L. Dončić,,15,13
1,5:33.0,M. Kleber enters the game for D. Nowitzki,,15,13
1,5:33.0,S. Mejri enters the game for D. Powell,,15,13
1,5:30.0,,L. Shamet misses 3-pt jump shot from 23 ft,15,13
1,5:29.0,Defensive rebound by S. Mejri,,15,13
1,5:16.0,T. Hardaway misses 3-pt jump shot from 26 ft,,15,13
1,5:13.0,,Defensive rebound by I. Zubac,15,13
1,5:06.0,,P. Beverley misses 3-pt jump shot from 25 ft,15,13
1,5:02.0,Defensive rebound by S. Mejri,,15,13
1,4:54.0,J. Brunson misses 2-pt jump shot from 15 ft,,15,13
1,4:52.0,Offensive rebound by Team,,15,13
1,4:52.0,,M. Harrell enters the game for L. Shamet,15,13
1,4:52.0,,L. Williams enters the game for I. Zubac,15,13
1,4:47.0,T. Hardaway makes 2-pt dunk from 1 ft (assist by D. Finney-Smith),,17,13
1,4:30.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 3 ft,17,13
1,4:27.0,Defensive rebound by M. Kleber,,17,13
1,4:19.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,17,13
1,4:15.0,,Defensive rebound by S. Gilgeous-Alexander,17,13
1,3:57.0,,M. Harrell misses 2-pt hook shot from 3 ft (block by D. Finney-Smith),17,13
1,3:55.0,Defensive rebound by T. Hardaway,,17,13
1,3:49.0,Turnover by T. Hardaway (bad pass),,17,13
1,3:49.0,,G. Temple enters the game for S. Gilgeous-Alexander,17,13
1,3:38.0,,L. Williams makes 2-pt jump shot from 8 ft,17,15
1,3:28.0,M. Kleber makes 2-pt dunk from 1 ft (assist by D. Finney-Smith),,19,15
1,3:09.0,,M. Harrell misses 2-pt hook shot from 5 ft,19,15
1,3:06.0,Defensive rebound by S. Mejri,,19,15
1,2:59.0,T. Hardaway misses 3-pt jump shot from 28 ft,,19,15
1,2:56.0,,Defensive rebound by G. Temple,19,15
1,2:56.0,,Personal foul by M. Kleber (drawn by G. Temple),19,15
1,2:56.0,Dallas full timeout,,19,15
1,2:56.0,D. Harris enters the game for D. Finney-Smith,,19,15
1,2:56.0,,J. Green enters the game for P. Beverley,19,15
1,2:56.0,,T. Wallace enters the game for D. Gallinari,19,15
1,2:47.0,,Shooting foul by S. Mejri (drawn by L. Williams),19,15
1,2:47.0,,L. Williams makes free throw 1 of 2,19,16
1,2:47.0,,L. Williams makes free throw 2 of 2,19,17
1,2:38.0,Shooting foul by G. Temple (drawn by T. Hardaway),,19,17
1,2:38.0,T. Hardaway makes free throw 1 of 2,,20,17
1,2:38.0,T. Hardaway makes free throw 2 of 2,,21,17
1,2:27.0,,J. Green makes 3-pt jump shot from 23 ft (assist by L. Williams),21,20
1,2:10.0,J. Brunson misses 3-pt jump shot from 23 ft,,21,20
1,2:08.0,,Defensive rebound by T. Wallace,21,20
1,2:00.0,,Shooting foul by J. Brunson (drawn by L. Williams),21,20
1,2:00.0,,L. Williams misses free throw 1 of 2,21,20
1,2:00.0,,Offensive rebound by Team,21,20
1,2:00.0,L. Dončić enters the game for T. Hardaway,,21,20
1,2:00.0,,L. Williams makes free throw 2 of 2,21,21
1,1:44.0,J. Brunson misses 2-pt jump shot from 10 ft,,21,21
1,1:40.0,,Defensive rebound by J. Green,21,21
1,1:36.0,,T. Wallace misses 2-pt layup from 2 ft (block by M. Kleber),21,21
1,1:36.0,,Offensive rebound by M. Harrell,21,21
1,1:31.0,,M. Harrell makes 2-pt dunk from 2 ft,21,23
1,1:29.0,Personal foul by G. Temple (drawn by L. Dončić),,21,23
1,1:25.0,L. Dončić misses 2-pt jump shot from 17 ft,,21,23
1,1:23.0,Offensive rebound by L. Dončić,,21,23
1,1:23.0,Shooting foul by G. Temple (drawn by L. Dončić),,21,23
1,1:23.0,L. Dončić makes free throw 1 of 2,,22,23
1,1:23.0,T. Burke enters the game for J. Brunson,,22,23
1,1:23.0,D. Nowitzki enters the game for M. Kleber,,22,23
1,1:23.0,D. Powell enters the game for S. Mejri,,22,23
1,1:23.0,,P. Beverley enters the game for G. Temple,22,23
1,1:23.0,L. Dončić misses free throw 2 of 2,,22,23
1,1:21.0,,Defensive rebound by J. Green,22,23
1,1:05.0,,J. Green makes 2-pt jump shot from 10 ft (assist by P. Beverley),22,25
1,0:40.0,Turnover by L. Dončić (bad pass; steal by J. Green),,22,25
1,0:34.0,,L. Williams misses 3-pt jump shot from 26 ft,22,25
1,0:30.0,,Offensive rebound by P. Beverley,22,25
1,0:29.0,,M. Harrell makes 2-pt dunk at rim (assist by P. Beverley),22,27
1,0:13.0,T. Burke misses 3-pt jump shot from 27 ft,,22,27
1,0:09.0,,Defensive rebound by M. Harrell,22,27
1,0:01.0,,M. Harrell makes 2-pt dunk from 1 ft,22,29
2,11:49.0,Personal foul by T. Wallace (drawn by D. Harris),,22,29
2,11:36.0,D. Nowitzki misses 2-pt jump shot from 19 ft,,22,29
2,11:30.0,Offensive rebound by D. Powell,,22,29
2,11:25.0,T. Burke misses 2-pt layup from 2 ft (block by M. Harrell),,22,29
2,11:22.0,,Defensive rebound by T. Wallace,22,29
2,11:16.0,,L. Williams misses 2-pt layup from 3 ft (block by L. Dončić),22,29
2,11:13.0,Defensive rebound by D. Nowitzki,,22,29
2,11:10.0,T. Burke misses 2-pt layup from 3 ft (block by M. Harrell),,22,29
2,11:10.0,Offensive rebound by Team,,22,29
2,11:09.0,D. Harris makes 2-pt layup from 2 ft (assist by L. Dončić),,24,29
2,11:09.0,Shooting foul by T. Wallace (drawn by D. Harris),,24,29
2,11:09.0,D. Harris makes free throw 1 of 1,,25,29
2,10:49.0,,Turnover by M. Harrell (lost ball; steal by D. Powell),25,29
2,10:43.0,Turnover by D. Harris (lost ball; steal by L. Williams),,25,29
2,10:38.0,,P. Beverley makes 3-pt jump shot from 24 ft (assist by T. Wallace),25,32
2,10:24.0,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by T. Burke),,28,32
2,10:14.0,,T. Wallace makes 3-pt jump shot from 24 ft (assist by M. Harrell),28,35
2,10:04.0,Shooting foul by M. Harrell (drawn by L. Dončić),,28,35
2,10:04.0,L. Dončić makes free throw 1 of 2,,29,35
2,10:04.0,L. Dončić makes free throw 2 of 2,,30,35
2,9:48.0,,M. Harrell makes 2-pt hook shot from 4 ft (assist by P. Beverley),30,37
2,9:29.0,Turnover by L. Dončić (bad pass; steal by J. Green),,30,37
2,9:23.0,,Turnover by J. Green (traveling),30,37
2,9:17.0,Personal foul by J. Green (drawn by D. Powell),,30,37
2,9:08.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,30,37
2,9:05.0,,Defensive rebound by L. Williams,30,37
2,8:58.0,,L. Williams misses 2-pt layup from 4 ft,30,37
2,8:51.0,,Offensive rebound by L. Williams,30,37
2,8:51.0,,L. Williams misses 2-pt layup from 1 ft,30,37
2,8:50.0,Defensive rebound by D. Powell,,30,37
2,8:48.0,L. Dončić makes 2-pt jump shot from 4 ft,,32,37
2,8:33.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),32,39
2,8:33.0,,Shooting foul by D. Harris (drawn by M. Harrell),32,39
2,8:33.0,,M. Harrell misses free throw 1 of 1,32,39
2,8:30.0,Defensive rebound by L. Dončić,,32,39
2,8:19.0,Shooting foul by L. Williams (drawn by D. Nowitzki),,32,39
2,8:19.0,D. Nowitzki makes free throw 1 of 3,,33,39
2,8:19.0,D. Nowitzki makes free throw 2 of 3,,34,39
2,8:19.0,D. Nowitzki makes free throw 3 of 3,,35,39
2,8:02.0,,J. Green misses 3-pt jump shot from 25 ft,35,39
2,7:55.0,Defensive rebound by D. Harris,,35,39
2,7:51.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,35,39
2,7:47.0,Offensive rebound by D. Powell,,35,39
2,7:45.0,D. Powell makes 2-pt layup from 2 ft,,37,39
2,7:35.0,,L. Williams misses 2-pt layup from 5 ft (block by D. Powell),37,39
2,7:35.0,,Offensive rebound by Team,37,39
2,7:35.0,,D. Gallinari enters the game for J. Green,37,39
2,7:30.0,,Personal foul by T. Burke (drawn by L. Williams),37,39
2,7:30.0,J. Brunson enters the game for L. Dončić,,37,39
2,7:30.0,M. Kleber enters the game for D. Nowitzki,,37,39
2,7:30.0,S. Mejri enters the game for D. Powell,,37,39
2,7:30.0,,L. Shamet enters the game for T. Wallace,37,39
2,7:24.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),37,41
2,7:22.0,Dallas full timeout,,37,41
2,7:22.0,D. Finney-Smith enters the game for T. Burke,,37,41
2,7:05.0,M. Kleber makes 3-pt jump shot from 26 ft (assist by D. Finney-Smith),,40,41
2,6:49.0,,D. Gallinari makes 2-pt dunk at rim (assist by M. Harrell),40,43
2,6:38.0,Personal foul by L. Shamet (drawn by D. Harris),,40,43
2,6:38.0,D. Harris makes free throw 1 of 2,,41,43
2,6:38.0,D. Harris makes free throw 2 of 2,,42,43
2,6:24.0,,P. Beverley makes 3-pt jump shot from 23 ft (assist by M. Harrell),42,46
