QUARTER,TIME_REMAINING,BOSTON_ACTION,DENVER_ACTION,BOSTON_SCORE,DENVER_SCORE
1,11:41.0,A. Horford makes 2-pt jump shot from 19 ft (assist by K. Irving),,2,0
1,11:19.0,,P. Millsap makes 2-pt layup from 6 ft,2,2
1,11:09.0,K. Irving makes 3-pt jump shot from 26 ft,,5,2
1,10:55.0,,G. Harris misses 2-pt hook shot from 4 ft,5,2
1,10:54.0,Defensive rebound by K. Irving,,5,2
1,10:48.0,J. Brown misses 2-pt jump shot from 15 ft,,5,2
1,10:45.0,,Defensive rebound by G. Harris,5,2
1,10:31.0,,T. Craig misses 2-pt jump shot from 15 ft,5,2
1,10:28.0,,Offensive rebound by P. Millsap,5,2
1,10:26.0,,Turnover by P. Millsap (bad pass; steal by A. Horford),5,2
1,10:20.0,J. Brown makes 2-pt dunk from 1 ft (assist by A. Horford),,7,2
1,10:05.0,,G. Harris misses 2-pt jump shot from 17 ft (block by J. Tatum),7,2
1,10:03.0,Defensive rebound by A. Horford,,7,2
1,9:49.0,Turnover by J. Tatum (out of bounds lost ball),,7,2
1,9:28.0,,P. Millsap misses 2-pt jump shot from 9 ft,7,2
1,9:25.0,Defensive rebound by G. Hayward,,7,2
1,9:17.0,J. Brown makes 3-pt jump shot from 25 ft (assist by G. Hayward),,10,2
1,9:16.0,,Denver full timeout,10,2
1,9:16.0,,J. Hernangómez enters the game for T. Craig,10,2
1,9:03.0,,Personal foul by A. Horford (drawn by N. Jokić),10,2
1,8:55.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by G. Harris),10,5
1,8:38.0,G. Hayward makes 2-pt layup from 2 ft (assist by A. Horford),,12,5
1,8:29.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),12,8
1,8:08.0,J. Brown misses 2-pt layup from 3 ft (block by P. Millsap),,12,8
1,8:08.0,Offensive rebound by Team,,12,8
1,8:03.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by A. Horford),,15,8
1,7:53.0,,Turnover by J. Murray (lost ball; steal by K. Irving),15,8
1,7:48.0,J. Tatum makes 2-pt dunk from 1 ft (assist by K. Irving),,17,8
1,7:36.0,,P. Millsap misses 2-pt jump shot from 7 ft,17,8
1,7:33.0,Defensive rebound by A. Horford,,17,8
1,7:30.0,K. Irving misses 3-pt jump shot from 27 ft,,17,8
1,7:26.0,,Defensive rebound by N. Jokić,17,8
1,7:16.0,,J. Murray makes 2-pt jump shot from 16 ft,17,10
1,6:59.0,J. Tatum misses 2-pt jump shot from 16 ft,,17,10
1,6:57.0,,Defensive rebound by J. Hernangómez,17,10
1,6:42.0,,J. Murray makes 2-pt jump shot from 9 ft,17,12
1,6:24.0,G. Hayward makes 2-pt jump shot from 14 ft (assist by J. Tatum),,19,12
1,6:01.0,,Turnover by J. Murray (lost ball; steal by K. Irving),19,12
1,5:57.0,K. Irving makes 2-pt layup from 1 ft,,21,12
1,5:45.0,,J. Murray misses 3-pt jump shot from 25 ft,21,12
1,5:42.0,Defensive rebound by G. Hayward,,21,12
1,5:35.0,J. Brown misses 2-pt jump shot from 16 ft,,21,12
1,5:32.0,,Defensive rebound by N. Jokić,21,12
1,5:24.0,,G. Harris misses 2-pt jump shot from 20 ft,21,12
1,5:20.0,Defensive rebound by A. Horford,,21,12
1,5:03.0,A. Horford makes 2-pt jump shot from 15 ft (assist by K. Irving),,23,12
1,5:03.0,Shooting foul by N. Jokić (drawn by A. Horford),,23,12
1,5:03.0,M. Morris enters the game for G. Hayward,,23,12
1,5:03.0,M. Smart enters the game for J. Tatum,,23,12
1,5:03.0,A. Horford misses free throw 1 of 1,,23,12
1,5:03.0,,Defensive rebound by N. Jokić,23,12
1,4:52.0,,J. Murray makes 2-pt layup from 2 ft,23,14
1,4:33.0,K. Irving makes 2-pt jump shot from 10 ft,,25,14
1,4:20.0,,Turnover by J. Murray (bad pass; steal by J. Brown),25,14
1,4:17.0,J. Brown makes 2-pt layup from 1 ft (assist by A. Horford),,27,14
1,4:17.0,,Denver full timeout,27,14
1,4:17.0,A. Baynes enters the game for A. Horford,,27,14
1,4:17.0,T. Rozier enters the game for K. Irving,,27,14
1,4:17.0,,M. Beasley enters the game for G. Harris,27,14
1,4:17.0,,T. Lyles enters the game for P. Millsap,27,14
1,4:09.0,,Offensive foul by N. Jokić (drawn by T. Rozier),27,14
1,4:09.0,,Turnover by N. Jokić (offensive foul),27,14
1,4:09.0,,M. Plumlee enters the game for N. Jokić,27,14
1,3:51.0,Turnover by M. Morris (traveling),,27,14
1,3:51.0,Violation by Team (delay of game),,27,14
1,3:38.0,,M. Beasley misses 3-pt jump shot from 24 ft,27,14
1,3:35.0,Defensive rebound by Team,,27,14
1,3:19.0,T. Rozier misses 2-pt layup from 5 ft,,27,14
1,3:16.0,,Defensive rebound by J. Murray,27,14
1,3:11.0,,J. Murray makes 2-pt jump shot from 8 ft,27,16
1,2:57.0,M. Morris makes 2-pt jump shot from 20 ft (assist by A. Baynes),,29,16
1,2:35.0,,Turnover by M. Plumlee (lost ball; steal by T. Rozier),29,16
1,2:27.0,J. Brown misses 3-pt jump shot from 23 ft,,29,16
1,2:24.0,Offensive rebound by M. Smart,,29,16
1,2:23.0,M. Morris misses 3-pt jump shot from 25 ft,,29,16
1,2:17.0,,Defensive rebound by M. Beasley,29,16
1,2:02.0,,T. Lyles misses 2-pt jump shot from 15 ft,29,16
1,1:59.0,Defensive rebound by T. Rozier,,29,16
1,1:42.0,T. Rozier makes 3-pt jump shot from 23 ft (assist by M. Smart),,32,16
1,1:35.0,,M. Beasley misses 2-pt jump shot from 3 ft (block by M. Smart),32,16
1,1:35.0,Defensive rebound by M. Smart,,32,16
1,1:35.0,S. Ojeleye enters the game for J. Brown,,32,16
1,1:35.0,,G. Harris enters the game for J. Hernangómez,32,16
1,1:35.0,,M. Morris enters the game for J. Murray,32,16
1,1:12.0,M. Smart makes 2-pt jump shot from 21 ft (assist by M. Morris),,34,16
1,0:56.0,,T. Lyles makes 3-pt jump shot from 25 ft (assist by G. Harris),34,19
1,0:44.0,Personal foul by T. Lyles (drawn by A. Baynes),,34,19
1,0:30.0,T. Rozier misses 2-pt jump shot from 22 ft,,34,19
1,0:27.0,,Defensive rebound by M. Morris,34,19
1,0:08.0,,T. Lyles misses 3-pt jump shot from 25 ft,34,19
1,0:03.0,,Offensive rebound by M. Plumlee,34,19
1,0:03.0,,M. Plumlee misses 2-pt layup at rim,34,19
1,0:02.0,,Offensive rebound by M. Plumlee,34,19
1,0:02.0,,M. Plumlee misses 2-pt layup from 1 ft (block by A. Baynes),34,19
1,0:01.0,,Offensive rebound by M. Plumlee,34,19
1,0:00.0,,M. Plumlee misses 2-pt jump shot from 11 ft,34,19
1,0:00.0,Defensive rebound by M. Morris,,34,19
2,11:41.0,,T. Lyles misses 3-pt jump shot from 25 ft,34,19
2,11:36.0,Defensive rebound by M. Morris,,34,19
2,11:23.0,M. Morris misses 2-pt jump shot from 5 ft,,34,19
2,11:21.0,,Defensive rebound by T. Lyles,34,19
2,11:12.0,,M. Beasley makes 2-pt layup from 2 ft (assist by M. Plumlee),34,21
2,10:57.0,Turnover by M. Smart (bad pass; steal by M. Morris),,34,21
2,10:50.0,,M. Morris makes 2-pt layup from 2 ft (assist by T. Lyles),34,23
2,10:50.0,,Shooting foul by M. Morris (drawn by M. Morris),34,23
2,10:50.0,,M. Morris misses free throw 1 of 1,34,23
2,10:50.0,Defensive rebound by A. Baynes,,34,23
2,10:33.0,M. Morris misses 3-pt jump shot from 23 ft,,34,23
2,10:31.0,,Defensive rebound by Team,34,23
2,10:18.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by M. Morris),34,26
2,10:18.0,Boston full timeout,,34,26
2,10:18.0,G. Hayward enters the game for M. Morris,,34,26
2,10:18.0,J. Tatum enters the game for S. Ojeleye,,34,26
2,10:02.0,M. Smart misses 3-pt jump shot from 24 ft,,34,26
2,9:57.0,,Defensive rebound by G. Harris,34,26
2,9:46.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by M. Morris),34,28
2,9:32.0,Turnover by M. Smart (bad pass; steal by G. Harris),,34,28
2,9:28.0,,Turnover by M. Beasley (bad pass; steal by M. Smart),34,28
2,9:24.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by M. Smart),,37,28
2,9:01.0,,M. Beasley misses 2-pt jump shot from 20 ft,37,28
2,8:58.0,Defensive rebound by A. Baynes,,37,28
2,8:53.0,T. Rozier misses 2-pt dunk from 2 ft,,37,28
2,8:51.0,,Defensive rebound by M. Plumlee,37,28
2,8:32.0,,G. Harris misses 3-pt jump shot from 28 ft,37,28
2,8:29.0,Defensive rebound by G. Hayward,,37,28
2,8:15.0,M. Smart makes 2-pt layup from 2 ft (assist by G. Hayward),,39,28
2,8:04.0,,M. Morris misses 2-pt layup from 3 ft,39,28
2,8:04.0,,Offensive rebound by G. Harris,39,28
2,7:56.0,,Shooting foul by A. Baynes (drawn by G. Harris),39,28
2,7:56.0,,G. Harris makes free throw 1 of 2,39,29
2,7:56.0,A. Horford enters the game for A. Baynes,,39,29
2,7:56.0,K. Irving enters the game for M. Smart,,39,29
2,7:56.0,,J. Murray enters the game for M. Morris,39,29
2,7:56.0,,G. Harris makes free throw 2 of 2,39,30
2,7:43.0,J. Tatum misses 2-pt jump shot from 18 ft,,39,30
2,7:39.0,,Defensive rebound by T. Lyles,39,30
2,7:36.0,,G. Harris misses 2-pt layup from 3 ft (block by T. Rozier),39,30
2,7:36.0,,Offensive rebound by Team,39,30
2,7:36.0,,N. Jokić enters the game for M. Plumlee,39,30
2,7:30.0,,T. Lyles makes 3-pt jump shot from 23 ft (assist by N. Jokić),39,33
2,7:15.0,K. Irving makes 2-pt jump shot from 13 ft,,41,33
2,6:57.0,,G. Harris makes 2-pt dunk from 1 ft,41,35
2,6:43.0,J. Tatum makes 2-pt jump shot from 4 ft,,43,35
2,6:29.0,,M. Beasley misses 2-pt jump shot from 15 ft (block by J. Tatum),43,35
2,6:29.0,,Offensive rebound by Team,43,35
2,6:29.0,,J. Hernangómez enters the game for G. Harris,43,35
2,6:26.0,,Turnover by N. Jokić (lost ball; steal by K. Irving),43,35
2,6:15.0,A. Horford misses 2-pt jump shot from 4 ft (block by T. Lyles),,43,35
2,6:11.0,,Defensive rebound by M. Beasley,43,35
2,5:59.0,,T. Lyles misses 3-pt jump shot from 24 ft,43,35
2,5:55.0,Defensive rebound by T. Rozier,,43,35
2,5:54.0,Shooting foul by M. Beasley (drawn by G. Hayward),,43,35
2,5:54.0,G. Hayward makes free throw 1 of 2,,44,35
2,5:54.0,,P. Millsap enters the game for T. Lyles,44,35
2,5:54.0,G. Hayward makes free throw 2 of 2,,45,35
2,5:46.0,,Shooting foul by T. Rozier (drawn by N. Jokić),45,35
2,5:46.0,,N. Jokić makes free throw 1 of 2,45,36
2,5:46.0,,N. Jokić makes free throw 2 of 2,45,37
2,5:33.0,T. Rozier misses 3-pt jump shot from 24 ft,,45,37
2,5:29.0,,Defensive rebound by M. Beasley,45,37
2,5:12.0,,J. Murray misses 2-pt jump shot from 17 ft,45,37
2,5:10.0,,Offensive rebound by N. Jokić,45,37
2,5:09.0,,M. Beasley misses 3-pt jump shot from 25 ft,45,37
2,5:04.0,Defensive rebound by G. Hayward,,45,37
2,4:53.0,J. Tatum misses 3-pt jump shot from 25 ft,,45,37
2,4:51.0,,Defensive rebound by N. Jokić,45,37
2,4:48.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by N. Jokić),45,40
2,4:20.0,K. Irving makes 2-pt jump shot from 19 ft,,47,40
2,4:07.0,,J. Murray makes 2-pt jump shot from 15 ft (assist by N. Jokić),47,42
2,3:48.0,K. Irving makes 2-pt jump shot from 14 ft,,49,42
2,3:33.0,,N. Jokić makes 2-pt layup from 3 ft (assist by J. Murray),49,44
