QUARTER,TIME_REMAINING,TORONTO_ACTION,ORLANDO_ACTION,TORONTO_SCORE,ORLANDO_SCORE
1,11:40.0,D. Green misses 2-pt jump shot from 13 ft,,0,0
1,11:37.0,,Defensive rebound by J. Isaac,0,0
1,11:31.0,,N. Vučević misses 2-pt jump shot from 18 ft,0,0
1,11:27.0,Defensive rebound by K. Lowry,,0,0
1,11:15.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by D. Green),,3,0
1,10:53.0,,Offensive foul by E. Fournier (drawn by K. Lowry),3,0
1,10:53.0,,Turnover by E. Fournier (offensive foul),3,0
1,10:43.0,M. Gasol makes 2-pt jump shot from 14 ft (assist by K. Leonard),,5,0
1,10:25.0,,A. Gordon misses 2-pt jump shot from 17 ft,5,0
1,10:22.0,Defensive rebound by P. Siakam,,5,0
1,10:13.0,P. Siakam makes 2-pt layup from 4 ft,,7,0
1,9:57.0,,E. Fournier misses 2-pt layup from 4 ft,7,0
1,9:54.0,Defensive rebound by M. Gasol,,7,0
1,9:50.0,P. Siakam makes 3-pt jump shot from 24 ft (assist by K. Lowry),,10,0
1,9:35.0,,Turnover by D. Augustin (lost ball; steal by K. Leonard),10,0
1,9:30.0,K. Leonard misses 2-pt layup from 3 ft (block by J. Isaac),,10,0
1,9:27.0,,Defensive rebound by E. Fournier,10,0
1,9:22.0,,A. Gordon misses 2-pt layup from 2 ft,10,0
1,9:22.0,,Offensive rebound by J. Isaac,10,0
1,9:16.0,,J. Isaac makes 2-pt dunk at rim,10,2
1,9:11.0,Turnover by K. Leonard (traveling),,10,2
1,8:53.0,,E. Fournier misses 3-pt jump shot from 25 ft,10,2
1,8:53.0,Defensive rebound by P. Siakam,,10,2
1,8:41.0,Turnover by K. Leonard (lost ball; steal by N. Vučević),,10,2
1,8:33.0,,Turnover by D. Augustin (lost ball; steal by M. Gasol),10,2
1,8:28.0,P. Siakam misses 2-pt layup from 4 ft,,10,2
1,8:25.0,Offensive rebound by P. Siakam,,10,2
1,8:18.0,P. Siakam misses 2-pt layup from 4 ft,,10,2
