QUARTER,TIME_REMAINING,MIAMI_ACTION,CHICAGO_ACTION,MIAMI_SCORE,CHICAGO_SCORE
1,11:48.0,,Z. LaVine misses 2-pt jump shot from 21 ft,0,0
1,11:45.0,Defensive rebound by J. Johnson,,0,0
1,11:39.0,R. McGruder misses 2-pt jump shot from 9 ft,,0,0
1,11:34.0,,Defensive rebound by K. Dunn,0,0
1,11:15.0,,R. Lopez makes 3-pt jump shot from 26 ft (assist by Z. LaVine),0,3
1,10:55.0,J. Johnson makes 2-pt layup from 2 ft (assist by R. McGruder),,2,3
1,10:55.0,Shooting foul by Z. LaVine (drawn by J. Johnson),,2,3
1,10:55.0,J. Johnson makes free throw 1 of 1,,3,3
1,10:37.0,,L. Markkanen misses 3-pt jump shot from 25 ft,3,3
1,10:33.0,Defensive rebound by J. Richardson,,3,3
1,10:24.0,J. Winslow misses 2-pt jump shot from 9 ft,,3,3
1,10:22.0,Offensive rebound by H. Whiteside,,3,3
1,10:16.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by J. Johnson),,6,3
1,9:53.0,,R. Lopez misses 2-pt hook shot from 6 ft,6,3
1,9:50.0,Defensive rebound by R. McGruder,,6,3
1,9:42.0,R. McGruder misses 3-pt jump shot from 25 ft,,6,3
1,9:39.0,,Defensive rebound by L. Markkanen,6,3
1,9:32.0,,C. Hutchison misses 2-pt layup from 2 ft,6,3
1,9:27.0,,Offensive rebound by L. Markkanen,6,3
1,9:27.0,,L. Markkanen misses 2-pt layup at rim,6,3
1,9:26.0,Defensive rebound by R. McGruder,,6,3
1,9:24.0,J. Richardson misses 3-pt jump shot from 25 ft,,6,3
1,9:21.0,,Defensive rebound by C. Hutchison,6,3
1,9:11.0,,Shooting foul by R. McGruder (drawn by Z. LaVine),6,3
1,9:11.0,,Z. LaVine makes free throw 1 of 2,6,4
1,9:11.0,,Z. LaVine makes free throw 2 of 2,6,5
1,8:55.0,Shooting foul by C. Hutchison (drawn by J. Winslow),,6,5
1,8:55.0,J. Winslow makes free throw 1 of 2,,7,5
1,8:55.0,J. Winslow misses free throw 2 of 2,,7,5
1,8:52.0,,Defensive rebound by C. Hutchison,7,5
1,8:46.0,,K. Dunn misses 2-pt jump shot from 14 ft,7,5
1,8:44.0,Defensive rebound by Team,,7,5
1,8:29.0,R. McGruder misses 3-pt jump shot from 23 ft,,7,5
1,8:25.0,,Defensive rebound by K. Dunn,7,5
1,8:20.0,,C. Hutchison misses 2-pt layup from 4 ft,7,5
1,8:20.0,,Offensive rebound by L. Markkanen,7,5
1,8:13.0,,L. Markkanen makes 2-pt layup at rim,7,7
1,8:11.0,Personal foul by L. Markkanen (drawn by H. Whiteside),,7,7
1,7:58.0,R. McGruder misses 3-pt jump shot from 24 ft,,7,7
1,7:50.0,Offensive rebound by H. Whiteside,,7,7
1,7:50.0,H. Whiteside misses 2-pt layup from 1 ft,,7,7
1,7:49.0,,Defensive rebound by L. Markkanen,7,7
1,7:41.0,,K. Dunn misses 2-pt layup from 2 ft,7,7
1,7:39.0,Defensive rebound by J. Winslow,,7,7
1,7:37.0,Shooting foul by C. Hutchison (drawn by J. Winslow),,7,7
1,7:37.0,J. Winslow makes free throw 1 of 2,,8,7
1,7:37.0,,W. Selden enters the game for C. Hutchison,8,7
1,7:37.0,J. Winslow makes free throw 2 of 2,,9,7
1,7:25.0,,L. Markkanen makes 2-pt jump shot from 9 ft,9,9
1,7:25.0,,Shooting foul by J. Johnson (drawn by L. Markkanen),9,9
1,7:25.0,,L. Markkanen makes free throw 1 of 1,9,10
1,7:13.0,J. Johnson misses 2-pt dunk from 3 ft,,9,10
1,7:13.0,Offensive rebound by H. Whiteside,,9,10
1,7:09.0,H. Whiteside makes 2-pt dunk from 1 ft,,11,10
1,7:04.0,,Z. LaVine makes 2-pt layup from 2 ft,11,12
1,6:51.0,J. Richardson makes 2-pt layup from 2 ft,,13,12
1,6:44.0,,K. Dunn misses 2-pt layup from 4 ft (block by H. Whiteside),13,12
1,6:42.0,Defensive rebound by J. Johnson,,13,12
1,6:38.0,J. Winslow misses 2-pt layup from 1 ft,,13,12
1,6:28.0,,Defensive rebound by Z. LaVine,13,12
1,6:28.0,,Turnover by Z. LaVine (bad pass; steal by J. Johnson),13,12
1,6:28.0,Personal foul by Z. LaVine (drawn by J. Johnson),,13,12
1,6:28.0,,Chicago full timeout,13,12
1,6:28.0,J. Johnson makes free throw 1 of 2,,14,12
1,6:28.0,,S. Harrison enters the game for Z. LaVine,14,12
1,6:28.0,J. Johnson makes free throw 2 of 2,,15,12
1,6:09.0,,L. Markkanen misses 2-pt layup from 2 ft,15,12
1,6:09.0,Defensive rebound by H. Whiteside,,15,12
1,5:59.0,J. Richardson makes 2-pt jump shot from 7 ft,,17,12
1,5:48.0,,W. Selden misses 2-pt jump shot from 5 ft,17,12
1,5:46.0,,Offensive rebound by W. Selden,17,12
1,5:46.0,T. Johnson enters the game for R. McGruder,,17,12
1,5:46.0,D. Wade enters the game for J. Richardson,,17,12
1,5:34.0,,K. Dunn misses 2-pt layup from 2 ft,17,12
1,5:34.0,,Offensive rebound by L. Markkanen,17,12
1,5:30.0,,L. Markkanen makes 2-pt dunk at rim,17,14
1,5:15.0,T. Johnson misses 3-pt jump shot from 24 ft,,17,14
1,5:15.0,,Defensive rebound by L. Markkanen,17,14
1,5:07.0,,L. Markkanen makes 3-pt jump shot from 26 ft (assist by K. Dunn),17,17
1,4:46.0,Personal foul by S. Harrison (drawn by H. Whiteside),,17,17
1,4:46.0,H. Whiteside misses free throw 1 of 2,,17,17
1,4:46.0,Offensive rebound by Team,,17,17
1,4:46.0,H. Whiteside misses free throw 2 of 2,,17,17
1,4:44.0,,Defensive rebound by S. Harrison,17,17
1,4:30.0,,R. Lopez makes 2-pt hook shot from 5 ft,17,19
1,4:30.0,Violation by Team (def goaltending),,17,19
1,4:08.0,D. Wade misses 2-pt jump shot from 23 ft,,17,19
1,4:01.0,Offensive rebound by H. Whiteside,,17,19
1,4:01.0,H. Whiteside makes 2-pt layup from 1 ft,,19,19
1,3:53.0,,K. Dunn misses 2-pt jump shot from 12 ft,19,19
1,3:53.0,,Offensive rebound by Team,19,19
1,3:53.0,Loose ball foul by T. Johnson (drawn by R. Lopez),,19,19
1,3:50.0,,Offensive foul by W. Selden (drawn by J. Winslow),19,19
1,3:50.0,,Turnover by W. Selden (offensive foul),19,19
1,3:35.0,D. Wade makes 3-pt jump shot from 23 ft (assist by H. Whiteside),,22,19
1,3:26.0,,W. Selden makes 2-pt dunk from 1 ft (assist by S. Harrison),22,21
1,3:14.0,Turnover by T. Johnson (lost ball; steal by K. Dunn),,22,21
1,3:09.0,,K. Dunn makes 2-pt layup from 1 ft,22,23
1,3:09.0,Miami full timeout,,22,23
1,3:09.0,B. Adebayo enters the game for H. Whiteside,,22,23
1,3:09.0,J. Richardson enters the game for J. Winslow,,22,23
1,2:55.0,D. Wade misses 2-pt layup from 3 ft,,22,23
1,2:51.0,,Defensive rebound by R. Lopez,22,23
1,2:50.0,,Shooting foul by J. Richardson (drawn by S. Harrison),22,23
1,2:50.0,,S. Harrison makes free throw 1 of 2,22,24
1,2:50.0,K. Olynyk enters the game for J. Johnson,,22,24
1,2:50.0,,J. Parker enters the game for R. Lopez,22,24
1,2:50.0,,B. Portis enters the game for L. Markkanen,22,24
1,2:50.0,,S. Harrison misses free throw 2 of 2,22,24
1,2:47.0,Defensive rebound by J. Richardson,,22,24
1,2:37.0,Shooting foul by W. Selden (drawn by D. Wade),,22,24
1,2:37.0,D. Wade makes free throw 1 of 2,,23,24
1,2:37.0,D. Wade makes free throw 2 of 2,,24,24
1,2:18.0,,K. Dunn makes 2-pt layup from 2 ft (assist by B. Portis),24,26
1,2:05.0,D. Wade misses 2-pt layup from 2 ft,,24,26
1,2:02.0,Offensive rebound by D. Wade,,24,26
1,2:02.0,D. Wade makes 2-pt layup from 1 ft,,26,26
1,1:59.0,,B. Portis misses 2-pt jump shot from 2 ft,26,26
1,1:59.0,Defensive rebound by K. Olynyk,,26,26
1,1:42.0,T. Johnson misses 3-pt jump shot from 25 ft,,26,26
1,1:38.0,,Defensive rebound by K. Dunn,26,26
1,1:33.0,,J. Parker makes 2-pt dunk from 1 ft (assist by K. Dunn),26,28
1,1:21.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Richardson),,28,28
1,1:06.0,,W. Selden misses 2-pt jump shot from 8 ft,28,28
1,1:03.0,Defensive rebound by K. Olynyk,,28,28
1,0:52.0,Personal foul by S. Harrison (drawn by K. Olynyk),,28,28
1,0:52.0,K. Olynyk makes free throw 1 of 2,,29,28
1,0:52.0,,R. Arcidiacono enters the game for K. Dunn,29,28
1,0:52.0,K. Olynyk misses free throw 2 of 2,,29,28
1,0:50.0,,Defensive rebound by J. Parker,29,28
1,0:34.0,,W. Selden misses 2-pt layup from 2 ft,29,28
1,0:31.0,Defensive rebound by J. Richardson,,29,28
1,0:26.0,D. Wade misses 3-pt jump shot from 26 ft,,29,28
1,0:23.0,,Defensive rebound by B. Portis,29,28
1,0:05.0,,Personal foul by J. Richardson (drawn by R. Arcidiacono),29,28
1,0:05.0,,R. Arcidiacono makes free throw 1 of 2,29,29
1,0:05.0,,R. Arcidiacono makes free throw 2 of 2,29,30
1,0:00.0,J. Richardson makes 2-pt jump shot from 9 ft,,31,30
2,11:44.0,Turnover by D. Wade (bad pass; steal by R. Arcidiacono),,31,30
2,11:34.0,,Turnover by R. Arcidiacono (lost ball; steal by T. Johnson),31,30
2,11:29.0,Shooting foul by R. Arcidiacono (drawn by T. Johnson),,31,30
2,11:29.0,T. Johnson misses free throw 1 of 2,,31,30
2,11:29.0,Offensive rebound by Team,,31,30
2,11:29.0,T. Johnson makes free throw 2 of 2,,32,30
2,11:12.0,,B. Portis makes 2-pt hook shot from 6 ft (assist by R. Arcidiacono),32,32
2,11:01.0,D. Waiters makes 2-pt layup at rim,,34,32
2,10:51.0,,Shooting foul by K. Olynyk (drawn by B. Portis),34,32
2,10:51.0,,B. Portis makes free throw 1 of 2,34,33
2,10:51.0,,Z. LaVine enters the game for W. Selden,34,33
2,10:51.0,,B. Portis makes free throw 2 of 2,34,34
2,10:46.0,Turnover by K. Olynyk (bad pass),,34,34
2,10:35.0,,B. Portis makes 2-pt hook shot from 6 ft (assist by R. Arcidiacono),34,36
