QUARTER,TIME_REMAINING,UTAH_ACTION,DETROIT_ACTION,UTAH_SCORE,DETROIT_SCORE
1,11:44.0,,B. Brown makes 2-pt layup from 3 ft,0,2
1,11:22.0,D. Favors misses 3-pt jump shot from 24 ft,,0,2
1,11:19.0,,Defensive rebound by R. Jackson,0,2
1,11:11.0,,A. Drummond misses 2-pt layup from 1 ft,0,2
1,11:08.0,Defensive rebound by J. Ingles,,0,2
1,11:00.0,J. Ingles misses 2-pt layup from 5 ft,,0,2
1,10:58.0,Offensive rebound by R. Gobert,,0,2
1,10:58.0,R. Gobert misses 2-pt layup from 1 ft,,0,2
1,10:58.0,Offensive rebound by R. Gobert,,0,2
1,10:58.0,Shooting foul by R. Jackson (drawn by R. Gobert),,0,2
1,10:58.0,R. Gobert misses free throw 1 of 2,,0,2
1,10:58.0,Offensive rebound by Team,,0,2
1,10:58.0,R. Gobert misses free throw 2 of 2,,0,2
1,10:56.0,,Defensive rebound by A. Drummond,0,2
1,10:45.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Brown),0,4
1,10:32.0,J. Ingles misses 3-pt jump shot from 28 ft,,0,4
1,10:30.0,,Defensive rebound by B. Griffin,0,4
1,10:26.0,,B. Griffin misses 3-pt jump shot from 26 ft,0,4
1,10:22.0,Defensive rebound by D. Mitchell,,0,4
1,10:13.0,R. Rubio misses 3-pt jump shot from 27 ft,,0,4
1,10:11.0,,Defensive rebound by A. Drummond,0,4
1,9:52.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by R. Jackson),0,7
1,9:50.0,Utah full timeout,,0,7
1,9:40.0,Offensive foul by R. Gobert (drawn by R. Jackson),,0,7
1,9:40.0,Turnover by R. Gobert (offensive foul),,0,7
1,9:32.0,,Personal foul by D. Mitchell (drawn by B. Brown),0,7
1,9:29.0,,Turnover by R. Bullock (bad pass),0,7
1,9:13.0,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Gobert),,3,7
1,8:55.0,,R. Bullock misses 2-pt layup from 7 ft,3,7
1,8:55.0,Defensive rebound by Team,,3,7
1,8:55.0,,Loose ball foul by A. Drummond (drawn by R. Gobert),3,7
1,8:40.0,D. Favors misses 2-pt jump shot from 8 ft,,3,7
1,8:40.0,,Defensive rebound by A. Drummond,3,7
1,8:40.0,,Personal foul by R. Gobert (drawn by B. Griffin),3,7
1,8:40.0,E. Udoh enters the game for R. Gobert,,3,7
1,8:24.0,,R. Jackson misses 2-pt layup from 4 ft,3,7
1,8:21.0,Defensive rebound by E. Udoh,,3,7
1,8:01.0,D. Mitchell misses 2-pt jump shot from 11 ft,,3,7
1,7:58.0,,Defensive rebound by A. Drummond,3,7
1,7:47.0,,Shooting foul by E. Udoh (drawn by B. Brown),3,7
1,7:47.0,Shooting foul by B. Griffin (drawn by D. Favors),,3,7
1,7:47.0,,B. Brown makes free throw 1 of 2,3,8
1,7:47.0,,B. Brown makes free throw 2 of 2,3,9
1,7:39.0,D. Favors makes free throw 1 of 2,,4,9
1,7:39.0,D. Favors makes free throw 2 of 2,,5,9
1,7:26.0,,B. Griffin makes 3-pt jump shot from 27 ft (assist by R. Jackson),5,12
1,7:10.0,D. Mitchell misses 2-pt jump shot from 6 ft,,5,12
1,7:08.0,,Defensive rebound by A. Drummond,5,12
1,6:55.0,,R. Jackson misses 3-pt jump shot from 23 ft,5,12
1,6:52.0,Defensive rebound by J. Ingles,,5,12
1,6:44.0,D. Favors misses 2-pt layup from 6 ft (block by A. Drummond),,5,12
1,6:41.0,,Defensive rebound by A. Drummond,5,12
1,6:29.0,,R. Bullock makes 2-pt jump shot from 12 ft,5,14
1,6:13.0,Turnover by J. Ingles (out of bounds lost ball),,5,14
1,6:13.0,J. Crowder enters the game for D. Favors,,5,14
1,6:13.0,K. Korver enters the game for J. Ingles,,5,14
1,5:54.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by B. Brown),5,17
1,5:36.0,R. Rubio misses 2-pt layup from 2 ft,,5,17
1,5:32.0,Offensive rebound by R. Rubio,,5,17
1,5:31.0,E. Udoh makes 2-pt layup from 5 ft (assist by R. Rubio),,7,17
1,5:14.0,,R. Bullock makes 3-pt jump shot from 23 ft,7,20
1,5:00.0,J. Crowder misses 2-pt layup from 3 ft,,7,20
1,4:55.0,Violation by Team (def goaltending),,7,20
1,4:57.0,,Defensive rebound by B. Brown,7,20
1,4:55.0,,B. Brown makes 2-pt layup from 7 ft,7,22
1,4:55.0,,Shooting foul by K. Korver (drawn by B. Brown),7,22
1,4:55.0,,B. Brown makes free throw 1 of 1,7,23
1,4:55.0,D. Exum enters the game for R. Rubio,,7,23
1,4:45.0,Shooting foul by R. Jackson (drawn by D. Exum),,7,23
1,4:45.0,D. Exum makes free throw 1 of 2,,8,23
1,4:45.0,,J. Calderón enters the game for R. Jackson,8,23
1,4:45.0,D. Exum makes free throw 2 of 2,,9,23
1,4:24.0,,A. Drummond makes 2-pt layup from 4 ft (assist by B. Brown),9,25
1,4:07.0,E. Udoh misses 2-pt hook shot from 6 ft,,9,25
1,4:05.0,,Defensive rebound by A. Drummond,9,25
1,3:57.0,,B. Griffin misses 3-pt jump shot from 27 ft,9,25
1,3:54.0,Defensive rebound by D. Exum,,9,25
1,3:47.0,K. Korver makes 2-pt jump shot from 17 ft (assist by D. Exum),,11,25
1,3:29.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by B. Brown),11,28
1,3:16.0,D. Mitchell makes 2-pt jump shot from 16 ft (assist by D. Exum),,13,28
1,2:55.0,,B. Griffin misses 2-pt layup from 5 ft,13,28
1,2:50.0,,Offensive rebound by A. Drummond,13,28
1,2:50.0,,A. Drummond misses 2-pt layup at rim,13,28
1,2:49.0,Defensive rebound by J. Crowder,,13,28
1,2:47.0,Turnover by J. Crowder (bad pass; steal by B. Griffin),,13,28
1,2:42.0,,B. Griffin makes 2-pt layup from 5 ft,13,30
1,2:21.0,D. Mitchell misses 2-pt jump shot from 9 ft,,13,30
1,2:19.0,,Defensive rebound by B. Brown,13,30
1,2:19.0,,Detroit full timeout,13,30
1,2:19.0,D. Favors enters the game for D. Exum,,13,30
1,2:19.0,J. Ingles enters the game for D. Mitchell,,13,30
1,2:19.0,R. Neto enters the game for E. Udoh,,13,30
1,2:19.0,,S. Johnson enters the game for B. Brown,13,30
1,2:19.0,,L. Kennard enters the game for B. Griffin,13,30
1,2:01.0,,L. Kennard misses 3-pt jump shot from 26 ft,13,30
1,1:58.0,Defensive rebound by J. Crowder,,13,30
1,1:45.0,J. Crowder misses 2-pt jump shot from 7 ft,,13,30
1,1:42.0,Offensive rebound by J. Crowder,,13,30
1,1:36.0,R. Neto misses 2-pt jump shot from 23 ft,,13,30
1,1:36.0,,Defensive rebound by A. Drummond,13,30
1,1:10.0,,A. Drummond misses 2-pt hook shot from 3 ft,13,30
1,1:08.0,Defensive rebound by J. Crowder,,13,30
