QUARTER,TIME_REMAINING,UTAH_ACTION,DETROIT_ACTION,UTAH_SCORE,DETROIT_SCORE
1,0:52.0,J. Crowder misses 3-pt jump shot from 28 ft,,13,30
1,0:50.0,,Defensive rebound by A. Drummond,13,30
1,0:32.0,,S. Johnson misses 3-pt jump shot from 24 ft,13,30
1,0:29.0,Defensive rebound by D. Favors,,13,30
1,0:15.0,Turnover by J. Ingles (bad pass; steal by A. Drummond),,13,30
1,0:11.0,,Personal foul by K. Korver (drawn by A. Drummond),13,30
1,0:11.0,,A. Drummond makes free throw 1 of 2,13,31
1,0:11.0,D. Exum enters the game for R. Neto,,13,31
1,0:11.0,,A. Drummond misses free throw 2 of 2,13,31
1,0:09.0,Defensive rebound by K. Korver,,13,31
1,0:03.0,D. Favors misses 2-pt layup from 3 ft (block by S. Johnson),,13,31
1,0:03.0,,Defensive rebound by S. Johnson,13,31
1,0:00.0,,S. Johnson misses 3-pt jump shot from 40 ft,13,31
1,0:00.0,,Offensive rebound by Team,13,31
2,11:44.0,J. Ingles misses 2-pt jump shot from 10 ft,,13,31
2,11:40.0,,Defensive rebound by J. Calderón,13,31
2,11:22.0,,B. Griffin misses 2-pt jump shot from 12 ft,13,31
2,11:20.0,Defensive rebound by R. Gobert,,13,31
2,11:15.0,J. Ingles makes 2-pt layup from 4 ft,,15,31
2,11:15.0,Shooting foul by J. Leuer (drawn by J. Ingles),,15,31
2,11:15.0,J. Ingles makes free throw 1 of 1,,16,31
2,10:57.0,,S. Johnson misses 3-pt jump shot from 23 ft,16,31
2,10:54.0,Defensive rebound by D. Exum,,16,31
2,10:44.0,D. Exum makes 2-pt dunk from 1 ft (assist by R. Gobert),,18,31
2,10:31.0,,J. Calderón misses 2-pt jump shot from 17 ft,18,31
2,10:29.0,Defensive rebound by K. Korver,,18,31
2,10:27.0,Turnover by K. Korver (bad pass; steal by S. Johnson),,18,31
2,10:19.0,,J. Leuer misses 2-pt jump shot from 11 ft,18,31
2,10:14.0,,Offensive rebound by B. Griffin,18,31
2,10:14.0,,B. Griffin makes 2-pt layup at rim,18,33
2,10:06.0,K. Korver misses 3-pt jump shot from 28 ft,,18,33
2,10:03.0,,Defensive rebound by S. Johnson,18,33
2,9:56.0,,Turnover by S. Johnson (bad pass; steal by J. Ingles),18,33
2,9:43.0,R. Gobert makes 2-pt layup from 4 ft (assist by D. Exum),,20,33
2,9:28.0,,J. Calderón makes 3-pt jump shot from 27 ft (assist by B. Griffin),20,36
2,9:10.0,J. Crowder misses 3-pt jump shot from 28 ft,,20,36
2,9:06.0,,Defensive rebound by S. Johnson,20,36
2,8:53.0,,S. Johnson makes 2-pt jump shot from 10 ft,20,38
2,8:51.0,Utah full timeout,,20,38
2,8:51.0,D. Favors enters the game for J. Crowder,,20,38
2,8:51.0,R. Rubio enters the game for R. Gobert,,20,38
2,8:51.0,T. Sefolosha enters the game for K. Korver,,20,38
2,8:38.0,D. Favors makes 2-pt layup from 1 ft (assist by D. Exum),,22,38
2,8:38.0,Shooting foul by B. Griffin (drawn by D. Favors),,22,38
2,8:38.0,D. Favors makes free throw 1 of 1,,23,38
2,8:25.0,,L. Kennard misses 2-pt hook shot from 4 ft,23,38
2,8:22.0,Defensive rebound by T. Sefolosha,,23,38
2,8:10.0,T. Sefolosha misses 3-pt jump shot from 23 ft,,23,38
2,8:08.0,,Defensive rebound by B. Griffin,23,38
2,7:59.0,,Turnover by B. Griffin (lost ball; steal by T. Sefolosha),23,38
2,7:54.0,R. Rubio makes 3-pt jump shot from 24 ft (assist by D. Exum),,26,38
2,7:32.0,,L. Kennard misses 2-pt jump shot from 12 ft,26,38
2,7:32.0,Defensive rebound by D. Favors,,26,38
2,7:22.0,D. Favors makes 2-pt dunk from 9 ft (assist by R. Rubio),,28,38
2,7:22.0,,Detroit full timeout,28,38
2,7:22.0,,R. Bullock enters the game for J. Calderón,28,38
2,7:22.0,,L. Galloway enters the game for B. Griffin,28,38
2,7:22.0,,R. Jackson enters the game for L. Kennard,28,38
2,7:10.0,,J. Leuer misses 2-pt layup from 3 ft,28,38
2,7:07.0,Defensive rebound by T. Sefolosha,,28,38
2,6:59.0,J. Ingles makes 2-pt jump shot from 5 ft,,30,38
2,6:41.0,,L. Galloway misses 2-pt jump shot from 13 ft,30,38
2,6:39.0,Defensive rebound by Team,,30,38
2,6:39.0,D. Mitchell enters the game for D. Exum,,30,38
2,6:39.0,,A. Drummond enters the game for J. Leuer,30,38
2,6:19.0,J. Ingles makes 2-pt layup from 2 ft,,32,38
2,5:58.0,,R. Jackson misses 2-pt jump shot from 15 ft,32,38
2,5:55.0,Defensive rebound by T. Sefolosha,,32,38
2,5:52.0,Personal foul by S. Johnson (drawn by J. Ingles),,32,38
2,5:40.0,J. Ingles misses 3-pt jump shot from 28 ft,,32,38
2,5:35.0,Offensive rebound by D. Favors,,32,38
2,5:29.0,T. Sefolosha makes 2-pt layup from 4 ft (assist by R. Rubio),,34,38
2,5:05.0,,A. Drummond makes 2-pt hook shot from 8 ft,34,40
2,4:49.0,T. Sefolosha makes 2-pt hook shot from 6 ft (assist by D. Mitchell),,36,40
2,4:28.0,,R. Jackson makes 2-pt layup from 3 ft,36,42
2,4:18.0,R. Rubio makes 2-pt layup from 3 ft (assist by D. Favors),,38,42
2,4:18.0,Shooting foul by R. Jackson (drawn by R. Rubio),,38,42
2,4:18.0,R. Gobert enters the game for D. Favors,,38,42
2,4:18.0,,B. Brown enters the game for L. Galloway,38,42
2,4:18.0,,J. Calderón enters the game for R. Jackson,38,42
2,4:18.0,,B. Griffin enters the game for S. Johnson,38,42
2,4:18.0,R. Rubio makes free throw 1 of 1,,39,42
2,3:57.0,,B. Brown misses 2-pt hook shot from 7 ft,39,42
2,3:54.0,Defensive rebound by R. Gobert,,39,42
2,3:51.0,T. Sefolosha misses 2-pt layup from 4 ft,,39,42
2,3:48.0,,Defensive rebound by B. Griffin,39,42
2,3:48.0,,Personal foul by J. Ingles (drawn by B. Griffin),39,42
2,3:45.0,,Personal foul by R. Gobert (drawn by B. Griffin),39,42
2,3:45.0,D. Favors enters the game for R. Gobert,,39,42
2,3:35.0,,B. Brown misses 2-pt jump shot from 11 ft,39,42
2,3:34.0,Defensive rebound by Team,,39,42
2,3:26.0,Turnover by R. Rubio (bad pass),,39,42
2,3:05.0,,J. Calderón makes 2-pt layup from 4 ft (assist by B. Griffin),39,44
2,2:51.0,Personal foul by R. Bullock (drawn by J. Ingles),,39,44
2,2:51.0,J. Ingles makes free throw 1 of 2,,40,44
2,2:51.0,J. Ingles misses free throw 2 of 2,,40,44
2,2:48.0,,Defensive rebound by B. Griffin,40,44
2,2:38.0,,Shooting foul by J. Ingles (drawn by A. Drummond),40,44
2,2:38.0,,A. Drummond misses free throw 1 of 2,40,44
2,2:38.0,,Offensive rebound by Team,40,44
2,2:38.0,,A. Drummond misses free throw 2 of 2,40,44
2,2:36.0,Defensive rebound by J. Ingles,,40,44
2,2:21.0,R. Rubio misses 2-pt jump shot from 15 ft,,40,44
2,2:16.0,,Defensive rebound by A. Drummond,40,44
2,2:08.0,,R. Bullock misses 2-pt jump shot from 21 ft,40,44
2,2:08.0,,Offensive rebound by Team,40,44
2,1:59.0,,R. Bullock misses 3-pt jump shot from 26 ft (block by J. Ingles),40,44
2,1:59.0,,Offensive rebound by R. Bullock,40,44
2,1:59.0,,Personal foul by J. Ingles (drawn by R. Bullock),40,44
2,1:59.0,R. O'Neale enters the game for J. Ingles,,40,44
2,1:44.0,,R. Bullock misses 3-pt jump shot from 27 ft,40,44
2,1:40.0,Defensive rebound by R. O'Neale,,40,44
2,1:30.0,D. Favors misses 2-pt layup from 4 ft,,40,44
2,1:24.0,,Defensive rebound by R. Bullock,40,44
2,1:15.0,,B. Griffin makes 2-pt layup from 3 ft,40,46
2,1:04.0,Personal foul by J. Calderón (drawn by D. Favors),,40,46
2,1:04.0,D. Favors makes free throw 1 of 2,,41,46
2,1:04.0,D. Favors makes free throw 2 of 2,,42,46
2,0:54.0,,Turnover by J. Calderón (bad pass; steal by T. Sefolosha),42,46
2,0:51.0,Shooting foul by J. Calderón (drawn by T. Sefolosha),,42,46
2,0:51.0,T. Sefolosha makes free throw 1 of 2,,43,46
2,0:51.0,T. Sefolosha makes free throw 2 of 2,,44,46
2,0:41.0,,Personal foul by T. Sefolosha (drawn by B. Griffin),44,46
2,0:41.0,,B. Griffin makes free throw 1 of 2,44,47
2,0:41.0,,B. Griffin makes free throw 2 of 2,44,48
2,0:30.0,R. Rubio makes 2-pt jump shot from 11 ft (assist by D. Favors),,46,48
2,0:10.0,,B. Brown makes 2-pt layup from 5 ft,46,50
2,0:10.0,,Shooting foul by D. Mitchell (drawn by B. Brown),46,50
2,0:10.0,,B. Brown makes free throw 1 of 1,46,51
2,0:05.0,R. Rubio makes 2-pt layup from 3 ft,,48,51
2,0:01.0,,B. Griffin makes 2-pt jump shot from 22 ft,48,53
3,11:47.0,Turnover by R. Rubio (step out of bounds),,48,53
3,11:33.0,,B. Brown misses 3-pt jump shot from 27 ft,48,53
3,11:30.0,Defensive rebound by R. Gobert,,48,53
3,11:26.0,J. Ingles makes 2-pt layup from 7 ft,,50,53
3,11:26.0,,Violation by Team (def goaltending),50,53
3,11:17.0,,R. Bullock misses 2-pt layup from 8 ft (block by D. Favors),50,53
3,11:12.0,Defensive rebound by R. Gobert,,50,53
3,11:07.0,Turnover by D. Mitchell (bad pass; steal by A. Drummond),,50,53
3,10:57.0,,B. Griffin misses 3-pt jump shot from 29 ft,50,53
3,10:53.0,Defensive rebound by D. Mitchell,,50,53
3,10:47.0,Turnover by D. Mitchell (bad pass; steal by A. Drummond),,50,53
3,10:44.0,,Turnover by A. Drummond (out of bounds lost ball),50,53
3,10:29.0,D. Mitchell misses 3-pt jump shot from 26 ft,,50,53
3,10:26.0,,Defensive rebound by R. Jackson,50,53
3,10:17.0,,R. Jackson misses 2-pt jump shot from 7 ft,50,53
3,10:13.0,Defensive rebound by R. Gobert,,50,53
3,10:05.0,R. Rubio misses 2-pt layup from 3 ft,,50,53
3,10:02.0,Offensive rebound by R. Gobert,,50,53
3,10:01.0,R. Gobert makes 2-pt layup from 1 ft,,52,53
3,9:43.0,,R. Bullock makes 2-pt jump shot from 18 ft (assist by B. Griffin),52,55
3,9:28.0,Turnover by R. Rubio (bad pass; steal by B. Griffin),,52,55
3,9:25.0,,B. Griffin makes 2-pt layup from 4 ft (assist by B. Brown),52,57
3,9:24.0,Utah full timeout,,52,57
3,9:24.0,R. O'Neale enters the game for D. Mitchell,,52,57
3,9:11.0,Personal foul by R. Bullock (drawn by R. Gobert),,52,57
3,9:00.0,R. Gobert misses 2-pt layup from 5 ft,,52,57
3,8:57.0,,Defensive rebound by A. Drummond,52,57
3,8:49.0,,Personal foul by J. Ingles (drawn by R. Bullock),52,57
3,8:32.0,,B. Griffin makes 3-pt jump shot from 27 ft,52,60
3,8:09.0,R. Rubio misses 3-pt jump shot from 29 ft,,52,60
3,8:07.0,,Defensive rebound by A. Drummond,52,60
3,8:02.0,,Turnover by A. Drummond (bad pass; steal by R. Rubio),52,60
3,7:58.0,R. Rubio misses 2-pt layup from 3 ft,,52,60
3,7:54.0,,Defensive rebound by B. Griffin,52,60
3,7:49.0,,R. Jackson makes 3-pt jump shot from 28 ft (assist by R. Bullock),52,63
3,7:29.0,D. Favors makes 3-pt jump shot from 26 ft (assist by J. Ingles),,55,63
3,7:19.0,,Personal foul by R. Rubio (drawn by R. Jackson),55,63
3,7:19.0,D. Mitchell enters the game for J. Ingles,,55,63
3,7:06.0,,B. Griffin misses 2-pt layup from 3 ft,55,63
3,7:02.0,,Offensive rebound by B. Griffin,55,63
3,7:00.0,,B. Griffin makes 2-pt layup from 1 ft,55,65
3,6:49.0,R. Gobert makes 2-pt dunk from 1 ft (assist by D. Favors),,57,65
3,6:38.0,,Personal foul by D. Favors (drawn by B. Griffin),57,65
3,6:30.0,,Personal foul by R. O'Neale (drawn by B. Griffin),57,65
3,6:21.0,,B. Griffin misses 3-pt jump shot from 24 ft,57,65
3,6:18.0,Defensive rebound by D. Mitchell,,57,65
3,6:16.0,Turnover by R. Rubio (step out of bounds),,57,65
3,6:04.0,,R. Jackson makes 2-pt jump shot from 7 ft,57,67
3,6:04.0,,Shooting foul by R. O'Neale (drawn by R. Jackson),57,67
3,6:04.0,,R. Jackson makes free throw 1 of 1,57,68
3,5:52.0,D. Mitchell makes 2-pt layup from 4 ft,,59,68
3,5:46.0,,Detroit full timeout,59,68
3,5:46.0,J. Crowder enters the game for D. Favors,,59,68
3,5:39.0,,Turnover by B. Brown (bad pass; steal by D. Mitchell),59,68
3,5:29.0,D. Mitchell misses 2-pt jump shot from 7 ft,,59,68
3,5:26.0,,Defensive rebound by B. Griffin,59,68
3,5:17.0,,A. Drummond makes 2-pt dunk from 3 ft (assist by B. Griffin),59,70
3,5:07.0,R. Rubio makes 2-pt jump shot from 19 ft (assist by J. Crowder),,61,70
3,4:50.0,,R. Jackson misses 2-pt layup from 6 ft,61,70
3,4:49.0,,Offensive rebound by R. Bullock,61,70
3,4:49.0,,R. Bullock misses 2-pt layup from 1 ft,61,70
3,4:49.0,Defensive rebound by R. Rubio,,61,70
3,4:49.0,Personal foul by A. Drummond (drawn by R. Rubio),,61,70
3,4:39.0,Shooting foul by B. Brown (drawn by D. Mitchell),,61,70
3,4:39.0,D. Mitchell makes free throw 1 of 2,,62,70
3,4:39.0,D. Mitchell makes free throw 2 of 2,,63,70
3,4:29.0,,Def 3 sec tech foul by Team,63,70
3,4:29.0,,R. Jackson makes technical free throw,63,71
3,4:21.0,,Turnover by R. Jackson (out of bounds lost ball),63,71
3,4:11.0,D. Mitchell makes 2-pt layup from 6 ft,,65,71
3,3:51.0,,R. Bullock misses 3-pt jump shot from 23 ft,65,71
3,3:48.0,Defensive rebound by R. O'Neale,,65,71
3,3:44.0,Shooting foul by A. Drummond (drawn by R. Gobert),,65,71
3,3:44.0,R. Gobert misses free throw 1 of 2,,65,71
3,3:44.0,Offensive rebound by Team,,65,71
3,3:44.0,R. Neto enters the game for R. Rubio,,65,71
3,3:44.0,,J. Calderón enters the game for R. Jackson,65,71
3,3:44.0,R. Gobert makes free throw 2 of 2,,66,71
3,3:23.0,,A. Drummond makes 2-pt hook shot from 5 ft (assist by B. Brown),66,73
3,3:07.0,D. Mitchell misses 3-pt jump shot from 23 ft,,66,73
3,3:04.0,,Defensive rebound by B. Griffin,66,73
3,2:53.0,,Shooting foul by J. Crowder (drawn by B. Griffin),66,73
3,2:53.0,,B. Griffin misses free throw 1 of 2,66,73
3,2:53.0,,Offensive rebound by Team,66,73
3,2:53.0,J. Ingles enters the game for R. O'Neale,,66,73
3,2:53.0,,B. Griffin makes free throw 2 of 2,66,74
3,2:34.0,Shooting foul by B. Brown (drawn by J. Crowder),,66,74
3,2:34.0,J. Crowder misses free throw 1 of 3,,66,74
3,2:34.0,Offensive rebound by Team,,66,74
3,2:34.0,J. Crowder makes free throw 2 of 3,,67,74
3,2:34.0,J. Crowder makes free throw 3 of 3,,68,74
3,2:22.0,,Turnover by B. Griffin (out of bounds lost ball),68,74
3,2:12.0,D. Mitchell misses 2-pt jump shot from 19 ft,,68,74
3,2:09.0,,Defensive rebound by A. Drummond,68,74
3,1:55.0,,A. Drummond makes 2-pt layup from 4 ft,68,76
3,1:37.0,D. Mitchell makes 2-pt jump shot from 9 ft,,70,76
3,1:25.0,,Turnover by R. Bullock (bad pass; steal by J. Crowder),70,76
3,1:19.0,D. Mitchell makes 2-pt layup from 1 ft (assist by R. Gobert),,72,76
3,1:12.0,,Detroit full timeout,72,76
3,1:12.0,D. Favors enters the game for R. Gobert,,72,76
3,1:12.0,,S. Johnson enters the game for R. Bullock,72,76
3,1:12.0,,L. Kennard enters the game for B. Griffin,72,76
3,1:06.0,,J. Calderón makes 2-pt layup from 2 ft,72,78
3,0:49.0,D. Mitchell misses 2-pt jump shot from 11 ft,,72,78
3,0:47.0,,Defensive rebound by A. Drummond,72,78
3,0:39.0,,Turnover by J. Calderón (bad pass; steal by D. Favors),72,78
3,0:39.0,Personal foul by J. Calderón (drawn by D. Mitchell),,72,78
3,0:39.0,D. Mitchell makes free throw 1 of 2,,73,78
3,0:39.0,D. Mitchell makes free throw 2 of 2,,74,78
3,0:25.0,,B. Brown misses 2-pt layup from 4 ft (block by D. Mitchell),74,78
3,0:22.0,Defensive rebound by D. Mitchell,,74,78
3,0:03.0,R. Neto makes 2-pt jump shot from 4 ft (assist by D. Mitchell),,76,78
3,0:00.0,,Turnover by B. Brown (lost ball; steal by R. Neto),76,78
4,11:41.0,,B. Griffin misses 2-pt hook shot from 5 ft (block by D. Favors),76,78
4,11:37.0,Defensive rebound by D. Favors,,76,78
4,11:34.0,R. Neto makes 2-pt layup from 2 ft,,78,78
4,11:17.0,,Shooting foul by D. Mitchell (drawn by S. Johnson),78,78
4,11:17.0,,S. Johnson makes free throw 1 of 2,78,79
4,11:17.0,,S. Johnson makes free throw 2 of 2,78,80
4,11:09.0,Shooting foul by J. Leuer (drawn by D. Favors),,78,80
4,11:09.0,D. Favors misses free throw 1 of 2,,78,80
4,11:09.0,Offensive rebound by Team,,78,80
4,11:09.0,D. Favors makes free throw 2 of 2,,79,80
4,10:43.0,,J. Calderón misses 2-pt jump shot from 16 ft,79,80
4,10:41.0,Defensive rebound by J. Ingles,,79,80
4,10:36.0,Shooting foul by S. Johnson (drawn by D. Mitchell),,79,80
4,10:36.0,D. Mitchell makes free throw 1 of 2,,80,80
4,10:36.0,D. Mitchell misses free throw 2 of 2,,80,80
4,10:31.0,,Defensive rebound by J. Leuer,80,80
4,10:15.0,,S. Johnson misses 2-pt layup from 3 ft,80,80
4,10:12.0,Defensive rebound by D. Favors,,80,80
4,10:07.0,J. Crowder misses 2-pt jump shot from 21 ft,,80,80
4,10:04.0,,Defensive rebound by L. Kennard,80,80
4,9:57.0,,B. Griffin makes 2-pt layup from 2 ft (assist by J. Calderón),80,82
4,9:45.0,Turnover by J. Ingles (lost ball; steal by L. Kennard),,80,82
4,9:37.0,,Personal foul by J. Ingles (drawn by B. Griffin),80,82
4,9:37.0,K. Korver enters the game for J. Ingles,,80,82
4,9:26.0,,Personal foul by D. Favors (drawn by B. Griffin),80,82
4,9:24.0,,Turnover by S. Johnson (bad pass; steal by D. Mitchell),80,82
4,9:18.0,J. Crowder misses 3-pt jump shot from 28 ft,,80,82
4,9:14.0,,Defensive rebound by J. Leuer,80,82
4,9:02.0,,L. Kennard makes 2-pt jump shot from 17 ft (assist by B. Griffin),80,84
4,8:51.0,Utah full timeout,,80,84
4,8:51.0,R. Gobert enters the game for D. Favors,,80,84
4,8:51.0,,B. Brown enters the game for B. Griffin,80,84
4,8:51.0,,R. Bullock enters the game for S. Johnson,80,84
4,8:42.0,K. Korver makes 3-pt jump shot from 26 ft (assist by D. Mitchell),,83,84
4,8:13.0,,L. Kennard misses 2-pt jump shot from 10 ft,83,84
4,8:11.0,Defensive rebound by R. Gobert,,83,84
4,8:03.0,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Crowder),,85,84
4,7:40.0,,J. Calderón misses 2-pt jump shot from 17 ft (block by K. Korver),85,84
4,7:37.0,Defensive rebound by R. Gobert,,85,84
4,7:28.0,D. Mitchell makes 2-pt jump shot from 9 ft,,87,84
4,7:09.0,,J. Leuer misses 2-pt jump shot from 8 ft (block by R. Gobert),87,84
4,7:09.0,Defensive rebound by D. Mitchell,,87,84
4,6:59.0,D. Mitchell misses 2-pt layup from 4 ft,,87,84
4,6:54.0,,Defensive rebound by L. Kennard,87,84
4,6:53.0,,Shooting foul by R. Neto (drawn by B. Brown),87,84
4,6:53.0,,B. Brown makes free throw 1 of 2,87,85
4,6:53.0,,A. Drummond enters the game for J. Calderón,87,85
4,6:53.0,,B. Griffin enters the game for L. Kennard,87,85
4,6:53.0,,R. Jackson enters the game for J. Leuer,87,85
4,6:53.0,,B. Brown makes free throw 2 of 2,87,86
4,6:43.0,D. Mitchell makes 2-pt layup from 3 ft,,89,86
4,6:30.0,,Offensive foul by A. Drummond (drawn by K. Korver),89,86
4,6:30.0,,Turnover by A. Drummond (offensive foul),89,86
4,6:30.0,Utah full timeout,,89,86
4,6:30.0,D. Favors enters the game for J. Crowder,,89,86
4,6:18.0,D. Mitchell misses 2-pt jump shot from 7 ft,,89,86
4,6:15.0,,Defensive rebound by A. Drummond,89,86
4,6:01.0,,A. Drummond makes 2-pt hook shot from 5 ft (assist by R. Jackson),89,88
4,5:42.0,R. Gobert misses 2-pt layup from 1 ft,,89,88
4,5:40.0,,Defensive rebound by B. Brown,89,88
4,5:23.0,,Turnover by B. Brown (out of bounds lost ball),89,88
4,5:23.0,J. Crowder enters the game for D. Favors,,89,88
4,5:23.0,R. Rubio enters the game for R. Neto,,89,88
