QUARTER,TIME_REMAINING,ORLANDO_ACTION,DALLAS_ACTION,ORLANDO_SCORE,DALLAS_SCORE
1,11:42.0,,Turnover by H. Barnes (lost ball; steal by J. Isaac),0,0
1,11:35.0,D. Augustin misses 2-pt layup from 3 ft (block by D. Jordan),,0,0
1,11:33.0,,Defensive rebound by L. Dončić,0,0
1,11:29.0,,J. Brunson makes 2-pt jump shot from 13 ft (assist by L. Dončić),0,2
1,11:10.0,D. Augustin misses 3-pt jump shot from 25 ft,,0,2
1,11:09.0,,Defensive rebound by Team,0,2
1,10:58.0,,D. Jordan misses 2-pt dunk at rim,0,2
1,10:57.0,Defensive rebound by J. Isaac,,0,2
1,10:50.0,Turnover by N. Vučević (traveling),,0,2
1,10:28.0,,L. Dončić makes 2-pt jump shot from 17 ft (assist by D. Jordan),0,4
1,10:10.0,J. Simmons misses 3-pt jump shot from 26 ft,,0,4
1,10:07.0,,Defensive rebound by D. Jordan,0,4
1,10:01.0,,H. Barnes misses 3-pt jump shot from 25 ft,0,4
1,9:58.0,Defensive rebound by D. Augustin,,0,4
1,9:52.0,A. Gordon misses 2-pt layup from 2 ft,,0,4
1,9:51.0,Offensive rebound by Team,,0,4
1,9:49.0,Turnover by A. Gordon (traveling),,0,4
1,9:39.0,,H. Barnes makes 3-pt jump shot from 26 ft (assist by W. Matthews),0,7
1,9:18.0,A. Gordon misses 3-pt jump shot from 23 ft,,0,7
1,9:16.0,Offensive rebound by N. Vučević,,0,7
1,9:09.0,D. Augustin makes 2-pt layup from 1 ft,,2,7
1,8:52.0,,J. Brunson makes 2-pt jump shot from 11 ft,2,9
1,8:39.0,N. Vučević misses 2-pt layup from 3 ft,,2,9
1,8:38.0,Offensive rebound by N. Vučević,,2,9
1,8:34.0,N. Vučević makes 2-pt layup at rim,,4,9
1,8:28.0,,D. Jordan misses 2-pt dunk from 2 ft,4,9
1,8:28.0,Defensive rebound by J. Isaac,,4,9
1,8:22.0,J. Isaac makes 2-pt jump shot from 20 ft,,6,9
1,8:04.0,,W. Matthews misses 3-pt jump shot from 25 ft,6,9
1,8:02.0,Defensive rebound by N. Vučević,,6,9
1,7:53.0,D. Augustin misses 3-pt jump shot from 24 ft,,6,9
1,7:49.0,,Defensive rebound by H. Barnes,6,9
1,7:38.0,,Turnover by D. Jordan (bad pass),6,9
1,7:28.0,N. Vučević misses 2-pt jump shot from 15 ft,,6,9
1,7:26.0,,Defensive rebound by W. Matthews,6,9
1,7:18.0,,W. Matthews misses 2-pt layup from 1 ft (block by N. Vučević),6,9
1,7:15.0,Defensive rebound by J. Simmons,,6,9
1,7:11.0,J. Isaac misses 3-pt jump shot from 26 ft,,6,9
1,7:06.0,,Defensive rebound by D. Jordan,6,9
1,6:56.0,,Personal foul by D. Augustin (drawn by J. Brunson),6,9
1,6:56.0,,Dallas full timeout,6,9
1,6:51.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by J. Brunson),6,12
1,6:25.0,N. Vučević makes 2-pt jump shot from 11 ft (assist by D. Augustin),,8,12
1,6:09.0,,H. Barnes misses 3-pt jump shot from 25 ft,8,12
1,6:06.0,Defensive rebound by N. Vučević,,8,12
1,5:49.0,J. Simmons makes 3-pt jump shot from 25 ft (assist by N. Vučević),,11,12
1,5:32.0,,L. Dončić misses 3-pt jump shot from 25 ft,11,12
1,5:29.0,Defensive rebound by J. Isaac,,11,12
1,5:19.0,N. Vučević misses 2-pt jump shot from 23 ft,,11,12
1,5:17.0,,Defensive rebound by D. Jordan,11,12
1,5:09.0,,J. Brunson makes 2-pt jump shot from 7 ft (assist by L. Dončić),11,14
1,4:52.0,Personal foul by J. Brunson (drawn by N. Vučević),,11,14
1,4:52.0,J. Grant enters the game for D. Augustin,,11,14
1,4:52.0,W. Iwundu enters the game for A. Gordon,,11,14
1,4:48.0,J. Simmons misses 2-pt jump shot from 21 ft,,11,14
1,4:44.0,,Defensive rebound by L. Dončić,11,14
1,4:33.0,,H. Barnes misses 2-pt jump shot from 16 ft,11,14
1,4:33.0,Defensive rebound by J. Grant,,11,14
1,4:18.0,J. Isaac misses 3-pt jump shot from 25 ft,,11,14
1,4:14.0,,Defensive rebound by J. Brunson,11,14
1,4:08.0,,L. Dončić makes 2-pt jump shot from 6 ft,11,16
1,4:08.0,,Shooting foul by J. Isaac (drawn by L. Dončić),11,16
1,4:08.0,T. Ross enters the game for J. Simmons,,11,16
1,4:08.0,,J. Barea enters the game for H. Barnes,11,16
1,4:08.0,,M. Kleber enters the game for J. Brunson,11,16
1,4:08.0,,L. Dončić makes free throw 1 of 1,11,17
1,3:51.0,Def 3 sec tech foul by Team,,11,17
1,3:51.0,T. Ross makes technical free throw,,12,17
1,3:43.0,N. Vučević misses 2-pt jump shot from 11 ft,,12,17
1,3:40.0,,Defensive rebound by D. Jordan,12,17
1,3:29.0,,Personal foul by T. Ross (drawn by L. Dončić),12,17
1,3:21.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),12,19
1,3:21.0,,Shooting foul by T. Ross (drawn by D. Jordan),12,19
1,3:21.0,,D. Jordan makes free throw 1 of 1,12,20
1,3:09.0,N. Vučević makes 2-pt jump shot from 9 ft (assist by J. Grant),,14,20
1,3:03.0,,Turnover by M. Kleber (bad pass; steal by J. Grant),14,20
1,2:58.0,J. Grant misses 3-pt jump shot from 24 ft,,14,20
1,2:55.0,,Defensive rebound by J. Barea,14,20
1,2:43.0,,M. Kleber misses 3-pt jump shot from 23 ft,14,20
1,2:41.0,,Offensive rebound by M. Kleber,14,20
1,2:38.0,,L. Dončić misses 3-pt jump shot from 23 ft,14,20
1,2:36.0,,Offensive rebound by M. Kleber,14,20
1,2:27.0,,D. Jordan misses 2-pt jump shot from 13 ft,14,20
1,2:24.0,Defensive rebound by W. Iwundu,,14,20
1,2:15.0,J. Grant misses 3-pt jump shot from 25 ft,,14,20
1,2:11.0,,Defensive rebound by D. Jordan,14,20
1,1:58.0,,J. Barea misses 2-pt jump shot from 9 ft,14,20
1,1:58.0,Defensive rebound by Team,,14,20
1,1:58.0,Personal foul by D. Jordan (drawn by J. Grant),,14,20
1,1:58.0,Orlando full timeout,,14,20
1,1:58.0,K. Birch enters the game for J. Isaac,,14,20
1,1:58.0,A. Gordon enters the game for N. Vučević,,14,20
1,1:58.0,,D. Finney-Smith enters the game for L. Dončić,14,20
1,1:58.0,,D. Harris enters the game for D. Jordan,14,20
1,1:58.0,,D. Powell enters the game for W. Matthews,14,20
1,1:49.0,T. Ross misses 2-pt jump shot from 16 ft,,14,20
1,1:48.0,Offensive rebound by Team,,14,20
1,1:44.0,T. Ross makes 2-pt jump shot from 17 ft (assist by J. Grant),,16,20
1,1:30.0,,Shooting foul by W. Iwundu (drawn by D. Harris),16,20
1,1:30.0,,D. Harris makes free throw 1 of 2,16,21
1,1:30.0,,D. Harris makes free throw 2 of 2,16,22
1,1:15.0,T. Ross misses 2-pt jump shot from 20 ft,,16,22
1,1:11.0,,Defensive rebound by M. Kleber,16,22
1,1:05.0,,D. Finney-Smith makes 2-pt layup from 1 ft,16,24
1,0:44.0,A. Gordon misses 2-pt jump shot from 12 ft (block by D. Harris),,16,24
1,0:41.0,Offensive rebound by A. Gordon,,16,24
1,0:39.0,W. Iwundu makes 3-pt jump shot from 23 ft (assist by J. Grant),,19,24
1,0:29.0,,J. Barea misses 2-pt jump shot from 20 ft,19,24
1,0:26.0,Defensive rebound by K. Birch,,19,24
1,0:03.0,T. Ross misses 3-pt jump shot from 28 ft,,19,24
1,0:01.0,,Defensive rebound by Team,19,24
2,11:40.0,K. Birch makes 2-pt layup from 2 ft (assist by T. Ross),,21,24
2,11:25.0,,Shooting foul by A. Gordon (drawn by M. Kleber),21,24
2,11:25.0,,M. Kleber makes free throw 1 of 2,21,25
2,11:25.0,,M. Kleber makes free throw 2 of 2,21,26
2,11:08.0,A. Gordon misses 2-pt jump shot from 10 ft,,21,26
2,11:06.0,,Defensive rebound by D. Harris,21,26
2,10:54.0,,D. Powell misses 3-pt jump shot from 26 ft,21,26
2,10:49.0,Defensive rebound by A. Gordon,,21,26
2,10:44.0,Turnover by A. Gordon (lost ball; steal by D. Finney-Smith),,21,26
2,10:39.0,,D. Powell makes 2-pt layup from 1 ft (assist by J. Barea),21,28
2,10:30.0,Turnover by K. Birch (offensive foul),,21,28
2,10:30.0,Offensive foul by K. Birch (drawn by D. Powell),,21,28
2,10:23.0,,Shooting foul by K. Birch (drawn by D. Powell),21,28
2,10:23.0,,D. Powell misses free throw 1 of 2,21,28
2,10:23.0,,Offensive rebound by Team,21,28
2,10:23.0,,D. Powell makes free throw 2 of 2,21,29
2,10:07.0,Personal foul by D. Powell (drawn by K. Birch),,21,29
2,10:03.0,T. Ross makes 2-pt jump shot from 20 ft (assist by A. Gordon),,23,29
2,9:39.0,,M. Kleber misses 2-pt jump shot from 21 ft,23,29
2,9:38.0,,Offensive rebound by D. Finney-Smith,23,29
2,9:37.0,,Turnover by Team (shot clock),23,29
2,9:24.0,D. Augustin makes 2-pt layup from 2 ft,,25,29
2,9:11.0,,D. Powell makes 2-pt jump shot from 8 ft (assist by M. Kleber),25,31
2,8:59.0,Personal foul by D. Finney-Smith (drawn by T. Ross),,25,31
2,8:55.0,T. Ross misses 2-pt jump shot from 19 ft,,25,31
2,8:52.0,,Defensive rebound by J. Barea,25,31
2,8:40.0,,J. Barea misses 3-pt jump shot from 25 ft,25,31
2,8:38.0,Defensive rebound by K. Birch,,25,31
2,8:29.0,Turnover by D. Augustin (bad pass; steal by D. Harris),,25,31
2,8:21.0,,D. Powell makes 2-pt layup from 1 ft (assist by D. Harris),25,33
2,8:03.0,T. Ross misses 3-pt jump shot from 24 ft,,25,33
2,8:01.0,,Defensive rebound by J. Barea,25,33
2,7:54.0,,J. Barea makes 2-pt jump shot from 2 ft,25,35
2,7:47.0,Orlando full timeout,,25,35
2,7:47.0,,H. Barnes enters the game for M. Kleber,25,35
2,7:41.0,A. Gordon misses 2-pt jump shot from 15 ft,,25,35
