QUARTER,TIME_REMAINING,ATLANTA_ACTION,LA CLIPPERS_ACTION,ATLANTA_SCORE,LA CLIPPERS_SCORE
1,11:43.0,,Personal foul by J. Collins (drawn by S. Gilgeous-Alexander),0,0
1,11:35.0,,Turnover by T. Harris (bad pass; steal by D. Bembry),0,0
1,11:30.0,D. Dedmon makes 2-pt dunk from 1 ft (assist by D. Bembry),,2,0
1,11:14.0,,M. Gortat makes 2-pt layup from 1 ft (assist by P. Beverley),2,2
1,10:52.0,D. Dedmon makes 2-pt jump shot from 10 ft (assist by T. Young),,4,2
1,10:34.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft,4,2
1,10:30.0,Defensive rebound by D. Dedmon,,4,2
1,10:21.0,J. Collins misses 3-pt jump shot from 23 ft,,4,2
1,10:18.0,,Defensive rebound by P. Beverley,4,2
1,10:09.0,,T. Harris makes 2-pt jump shot from 16 ft,4,4
1,9:49.0,D. Bembry misses 3-pt jump shot from 26 ft,,4,4
1,9:46.0,,Defensive rebound by T. Harris,4,4
1,9:37.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 24 ft (assist by P. Beverley),4,7
1,9:22.0,J. Collins makes 3-pt jump shot from 26 ft (assist by T. Young),,7,7
1,9:08.0,,Personal foul by D. Dedmon (drawn by P. Beverley),7,7
1,8:54.0,,P. Beverley misses 2-pt jump shot from 9 ft,7,7
1,8:52.0,,Offensive rebound by M. Gortat,7,7
1,8:48.0,,Turnover by M. Gortat (lost ball; steal by J. Collins),7,7
1,8:41.0,J. Collins makes 2-pt layup from 1 ft (assist by D. Dedmon),,9,7
1,8:41.0,Shooting foul by S. Gilgeous-Alexander (drawn by J. Collins),,9,7
1,8:41.0,J. Collins makes free throw 1 of 1,,10,7
1,8:24.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 23 ft,10,7
1,8:21.0,,Offensive rebound by P. Beverley,10,7
1,8:19.0,,A. Bradley makes 3-pt jump shot from 26 ft (assist by T. Harris),10,10
1,8:07.0,T. Young misses 3-pt jump shot from 26 ft,,10,10
1,8:04.0,Offensive rebound by J. Collins,,10,10
1,7:53.0,J. Collins misses 3-pt jump shot from 23 ft,,10,10
1,7:51.0,,Defensive rebound by T. Harris,10,10
1,7:48.0,,Offensive foul by T. Harris (drawn by J. Collins),10,10
1,7:48.0,,Turnover by T. Harris (offensive foul),10,10
1,7:48.0,J. Lin enters the game for D. Bembry,,10,10
1,7:48.0,T. Prince enters the game for K. Huerter,,10,10
1,7:24.0,T. Prince misses 2-pt jump shot from 12 ft,,10,10
1,7:24.0,Offensive rebound by Team,,10,10
1,7:24.0,Turnover by Team (shot clock),,10,10
1,7:11.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,10,12
1,7:00.0,T. Young makes 2-pt jump shot from 12 ft,,12,12
1,6:40.0,,T. Harris misses 3-pt jump shot from 25 ft,12,12
1,6:36.0,Defensive rebound by D. Dedmon,,12,12
1,6:30.0,J. Lin makes 3-pt jump shot from 25 ft,,15,12
1,6:18.0,,M. Gortat misses 2-pt jump shot from 11 ft,15,12
1,6:16.0,Defensive rebound by T. Prince,,15,12
1,6:07.0,J. Collins makes 3-pt jump shot from 23 ft (assist by T. Young),,18,12
1,5:56.0,,LA Clippers full timeout,18,12
1,5:56.0,D. Bembry enters the game for D. Dedmon,,18,12
1,5:56.0,A. Len enters the game for T. Young,,18,12
1,5:56.0,,M. Harrell enters the game for M. Gortat,18,12
1,5:45.0,,T. Harris makes 2-pt jump shot from 16 ft,18,14
1,5:32.0,Personal foul by M. Harrell (drawn by J. Lin),,18,14
1,5:24.0,T. Prince misses 2-pt jump shot from 17 ft,,18,14
1,5:22.0,,Defensive rebound by P. Beverley,18,14
1,5:14.0,,Personal foul by T. Prince (drawn by S. Gilgeous-Alexander),18,14
1,5:14.0,O. Spellman enters the game for J. Collins,,18,14
1,5:13.0,,Personal foul by D. Bembry (drawn by A. Bradley),18,14
1,5:09.0,,Turnover by M. Harrell (bad pass; steal by D. Bembry),18,14
1,5:02.0,J. Lin misses 3-pt jump shot from 23 ft,,18,14
1,4:55.0,Offensive rebound by O. Spellman,,18,14
1,4:55.0,O. Spellman makes 2-pt layup at rim,,20,14
1,4:51.0,,A. Bradley misses 3-pt jump shot from 25 ft,20,14
1,4:49.0,Defensive rebound by J. Lin,,20,14
1,4:35.0,Personal foul by T. Harris (drawn by J. Lin),,20,14
1,4:35.0,,M. Scott enters the game for S. Gilgeous-Alexander,20,14
1,4:35.0,,L. Williams enters the game for T. Harris,20,14
1,4:29.0,T. Prince misses 2-pt jump shot from 14 ft,,20,14
1,4:25.0,,Defensive rebound by L. Williams,20,14
1,4:08.0,,L. Williams misses 2-pt jump shot from 15 ft,20,14
1,4:04.0,,Offensive rebound by A. Bradley,20,14
1,4:03.0,,Offensive foul by A. Bradley (drawn by D. Bembry),20,14
1,4:03.0,,Turnover by A. Bradley (offensive foul),20,14
1,3:50.0,Turnover by J. Lin (bad pass; steal by P. Beverley),,20,14
1,3:49.0,,Personal foul by J. Lin (drawn by P. Beverley),20,14
1,3:49.0,,P. Beverley makes free throw 1 of 2,20,15
1,3:49.0,,P. Beverley makes free throw 2 of 2,20,16
1,3:37.0,J. Lin misses 2-pt layup from 4 ft (block by P. Beverley),,20,16
1,3:35.0,Offensive rebound by J. Lin,,20,16
1,3:34.0,Turnover by J. Lin (lost ball; steal by P. Beverley),,20,16
1,3:21.0,,P. Beverley makes 2-pt jump shot from 10 ft (assist by M. Scott),20,18
1,3:04.0,Turnover by T. Prince (bad pass; steal by P. Beverley),,20,18
1,2:56.0,,Shooting foul by O. Spellman (drawn by L. Williams),20,18
1,2:56.0,Atlanta full timeout,,20,18
1,2:56.0,,J. Robinson enters the game for A. Bradley,20,18
1,2:56.0,,L. Williams makes free throw 1 of 3,20,19
1,2:56.0,,L. Williams makes free throw 2 of 3,20,20
1,2:56.0,,L. Williams makes free throw 3 of 3,20,21
1,2:36.0,A. Len makes 2-pt dunk from 1 ft (assist by D. Bembry),,22,21
1,2:36.0,Shooting foul by M. Scott (drawn by A. Len),,22,21
1,2:36.0,K. Huerter enters the game for T. Prince,,22,21
1,2:36.0,A. Len makes free throw 1 of 1,,23,21
1,2:29.0,,Personal foul by D. Bembry (drawn by L. Williams),23,21
1,2:29.0,,L. Williams makes free throw 1 of 2,23,22
1,2:29.0,T. Young enters the game for D. Bembry,,23,22
1,2:29.0,,L. Williams makes free throw 2 of 2,23,23
1,2:15.0,T. Young makes 3-pt jump shot from 25 ft (assist by O. Spellman),,26,23
1,1:56.0,,L. Williams misses 2-pt jump shot from 15 ft,26,23
1,1:53.0,Defensive rebound by A. Len,,26,23
1,1:49.0,Personal foul by L. Williams (drawn by J. Lin),,26,23
