QUARTER,TIME_REMAINING,PORTLAND_ACTION,HOUSTON_ACTION,PORTLAND_SCORE,HOUSTON_SCORE
1,11:47.0,D. Lillard makes 2-pt jump shot from 14 ft (assist by J. Nurkić),,2,0
1,11:29.0,,E. Gordon misses 2-pt jump shot from 11 ft,2,0
1,11:26.0,Defensive rebound by J. Nurkić,,2,0
1,11:19.0,Turnover by D. Lillard (bad pass),,2,0
1,11:05.0,,Turnover by C. Capela (lost ball; steal by D. Lillard),2,0
1,11:03.0,Turnover by A. Aminu (bad pass),,2,0
1,10:53.0,,C. Capela misses 2-pt layup from 3 ft (block by J. Nurkić),2,0
1,10:52.0,Defensive rebound by C. McCollum,,2,0
1,10:42.0,J. Layman makes 2-pt dunk from 2 ft (assist by J. Nurkić),,4,0
1,10:27.0,,P. Tucker makes 2-pt jump shot from 21 ft (assist by C. Paul),4,2
1,10:17.0,J. Nurkić misses 2-pt hook shot from 4 ft,,4,2
1,10:15.0,,Defensive rebound by C. Capela,4,2
1,10:06.0,,E. Gordon misses 2-pt layup from 5 ft,4,2
1,10:04.0,Defensive rebound by C. McCollum,,4,2
1,9:54.0,D. Lillard misses 3-pt jump shot from 26 ft,,4,2
1,9:52.0,,Defensive rebound by C. Capela,4,2
1,9:40.0,,C. Paul misses 2-pt jump shot from 13 ft,4,2
1,9:36.0,Defensive rebound by J. Nurkić,,4,2
1,9:19.0,J. Layman misses 2-pt jump shot from 20 ft (block by P. Tucker),,4,2
1,9:19.0,Offensive rebound by Team,,4,2
1,9:14.0,Turnover by Team (shot clock),,4,2
1,9:00.0,,C. Anthony misses 2-pt jump shot from 15 ft,4,2
1,8:57.0,Defensive rebound by J. Nurkić,,4,2
1,8:46.0,C. McCollum misses 2-pt layup from 2 ft (block by C. Capela),,4,2
1,8:40.0,,Defensive rebound by P. Tucker,4,2
1,8:39.0,,E. Gordon misses 2-pt jump shot from 5 ft,4,2
1,8:33.0,,Offensive rebound by C. Capela,4,2
1,8:33.0,,C. Capela makes 2-pt dunk at rim,4,4
1,8:17.0,J. Nurkić misses 2-pt hook shot from 7 ft,,4,4
1,8:15.0,,Defensive rebound by C. Capela,4,4
1,7:58.0,,C. Paul misses 2-pt jump shot from 11 ft,4,4
1,7:53.0,Defensive rebound by J. Layman,,4,4
1,7:48.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),,7,4
1,7:35.0,,C. Anthony misses 2-pt jump shot from 19 ft,7,4
1,7:33.0,,Offensive rebound by P. Tucker,7,4
1,7:30.0,,P. Tucker misses 3-pt jump shot from 22 ft,7,4
1,7:30.0,Defensive rebound by J. Nurkić,,7,4
1,7:20.0,D. Lillard makes 2-pt layup from 1 ft,,9,4
1,7:14.0,,Personal foul by D. Lillard (drawn by C. Paul),9,4
1,6:54.0,,E. Gordon makes 2-pt layup from 3 ft (assist by C. Paul),9,6
1,6:28.0,C. McCollum misses 3-pt jump shot from 26 ft,,9,6
1,6:27.0,Offensive rebound by J. Nurkić,,9,6
1,6:27.0,Shooting foul by P. Tucker (drawn by J. Nurkić),,9,6
1,6:27.0,,Houston full timeout,9,6
1,6:27.0,E. Turner enters the game for J. Layman,,9,6
1,6:27.0,,M. Carter-Williams enters the game for C. Paul,9,6
1,6:27.0,,G. Green enters the game for P. Tucker,9,6
1,6:27.0,J. Nurkić misses free throw 1 of 2,,9,6
1,6:27.0,Offensive rebound by Team,,9,6
1,6:27.0,J. Nurkić makes free throw 2 of 2,,10,6
1,6:15.0,,E. Gordon misses 3-pt jump shot from 27 ft (block by C. McCollum),10,6
1,6:12.0,,Offensive rebound by C. Capela,10,6
1,6:11.0,,C. Capela misses 2-pt hook shot from 4 ft,10,6
1,6:09.0,Defensive rebound by J. Nurkić,,10,6
1,6:02.0,D. Lillard makes 2-pt jump shot from 9 ft,,12,6
1,5:48.0,,G. Green makes 3-pt jump shot from 26 ft (assist by C. Capela),12,9
1,5:29.0,Turnover by E. Turner (lost ball; steal by M. Carter-Williams),,12,9
1,5:26.0,,Turnover by C. Capela (lost ball; steal by E. Turner),12,9
1,5:16.0,Personal foul by C. Capela (drawn by D. Lillard),,12,9
1,5:16.0,Turnover by (5 sec),,12,9
1,5:06.0,,E. Gordon makes 2-pt layup from 2 ft,12,11
1,4:46.0,C. McCollum misses 2-pt layup from 5 ft (block by C. Anthony),,12,11
1,4:40.0,,Defensive rebound by C. Anthony,12,11
1,4:38.0,,C. Anthony misses 2-pt jump shot from 21 ft,12,11
1,4:36.0,Defensive rebound by E. Turner,,12,11
1,4:29.0,E. Turner makes 2-pt jump shot from 18 ft,,14,11
1,4:05.0,,E. Gordon misses 2-pt layup from 3 ft,14,11
1,4:05.0,Defensive rebound by Team,,14,11
1,4:05.0,Z. Collins enters the game for J. Nurkić,,14,11
1,4:05.0,,I. Hartenstein enters the game for C. Capela,14,11
1,3:45.0,C. McCollum makes 2-pt jump shot from 15 ft,,16,11
1,3:23.0,,M. Carter-Williams misses 3-pt jump shot from 26 ft,16,11
1,3:20.0,,Offensive rebound by I. Hartenstein,16,11
1,3:13.0,,Shooting foul by Z. Collins (drawn by C. Anthony),16,11
1,3:13.0,,C. Anthony makes free throw 1 of 2,16,12
1,3:13.0,,C. Anthony makes free throw 2 of 2,16,13
1,2:54.0,Portland full timeout,,16,13
1,2:54.0,,G. Clark enters the game for C. Anthony,16,13
1,2:54.0,,C. Paul enters the game for M. Carter-Williams,16,13
1,2:54.0,,P. Tucker enters the game for E. Gordon,16,13
1,2:50.0,A. Aminu misses 2-pt jump shot from 12 ft,,16,13
1,2:46.0,,Defensive rebound by G. Clark,16,13
1,2:41.0,,G. Clark misses 3-pt jump shot from 29 ft,16,13
1,2:40.0,Defensive rebound by D. Lillard,,16,13
1,2:40.0,Personal foul by I. Hartenstein (drawn by D. Lillard),,16,13
1,2:40.0,S. Curry enters the game for A. Aminu,,16,13
1,2:40.0,N. Stauskas enters the game for D. Lillard,,16,13
1,2:40.0,C. Swanigan enters the game for C. McCollum,,16,13
1,2:27.0,Turnover by Z. Collins (bad pass),,16,13
1,2:10.0,,G. Green misses 3-pt jump shot from 26 ft,16,13
1,2:07.0,,Offensive rebound by G. Green,16,13
1,2:07.0,,G. Green misses 2-pt layup from 3 ft,16,13
1,2:05.0,Defensive rebound by E. Turner,,16,13
1,1:49.0,N. Stauskas misses 2-pt layup from 3 ft,,16,13
1,1:47.0,,Defensive rebound by C. Paul,16,13
1,1:42.0,,I. Hartenstein misses 2-pt layup from 4 ft,16,13
1,1:38.0,Defensive rebound by Z. Collins,,16,13
1,1:32.0,N. Stauskas misses 3-pt jump shot from 25 ft,,16,13
1,1:29.0,,Defensive rebound by C. Paul,16,13
1,1:26.0,,G. Green misses 3-pt jump shot from 26 ft,16,13
1,1:26.0,Defensive rebound by Z. Collins,,16,13
1,1:15.0,C. Swanigan misses 2-pt jump shot from 5 ft,,16,13
1,1:12.0,,Defensive rebound by C. Paul,16,13
1,0:58.0,,C. Paul misses 3-pt jump shot from 26 ft,16,13
1,0:55.0,Defensive rebound by C. Swanigan,,16,13
1,0:45.0,E. Turner misses 2-pt jump shot from 4 ft,,16,13
1,0:43.0,,Defensive rebound by P. Tucker,16,13
1,0:41.0,,Personal foul by E. Turner (drawn by C. Paul),16,13
1,0:34.0,,G. Green misses 3-pt jump shot from 28 ft,16,13
1,0:31.0,Defensive rebound by S. Curry,,16,13
1,0:24.0,N. Stauskas makes 3-pt jump shot from 25 ft (assist by S. Curry),,19,13
1,0:10.0,,Personal foul by E. Turner (drawn by C. Paul),19,13
1,0:10.0,,C. Paul makes free throw 1 of 2,19,14
1,0:10.0,,C. Paul makes free throw 2 of 2,19,15
1,0:00.0,E. Turner misses 2-pt jump shot from 9 ft,,19,15
1,0:00.0,Offensive rebound by Team,,19,15
2,11:47.0,,G. Clark misses 3-pt jump shot from 28 ft,19,15
2,11:44.0,Defensive rebound by E. Turner,,19,15
2,11:29.0,Z. Collins makes 2-pt jump shot from 8 ft,,21,15
2,11:29.0,Shooting foul by G. Green (drawn by Z. Collins),,21,15
2,11:29.0,Z. Collins makes free throw 1 of 1,,22,15
2,11:07.0,,C. Paul misses 2-pt layup from 3 ft,22,15
2,11:06.0,Defensive rebound by Team,,22,15
2,11:06.0,,Loose ball foul by I. Hartenstein (drawn by S. Curry),22,15
2,11:06.0,,C. Capela enters the game for I. Hartenstein,22,15
2,10:45.0,C. Swanigan misses 2-pt hook shot from 10 ft (block by C. Capela),,22,15
2,10:43.0,,Defensive rebound by C. Capela,22,15
2,10:35.0,,C. Capela makes 2-pt dunk from 3 ft (assist by C. Paul),22,17
2,10:35.0,,Shooting foul by Z. Collins (drawn by C. Capela),22,17
2,10:35.0,,C. Capela misses free throw 1 of 1,22,17
2,10:35.0,Defensive rebound by C. Swanigan,,22,17
2,10:18.0,Z. Collins misses 3-pt jump shot from 26 ft,,22,17
2,10:15.0,,Defensive rebound by G. Clark,22,17
2,10:08.0,,Shooting foul by C. Swanigan (drawn by C. Capela),22,17
2,10:08.0,,C. Capela makes free throw 1 of 2,22,18
2,10:08.0,,M. Carter-Williams enters the game for G. Green,22,18
2,10:08.0,,C. Capela misses free throw 2 of 2,22,18
2,10:08.0,Defensive rebound by C. Swanigan,,22,18
2,9:51.0,S. Curry misses 2-pt layup from 2 ft (block by G. Clark),,22,18
2,9:48.0,,Defensive rebound by P. Tucker,22,18
2,9:33.0,,G. Clark misses 2-pt layup from 10 ft (block by Z. Collins),22,18
2,9:30.0,,Offensive rebound by P. Tucker,22,18
2,9:26.0,,C. Paul misses 2-pt jump shot from 5 ft,22,18
2,9:26.0,Defensive rebound by C. Swanigan,,22,18
2,9:17.0,Turnover by N. Stauskas (lost ball; steal by P. Tucker),,22,18
2,9:09.0,,Turnover by M. Carter-Williams (traveling),22,18
2,8:49.0,E. Turner makes 2-pt jump shot from 4 ft,,24,18
2,8:39.0,,M. Carter-Williams misses 3-pt jump shot from 23 ft,24,18
2,8:39.0,,Offensive rebound by C. Capela,24,18
2,8:35.0,,Turnover by C. Capela (offensive foul),24,18
2,8:35.0,,Offensive foul by C. Capela (drawn by C. Swanigan),24,18
2,8:35.0,,C. Anthony enters the game for G. Clark,24,18
2,8:35.0,,E. Gordon enters the game for C. Paul,24,18
2,8:25.0,Turnover by E. Turner (bad pass),,24,18
2,8:13.0,,C. Anthony misses 3-pt jump shot from 27 ft,24,18
2,8:10.0,Defensive rebound by N. Stauskas,,24,18
2,8:05.0,N. Stauskas makes 2-pt jump shot from 11 ft,,26,18
2,7:47.0,,M. Carter-Williams makes 2-pt hook shot from 3 ft,26,20
2,7:35.0,S. Curry misses 2-pt jump shot from 20 ft,,26,20
2,7:32.0,,Defensive rebound by E. Gordon,26,20
2,7:25.0,,C. Capela misses 2-pt hook shot from 9 ft,26,20
2,7:20.0,Defensive rebound by E. Turner,,26,20
2,7:15.0,N. Stauskas misses 3-pt jump shot from 26 ft,,26,20
2,7:13.0,,Defensive rebound by E. Gordon,26,20
2,7:10.0,,Turnover by P. Tucker (step out of bounds),26,20
2,7:10.0,A. Aminu enters the game for Z. Collins,,26,20
2,7:10.0,D. Lillard enters the game for S. Curry,,26,20
2,7:10.0,C. McCollum enters the game for C. Swanigan,,26,20
2,7:10.0,J. Nurkić enters the game for E. Turner,,26,20
2,7:10.0,,I. Hartenstein enters the game for C. Capela,26,20
2,6:58.0,Turnover by D. Lillard (out of bounds lost ball),,26,20
2,6:58.0,,Houston full timeout,26,20
2,6:58.0,,C. Paul enters the game for M. Carter-Williams,26,20
2,6:49.0,,C. Paul makes 3-pt jump shot from 26 ft (assist by I. Hartenstein),26,23
2,6:29.0,Turnover by J. Nurkić (traveling),,26,23
2,6:19.0,,Turnover by C. Paul (bad pass),26,23
2,6:08.0,J. Nurkić makes 2-pt dunk from 1 ft (assist by D. Lillard),,28,23
2,5:49.0,,C. Anthony makes 2-pt dunk from 1 ft,28,25
2,5:29.0,Turnover by J. Nurkić (bad pass; steal by C. Anthony),,28,25
2,5:24.0,,E. Gordon makes 3-pt jump shot from 27 ft (assist by C. Paul),28,28
2,5:10.0,Shooting foul by I. Hartenstein (drawn by D. Lillard),,28,28
2,5:10.0,D. Lillard makes free throw 1 of 2,,29,28
2,5:10.0,,C. Capela enters the game for I. Hartenstein,29,28
2,5:10.0,,G. Green enters the game for P. Tucker,29,28
2,5:10.0,D. Lillard makes free throw 2 of 2,,30,28
2,4:51.0,,C. Paul misses 2-pt layup from 3 ft,30,28
2,4:48.0,Defensive rebound by D. Lillard,,30,28
2,4:44.0,Shooting foul by C. Anthony (drawn by J. Nurkić),,30,28
2,4:44.0,J. Nurkić makes free throw 1 of 2,,31,28
2,4:44.0,J. Nurkić makes free throw 2 of 2,,32,28
2,4:32.0,,C. Capela makes 2-pt hook shot from 3 ft,32,30
2,4:20.0,C. McCollum makes 2-pt layup from 3 ft,,34,30
2,4:00.0,,E. Gordon misses 3-pt jump shot from 24 ft,34,30
2,3:58.0,Defensive rebound by D. Lillard,,34,30
2,3:52.0,D. Lillard makes 2-pt layup from 2 ft,,36,30
2,3:52.0,Shooting foul by E. Gordon (drawn by D. Lillard),,36,30
2,3:52.0,S. Curry enters the game for N. Stauskas,,36,30
2,3:52.0,D. Lillard makes free throw 1 of 1,,37,30
2,3:43.0,,Shooting foul by C. McCollum (drawn by C. Paul),37,30
2,3:43.0,,C. Paul misses free throw 1 of 2,37,30
2,3:43.0,,Offensive rebound by Team,37,30
2,3:43.0,,C. Paul makes free throw 2 of 2,37,31
2,3:26.0,Turnover by D. Lillard (step out of bounds),,37,31
2,3:21.0,,Offensive foul by C. Paul (drawn by D. Lillard),37,31
2,3:21.0,,Turnover by C. Paul (offensive foul),37,31
2,3:11.0,C. McCollum makes 3-pt jump shot from 22 ft (assist by D. Lillard),,40,31
2,2:53.0,,C. Anthony misses 2-pt layup from 4 ft,40,31
2,2:52.0,,Offensive rebound by C. Capela,40,31
2,2:51.0,,Shooting foul by J. Nurkić (drawn by C. Capela),40,31
2,2:51.0,Portland full timeout,,40,31
2,2:51.0,,P. Tucker enters the game for G. Green,40,31
2,2:51.0,,C. Capela misses free throw 1 of 2,40,31
2,2:51.0,,Offensive rebound by Team,40,31
2,2:51.0,,C. Capela misses free throw 2 of 2,40,31
2,2:51.0,Defensive rebound by J. Nurkić,,40,31
2,2:41.0,D. Lillard misses 2-pt jump shot from 17 ft,,40,31
2,2:40.0,Offensive rebound by Team,,40,31
2,2:40.0,,Loose ball foul by C. Anthony (drawn by J. Nurkić),40,31
2,2:40.0,J. Nurkić misses free throw 1 of 2,,40,31
2,2:40.0,Offensive rebound by Team,,40,31
2,2:40.0,J. Nurkić makes free throw 2 of 2,,41,31
2,2:22.0,,E. Gordon misses 2-pt jump shot from 5 ft,41,31
2,2:18.0,Defensive rebound by C. McCollum,,41,31
2,2:11.0,J. Nurkić makes 2-pt layup from 2 ft,,43,31
2,1:50.0,,C. Capela makes 2-pt dunk at rim (assist by P. Tucker),43,33
2,1:27.0,Shooting foul by E. Gordon (drawn by C. McCollum),,43,33
2,1:27.0,C. McCollum makes free throw 1 of 2,,44,33
2,1:27.0,C. McCollum makes free throw 2 of 2,,45,33
2,1:15.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by C. Paul),45,36
2,1:01.0,Shooting foul by E. Gordon (drawn by D. Lillard),,45,36
2,1:01.0,D. Lillard makes free throw 1 of 2,,46,36
2,1:01.0,D. Lillard makes free throw 2 of 2,,47,36
2,0:54.0,,C. Paul misses 2-pt jump shot from 14 ft,47,36
2,0:51.0,Defensive rebound by A. Aminu,,47,36
2,0:34.0,C. McCollum misses 3-pt jump shot from 25 ft,,47,36
2,0:32.0,Offensive rebound by A. Aminu,,47,36
2,0:27.0,D. Lillard makes 2-pt layup from 2 ft,,49,36
2,0:11.0,,C. Anthony misses 2-pt jump shot from 15 ft,49,36
2,0:08.0,,Offensive rebound by C. Capela,49,36
2,0:07.0,,Turnover by C. Capela (lost ball; steal by A. Aminu),49,36
2,0:02.0,C. McCollum makes 2-pt jump shot from 2 ft,,51,36
2,0:00.0,,C. Paul misses 3-pt jump shot from 33 ft,51,36
2,0:00.0,,Offensive rebound by Team,51,36
3,11:40.0,,Shooting foul by J. Nurkić (drawn by E. Gordon),51,36
3,11:40.0,,E. Gordon misses free throw 1 of 2,51,36
3,11:40.0,,Offensive rebound by Team,51,36
3,11:40.0,,E. Gordon makes free throw 2 of 2,51,37
3,11:26.0,J. Nurkić makes 2-pt dunk from 3 ft (assist by D. Lillard),,53,37
3,11:10.0,,E. Gordon misses 2-pt jump shot from 5 ft,53,37
3,11:07.0,Defensive rebound by C. McCollum,,53,37
3,11:03.0,C. McCollum makes 2-pt jump shot from 17 ft,,55,37
3,10:49.0,,C. Capela makes 2-pt hook shot from 2 ft (assist by C. Paul),55,39
3,10:38.0,J. Nurkić makes 2-pt dunk from 1 ft (assist by D. Lillard),,57,39
3,10:32.0,,E. Gordon misses 3-pt jump shot from 25 ft,57,39
3,10:32.0,Defensive rebound by A. Aminu,,57,39
3,10:20.0,D. Lillard makes 2-pt layup from 3 ft,,59,39
3,10:20.0,,Houston full timeout,59,39
3,10:02.0,,C. Capela misses 2-pt jump shot from 6 ft,59,39
3,10:01.0,Defensive rebound by J. Nurkić,,59,39
3,9:54.0,J. Layman makes 3-pt jump shot from 23 ft (assist by C. McCollum),,62,39
3,9:33.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by E. Gordon),62,42
3,9:12.0,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),,64,42
3,9:12.0,Violation by Team (delay of game),,64,42
3,8:59.0,,Personal foul by A. Aminu (drawn by C. Anthony),64,42
3,8:47.0,,C. Paul misses 2-pt jump shot from 3 ft,64,42
3,8:47.0,Defensive rebound by Team,,64,42
3,8:36.0,A. Aminu misses 3-pt jump shot from 27 ft,,64,42
3,8:33.0,,Defensive rebound by P. Tucker,64,42
3,8:24.0,,P. Tucker misses 3-pt jump shot from 23 ft,64,42
3,8:18.0,,Offensive rebound by C. Capela,64,42
3,8:18.0,,C. Capela makes 2-pt hook shot from 2 ft,64,44
3,8:08.0,J. Nurkić misses 2-pt jump shot from 12 ft,,64,44
3,8:06.0,,Defensive rebound by E. Gordon,64,44
3,8:03.0,,Personal foul by A. Aminu (drawn by C. Anthony),64,44
3,7:52.0,,C. Anthony misses 3-pt jump shot from 26 ft,64,44
3,7:49.0,,Offensive rebound by P. Tucker,64,44
3,7:44.0,,C. Paul misses 3-pt jump shot from 25 ft,64,44
3,7:41.0,,Offensive rebound by C. Paul,64,44
3,7:28.0,,C. Capela misses 2-pt hook shot from 10 ft,64,44
3,7:28.0,,Offensive rebound by Team,64,44
3,7:28.0,,Turnover by Team (shot clock),64,44
3,7:17.0,Personal foul by C. Paul (drawn by D. Lillard),,64,44
3,7:08.0,C. McCollum makes 3-pt jump shot from 27 ft,,67,44
3,6:56.0,,C. Paul makes 2-pt jump shot from 7 ft,67,46
3,6:46.0,Personal foul by C. Paul (drawn by D. Lillard),,67,46
3,6:46.0,,G. Green enters the game for C. Capela,67,46
3,6:41.0,J. Layman misses 2-pt jump shot from 7 ft,,67,46
3,6:39.0,,Defensive rebound by P. Tucker,67,46
3,6:29.0,,C. Paul misses 3-pt jump shot from 26 ft,67,46
3,6:26.0,Defensive rebound by A. Aminu,,67,46
3,6:20.0,J. Nurkić makes 2-pt layup from 4 ft (assist by C. McCollum),,69,46
3,6:02.0,,C. Anthony makes 2-pt layup from 3 ft,69,48
3,5:41.0,Shooting foul by E. Gordon (drawn by J. Nurkić),,69,48
3,5:41.0,J. Nurkić makes free throw 1 of 2,,70,48
3,5:41.0,E. Turner enters the game for J. Layman,,70,48
3,5:41.0,,M. Carter-Williams enters the game for C. Anthony,70,48
3,5:41.0,,G. Clark enters the game for C. Paul,70,48
3,5:41.0,J. Nurkić makes free throw 2 of 2,,71,48
3,5:33.0,,E. Gordon misses 3-pt jump shot from 26 ft,71,48
3,5:29.0,Defensive rebound by A. Aminu,,71,48
3,5:25.0,A. Aminu makes 2-pt layup from 2 ft,,73,48
3,5:25.0,Shooting foul by E. Gordon (drawn by A. Aminu),,73,48
3,5:25.0,A. Aminu makes free throw 1 of 1,,74,48
3,5:19.0,,Shooting foul by D. Lillard (drawn by M. Carter-Williams),74,48
3,5:19.0,,Offensive rebound by Team,74,48
3,5:19.0,,M. Carter-Williams misses free throw 1 of 2,74,48
3,5:19.0,,C. Anthony enters the game for E. Gordon,74,48
