QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,BOSTON_ACTION,MILWAUKEE_SCORE,BOSTON_SCORE
1,11:44.0,Personal foul by S. Ojeleye (drawn by B. Lopez),,0,0
1,11:35.0,K. Middleton misses 3-pt jump shot from 25 ft,,0,0
1,11:31.0,Offensive rebound by G. Antetokounmpo,,0,0
1,11:26.0,G. Antetokounmpo misses 2-pt jump shot from 17 ft,,0,0
1,11:23.0,,Defensive rebound by S. Ojeleye,0,0
1,11:13.0,,G. Hayward makes 3-pt jump shot from 27 ft (assist by A. Horford),0,3
1,11:01.0,E. Bledsoe makes 3-pt jump shot from 24 ft (assist by M. Brogdon),,3,3
1,10:43.0,,K. Irving makes 2-pt jump shot from 9 ft (assist by J. Tatum),3,5
1,10:23.0,M. Brogdon misses 2-pt layup from 2 ft (block by G. Hayward),,3,5
1,10:19.0,,Defensive rebound by G. Hayward,3,5
1,10:15.0,,G. Hayward makes 2-pt jump shot from 7 ft,3,7
1,9:51.0,Turnover by M. Brogdon (back court),,3,7
1,9:38.0,,G. Hayward misses 2-pt layup from 5 ft (block by B. Lopez),3,7
1,9:35.0,,Offensive rebound by J. Tatum,3,7
1,9:33.0,,J. Tatum misses 2-pt jump shot from 18 ft,3,7
1,9:33.0,Defensive rebound by B. Lopez,,3,7
1,9:14.0,G. Antetokounmpo makes 2-pt dunk from 1 ft,,5,7
1,9:01.0,,K. Irving misses 3-pt jump shot from 25 ft,5,7
1,8:58.0,Defensive rebound by G. Antetokounmpo,,5,7
1,8:45.0,Turnover by K. Middleton (discontinued dribble),,5,7
1,8:29.0,,A. Horford makes 3-pt jump shot from 27 ft (assist by K. Irving),5,10
1,8:12.0,B. Lopez makes 2-pt dunk at rim (assist by E. Bledsoe),,7,10
1,7:53.0,,S. Ojeleye misses 3-pt jump shot from 26 ft,7,10
1,7:52.0,Defensive rebound by B. Lopez,,7,10
1,7:41.0,Personal foul by S. Ojeleye (drawn by G. Antetokounmpo),,7,10
1,7:32.0,Turnover by B. Lopez (bad pass; steal by S. Ojeleye),,7,10
1,7:28.0,,Turnover by J. Tatum (bad pass),7,10
1,7:28.0,E. İlyasova enters the game for M. Brogdon,,7,10
1,7:18.0,K. Middleton misses 2-pt jump shot from 20 ft,,7,10
1,7:14.0,,Defensive rebound by S. Ojeleye,7,10
1,7:07.0,,A. Horford makes 3-pt jump shot from 25 ft (assist by K. Irving),7,13
1,6:43.0,,Boston full timeout,7,13
1,6:39.0,Turnover by E. Bledsoe (lost ball; steal by S. Ojeleye),,7,13
1,6:26.0,,A. Horford misses 3-pt jump shot from 25 ft,7,13
1,6:22.0,Defensive rebound by E. İlyasova,,7,13
1,6:15.0,K. Middleton misses 3-pt jump shot from 25 ft,,7,13
1,6:14.0,,Defensive rebound by S. Ojeleye,7,13
1,6:01.0,,J. Tatum misses 3-pt jump shot from 25 ft,7,13
1,5:57.0,Defensive rebound by B. Lopez,,7,13
1,5:45.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by A. Horford),,7,13
1,5:41.0,,Defensive rebound by A. Horford,7,13
1,5:36.0,,S. Ojeleye makes 3-pt jump shot from 26 ft (assist by J. Tatum),7,16
1,5:18.0,Turnover by G. Antetokounmpo (lost ball; steal by K. Irving),,7,16
1,5:07.0,,Personal foul by E. Bledsoe (drawn by A. Horford),7,16
1,5:07.0,D. DiVincenzo enters the game for G. Antetokounmpo,,7,16
1,5:07.0,J. Henson enters the game for B. Lopez,,7,16
1,5:07.0,,M. Morris enters the game for G. Hayward,7,16
1,5:07.0,,T. Rozier enters the game for S. Ojeleye,7,16
1,5:07.0,,M. Smart enters the game for J. Tatum,7,16
1,4:55.0,,A. Horford misses 3-pt jump shot from 27 ft,7,16
1,4:52.0,Defensive rebound by E. İlyasova,,7,16
1,4:39.0,K. Middleton misses 2-pt jump shot from 14 ft,,7,16
1,4:37.0,Offensive rebound by Team,,7,16
1,4:34.0,K. Middleton makes 2-pt layup from 1 ft (assist by D. DiVincenzo),,9,16
1,4:21.0,,Turnover by K. Irving (lost ball; steal by E. İlyasova),9,16
1,4:17.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,9,16
1,4:14.0,,Defensive rebound by T. Rozier,9,16
1,4:10.0,,K. Irving misses 3-pt jump shot from 27 ft,9,16
1,4:07.0,Defensive rebound by J. Henson,,9,16
1,3:52.0,K. Middleton misses 3-pt jump shot from 25 ft,,9,16
1,3:48.0,,Defensive rebound by T. Rozier,9,16
1,3:44.0,,M. Smart misses 3-pt jump shot from 26 ft,9,16
1,3:41.0,Defensive rebound by K. Middleton,,9,16
1,3:33.0,D. DiVincenzo makes 3-pt jump shot from 25 ft (assist by K. Middleton),,12,16
1,3:16.0,,K. Irving makes 2-pt layup from 2 ft (assist by A. Horford),12,18
1,3:09.0,J. Henson makes 2-pt dunk from 1 ft (assist by K. Middleton),,14,18
1,2:55.0,,T. Rozier misses 3-pt jump shot from 26 ft,14,18
1,2:53.0,,Offensive rebound by M. Smart,14,18
1,2:52.0,,T. Rozier misses 2-pt layup from 3 ft,14,18
1,2:50.0,,Offensive rebound by Team,14,18
1,2:50.0,Milwaukee full timeout,,14,18
1,2:50.0,M. Brogdon enters the game for E. Bledsoe,,14,18
1,2:50.0,T. Snell enters the game for K. Middleton,,14,18
1,2:50.0,,A. Baynes enters the game for A. Horford,14,18
1,2:39.0,,M. Smart misses 3-pt jump shot from 22 ft,14,18
1,2:39.0,,Offensive rebound by Team,14,18
1,2:39.0,,Turnover by Team (shot clock),14,18
1,2:23.0,Turnover by T. Snell (bad pass; steal by M. Smart),,14,18
1,2:14.0,,K. Irving misses 2-pt jump shot from 16 ft,14,18
1,2:11.0,Defensive rebound by T. Snell,,14,18
1,2:03.0,T. Snell misses 3-pt jump shot from 25 ft,,14,18
1,1:58.0,Offensive rebound by E. İlyasova,,14,18
1,1:58.0,E. İlyasova makes 2-pt layup from 1 ft,,16,18
1,1:47.0,,T. Rozier makes 2-pt jump shot from 9 ft,16,20
1,1:32.0,J. Henson misses 3-pt jump shot from 26 ft,,16,20
1,1:32.0,,Defensive rebound by T. Rozier,16,20
1,1:22.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by A. Baynes),16,23
1,1:10.0,D. DiVincenzo misses 3-pt jump shot from 25 ft,,16,23
1,1:10.0,,Defensive rebound by M. Morris,16,23
1,1:00.0,,K. Irving misses 2-pt jump shot from 16 ft,16,23
1,0:57.0,Defensive rebound by D. DiVincenzo,,16,23
1,0:49.0,E. İlyasova misses 2-pt layup from 1 ft,,16,23
1,0:47.0,,Defensive rebound by M. Smart,16,23
1,0:33.0,,T. Rozier misses 2-pt jump shot from 14 ft,16,23
1,0:31.0,Defensive rebound by J. Henson,,16,23
1,0:21.0,J. Henson misses 2-pt layup from 2 ft,,16,23
1,0:19.0,,Defensive rebound by A. Baynes,16,23
1,0:07.0,,Personal foul by T. Snell (drawn by M. Smart),16,23
1,0:07.0,G. Antetokounmpo enters the game for E. İlyasova,,16,23
1,0:07.0,,A. Horford enters the game for A. Baynes,16,23
1,0:05.0,,Turnover by A. Horford (traveling),16,23
1,0:05.0,B. Lopez enters the game for J. Henson,,16,23
1,0:03.0,B. Lopez misses 3-pt jump shot from 27 ft,,16,23
1,0:03.0,,Defensive rebound by K. Irving,16,23
2,11:45.0,,M. Morris misses 3-pt jump shot from 27 ft,16,23
2,11:42.0,Defensive rebound by D. DiVincenzo,,16,23
2,11:38.0,B. Lopez misses 3-pt jump shot from 24 ft,,16,23
2,11:36.0,,Defensive rebound by M. Morris,16,23
2,11:23.0,,Turnover by M. Morris (bad pass; steal by B. Lopez),16,23
2,11:17.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,18,23
2,11:05.0,,J. Tatum misses 2-pt jump shot from 12 ft,18,23
2,11:03.0,Defensive rebound by D. DiVincenzo,,18,23
2,10:55.0,T. Snell makes 2-pt layup from 1 ft (assist by M. Brogdon),,20,23
2,10:55.0,Shooting foul by J. Tatum (drawn by T. Snell),,20,23
2,10:55.0,P. Connaughton enters the game for D. DiVincenzo,,20,23
2,10:55.0,T. Snell makes free throw 1 of 1,,21,23
2,10:44.0,,J. Tatum misses 2-pt jump shot from 15 ft,21,23
2,10:40.0,Defensive rebound by T. Snell,,21,23
2,10:36.0,Turnover by G. Antetokounmpo (offensive foul),,21,23
2,10:36.0,Offensive foul by G. Antetokounmpo (drawn by A. Baynes),,21,23
2,10:27.0,,Personal foul by M. Brogdon (drawn by M. Morris),21,23
2,10:20.0,,A. Baynes misses 3-pt jump shot from 27 ft,21,23
2,10:18.0,Defensive rebound by G. Antetokounmpo,,21,23
2,10:15.0,Turnover by B. Lopez (offensive foul),,21,23
2,10:15.0,Offensive foul by B. Lopez (drawn by M. Smart),,21,23
2,10:03.0,,M. Smart makes 2-pt jump shot from 12 ft,21,25
2,9:48.0,P. Connaughton misses 3-pt jump shot from 23 ft,,21,25
2,9:46.0,,Defensive rebound by J. Tatum,21,25
2,9:33.0,,T. Rozier misses 2-pt jump shot from 19 ft,21,25
2,9:31.0,Defensive rebound by P. Connaughton,,21,25
2,9:27.0,Shooting foul by M. Morris (drawn by G. Antetokounmpo),,21,25
2,9:27.0,G. Antetokounmpo makes free throw 1 of 2,,22,25
