QUARTER,TIME_REMAINING,PHOENIX_ACTION,TORONTO_ACTION,PHOENIX_SCORE,TORONTO_SCORE
1,11:39.0,D. Booker misses 2-pt jump shot from 13 ft,,0,0
1,11:37.0,,Defensive rebound by P. Siakam,0,0
1,11:21.0,,S. Ibaka misses 2-pt jump shot from 20 ft,0,0
1,11:18.0,Defensive rebound by M. Bridges,,0,0
1,11:02.0,M. Bridges misses 3-pt jump shot from 23 ft (block by P. Siakam),,0,0
1,10:59.0,,Defensive rebound by F. VanVleet,0,0
1,10:39.0,,D. Green misses 3-pt jump shot from 23 ft,0,0
1,10:38.0,,Offensive rebound by S. Ibaka,0,0
1,10:34.0,,S. Ibaka makes 2-pt hook shot from 8 ft,0,2
1,10:27.0,Personal foul by D. Green (drawn by D. Booker),,0,2
1,10:16.0,D. Booker makes 2-pt jump shot from 12 ft,,2,2
1,10:01.0,,F. VanVleet makes 2-pt layup from 1 ft (assist by K. Lowry),2,4
1,9:52.0,T. Warren misses 2-pt jump shot from 7 ft,,2,4
1,9:50.0,Offensive rebound by Team,,2,4
1,9:43.0,D. Booker makes 3-pt jump shot from 25 ft (assist by D. Melton),,5,4
1,9:28.0,,S. Ibaka makes 2-pt hook shot from 7 ft (assist by P. Siakam),5,6
1,9:14.0,D. Booker misses 3-pt jump shot from 25 ft,,5,6
1,9:11.0,Offensive rebound by D. Ayton,,5,6
1,9:11.0,D. Ayton makes 2-pt layup at rim,,7,6
1,8:59.0,,Personal foul by D. Melton (drawn by K. Lowry),7,6
1,8:46.0,,Turnover by S. Ibaka (traveling),7,6
1,8:29.0,Turnover by D. Booker (lost ball; steal by D. Green),,7,6
1,8:20.0,,F. VanVleet makes 2-pt jump shot from 12 ft,7,8
1,8:09.0,T. Warren misses 2-pt layup from 1 ft,,7,8
1,8:07.0,,Defensive rebound by K. Lowry,7,8
1,7:56.0,,P. Siakam misses 3-pt jump shot from 23 ft,7,8
1,7:54.0,Defensive rebound by D. Booker,,7,8
1,7:51.0,Turnover by D. Booker (bad pass),,7,8
1,7:44.0,,F. VanVleet misses 2-pt layup from 2 ft (block by D. Melton),7,8
1,7:42.0,Defensive rebound by D. Melton,,7,8
1,7:35.0,T. Warren makes 2-pt jump shot from 12 ft (assist by M. Bridges),,9,8
1,7:13.0,,P. Siakam makes 2-pt layup from 1 ft (assist by S. Ibaka),9,10
1,6:51.0,D. Ayton makes 2-pt jump shot from 14 ft (assist by D. Melton),,11,10
1,6:36.0,,K. Lowry makes 3-pt jump shot from 30 ft (assist by F. VanVleet),11,13
1,6:19.0,D. Melton misses 3-pt jump shot from 25 ft,,11,13
1,6:17.0,,Defensive rebound by Team,11,13
1,6:17.0,,Toronto full timeout,11,13
1,6:03.0,,K. Lowry misses 3-pt jump shot from 26 ft,11,13
1,5:59.0,Defensive rebound by T. Warren,,11,13
1,5:53.0,D. Booker misses 2-pt layup from 1 ft (block by S. Ibaka),,11,13
1,5:51.0,,Defensive rebound by F. VanVleet,11,13
1,5:44.0,,Turnover by S. Ibaka (lost ball; steal by D. Melton),11,13
1,5:43.0,Personal take foul by F. VanVleet (drawn by D. Melton),,11,13
1,5:25.0,D. Booker misses 3-pt jump shot from 25 ft,,11,13
1,5:23.0,Offensive rebound by D. Ayton,,11,13
1,5:21.0,T. Warren misses 3-pt jump shot from 24 ft,,11,13
1,5:17.0,,Defensive rebound by P. Siakam,11,13
1,5:09.0,,D. Green makes 3-pt jump shot from 24 ft (assist by P. Siakam),11,16
1,4:55.0,T. Warren misses 2-pt jump shot from 10 ft,,11,16
1,4:52.0,,Defensive rebound by P. Siakam,11,16
1,4:49.0,,F. VanVleet makes 3-pt jump shot from 27 ft (assist by P. Siakam),11,19
1,4:48.0,Phoenix full timeout,,11,19
1,4:48.0,J. Jackson enters the game for M. Bridges,,11,19
1,4:48.0,E. Okobo enters the game for D. Melton,,11,19
1,4:48.0,,N. Powell enters the game for K. Lowry,11,19
1,4:29.0,Turnover by D. Ayton (3 sec),,11,19
1,4:19.0,,P. Siakam makes 2-pt hook shot from 6 ft,11,21
1,3:57.0,E. Okobo misses 3-pt jump shot from 26 ft,,11,21
1,3:53.0,,Defensive rebound by N. Powell,11,21
1,3:51.0,,Turnover by N. Powell (bad pass),11,21
1,3:51.0,,G. Monroe enters the game for S. Ibaka,11,21
1,3:39.0,D. Booker makes 2-pt layup at rim,,13,21
1,3:39.0,Shooting foul by G. Monroe (drawn by D. Booker),,13,21
1,3:39.0,K. Oubre enters the game for T. Warren,,13,21
1,3:39.0,,D. Wright enters the game for D. Green,13,21
1,3:39.0,D. Booker misses free throw 1 of 1,,13,21
1,3:37.0,,Defensive rebound by P. Siakam,13,21
1,3:28.0,,D. Wright makes 2-pt layup from 1 ft (assist by P. Siakam),13,23
1,3:28.0,,Shooting foul by K. Oubre (drawn by D. Wright),13,23
1,3:28.0,,C. Miles enters the game for P. Siakam,13,23
1,3:28.0,,D. Wright makes free throw 1 of 1,13,24
1,3:13.0,D. Ayton makes 2-pt jump shot from 19 ft,,15,24
1,2:51.0,,C. Miles makes 2-pt jump shot from 12 ft,15,26
1,2:43.0,D. Booker makes 2-pt layup from 1 ft,,17,26
1,2:36.0,,Personal foul by E. Okobo (drawn by F. VanVleet),17,26
1,2:21.0,,F. VanVleet misses 3-pt jump shot from 29 ft,17,26
1,2:18.0,Defensive rebound by D. Ayton,,17,26
1,2:18.0,,K. Lowry enters the game for F. VanVleet,17,26
1,1:57.0,D. Booker misses 2-pt jump shot from 14 ft,,17,26
1,1:56.0,Offensive rebound by K. Oubre,,17,26
1,1:56.0,Shooting foul by C. Miles (drawn by K. Oubre),,17,26
1,1:56.0,R. Holmes enters the game for D. Ayton,,17,26
1,1:56.0,T. Warren enters the game for D. Booker,,17,26
1,1:56.0,K. Oubre makes free throw 1 of 2,,18,26
1,1:56.0,K. Oubre makes free throw 2 of 2,,19,26
1,1:44.0,,C. Miles makes 3-pt jump shot from 26 ft (assist by D. Wright),19,29
1,1:23.0,K. Oubre misses 2-pt jump shot from 5 ft,,19,29
1,1:20.0,,Defensive rebound by G. Monroe,19,29
1,1:11.0,,C. Miles makes 2-pt jump shot from 5 ft (assist by D. Wright),19,31
1,0:50.0,R. Holmes misses 2-pt jump shot from 4 ft (block by G. Monroe),,19,31
