QUARTER,TIME_REMAINING,CHICAGO_ACTION,NEW YORK_ACTION,CHICAGO_SCORE,NEW YORK_SCORE
1,11:35.0,,N. Vonleh misses 2-pt jump shot from 10 ft,0,0
1,11:33.0,Defensive rebound by C. Payne,,0,0
1,11:18.0,W. Carter misses 2-pt jump shot from 14 ft,,0,0
1,11:16.0,,Defensive rebound by N. Vonleh,0,0
1,11:07.0,,N. Vonleh misses 2-pt dunk from 2 ft (block by W. Carter),0,0
1,11:05.0,Defensive rebound by Z. LaVine,,0,0
1,10:58.0,J. Parker makes 2-pt hook shot from 4 ft,,2,0
1,10:38.0,,N. Vonleh misses 3-pt jump shot from 24 ft,2,0
1,10:37.0,Defensive rebound by Team,,2,0
1,10:26.0,Z. LaVine misses 3-pt jump shot from 27 ft,,2,0
1,10:24.0,,Defensive rebound by F. Ntilikina,2,0
1,10:16.0,,D. Dotson misses 3-pt jump shot from 24 ft,2,0
1,10:14.0,Defensive rebound by W. Carter,,2,0
1,9:59.0,W. Carter misses 2-pt jump shot from 11 ft,,2,0
1,9:58.0,,Defensive rebound by D. Dotson,2,0
1,9:34.0,,Shooting foul by J. Holiday (drawn by N. Vonleh),2,0
1,9:34.0,,N. Vonleh makes free throw 1 of 2,2,1
1,9:34.0,,N. Vonleh makes free throw 2 of 2,2,2
1,9:24.0,Turnover by W. Carter (bad pass),,2,2
1,9:00.0,,Turnover by N. Vonleh (bad pass),2,2
1,8:47.0,W. Carter misses 2-pt jump shot from 17 ft,,2,2
1,8:45.0,Offensive rebound by W. Carter,,2,2
1,8:45.0,W. Carter misses 2-pt dunk from 1 ft (block by M. Robinson),,2,2
1,8:43.0,,Defensive rebound by M. Robinson,2,2
1,8:34.0,,Def 3 sec tech foul by Team,2,2
1,8:34.0,,A. Trier makes technical free throw,2,3
1,8:28.0,,F. Ntilikina misses 3-pt jump shot from 23 ft,2,3
1,8:26.0,,Offensive rebound by M. Robinson,2,3
1,8:24.0,,M. Robinson misses 2-pt layup from 2 ft (block by Z. LaVine),2,3
1,8:22.0,Defensive rebound by Team,,2,3
1,8:05.0,Z. LaVine makes 2-pt dunk from 1 ft,,4,3
1,7:50.0,,F. Ntilikina misses 3-pt jump shot from 26 ft,4,3
1,7:48.0,Defensive rebound by J. Holiday,,4,3
1,7:41.0,Turnover by J. Parker (bad pass; steal by A. Trier),,4,3
1,7:35.0,,A. Trier misses 2-pt layup from 2 ft,4,3
1,7:33.0,,Offensive rebound by N. Vonleh,4,3
1,7:23.0,,F. Ntilikina misses 2-pt jump shot from 17 ft (block by C. Payne),4,3
1,7:21.0,Defensive rebound by W. Carter,,4,3
1,7:15.0,J. Holiday misses 3-pt jump shot from 26 ft (block by M. Robinson),,4,3
1,7:13.0,,Defensive rebound by M. Robinson,4,3
1,7:06.0,,Turnover by A. Trier (bad pass; steal by Z. LaVine),4,3
1,7:02.0,Z. LaVine misses 2-pt layup from 1 ft (block by A. Trier),,4,3
