QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DALLAS_ACTION,CLEVELAND_SCORE,DALLAS_SCORE
4,0:05.0,,Dallas full timeout,116,119
4,0:05.0,D. Nwaba enters the game for A. Žižić,,116,119
4,0:04.0,,Personal take foul by C. Osman (drawn by D. Harris),116,119
4,0:04.0,,D. Harris makes free throw 1 of 2,116,120
4,0:04.0,A. Žižić enters the game for D. Nwaba,,116,120
4,0:04.0,,D. Finney-Smith enters the game for D. Nowitzki,116,120
4,0:04.0,,D. Harris makes free throw 2 of 2,116,121
4,0:04.0,Cleveland full timeout,,116,121
4,0:04.0,J. Clarkson enters the game for A. Žižić,,116,121
4,0:02.0,N. Stauskas misses 3-pt jump shot from 24 ft,,116,121
4,0:02.0,,Defensive rebound by M. Kleber,116,121
