QUARTER,TIME_REMAINING,UTAH_ACTION,WASHINGTON_ACTION,UTAH_SCORE,WASHINGTON_SCORE
1,11:41.0,D. Favors misses 3-pt jump shot from 25 ft,,0,0
1,11:36.0,,Defensive rebound by B. Beal,0,0
1,11:28.0,,B. Portis misses 3-pt jump shot from 26 ft,0,0
1,11:24.0,Defensive rebound by D. Favors,,0,0
1,11:11.0,D. Favors makes 2-pt hook shot from 11 ft (assist by R. Rubio),,2,0
1,10:54.0,,J. Green makes 2-pt jump shot from 21 ft,2,2
1,10:34.0,D. Mitchell misses 2-pt layup from 4 ft,,2,2
1,10:29.0,Offensive rebound by R. Gobert,,2,2
1,10:29.0,R. Gobert makes 2-pt layup from 1 ft,,4,2
1,10:17.0,,Turnover by B. Portis (bad pass; steal by R. Rubio),4,2
1,10:14.0,J. Ingles misses 3-pt jump shot from 27 ft,,4,2
1,10:10.0,Offensive rebound by R. Gobert,,4,2
1,9:59.0,D. Mitchell misses 3-pt jump shot from 29 ft,,4,2
1,9:56.0,Offensive rebound by Team,,4,2
1,9:46.0,J. Ingles misses 2-pt jump shot from 12 ft,,4,2
1,9:42.0,,Defensive rebound by B. Portis,4,2
1,9:37.0,,T. Satoranský makes 2-pt layup from 1 ft (assist by T. Ariza),4,4
1,9:28.0,R. Rubio makes 2-pt layup from 2 ft,,6,4
1,9:17.0,,T. Ariza makes 2-pt layup from 2 ft (assist by T. Satoranský),6,6
1,9:03.0,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),,8,6
1,9:03.0,Shooting foul by T. Satoranský (drawn by R. Gobert),,8,6
1,9:03.0,R. Gobert makes free throw 1 of 1,,9,6
1,8:49.0,,T. Ariza makes 2-pt layup from 2 ft,9,8
1,8:32.0,D. Favors makes 2-pt dunk at rim (assist by R. Gobert),,11,8
1,8:11.0,,J. Green misses 3-pt jump shot from 25 ft,11,8
1,8:08.0,,Offensive rebound by T. Satoranský,11,8
1,7:57.0,,B. Beal misses 2-pt jump shot from 19 ft,11,8
1,7:53.0,Defensive rebound by R. Gobert,,11,8
1,7:44.0,R. Rubio makes 2-pt layup from 1 ft,,13,8
1,7:44.0,,Washington full timeout,13,8
1,7:34.0,,Turnover by B. Beal (bad pass; steal by R. Gobert),13,8
1,7:29.0,D. Mitchell misses 2-pt layup from 4 ft,,13,8
1,7:28.0,,Defensive rebound by Team,13,8
1,7:17.0,,B. Portis misses 2-pt jump shot from 20 ft,13,8
1,7:13.0,Defensive rebound by D. Favors,,13,8
1,6:55.0,Turnover by R. Rubio (bad pass),,13,8
1,6:55.0,J. Crowder enters the game for D. Favors,,13,8
1,6:55.0,R. O'Neale enters the game for J. Ingles,,13,8
1,6:48.0,,T. Ariza makes 3-pt jump shot from 27 ft (assist by T. Satoranský),13,11
1,6:22.0,D. Mitchell misses 2-pt jump shot from 16 ft,,13,11
1,6:19.0,,Defensive rebound by T. Satoranský,13,11
1,6:11.0,,Turnover by B. Portis (lost ball; steal by D. Mitchell),13,11
1,6:01.0,R. Rubio misses 2-pt jump shot from 16 ft,,13,11
1,5:57.0,,Defensive rebound by J. Green,13,11
1,5:52.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Green),13,14
1,5:50.0,Utah full timeout,,13,14
1,5:38.0,D. Mitchell misses 3-pt jump shot from 27 ft,,13,14
1,5:33.0,,Defensive rebound by B. Portis,13,14
1,5:14.0,,J. Green misses 3-pt jump shot from 25 ft,13,14
1,5:11.0,Defensive rebound by R. Gobert,,13,14
1,5:01.0,J. Crowder misses 3-pt jump shot from 25 ft,,13,14
1,4:56.0,,Defensive rebound by B. Portis,13,14
1,4:41.0,,T. Satoranský misses 2-pt hook shot from 8 ft,13,14
1,4:40.0,Defensive rebound by R. Gobert,,13,14
1,4:40.0,Personal foul by T. Satoranský (drawn by R. Gobert),,13,14
1,4:40.0,K. Korver enters the game for R. Rubio,,13,14
1,4:40.0,,T. Brown enters the game for T. Satoranský,13,14
1,4:27.0,R. O'Neale makes 3-pt jump shot from 23 ft (assist by R. Gobert),,16,14
1,4:14.0,,B. Portis makes 3-pt jump shot from 26 ft (assist by B. Beal),16,17
1,3:57.0,D. Mitchell makes 2-pt hook shot from 8 ft (assist by J. Crowder),,18,17
1,3:44.0,,B. Portis misses 3-pt jump shot from 27 ft,18,17
1,3:44.0,Defensive rebound by R. Gobert,,18,17
1,3:31.0,J. Crowder makes 2-pt layup from 2 ft (assist by K. Korver),,20,17
1,3:17.0,,T. Ariza misses 3-pt jump shot from 26 ft,20,17
1,3:17.0,Defensive rebound by Team,,20,17
1,2:54.0,J. Crowder misses 3-pt jump shot from 25 ft,,20,17
1,2:51.0,,Defensive rebound by B. Portis,20,17
1,2:44.0,,Personal foul by R. O'Neale (drawn by B. Beal),20,17
1,2:44.0,D. Favors enters the game for R. Gobert,,20,17
1,2:44.0,J. Ingles enters the game for D. Mitchell,,20,17
1,2:44.0,R. Neto enters the game for R. O'Neale,,20,17
1,2:44.0,,T. Bryant enters the game for J. Green,20,17
1,2:44.0,,J. Parker enters the game for B. Portis,20,17
1,2:38.0,,B. Beal misses 3-pt jump shot from 27 ft,20,17
