QUARTER,TIME_REMAINING,NEW YORK_ACTION,CLEVELAND_ACTION,NEW YORK_SCORE,CLEVELAND_SCORE
1,11:42.0,,Shooting foul by M. Hezonja (drawn by K. Love),0,0
1,11:42.0,,K. Love makes free throw 1 of 2,0,1
1,11:42.0,,K. Love makes free throw 2 of 2,0,2
1,11:21.0,Turnover by D. Jordan (3 sec),,0,2
1,11:04.0,,K. Love makes 3-pt jump shot from 26 ft (assist by B. Knight),0,5
1,10:48.0,M. Hezonja misses 2-pt layup from 2 ft,,0,5
1,10:44.0,,Defensive rebound by B. Knight,0,5
1,10:41.0,,B. Knight makes 3-pt jump shot from 26 ft,0,8
1,10:33.0,New York full timeout,,0,8
1,10:19.0,M. Hezonja misses 2-pt layup from 2 ft,,0,8
1,10:16.0,,Defensive rebound by B. Knight,0,8
1,10:03.0,,K. Love misses 3-pt jump shot from 26 ft,0,8
1,9:59.0,Defensive rebound by K. Knox,,0,8
1,9:54.0,M. Hezonja makes 3-pt jump shot from 26 ft (assist by K. Knox),,3,8
1,9:30.0,,C. Sexton misses 2-pt layup from 1 ft (block by D. Smith),3,8
1,9:26.0,Defensive rebound by D. Dotson,,3,8
1,9:23.0,Turnover by D. Smith (bad pass; steal by C. Sexton),,3,8
1,9:18.0,,K. Love makes 2-pt layup at rim (assist by C. Sexton),3,10
1,9:03.0,D. Smith misses 3-pt jump shot from 26 ft,,3,10
1,9:01.0,,Defensive rebound by K. Love,3,10
1,8:58.0,,Turnover by K. Love (bad pass; steal by D. Smith),3,10
1,8:53.0,M. Hezonja misses 3-pt jump shot from 25 ft,,3,10
1,8:53.0,Offensive rebound by D. Jordan,,3,10
1,8:53.0,Shooting foul by L. Nance (drawn by D. Jordan),,3,10
1,8:53.0,D. Jordan makes free throw 1 of 2,,4,10
1,8:53.0,D. Jordan makes free throw 2 of 2,,5,10
1,8:38.0,,C. Sexton misses 3-pt jump shot from 27 ft,5,10
1,8:34.0,,Offensive rebound by D. Nwaba,5,10
1,8:29.0,,C. Sexton misses 3-pt jump shot from 26 ft,5,10
1,8:27.0,Defensive rebound by M. Hezonja,,5,10
1,8:14.0,D. Jordan makes 2-pt hook shot from 11 ft (assist by D. Smith),,7,10
1,7:57.0,,B. Knight misses 3-pt jump shot from 27 ft,7,10
1,7:55.0,,Offensive rebound by L. Nance,7,10
1,7:49.0,,K. Love misses 3-pt jump shot from 25 ft,7,10
1,7:45.0,Defensive rebound by M. Hezonja,,7,10
1,7:34.0,D. Smith misses 2-pt jump shot from 21 ft,,7,10
1,7:28.0,,Defensive rebound by K. Love,7,10
1,7:23.0,,C. Sexton misses 2-pt jump shot from 7 ft,7,10
1,7:20.0,,Offensive rebound by D. Nwaba,7,10
1,7:20.0,,D. Nwaba misses 2-pt layup from 1 ft,7,10
1,7:20.0,,Offensive rebound by D. Nwaba,7,10
1,7:20.0,,D. Nwaba misses 2-pt layup from 1 ft (block by K. Knox),7,10
1,7:20.0,,Offensive rebound by Team,7,10
1,7:16.0,,L. Nance misses 3-pt jump shot from 26 ft,7,10
1,7:12.0,Defensive rebound by M. Hezonja,,7,10
1,7:00.0,K. Knox makes 2-pt layup from 1 ft,,9,10
1,6:56.0,,Cleveland full timeout,9,10
1,6:56.0,,J. Clarkson enters the game for B. Knight,9,10
1,6:40.0,,J. Clarkson misses 3-pt jump shot from 23 ft,9,10
1,6:38.0,,Offensive rebound by L. Nance,9,10
1,6:34.0,,C. Sexton makes 2-pt layup from 1 ft (assist by L. Nance),9,12
1,6:18.0,D. Jordan makes 2-pt hook shot from 1 ft (assist by M. Hezonja),,11,12
1,5:56.0,,K. Love makes 2-pt layup from 1 ft,11,14
1,5:47.0,D. Dotson misses 2-pt jump shot from 20 ft,,11,14
1,5:43.0,,Defensive rebound by L. Nance,11,14
1,5:36.0,,J. Clarkson makes 2-pt layup from 1 ft,11,16
1,5:23.0,K. Knox misses 3-pt jump shot from 27 ft,,11,16
1,5:23.0,,Defensive rebound by L. Nance,11,16
1,5:23.0,K. Allen enters the game for M. Hezonja,,11,16
1,5:23.0,N. Vonleh enters the game for D. Smith,,11,16
1,5:23.0,,M. Chriss enters the game for K. Love,11,16
1,4:58.0,,C. Sexton misses 2-pt jump shot from 5 ft,11,16
1,4:56.0,,Offensive rebound by D. Nwaba,11,16
1,4:53.0,,M. Chriss makes 3-pt jump shot from 26 ft (assist by L. Nance),11,19
1,4:49.0,New York full timeout,,11,19
1,4:49.0,,N. Stauskas enters the game for D. Nwaba,11,19
1,4:40.0,K. Knox makes 2-pt jump shot from 13 ft (assist by D. Jordan),,13,19
1,4:21.0,,J. Clarkson misses 2-pt jump shot from 8 ft,13,19
1,4:18.0,Defensive rebound by N. Vonleh,,13,19
1,4:14.0,K. Allen misses 2-pt jump shot from 10 ft,,13,19
1,4:14.0,Offensive rebound by Team,,13,19
1,4:14.0,,Loose ball foul by M. Chriss (drawn by D. Jordan),13,19
1,4:14.0,A. Trier enters the game for D. Dotson,,13,19
1,4:05.0,Personal foul by L. Nance (drawn by D. Jordan),,13,19
1,4:05.0,,K. Love enters the game for L. Nance,13,19
1,3:59.0,Turnover by K. Allen (bad pass; steal by J. Clarkson),,13,19
1,3:56.0,,Shooting foul by K. Allen (drawn by M. Chriss),13,19
1,3:56.0,,M. Chriss makes free throw 1 of 2,13,20
1,3:56.0,M. Robinson enters the game for D. Jordan,,13,20
1,3:56.0,,M. Chriss makes free throw 2 of 2,13,21
1,3:44.0,Turnover by K. Knox (traveling),,13,21
1,3:36.0,,Turnover by K. Love (traveling),13,21
1,3:25.0,K. Knox makes 3-pt jump shot from 28 ft (assist by A. Trier),,16,21
1,3:16.0,,C. Sexton makes 2-pt jump shot from 13 ft,16,23
1,3:05.0,Personal foul by J. Clarkson (drawn by K. Knox),,16,23
1,3:05.0,,M. Dellavedova enters the game for C. Sexton,16,23
1,2:59.0,K. Knox misses 2-pt layup from 1 ft,,16,23
1,2:56.0,Offensive rebound by M. Robinson,,16,23
1,2:55.0,M. Robinson makes 2-pt layup at rim,,18,23
1,2:41.0,,K. Love misses 2-pt layup from 1 ft (block by M. Robinson),18,23
1,2:37.0,Defensive rebound by K. Allen,,18,23
1,2:35.0,K. Knox misses 3-pt jump shot from 25 ft,,18,23
1,2:31.0,,Defensive rebound by K. Love,18,23
1,2:11.0,,K. Love makes 3-pt jump shot from 24 ft (assist by M. Dellavedova),18,26
1,1:50.0,A. Trier misses 2-pt jump shot from 13 ft,,18,26
1,1:47.0,,Defensive rebound by M. Chriss,18,26
1,1:37.0,,M. Dellavedova makes 2-pt layup from 1 ft,18,28
1,1:10.0,K. Allen makes 2-pt layup from 1 ft (assist by A. Trier),,20,28
1,0:55.0,,J. Clarkson misses 2-pt jump shot from 7 ft,20,28
1,0:55.0,,Offensive rebound by Team,20,28
1,0:55.0,,C. Frye enters the game for K. Love,20,28
1,0:47.0,,J. Clarkson misses 2-pt layup from 1 ft,20,28
1,0:44.0,Defensive rebound by N. Vonleh,,20,28
1,0:25.0,N. Vonleh makes 2-pt hook shot from 8 ft,,22,28
1,0:02.0,,J. Clarkson misses 3-pt jump shot from 25 ft,22,28
1,0:01.0,,Offensive rebound by N. Stauskas,22,28
1,0:01.0,,N. Stauskas misses 2-pt layup from 1 ft,22,28
1,0:00.0,,Offensive rebound by M. Chriss,22,28
1,0:00.0,,M. Chriss makes 2-pt layup from 1 ft,22,30
2,11:44.0,D. Smith makes 2-pt layup at rim,,24,30
2,11:26.0,,N. Stauskas misses 3-pt jump shot from 24 ft,24,30
2,11:23.0,Defensive rebound by M. Robinson,,24,30
2,11:16.0,Turnover by A. Trier (bad pass),,24,30
2,11:06.0,,J. Clarkson makes 2-pt dunk from 1 ft (assist by M. Dellavedova),24,32
2,10:53.0,K. Allen makes 2-pt layup from 1 ft,,26,32
2,10:41.0,,M. Dellavedova makes 2-pt jump shot from 5 ft,26,34
