QUARTER,TIME_REMAINING,PORTLAND_ACTION,GOLDEN STATE_ACTION,PORTLAND_SCORE,GOLDEN STATE_SCORE
1,11:44.0,C. McCollum misses 2-pt jump shot from 16 ft (block by S. Curry),,0,0
1,11:43.0,Offensive rebound by Team,,0,0
1,11:39.0,J. Nurkić makes 2-pt layup from 5 ft (assist by D. Lillard),,2,0
1,11:18.0,,K. Looney misses 2-pt jump shot from 16 ft,2,0
1,11:16.0,Defensive rebound by J. Nurkić,,2,0
1,11:13.0,J. Nurkić makes 2-pt dunk from 2 ft,,4,0
1,11:01.0,,S. Curry makes 2-pt layup from 9 ft (assist by D. Green),4,2
1,10:43.0,C. McCollum makes 2-pt layup from 2 ft (assist by J. Nurkić),,6,2
1,10:34.0,,Personal foul by C. McCollum (drawn by K. Thompson),6,2
1,10:26.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),6,4
1,10:13.0,D. Lillard makes 2-pt jump shot from 17 ft (assist by J. Nurkić),,8,4
1,9:58.0,,D. Green misses 2-pt layup from 2 ft,8,4
1,9:57.0,,Offensive rebound by K. Looney,8,4
1,9:52.0,,K. Looney makes 2-pt layup at rim,8,6
1,9:45.0,J. Nurkić makes 2-pt hook shot from 10 ft (assist by C. McCollum),,10,6
1,9:32.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),10,9
1,9:08.0,J. Nurkić misses 2-pt jump shot from 17 ft,,10,9
1,9:06.0,,Defensive rebound by K. Durant,10,9
1,9:01.0,,S. Curry misses 2-pt jump shot from 15 ft,10,9
1,9:00.0,Defensive rebound by J. Nurkić,,10,9
1,8:40.0,D. Lillard makes 2-pt jump shot from 17 ft,,12,9
1,8:24.0,,Turnover by S. Curry (lost ball; steal by D. Lillard),12,9
1,8:19.0,C. McCollum makes 3-pt jump shot from 28 ft,,15,9
1,8:05.0,,K. Thompson misses 2-pt jump shot from 12 ft (block by C. McCollum),15,9
1,8:04.0,Defensive rebound by J. Nurkić,,15,9
1,7:58.0,C. McCollum misses 3-pt jump shot from 26 ft,,15,9
1,7:57.0,Offensive rebound by A. Aminu,,15,9
1,7:57.0,Shooting foul by K. Looney (drawn by M. Harkless),,15,9
1,7:57.0,M. Harkless makes free throw 1 of 2,,16,9
1,7:57.0,M. Harkless makes free throw 2 of 2,,17,9
1,7:40.0,,S. Curry makes 2-pt jump shot from 7 ft (assist by K. Durant),17,11
1,7:24.0,J. Nurkić misses 2-pt layup from 3 ft,,17,11
1,7:23.0,,Defensive rebound by K. Looney,17,11
1,7:12.0,,K. Durant makes 2-pt jump shot from 20 ft (assist by D. Green),17,13
1,6:56.0,D. Lillard misses 2-pt jump shot from 20 ft,,17,13
1,6:54.0,,Defensive rebound by D. Green,17,13
1,6:47.0,,K. Looney makes 2-pt jump shot from 19 ft (assist by K. Durant),17,15
1,6:30.0,C. McCollum misses 3-pt jump shot from 26 ft,,17,15
1,6:28.0,,Defensive rebound by K. Durant,17,15
1,6:22.0,,Turnover by S. Curry (step out of bounds),17,15
1,6:22.0,,Golden State full timeout,17,15
1,6:10.0,M. Harkless makes 2-pt layup from 2 ft (assist by J. Nurkić),,19,15
1,5:59.0,Violation by Team (kicked ball),,19,15
1,5:59.0,,J. Jerebko enters the game for D. Green,19,15
1,5:51.0,,J. Jerebko makes 3-pt jump shot from 23 ft (assist by K. Durant),19,18
1,5:31.0,C. McCollum misses 2-pt jump shot from 19 ft,,19,18
1,5:30.0,,Defensive rebound by K. Looney,19,18
1,5:08.0,,Shooting foul by A. Aminu (drawn by K. Looney),19,18
1,5:08.0,,K. Looney misses free throw 1 of 2,19,18
1,5:08.0,,Offensive rebound by Team,19,18
1,5:08.0,E. Turner enters the game for M. Harkless,,19,18
1,5:08.0,,K. Looney misses free throw 2 of 2,19,18
1,5:06.0,Defensive rebound by A. Aminu,,19,18
1,5:00.0,D. Lillard misses 2-pt jump shot from 20 ft,,19,18
1,4:58.0,Offensive rebound by C. McCollum,,19,18
1,4:50.0,J. Nurkić makes 2-pt dunk from 2 ft (assist by D. Lillard),,21,18
1,4:29.0,,S. Curry makes 2-pt jump shot from 19 ft (assist by K. Durant),21,20
1,4:08.0,A. Aminu misses 2-pt layup from 2 ft,,21,20
1,4:06.0,,Defensive rebound by K. Looney,21,20
1,3:58.0,,K. Thompson misses 2-pt jump shot from 16 ft,21,20
1,3:57.0,Defensive rebound by J. Nurkić,,21,20
1,3:46.0,D. Lillard misses 2-pt layup from 2 ft,,21,20
1,3:45.0,,Defensive rebound by K. Thompson,21,20
1,3:37.0,,K. Durant makes 2-pt jump shot from 5 ft,21,22
1,3:22.0,Shooting foul by K. Looney (drawn by J. Nurkić),,21,22
1,3:22.0,J. Nurkić makes free throw 1 of 2,,22,22
1,3:22.0,,D. Green enters the game for S. Curry,22,22
1,3:22.0,,A. Iguodala enters the game for K. Looney,22,22
1,3:22.0,J. Nurkić makes free throw 2 of 2,,23,22
1,3:02.0,,K. Thompson makes 2-pt jump shot from 17 ft (assist by D. Green),23,24
1,3:00.0,Portland full timeout,,23,24
1,3:00.0,Technical foul by D. Lillard,,23,24
1,3:00.0,Z. Collins enters the game for A. Aminu,,23,24
1,3:00.0,S. Curry enters the game for C. McCollum,,23,24
1,3:00.0,M. Leonard enters the game for J. Nurkić,,23,24
1,3:00.0,,K. Thompson misses technical free throw,23,24
1,3:00.0,Defensive rebound by Team,,23,24
1,2:59.0,Turnover by E. Turner (bad pass; steal by K. Durant),,23,24
1,2:35.0,,K. Durant misses 2-pt jump shot from 19 ft,23,24
1,2:33.0,,Offensive rebound by Team,23,24
1,2:33.0,Loose ball foul by E. Turner (drawn by D. Green),,23,24
1,2:28.0,,Offensive foul by K. Durant (drawn by E. Turner),23,24
1,2:28.0,,Turnover by K. Durant (offensive foul),23,24
1,2:15.0,Z. Collins misses 2-pt layup from 3 ft,,23,24
1,2:11.0,,Defensive rebound by J. Jerebko,23,24
1,2:06.0,,K. Thompson misses 3-pt jump shot from 23 ft,23,24
1,2:04.0,,Offensive rebound by D. Green,23,24
1,1:58.0,,K. Thompson misses 2-pt jump shot from 18 ft,23,24
1,1:56.0,Defensive rebound by S. Curry,,23,24
1,1:56.0,,Loose ball foul by K. Thompson (drawn by S. Curry),23,24
1,1:56.0,,S. Livingston enters the game for K. Thompson,23,24
1,1:43.0,Shooting foul by J. Jerebko (drawn by Z. Collins),,23,24
1,1:43.0,Z. Collins misses free throw 1 of 2,,23,24
1,1:43.0,Offensive rebound by Team,,23,24
1,1:43.0,Z. Collins makes free throw 2 of 2,,24,24
1,1:30.0,,K. Durant makes 2-pt jump shot from 15 ft (assist by D. Green),24,26
1,1:20.0,D. Lillard makes 3-pt jump shot from 29 ft,,27,26
1,1:04.0,,S. Livingston makes 2-pt dunk from 2 ft (assist by K. Durant),27,28
1,0:46.0,E. Turner misses 2-pt jump shot from 17 ft,,27,28
1,0:45.0,,Defensive rebound by J. Jerebko,27,28
1,0:22.0,,J. Jerebko misses 3-pt jump shot from 29 ft,27,28
1,0:20.0,Defensive rebound by Team,,27,28
1,0:20.0,C. McCollum enters the game for Z. Collins,,27,28
1,0:02.0,D. Lillard misses 2-pt layup from 3 ft,,27,28
1,0:01.0,,Defensive rebound by A. Iguodala,27,28
2,11:51.0,,S. Curry misses 3-pt jump shot from 26 ft,27,28
2,11:49.0,Defensive rebound by N. Stauskas,,27,28
2,11:44.0,Turnover by E. Turner (bad pass; steal by D. Green),,27,28
2,11:32.0,,S. Curry makes 2-pt jump shot from 13 ft (assist by A. Iguodala),27,30
2,11:09.0,Z. Collins misses 2-pt layup from 6 ft (block by A. Iguodala),,27,30
2,11:08.0,Offensive rebound by Team,,27,30
2,11:07.0,Personal foul by J. Jerebko (drawn by M. Leonard),,27,30
2,10:55.0,S. Curry misses 2-pt jump shot from 7 ft,,27,30
2,10:54.0,,Defensive rebound by D. Green,27,30
2,10:50.0,,A. Iguodala misses 3-pt jump shot from 26 ft,27,30
2,10:48.0,Defensive rebound by E. Turner,,27,30
2,10:35.0,Z. Collins misses 3-pt jump shot from 27 ft,,27,30
2,10:33.0,,Defensive rebound by J. Jerebko,27,30
2,10:23.0,,Turnover by D. Green (lost ball; steal by Z. Collins),27,30
2,10:10.0,M. Leonard misses 3-pt jump shot from 26 ft,,27,30
2,10:08.0,,Defensive rebound by A. Iguodala,27,30
2,10:00.0,,A. Iguodala misses 3-pt jump shot from 28 ft,27,30
2,9:58.0,,Offensive rebound by A. Iguodala,27,30
2,9:54.0,,A. Iguodala makes 2-pt layup from 2 ft,27,32
2,9:35.0,E. Turner misses 3-pt jump shot from 27 ft,,27,32
2,9:33.0,,Defensive rebound by J. Jerebko,27,32
2,9:33.0,C. McCollum enters the game for E. Turner,,27,32
2,9:22.0,,Offensive foul by D. Green (drawn by S. Curry),27,32
2,9:22.0,,Turnover by D. Green (offensive foul),27,32
2,9:08.0,M. Leonard misses 2-pt layup from 4 ft (block by A. Iguodala),,27,32
2,9:07.0,Offensive rebound by Team,,27,32
2,9:07.0,,K. Looney enters the game for D. Green,27,32
2,9:03.0,C. McCollum misses 2-pt jump shot from 13 ft (block by S. Livingston),,27,32
2,9:02.0,,Defensive rebound by S. Curry,27,32
2,9:00.0,,S. Livingston misses 2-pt layup from 2 ft,27,32
2,8:59.0,Defensive rebound by S. Curry,,27,32
2,8:54.0,S. Curry misses 3-pt jump shot from 30 ft,,27,32
2,8:52.0,,Defensive rebound by S. Curry,27,32
2,8:43.0,,Turnover by S. Livingston (lost ball; steal by M. Leonard),27,32
2,8:32.0,N. Stauskas misses 3-pt jump shot from 30 ft,,27,32
2,8:30.0,,Defensive rebound by A. Iguodala,27,32
2,8:22.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by J. Jerebko),27,35
2,8:21.0,Portland full timeout,,27,35
2,8:04.0,N. Stauskas makes 3-pt jump shot from 25 ft (assist by M. Leonard),,30,35
2,7:47.0,,J. Jerebko misses 3-pt jump shot from 25 ft,30,35
2,7:45.0,Defensive rebound by Z. Collins,,30,35
2,7:38.0,C. McCollum misses 2-pt layup from 2 ft,,30,35
2,7:37.0,,Defensive rebound by J. Jerebko,30,35
2,7:25.0,,Turnover by J. Jerebko (bad pass; steal by N. Stauskas),30,35
2,7:20.0,C. McCollum makes 2-pt jump shot from 5 ft (assist by N. Stauskas),,32,35
2,7:03.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Looney),32,38
2,6:47.0,C. McCollum misses 2-pt jump shot from 19 ft,,32,38
2,6:46.0,,Defensive rebound by J. Jerebko,32,38
2,6:38.0,,A. Iguodala misses 2-pt jump shot from 14 ft,32,38
2,6:36.0,Defensive rebound by M. Leonard,,32,38
2,6:29.0,N. Stauskas makes 3-pt jump shot from 27 ft (assist by C. McCollum),,35,38
2,6:18.0,,S. Curry misses 2-pt jump shot from 15 ft,35,38
2,6:17.0,Defensive rebound by Z. Collins,,35,38
2,6:00.0,Z. Collins misses 3-pt jump shot from 26 ft,,35,38
2,5:58.0,,Defensive rebound by J. Jerebko,35,38
2,5:52.0,,Golden State full timeout,35,38
