QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DALLAS_ACTION,MEMPHIS_SCORE,DALLAS_SCORE
1,11:42.0,,D. Nowitzki makes 2-pt dunk from 1 ft (assist by C. Lee),0,2
1,11:29.0,Personal foul by C. Lee (drawn by T. Dorsey),,0,2
1,11:18.0,B. Caboclo misses 2-pt jump shot from 6 ft,,0,2
1,11:18.0,,Defensive rebound by Team,0,2
1,11:02.0,,M. Kleber misses 2-pt jump shot from 11 ft,0,2
1,11:00.0,Defensive rebound by T. Dorsey,,0,2
1,10:51.0,B. Caboclo misses 3-pt jump shot from 23 ft,,0,2
1,10:49.0,,Defensive rebound by J. Jackson,0,2
1,10:44.0,,Shooting foul by T. Dorsey (drawn by T. Burke),0,2
1,10:44.0,,T. Burke misses free throw 1 of 2,0,2
1,10:44.0,,Offensive rebound by Team,0,2
1,10:44.0,,T. Burke makes free throw 2 of 2,0,3
1,10:29.0,D. Wright makes 2-pt layup at rim,,2,3
1,10:18.0,,J. Jackson makes 2-pt jump shot from 2 ft,2,5
1,10:06.0,T. Dorsey misses 3-pt jump shot from 25 ft,,2,5
1,10:03.0,,Defensive rebound by J. Jackson,2,5
1,9:58.0,,J. Jackson makes 2-pt jump shot from 9 ft,2,7
1,9:44.0,D. Wright makes 2-pt hook shot from 1 ft,,4,7
1,9:26.0,,M. Kleber misses 2-pt jump shot from 8 ft,4,7
1,9:26.0,,Offensive rebound by M. Kleber,4,7
1,9:24.0,,M. Kleber misses 2-pt layup from 1 ft,4,7
1,9:22.0,Defensive rebound by B. Caboclo,,4,7
1,9:19.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by B. Caboclo),,7,7
1,8:57.0,,C. Lee makes 3-pt jump shot from 25 ft (assist by T. Burke),7,10
1,8:53.0,Turnover by J. Holiday (bad pass; steal by J. Jackson),,7,10
1,8:51.0,,J. Jackson misses 2-pt layup from 1 ft,7,10
1,8:49.0,Defensive rebound by D. Wright,,7,10
1,8:44.0,Turnover by B. Caboclo (bad pass; steal by C. Lee),,7,10
1,8:26.0,,T. Burke makes 2-pt jump shot from 9 ft,7,12
1,8:19.0,Shooting foul by D. Nowitzki (drawn by D. Wright),,7,12
1,8:19.0,D. Wright misses free throw 1 of 2,,7,12
1,8:19.0,Offensive rebound by Team,,7,12
1,8:19.0,D. Wright makes free throw 2 of 2,,8,12
1,8:08.0,,C. Lee misses 3-pt jump shot from 25 ft,8,12
1,8:08.0,Defensive rebound by T. Dorsey,,8,12
1,8:02.0,J. Holiday makes 2-pt layup from 1 ft (assist by T. Dorsey),,10,12
1,7:45.0,,D. Nowitzki makes 2-pt jump shot from 11 ft (assist by C. Lee),10,14
1,7:31.0,T. Dorsey misses 3-pt jump shot from 26 ft,,10,14
1,7:29.0,Offensive rebound by I. Rabb,,10,14
1,7:15.0,D. Wright makes 2-pt jump shot from 12 ft,,12,14
1,7:01.0,,T. Burke makes 2-pt jump shot from 19 ft (assist by J. Jackson),12,16
1,6:42.0,T. Dorsey makes 2-pt jump shot from 2 ft,,14,16
1,6:42.0,,Dallas full timeout,14,16
1,6:42.0,,D. Finney-Smith enters the game for M. Kleber,14,16
1,6:42.0,,S. Mejri enters the game for D. Nowitzki,14,16
1,6:31.0,,J. Jackson misses 2-pt jump shot from 6 ft,14,16
1,6:29.0,Defensive rebound by I. Rabb,,14,16
1,6:18.0,T. Dorsey misses 3-pt jump shot from 26 ft,,14,16
1,6:15.0,Offensive rebound by B. Caboclo,,14,16
1,6:09.0,Turnover by T. Dorsey (lost ball; steal by C. Lee),,14,16
1,6:05.0,,C. Lee makes 2-pt layup from 1 ft,14,18
1,5:47.0,D. Wright misses 2-pt jump shot from 18 ft,,14,18
1,5:44.0,,Defensive rebound by D. Finney-Smith,14,18
1,5:36.0,,J. Jackson makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith),14,21
1,5:20.0,I. Rabb misses 2-pt layup from 2 ft,,14,21
1,5:17.0,Offensive rebound by I. Rabb,,14,21
1,5:17.0,I. Rabb makes 2-pt layup at rim,,16,21
1,5:02.0,,S. Mejri makes 3-pt jump shot from 25 ft (assist by C. Lee),16,24
1,5:02.0,C. Parsons enters the game for T. Dorsey,,16,24
1,5:02.0,T. Zeller enters the game for I. Rabb,,16,24
1,4:42.0,J. Holiday misses 2-pt jump shot from 23 ft,,16,24
1,4:39.0,,Defensive rebound by S. Mejri,16,24
1,4:30.0,,C. Lee misses 2-pt jump shot from 19 ft,16,24
1,4:28.0,,Offensive rebound by C. Lee,16,24
1,4:20.0,,Turnover by D. Finney-Smith (bad pass; steal by J. Holiday),16,24
1,4:16.0,D. Wright makes 2-pt dunk at rim (assist by J. Holiday),,18,24
1,4:01.0,,C. Lee misses 3-pt jump shot from 25 ft,18,24
1,3:59.0,Defensive rebound by Team,,18,24
1,3:59.0,J. Carter enters the game for D. Wright,,18,24
1,3:49.0,B. Caboclo makes 3-pt jump shot from 26 ft (assist by J. Carter),,21,24
1,3:39.0,,Shooting foul by T. Zeller (drawn by S. Mejri),21,24
1,3:39.0,,S. Mejri makes free throw 1 of 2,21,25
1,3:39.0,,S. Mejri misses free throw 2 of 2,21,25
1,3:37.0,Defensive rebound by C. Parsons,,21,25
1,3:21.0,T. Zeller misses 2-pt hook shot from 3 ft,,21,25
1,3:16.0,,Defensive rebound by S. Mejri,21,25
1,3:09.0,,J. Jackson makes 3-pt jump shot from 25 ft,21,28
1,3:02.0,Turnover by J. Carter (bad pass; steal by C. Lee),,21,28
1,3:00.0,,C. Lee makes 2-pt dunk from 1 ft,21,30
1,2:59.0,Memphis full timeout,,21,30
1,2:59.0,J. Washburn enters the game for B. Caboclo,,21,30
1,2:59.0,,R. Broekhoff enters the game for T. Burke,21,30
1,2:59.0,,D. Harris enters the game for J. Jackson,21,30
1,2:59.0,,D. Macon enters the game for C. Lee,21,30
1,2:43.0,J. Washburn misses 3-pt jump shot from 23 ft,,21,30
1,2:39.0,,Defensive rebound by R. Broekhoff,21,30
1,2:26.0,,Shooting foul by T. Zeller (drawn by S. Mejri),21,30
1,2:26.0,,S. Mejri misses free throw 1 of 2,21,30
1,2:26.0,,Offensive rebound by Team,21,30
1,2:26.0,D. Wright enters the game for J. Holiday,,21,30
1,2:26.0,,S. Mejri misses free throw 2 of 2,21,30
1,2:22.0,,Offensive rebound by D. Finney-Smith,21,30
1,2:11.0,,S. Mejri misses 2-pt layup from 3 ft,21,30
1,2:10.0,,Offensive rebound by Team,21,30
1,2:03.0,,S. Mejri misses 2-pt jump shot from 9 ft,21,30
1,2:01.0,Defensive rebound by Team,,21,30
1,1:40.0,T. Zeller makes 2-pt hook shot from 2 ft (assist by D. Wright),,23,30
1,1:29.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft,23,30
1,1:26.0,Defensive rebound by J. Washburn,,23,30
1,1:22.0,C. Parsons makes 3-pt jump shot from 23 ft (assist by D. Wright),,26,30
1,1:11.0,,D. Macon misses 2-pt jump shot from 14 ft,26,30
1,1:06.0,Defensive rebound by D. Wright,,26,30
1,1:03.0,Personal foul by R. Broekhoff (drawn by C. Parsons),,26,30
1,0:51.0,Shooting foul by S. Mejri (drawn by T. Zeller),,26,30
1,0:51.0,T. Zeller makes free throw 1 of 2,,27,30
1,0:51.0,T. Zeller makes free throw 2 of 2,,28,30
1,0:34.0,,D. Macon misses 3-pt jump shot from 25 ft,28,30
1,0:31.0,Defensive rebound by T. Zeller,,28,30
1,0:18.0,D. Wright makes 3-pt jump shot from 26 ft (assist by C. Parsons),,31,30
1,0:04.0,,Personal take foul by D. Wright (drawn by D. Harris),31,30
1,0:04.0,J. Holiday enters the game for C. Parsons,,31,30
1,0:00.0,,Turnover by R. Broekhoff (lost ball; steal by J. Washburn),31,30
1,0:00.0,J. Washburn misses 3-pt jump shot from 53 ft,,31,30
1,0:00.0,Offensive rebound by Team,,31,30
2,11:45.0,C. Parsons misses 2-pt jump shot from 16 ft,,31,30
2,11:40.0,,Defensive rebound by M. Kleber,31,30
2,11:28.0,,Turnover by M. Kleber (bad pass; steal by T. Zeller),31,30
2,11:23.0,Shooting foul by D. Macon (drawn by J. Carter),,31,30
2,11:23.0,J. Carter misses free throw 1 of 2,,31,30
2,11:23.0,Offensive rebound by Team,,31,30
2,11:23.0,J. Carter makes free throw 2 of 2,,32,30
2,11:07.0,,Turnover by D. Macon (bad pass; steal by D. Wright),32,30
2,11:03.0,C. Parsons makes 2-pt layup from 1 ft (assist by D. Wright),,34,30
2,10:52.0,,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by D. Harris),34,33
2,10:33.0,D. Wright makes 2-pt jump shot from 2 ft,,36,33
2,10:21.0,,R. Broekhoff misses 2-pt layup from 1 ft,36,33
2,10:21.0,Defensive rebound by C. Parsons,,36,33
2,10:14.0,C. Parsons misses 3-pt jump shot from 25 ft,,36,33
2,10:11.0,,Defensive rebound by D. Harris,36,33
2,10:09.0,,Turnover by D. Harris (bad pass),36,33
2,10:09.0,I. Rabb enters the game for T. Zeller,,36,33
2,9:45.0,I. Rabb makes 2-pt dunk at rim (assist by D. Wright),,38,33
2,9:44.0,,Dallas full timeout,38,33
2,9:44.0,Y. Watanabe enters the game for C. Parsons,,38,33
2,9:32.0,,Shooting foul by J. Washburn (drawn by R. Broekhoff),38,33
2,9:32.0,,R. Broekhoff misses free throw 1 of 3,38,33
2,9:32.0,,Offensive rebound by Team,38,33
2,9:32.0,,R. Broekhoff makes free throw 2 of 3,38,34
2,9:32.0,,R. Broekhoff makes free throw 3 of 3,38,35
2,9:20.0,D. Wright misses 3-pt jump shot from 26 ft,,38,35
2,9:16.0,,Defensive rebound by D. Nowitzki,38,35
2,9:09.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,38,35
2,9:06.0,Defensive rebound by Y. Watanabe,,38,35
2,8:55.0,I. Rabb makes 2-pt jump shot from 9 ft (assist by D. Wright),,40,35
2,8:40.0,,M. Kleber misses 3-pt jump shot from 26 ft,40,35
2,8:37.0,Defensive rebound by D. Wright,,40,35
2,8:26.0,D. Wright misses 2-pt layup from 3 ft,,40,35
2,8:24.0,,Defensive rebound by D. Nowitzki,40,35
2,8:24.0,T. Dorsey enters the game for J. Carter,,40,35
2,8:02.0,,M. Kleber misses 2-pt layup from 2 ft,40,35
2,8:01.0,Defensive rebound by T. Dorsey,,40,35
2,7:56.0,J. Washburn makes 3-pt jump shot from 23 ft (assist by D. Wright),,43,35
2,7:44.0,,Turnover by D. Macon (bad pass; steal by Y. Watanabe),43,35
2,7:41.0,J. Washburn makes 2-pt dunk from 1 ft (assist by Y. Watanabe),,45,35
2,7:40.0,,Dallas full timeout,45,35
2,7:40.0,,J. Jackson enters the game for D. Macon,45,35
2,7:28.0,,Shooting foul by Y. Watanabe (drawn by M. Kleber),45,35
2,7:28.0,,M. Kleber misses free throw 1 of 2,45,35
2,7:28.0,,Offensive rebound by Team,45,35
