QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,BOSTON_ACTION,MILWAUKEE_SCORE,BOSTON_SCORE
1,11:38.0,M. Brogdon misses 3-pt jump shot from 26 ft,,0,0
1,11:36.0,,Defensive rebound by K. Irving,0,0
1,11:23.0,,S. Ojeleye makes 2-pt layup from 3 ft (assist by K. Irving),0,2
1,11:08.0,K. Middleton misses 3-pt jump shot from 27 ft,,0,2
1,11:06.0,,Defensive rebound by J. Tatum,0,2
1,10:53.0,,J. Tatum makes 2-pt jump shot from 14 ft,0,4
1,10:44.0,Shooting foul by M. Smart (drawn by G. Antetokounmpo),,0,4
1,10:44.0,G. Antetokounmpo misses free throw 1 of 2,,0,4
1,10:44.0,Offensive rebound by Team,,0,4
1,10:44.0,G. Antetokounmpo makes free throw 2 of 2,,1,4
1,10:30.0,,Turnover by S. Ojeleye (bad pass; steal by E. Bledsoe),1,4
1,10:28.0,Offensive foul by E. Bledsoe (drawn by S. Ojeleye),,1,4
1,10:28.0,Turnover by E. Bledsoe (offensive foul),,1,4
1,10:10.0,,K. Irving misses 2-pt jump shot from 15 ft,1,4
1,10:08.0,Defensive rebound by B. Lopez,,1,4
1,9:57.0,B. Lopez misses 3-pt jump shot from 27 ft,,1,4
1,9:55.0,Offensive rebound by G. Antetokounmpo,,1,4
1,9:48.0,Offensive foul by B. Lopez (drawn by S. Ojeleye),,1,4
1,9:48.0,Turnover by B. Lopez (offensive foul),,1,4
1,9:40.0,,S. Ojeleye makes 3-pt jump shot from 26 ft (assist by M. Smart),1,7
1,9:22.0,Offensive foul by G. Antetokounmpo (drawn by G. Hayward),,1,7
1,9:22.0,Turnover by G. Antetokounmpo (offensive foul),,1,7
1,9:14.0,,J. Tatum makes 3-pt jump shot from 27 ft (assist by M. Smart),1,10
1,9:13.0,Milwaukee full timeout,,1,10
1,9:01.0,G. Antetokounmpo makes 2-pt dunk from 1 ft,,3,10
1,8:43.0,,J. Tatum misses 3-pt jump shot from 23 ft,3,10
1,8:42.0,Defensive rebound by E. Bledsoe,,3,10
1,8:33.0,K. Middleton makes 2-pt jump shot from 9 ft (assist by M. Brogdon),,5,10
1,8:17.0,,S. Ojeleye misses 3-pt jump shot from 27 ft,5,10
1,8:15.0,Defensive rebound by K. Middleton,,5,10
1,8:07.0,K. Middleton makes 2-pt layup from 1 ft,,7,10
1,7:51.0,,G. Hayward misses 3-pt jump shot from 24 ft,7,10
1,7:49.0,Defensive rebound by B. Lopez,,7,10
1,7:36.0,Shooting foul by S. Ojeleye (drawn by M. Brogdon),,7,10
1,7:36.0,M. Brogdon makes free throw 1 of 2,,8,10
1,7:36.0,S. Brown enters the game for E. Bledsoe,,8,10
1,7:36.0,M. Brogdon makes free throw 2 of 2,,9,10
1,7:16.0,,K. Irving misses 2-pt jump shot from 17 ft,9,10
1,7:14.0,Defensive rebound by G. Antetokounmpo,,9,10
1,7:08.0,B. Lopez makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,12,10
1,6:50.0,,M. Smart misses 3-pt jump shot from 23 ft,12,10
1,6:49.0,Defensive rebound by K. Middleton,,12,10
1,6:45.0,K. Middleton makes 3-pt jump shot from 26 ft,,15,10
1,6:30.0,,Personal foul by B. Lopez (drawn by M. Smart),15,10
1,6:30.0,E. Bledsoe enters the game for M. Brogdon,,15,10
1,6:30.0,D. Wilson enters the game for B. Lopez,,15,10
1,6:23.0,,J. Tatum misses 2-pt jump shot from 19 ft,15,10
1,6:21.0,Defensive rebound by D. Wilson,,15,10
1,6:05.0,Shooting foul by J. Tatum (drawn by G. Antetokounmpo),,15,10
1,6:05.0,G. Antetokounmpo makes free throw 1 of 2,,16,10
1,6:05.0,T. Snell enters the game for K. Middleton,,16,10
1,6:05.0,,J. Brown enters the game for S. Ojeleye,16,10
1,6:05.0,,D. Theis enters the game for J. Tatum,16,10
1,6:05.0,G. Antetokounmpo makes free throw 2 of 2,,17,10
1,5:56.0,,Personal foul by G. Antetokounmpo (drawn by G. Hayward),17,10
1,5:56.0,K. Middleton enters the game for G. Antetokounmpo,,17,10
1,5:49.0,,K. Irving misses 2-pt jump shot from 15 ft,17,10
1,5:46.0,Defensive rebound by S. Brown,,17,10
1,5:41.0,Turnover by E. Bledsoe (lost ball; steal by D. Theis),,17,10
1,5:37.0,,Shooting foul by D. Wilson (drawn by J. Brown),17,10
1,5:37.0,,J. Brown makes free throw 1 of 2,17,11
