QUARTER,TIME_REMAINING,HOUSTON_ACTION,SAN ANTONIO_ACTION,HOUSTON_SCORE,SAN ANTONIO_SCORE
1,11:39.0,Personal foul by B. Forbes (drawn by C. Capela),,0,0
1,11:34.0,J. Harden makes 2-pt layup from 6 ft (assist by C. Capela),,2,0
1,11:14.0,,L. Aldridge misses 2-pt jump shot from 9 ft,2,0
1,11:10.0,Defensive rebound by P. Tucker,,2,0
1,11:07.0,C. Paul misses 3-pt jump shot from 26 ft,,2,0
1,11:04.0,,Defensive rebound by Team,2,0
1,11:04.0,Loose ball foul by J. Ennis (drawn by R. Gay),,2,0
1,10:52.0,,D. DeRozan misses 2-pt jump shot from 6 ft,2,0
1,10:50.0,Defensive rebound by J. Harden,,2,0
1,10:46.0,J. Harden makes 2-pt layup from 3 ft,,4,0
1,10:46.0,Shooting foul by L. Aldridge (drawn by J. Harden),,4,0
1,10:46.0,J. Harden makes free throw 1 of 1,,5,0
1,10:24.0,,Turnover by D. Cunningham (lost ball; steal by C. Paul),5,0
1,10:19.0,Turnover by J. Harden (bad pass; steal by D. DeRozan),,5,0
1,10:12.0,,R. Gay makes 2-pt layup from 5 ft (assist by D. DeRozan),5,2
1,10:02.0,C. Capela misses 2-pt jump shot from 7 ft,,5,2
1,9:58.0,Offensive rebound by C. Capela,,5,2
1,9:56.0,C. Capela misses 2-pt layup from 6 ft (block by L. Aldridge),,5,2
1,9:51.0,,Defensive rebound by L. Aldridge,5,2
1,9:49.0,,R. Gay makes 3-pt jump shot from 23 ft (assist by D. DeRozan),5,5
1,9:31.0,J. Harden misses 2-pt layup from 7 ft,,5,5
1,9:31.0,,Defensive rebound by Team,5,5
1,9:21.0,,D. DeRozan misses 2-pt jump shot from 18 ft,5,5
1,9:17.0,Defensive rebound by C. Paul,,5,5
1,9:01.0,C. Paul misses 3-pt jump shot from 23 ft,,5,5
1,9:01.0,,Defensive rebound by R. Gay,5,5
1,8:52.0,,D. Cunningham misses 3-pt jump shot from 24 ft,5,5
1,8:51.0,Defensive rebound by Team,,5,5
1,8:43.0,C. Capela makes 2-pt layup from 3 ft (assist by C. Paul),,7,5
1,8:19.0,,L. Aldridge makes 2-pt hook shot from 7 ft (assist by D. DeRozan),7,7
1,8:04.0,J. Harden misses 3-pt jump shot from 24 ft,,7,7
1,8:04.0,,Defensive rebound by R. Gay,7,7
