QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MEMPHIS_ACTION,BROOKLYN_SCORE,MEMPHIS_SCORE
1,2:45.0,D. Carroll makes free throw 2 of 2,,20,22
1,2:27.0,,D. Brooks makes 2-pt jump shot from 21 ft,20,24
1,2:19.0,Personal foul by D. Brooks (drawn by S. Dinwiddie),,20,24
1,2:09.0,S. Dinwiddie makes 3-pt jump shot from 23 ft (assist by S. Napier),,23,24
1,1:50.0,,G. Temple misses 2-pt jump shot from 20 ft,23,24
1,1:46.0,,Offensive rebound by J. Green,23,24
1,1:40.0,,S. Mack makes 2-pt layup from 2 ft,23,26
1,1:26.0,S. Dinwiddie misses 2-pt jump shot from 10 ft,,23,26
1,1:24.0,,Defensive rebound by M. Gasol,23,26
1,1:19.0,,Personal foul by S. Dinwiddie (drawn by J. Green),23,26
1,1:09.0,,D. Brooks misses 2-pt layup from 2 ft,23,26
1,1:06.0,Defensive rebound by E. Davis,,23,26
1,1:01.0,D. Russell makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,26,26
1,0:44.0,,M. Gasol misses 2-pt jump shot from 20 ft,26,26
1,0:42.0,Defensive rebound by D. Russell,,26,26
1,0:37.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,26,26
1,0:33.0,,Defensive rebound by M. Gasol,26,26
1,0:25.0,,Turnover by S. Mack (bad pass),26,26
1,0:02.0,D. Carroll misses 2-pt jump shot from 11 ft,,26,26
1,0:00.0,,Defensive rebound by J. Green,26,26
2,11:47.0,S. Napier misses 3-pt jump shot from 23 ft,,26,26
2,11:44.0,,Defensive rebound by J. Green,26,26
2,11:31.0,,J. Noah makes 2-pt layup from 4 ft,26,28
2,11:16.0,Turnover by D. Russell (bad pass; steal by J. Carter),,26,28
2,11:10.0,,D. Brooks makes 3-pt jump shot from 26 ft (assist by J. Carter),26,31
2,10:45.0,Turnover by S. Napier (lost ball; steal by J. Carter),,26,31
2,10:36.0,,J. Noah misses 2-pt layup from 4 ft,26,31
2,10:32.0,Defensive rebound by E. Davis,,26,31
2,10:24.0,D. Russell misses 3-pt jump shot from 25 ft,,26,31
2,10:19.0,,Defensive rebound by Team,26,31
2,10:13.0,,G. Temple misses 2-pt jump shot from 21 ft,26,31
2,10:09.0,Defensive rebound by D. Carroll,,26,31
2,10:02.0,S. Napier misses 2-pt jump shot from 17 ft,,26,31
2,9:59.0,,Defensive rebound by J. Noah,26,31
2,9:50.0,,J. Noah makes 2-pt layup at rim (assist by J. Carter),26,33
2,9:22.0,Turnover by S. Napier (bad pass; steal by D. Brooks),,26,33
2,9:17.0,,J. Carter misses 3-pt jump shot from 23 ft,26,33
2,9:13.0,Defensive rebound by D. Russell,,26,33
2,8:59.0,Offensive foul by E. Davis (drawn by J. Green),,26,33
2,8:59.0,Turnover by E. Davis (offensive foul),,26,33
2,8:59.0,S. Dinwiddie enters the game for S. Napier,,26,33
2,8:59.0,,O. Casspi enters the game for J. Green,26,33
2,8:52.0,,D. Brooks misses 3-pt jump shot from 26 ft,26,33
2,8:49.0,Defensive rebound by E. Davis,,26,33
2,8:41.0,Shooting foul by J. Carter (drawn by D. Russell),,26,33
2,8:41.0,D. Russell makes free throw 1 of 2,,27,33
2,8:41.0,D. Russell makes free throw 2 of 2,,28,33
2,8:33.0,,J. Carter misses 3-pt jump shot from 26 ft,28,33
2,8:29.0,Defensive rebound by S. Dinwiddie,,28,33
2,8:22.0,D. Carroll makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,31,33
2,8:22.0,,M. Conley enters the game for D. Brooks,31,33
2,8:04.0,,Offensive foul by J. Noah (drawn by S. Dinwiddie),31,33
2,8:04.0,,Turnover by J. Noah (offensive foul),31,33
