QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,INDIANA_ACTION,PHILADELPHIA_SCORE,INDIANA_SCORE
1,11:43.0,,T. Young misses 2-pt jump shot from 18 ft,0,0
1,11:40.0,Defensive rebound by J. Embiid,,0,0
1,11:29.0,Turnover by M. Fultz (bad pass; steal by B. Bogdanović),,0,0
1,11:26.0,,Turnover by T. Young (bad pass; steal by M. Fultz),0,0
1,11:23.0,B. Simmons makes 2-pt dunk from 1 ft,,2,0
1,11:08.0,,M. Turner misses 2-pt hook shot from 6 ft,2,0
1,11:05.0,Defensive rebound by B. Simmons,,2,0
1,11:01.0,M. Fultz misses 2-pt layup from 1 ft,,2,0
1,10:58.0,,Defensive rebound by T. Young,2,0
1,10:45.0,,Turnover by T. Young (traveling),2,0
1,10:38.0,Personal foul by B. Bogdanović (drawn by B. Simmons),,2,0
1,10:28.0,J. Embiid makes 2-pt dunk from 2 ft,,4,0
1,10:12.0,,M. Turner misses 2-pt layup from 5 ft,4,0
1,10:11.0,Defensive rebound by Team,,4,0
1,10:00.0,M. Fultz makes 2-pt layup from 2 ft,,6,0
1,9:42.0,,V. Oladipo makes 2-pt jump shot from 19 ft,6,2
1,9:21.0,J. Embiid makes 2-pt layup from 1 ft,,8,2
1,9:14.0,,Turnover by T. Young (lost ball; steal by J. Embiid),8,2
1,9:08.0,D. Šarić makes 2-pt layup from 4 ft (assist by B. Simmons),,10,2
1,8:55.0,,D. Collison misses 2-pt jump shot from 17 ft,10,2
1,8:52.0,,Offensive rebound by T. Young,10,2
1,8:38.0,,Turnover by Team (shot clock),10,2
1,8:30.0,D. Šarić makes 3-pt jump shot from 26 ft (assist by B. Simmons),,13,2
1,8:21.0,,Indiana full timeout,13,2
1,8:12.0,,Turnover by D. Collison (bad pass; steal by M. Fultz),13,2
1,8:09.0,R. Covington misses 3-pt jump shot from 25 ft,,13,2
1,8:05.0,,Defensive rebound by M. Turner,13,2
1,7:53.0,,V. Oladipo misses 2-pt jump shot from 19 ft,13,2
1,7:50.0,Defensive rebound by B. Simmons,,13,2
1,7:31.0,Turnover by J. Embiid (bad pass; steal by V. Oladipo),,13,2
1,7:29.0,,V. Oladipo makes 2-pt layup from 1 ft,13,4
1,7:19.0,B. Simmons makes 2-pt jump shot from 7 ft,,15,4
1,7:06.0,,V. Oladipo misses 3-pt jump shot from 27 ft,15,4
1,7:02.0,Defensive rebound by J. Embiid,,15,4
1,6:56.0,J. Embiid misses 3-pt jump shot from 26 ft,,15,4
1,6:53.0,Offensive rebound by Team,,15,4
1,6:53.0,A. Johnson enters the game for J. Embiid,,15,4
1,6:53.0,J. Redick enters the game for M. Fultz,,15,4
1,6:53.0,,D. Sabonis enters the game for T. Young,15,4
1,6:46.0,B. Simmons misses 2-pt jump shot from 9 ft,,15,4
1,6:43.0,,Defensive rebound by V. Oladipo,15,4
1,6:33.0,,D. Sabonis misses 2-pt hook shot from 4 ft,15,4
1,6:31.0,Defensive rebound by D. Šarić,,15,4
1,6:24.0,A. Johnson makes 2-pt layup at rim (assist by D. Šarić),,17,4
1,6:06.0,,D. Collison misses 2-pt jump shot from 17 ft,17,4
1,6:02.0,Defensive rebound by A. Johnson,,17,4
1,5:55.0,B. Simmons makes 2-pt dunk from 1 ft,,19,4
1,5:43.0,,V. Oladipo makes 2-pt layup at rim (assist by D. Sabonis),19,6
1,5:43.0,,Shooting foul by A. Johnson (drawn by V. Oladipo),19,6
1,5:43.0,,T. Evans enters the game for B. Bogdanović,19,6
1,5:43.0,,C. Joseph enters the game for D. Collison,19,6
1,5:43.0,,V. Oladipo makes free throw 1 of 1,19,7
1,5:35.0,Turnover by A. Johnson (bad pass; steal by M. Turner),,19,7
1,5:30.0,,T. Evans misses 2-pt layup at rim,19,7
1,5:30.0,Defensive rebound by Team,,19,7
1,5:14.0,A. Johnson misses 2-pt jump shot from 7 ft,,19,7
1,5:11.0,,Defensive rebound by D. Sabonis,19,7
1,4:59.0,,Shooting foul by B. Simmons (drawn by D. Sabonis),19,7
1,4:59.0,,D. Sabonis makes free throw 1 of 2,19,8
1,4:59.0,W. Chandler enters the game for R. Covington,,19,8
1,4:59.0,,D. Sabonis makes free throw 2 of 2,19,9
1,4:42.0,Turnover by A. Johnson (bad pass),,19,9
1,4:36.0,,V. Oladipo makes 3-pt jump shot from 27 ft (assist by C. Joseph),19,12
1,4:23.0,Shooting foul by C. Joseph (drawn by J. Redick),,19,12
1,4:23.0,J. Redick makes free throw 1 of 2,,20,12
1,4:23.0,J. Redick makes free throw 2 of 2,,21,12
1,4:23.0,J. Embiid enters the game for A. Johnson,,21,12
