QUARTER,TIME_REMAINING,PHOENIX_ACTION,UTAH_ACTION,PHOENIX_SCORE,UTAH_SCORE
1,11:43.0,,D. Mitchell makes 2-pt layup from 3 ft,0,2
1,11:31.0,D. Ayton makes 2-pt layup from 2 ft (assist by M. Bridges),,2,2
1,11:13.0,,D. Favors misses 3-pt jump shot from 24 ft,2,2
1,11:12.0,Defensive rebound by Team,,2,2
1,10:54.0,Turnover by D. Ayton (bad pass; steal by R. Rubio),,2,2
1,10:39.0,,Personal foul by E. Okobo (drawn by R. Gobert),2,2
1,10:29.0,,Turnover by J. Ingles (bad pass; steal by M. Bridges),2,2
1,10:22.0,Turnover by E. Okobo (lost ball; steal by D. Mitchell),,2,2
1,10:11.0,,R. Rubio misses 2-pt jump shot from 14 ft,2,2
1,10:08.0,Defensive rebound by D. Bender,,2,2
1,10:02.0,Turnover by J. Jackson (bad pass; steal by R. Rubio),,2,2
1,9:56.0,,J. Ingles makes 2-pt layup from 4 ft,2,4
1,9:56.0,,Shooting foul by E. Okobo (drawn by J. Ingles),2,4
1,9:56.0,,J. Ingles makes free throw 1 of 1,2,5
1,9:35.0,Turnover by J. Jackson (bad pass; steal by D. Favors),,2,5
1,9:25.0,,R. Rubio misses 2-pt layup from 3 ft,2,5
1,9:24.0,Defensive rebound by J. Jackson,,2,5
1,9:20.0,Shooting foul by D. Mitchell (drawn by J. Jackson),,2,5
1,9:20.0,J. Jackson makes free throw 1 of 2,,3,5
1,9:20.0,J. Jackson misses free throw 2 of 2,,3,5
1,9:19.0,,Defensive rebound by R. Gobert,3,5
1,9:10.0,,Personal foul by D. Bender (drawn by R. Gobert),3,5
1,8:55.0,,Turnover by Team (shot clock),3,5
1,8:41.0,E. Okobo misses 2-pt jump shot from 16 ft,,3,5
1,8:39.0,,Defensive rebound by J. Ingles,3,5
1,8:34.0,,D. Favors makes 2-pt dunk from 2 ft (assist by R. Rubio),3,7
1,8:18.0,J. Jackson misses 3-pt jump shot from 25 ft,,3,7
1,8:15.0,,Defensive rebound by R. Gobert,3,7
1,8:07.0,,R. Rubio makes 2-pt jump shot from 10 ft,3,9
1,8:06.0,Phoenix full timeout,,3,9
1,7:56.0,J. Jackson makes 2-pt dunk from 3 ft,,5,9
1,7:35.0,,D. Mitchell misses 2-pt layup from 4 ft,5,9
1,7:34.0,Defensive rebound by D. Ayton,,5,9
1,7:21.0,D. Ayton makes 2-pt jump shot from 17 ft (assist by E. Okobo),,7,9
1,6:59.0,,Turnover by J. Ingles (bad pass; steal by J. Jackson),7,9
1,6:55.0,D. Bender misses 2-pt layup from 3 ft (block by D. Favors),,7,9
1,6:52.0,,Defensive rebound by R. Rubio,7,9
1,6:45.0,,D. Mitchell misses 3-pt jump shot from 25 ft,7,9
1,6:42.0,Defensive rebound by J. Jackson,,7,9
1,6:32.0,M. Bridges misses 2-pt layup from 2 ft,,7,9
1,6:28.0,Offensive rebound by D. Ayton,,7,9
1,6:28.0,D. Ayton makes 2-pt layup at rim,,9,9
1,6:13.0,,D. Mitchell misses 2-pt layup from 3 ft,9,9
1,6:10.0,,Offensive rebound by R. Gobert,9,9
1,6:10.0,,R. Gobert misses 2-pt layup from 1 ft,9,9
1,6:09.0,,Offensive rebound by R. Rubio,9,9
1,6:01.0,,Turnover by R. Rubio (bad pass; steal by J. Jackson),9,9
1,5:55.0,D. Ayton makes 2-pt dunk from 2 ft (assist by J. Jackson),,11,9
