QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PORTLAND_ACTION,OKLAHOMA CITY_SCORE,PORTLAND_SCORE
1,11:38.0,P. George misses 3-pt jump shot from 26 ft,,0,0
1,11:37.0,Offensive rebound by Team,,0,0
1,11:35.0,Turnover by R. Westbrook (bad pass),,0,0
1,11:19.0,,J. Nurkić makes 2-pt layup at rim (assist by D. Lillard),0,2
1,11:08.0,R. Westbrook makes 3-pt jump shot from 27 ft (assist by P. George),,3,2
1,10:53.0,,D. Lillard misses 3-pt jump shot from 32 ft,3,2
1,10:52.0,,Offensive rebound by J. Nurkić,3,2
1,10:48.0,,D. Lillard misses 3-pt jump shot from 25 ft,3,2
1,10:46.0,Defensive rebound by P. George,,3,2
1,10:37.0,J. Grant misses 2-pt layup from 1 ft,,3,2
1,10:35.0,,Defensive rebound by A. Aminu,3,2
1,10:24.0,,C. McCollum makes 2-pt jump shot from 5 ft (assist by J. Nurkić),3,4
1,10:02.0,R. Westbrook misses 2-pt jump shot from 5 ft (block by D. Lillard),,3,4
1,10:00.0,Offensive rebound by R. Westbrook,,3,4
1,9:57.0,P. George makes 2-pt layup from 4 ft (assist by R. Westbrook),,5,4
1,9:50.0,,C. McCollum misses 3-pt jump shot from 25 ft,5,4
1,9:48.0,Defensive rebound by P. George,,5,4
1,9:42.0,P. George misses 2-pt layup from 2 ft (block by J. Nurkić),,5,4
1,9:40.0,Offensive rebound by J. Grant,,5,4
1,9:39.0,J. Grant makes 2-pt layup from 1 ft,,7,4
1,9:26.0,,M. Harkless misses 3-pt jump shot from 25 ft,7,4
1,9:26.0,Defensive rebound by R. Westbrook,,7,4
1,9:22.0,Turnover by R. Westbrook (bad pass),,7,4
1,9:06.0,,Turnover by C. McCollum (bad pass; steal by P. George),7,4
1,9:02.0,P. George misses 3-pt jump shot from 25 ft,,7,4
1,9:01.0,,Defensive rebound by J. Nurkić,7,4
1,8:50.0,,J. Nurkić misses 2-pt layup from 1 ft,7,4
1,8:48.0,,Offensive rebound by J. Nurkić,7,4
1,8:47.0,,J. Nurkić makes 2-pt dunk from 2 ft,7,6
1,8:42.0,Shooting foul by M. Harkless (drawn by P. George),,7,6
