QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MINNESOTA_ACTION,GOLDEN STATE_SCORE,MINNESOTA_SCORE
1,11:38.0,,D. Šarić makes 3-pt jump shot from 27 ft (assist by K. Towns),0,3
1,11:21.0,K. Thompson misses 3-pt jump shot from 26 ft,,0,3
1,11:21.0,,Defensive rebound by K. Towns,0,3
1,11:10.0,,A. Wiggins makes 2-pt jump shot from 11 ft (assist by K. Towns),0,5
1,11:03.0,K. Thompson misses 2-pt layup from 2 ft,,0,5
1,11:03.0,Offensive rebound by D. Green,,0,5
1,10:58.0,D. Green makes 2-pt layup from 1 ft,,2,5
1,10:53.0,,K. Towns misses 3-pt jump shot from 25 ft,2,5
1,10:51.0,Defensive rebound by D. Green,,2,5
1,10:44.0,D. Cousins misses 2-pt jump shot from 6 ft,,2,5
1,10:42.0,,Defensive rebound by J. Okogie,2,5
1,10:33.0,,T. Jones misses 2-pt jump shot from 11 ft,2,5
1,10:30.0,Defensive rebound by D. Cousins,,2,5
1,10:24.0,D. Cousins misses 2-pt layup from 1 ft,,2,5
1,10:22.0,,Defensive rebound by D. Šarić,2,5
1,10:08.0,,T. Jones misses 3-pt jump shot from 26 ft,2,5
1,10:06.0,Defensive rebound by D. Cousins,,2,5
1,9:54.0,D. Cousins makes 2-pt layup from 1 ft (assist by K. Thompson),,4,5
1,9:40.0,,J. Okogie misses 2-pt jump shot from 6 ft,4,5
1,9:37.0,Defensive rebound by D. Cousins,,4,5
1,9:25.0,K. Thompson makes 2-pt layup from 2 ft,,6,5
1,9:10.0,,K. Towns misses 2-pt jump shot from 16 ft,6,5
1,9:07.0,Defensive rebound by D. Green,,6,5
1,9:03.0,S. Curry misses 3-pt jump shot from 26 ft,,6,5
1,9:00.0,,Defensive rebound by K. Towns,6,5
1,8:54.0,,D. Šarić misses 3-pt jump shot from 24 ft,6,5
1,8:50.0,Defensive rebound by D. Cousins,,6,5
1,8:47.0,Personal foul by T. Jones (drawn by K. Thompson),,6,5
1,8:44.0,D. Green misses 2-pt jump shot from 9 ft,,6,5
1,8:42.0,,Defensive rebound by D. Šarić,6,5
1,8:35.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by K. Towns),6,8
1,8:06.0,K. Thompson misses 2-pt jump shot from 20 ft,,6,8
1,8:04.0,Offensive rebound by D. Cousins,,6,8
1,8:02.0,D. Cousins misses 2-pt layup from 1 ft,,6,8
1,8:02.0,Offensive rebound by Team,,6,8
1,8:00.0,K. Durant makes 2-pt jump shot from 16 ft (assist by D. Green),,8,8
1,7:48.0,,D. Šarić makes 2-pt jump shot from 21 ft (assist by J. Okogie),8,10
1,7:34.0,S. Curry makes 3-pt jump shot from 22 ft (assist by K. Durant),,11,10
1,7:15.0,,D. Šarić makes 2-pt layup from 2 ft,11,12
1,7:06.0,K. Thompson makes 2-pt jump shot from 11 ft (assist by S. Curry),,13,12
1,6:57.0,,Shooting foul by D. Cousins (drawn by K. Towns),13,12
1,6:57.0,,Minnesota full timeout,13,12
1,6:57.0,,K. Towns makes free throw 1 of 2,13,13
1,6:57.0,,K. Towns makes free throw 2 of 2,13,14
1,6:49.0,D. Cousins makes 2-pt layup from 2 ft (assist by K. Thompson),,15,14
1,6:32.0,,A. Wiggins makes 2-pt jump shot from 19 ft (assist by K. Towns),15,16
1,6:21.0,Personal foul by K. Towns (drawn by D. Cousins),,15,16
1,6:13.0,K. Thompson makes 2-pt jump shot from 14 ft (assist by S. Curry),,17,16
1,5:56.0,,K. Towns misses 3-pt jump shot from 24 ft,17,16
1,5:54.0,Defensive rebound by K. Durant,,17,16
1,5:43.0,S. Curry makes 3-pt jump shot from 22 ft (assist by K. Thompson),,20,16
1,5:26.0,,D. Šarić misses 3-pt jump shot from 25 ft,20,16
1,5:24.0,,Offensive rebound by K. Towns,20,16
1,5:18.0,,J. Okogie makes 2-pt jump shot from 17 ft (assist by A. Wiggins),20,18
1,5:03.0,K. Thompson misses 2-pt jump shot from 11 ft,,20,18
1,5:02.0,,Defensive rebound by K. Towns,20,18
1,4:52.0,,A. Wiggins misses 2-pt jump shot from 18 ft,20,18
1,4:51.0,Defensive rebound by Team,,20,18
1,4:51.0,A. Iguodala enters the game for D. Cousins,,20,18
1,4:51.0,K. Looney enters the game for K. Thompson,,20,18
1,4:51.0,,K. Bates-Diop enters the game for A. Wiggins,20,18
1,4:30.0,K. Durant misses 2-pt jump shot from 11 ft,,20,18
1,4:28.0,,Defensive rebound by D. Šarić,20,18
1,4:21.0,,Turnover by T. Jones (bad pass; steal by S. Curry),20,18
1,4:15.0,A. Iguodala makes 2-pt layup from 1 ft (assist by S. Curry),,22,18
1,4:15.0,,Minnesota full timeout,22,18
1,4:15.0,,G. Dieng enters the game for J. Okogie,22,18
1,4:15.0,,A. Wiggins enters the game for K. Towns,22,18
1,3:51.0,,K. Bates-Diop misses 2-pt jump shot from 10 ft,22,18
1,3:49.0,Defensive rebound by A. Iguodala,,22,18
1,3:37.0,K. Durant misses 2-pt jump shot from 15 ft,,22,18
1,3:35.0,,Defensive rebound by K. Bates-Diop,22,18
1,3:24.0,,G. Dieng misses 3-pt jump shot from 23 ft,22,18
1,3:21.0,Defensive rebound by D. Green,,22,18
1,3:16.0,,Technical foul by G. Dieng,22,18
1,3:16.0,Technical foul by K. Durant,,22,18
1,3:13.0,Personal foul by A. Wiggins (drawn by K. Durant),,22,18
1,3:13.0,,J. Bayless enters the game for T. Jones,22,18
1,3:13.0,,A. Tolliver enters the game for D. Šarić,22,18
1,3:05.0,S. Curry misses 2-pt layup from 2 ft (block by G. Dieng),,22,18
1,3:01.0,,Defensive rebound by A. Tolliver,22,18
1,2:55.0,,A. Wiggins misses 2-pt layup from 4 ft (block by K. Durant),22,18
1,2:55.0,Defensive rebound by Team,,22,18
1,2:55.0,A. McKinnie enters the game for K. Durant,,22,18
1,2:48.0,S. Curry misses 2-pt jump shot from 12 ft,,22,18
1,2:44.0,,Defensive rebound by G. Dieng,22,18
1,2:27.0,,G. Dieng makes 2-pt dunk from 3 ft (assist by J. Bayless),22,20
1,2:16.0,K. Looney misses 2-pt layup from 1 ft (block by A. Wiggins),,22,20
1,2:15.0,Offensive rebound by Team,,22,20
