QUARTER,TIME_REMAINING,PORTLAND_ACTION,HOUSTON_ACTION,PORTLAND_SCORE,HOUSTON_SCORE
1,11:43.0,,C. Paul misses 2-pt jump shot from 11 ft,0,0
1,11:42.0,Defensive rebound by M. Harkless,,0,0
1,11:22.0,Turnover by D. Lillard (bad pass),,0,0
1,11:16.0,,C. Capela makes 2-pt dunk from 2 ft (assist by J. Harden),0,2
1,11:02.0,M. Harkless misses 2-pt layup from 6 ft (block by C. Paul),,0,2
1,10:59.0,,Defensive rebound by C. Paul,0,2
1,10:56.0,,J. Harden misses 2-pt jump shot from 5 ft,0,2
1,10:55.0,Defensive rebound by A. Aminu,,0,2
1,10:45.0,C. McCollum makes 2-pt jump shot from 6 ft,,2,2
1,10:39.0,,P. Tucker makes 2-pt layup from 2 ft (assist by C. Paul),2,4
1,10:16.0,Turnover by A. Aminu (step out of bounds),,2,4
1,10:00.0,,Offensive foul by C. Capela (drawn by A. Aminu),2,4
1,10:00.0,,Turnover by C. Capela (offensive foul),2,4
1,9:48.0,D. Lillard makes 2-pt jump shot from 19 ft,,4,4
1,9:33.0,,J. Harden makes 2-pt layup from 2 ft,4,6
1,9:19.0,C. McCollum makes 2-pt jump shot from 21 ft,,6,6
1,8:59.0,,J. Harden misses 2-pt jump shot from 1 ft,6,6
1,8:58.0,,Offensive rebound by C. Capela,6,6
1,8:58.0,,C. Capela misses 2-pt layup at rim,6,6
1,8:57.0,,Offensive rebound by P. Tucker,6,6
1,8:51.0,,Shooting foul by A. Aminu (drawn by C. Capela),6,6
1,8:51.0,,C. Capela makes free throw 1 of 2,6,7
1,8:51.0,,C. Capela misses free throw 2 of 2,6,7
1,8:51.0,Defensive rebound by A. Aminu,,6,7
1,8:40.0,D. Lillard makes 3-pt jump shot from 26 ft,,9,7
1,8:27.0,,P. Tucker misses 3-pt jump shot from 25 ft,9,7
1,8:26.0,Defensive rebound by J. Nurkić,,9,7
1,8:11.0,C. McCollum makes 2-pt layup from 1 ft (assist by J. Nurkić),,11,7
1,8:01.0,,C. Paul misses 2-pt jump shot from 12 ft,11,7
1,7:59.0,Defensive rebound by C. McCollum,,11,7
1,7:50.0,J. Nurkić misses 2-pt layup from 6 ft,,11,7
1,7:49.0,Offensive rebound by A. Aminu,,11,7
1,7:49.0,A. Aminu misses 2-pt layup from 1 ft,,11,7
1,7:48.0,Offensive rebound by A. Aminu,,11,7
1,7:46.0,A. Aminu makes 2-pt hook shot from 4 ft,,13,7
1,7:35.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Capela),13,10
1,7:14.0,M. Harkless makes 3-pt jump shot from 25 ft (assist by J. Nurkić),,16,10
1,7:01.0,,E. Gordon misses 2-pt layup from 3 ft,16,10
1,7:00.0,Defensive rebound by A. Aminu,,16,10
1,6:53.0,C. McCollum misses 3-pt jump shot from 25 ft,,16,10
1,6:50.0,,Defensive rebound by P. Tucker,16,10
1,6:43.0,,J. Harden misses 3-pt jump shot from 25 ft,16,10
1,6:40.0,Defensive rebound by J. Nurkić,,16,10
1,6:28.0,D. Lillard makes 2-pt layup from 1 ft,,18,10
1,6:28.0,Shooting foul by J. Harden (drawn by D. Lillard),,18,10
1,6:28.0,,Houston full timeout,18,10
1,6:28.0,,J. Ennis enters the game for C. Capela,18,10
1,6:28.0,,N. Hilário enters the game for C. Paul,18,10
1,6:28.0,D. Lillard makes free throw 1 of 1,,19,10
1,6:15.0,,J. Harden misses 3-pt jump shot from 26 ft,19,10
1,6:14.0,,Offensive rebound by J. Ennis,19,10
1,6:14.0,,J. Ennis makes 2-pt dunk at rim,19,12
1,5:57.0,C. McCollum makes 2-pt layup from 2 ft (assist by J. Nurkić),,21,12
1,5:37.0,,N. Hilário misses 3-pt jump shot from 25 ft,21,12
1,5:37.0,Defensive rebound by M. Harkless,,21,12
1,5:23.0,J. Nurkić misses 2-pt layup from 2 ft (block by N. Hilário),,21,12
1,5:23.0,Offensive rebound by Team,,21,12
1,5:23.0,E. Turner enters the game for M. Harkless,,21,12
1,5:12.0,C. McCollum misses 2-pt jump shot from 19 ft,,21,12
1,5:10.0,Offensive rebound by J. Nurkić,,21,12
1,5:09.0,A. Aminu misses 2-pt jump shot from 9 ft,,21,12
1,5:06.0,Offensive rebound by J. Nurkić,,21,12
1,5:05.0,Shooting foul by N. Hilário (drawn by J. Nurkić),,21,12
1,5:05.0,J. Nurkić makes free throw 1 of 2,,22,12
1,5:05.0,J. Nurkić makes free throw 2 of 2,,23,12
1,4:50.0,,E. Gordon misses 3-pt jump shot from 26 ft,23,12
1,4:47.0,Defensive rebound by J. Nurkić,,23,12
1,4:37.0,D. Lillard misses 3-pt jump shot from 26 ft,,23,12
1,4:35.0,Offensive rebound by A. Aminu,,23,12
1,4:30.0,D. Lillard makes 2-pt layup at rim (assist by A. Aminu),,25,12
1,4:16.0,,J. Harden misses 2-pt jump shot from 8 ft,25,12
1,4:14.0,Defensive rebound by A. Aminu,,25,12
1,4:05.0,C. McCollum misses 2-pt jump shot from 7 ft,,25,12
1,4:04.0,Offensive rebound by E. Turner,,25,12
1,4:04.0,E. Turner makes 2-pt layup from 1 ft,,27,12
1,3:50.0,,J. Harden makes 3-pt jump shot from 27 ft,27,15
1,3:29.0,D. Lillard misses 2-pt layup from 1 ft,,27,15
1,3:27.0,,Defensive rebound by Team,27,15
1,3:27.0,Loose ball foul by D. Lillard (drawn by N. Hilário),,27,15
1,3:27.0,Portland full timeout,,27,15
1,3:27.0,Z. Collins enters the game for C. McCollum,,27,15
1,3:27.0,J. Layman enters the game for J. Nurkić,,27,15
1,3:27.0,,D. House enters the game for P. Tucker,27,15
1,3:15.0,,E. Gordon makes 2-pt layup at rim,27,17
1,3:15.0,,Shooting foul by Z. Collins (drawn by E. Gordon),27,17
1,3:15.0,,C. Paul enters the game for J. Harden,27,17
1,3:15.0,,E. Gordon misses free throw 1 of 1,27,17
1,3:15.0,Defensive rebound by A. Aminu,,27,17
1,2:54.0,D. Lillard makes 2-pt layup from 1 ft (assist by E. Turner),,29,17
1,2:37.0,,N. Hilário makes 2-pt layup from 1 ft (assist by E. Gordon),29,19
1,2:37.0,N. Stauskas enters the game for D. Lillard,,29,19
1,2:37.0,,G. Green enters the game for E. Gordon,29,19
1,2:14.0,Turnover by Z. Collins (traveling),,29,19
1,2:03.0,,G. Green makes 3-pt jump shot from 26 ft (assist by C. Paul),29,22
1,1:40.0,Turnover by A. Aminu (out of bounds lost ball),,29,22
1,1:40.0,M. Harkless enters the game for A. Aminu,,29,22
1,1:28.0,,Turnover by C. Paul (bad pass),29,22
1,1:15.0,J. Layman misses 2-pt jump shot from 22 ft,,29,22
1,1:14.0,,Defensive rebound by D. House,29,22
1,1:05.0,,D. House makes 3-pt jump shot from 26 ft (assist by C. Paul),29,25
1,0:45.0,Z. Collins misses 2-pt jump shot from 12 ft (block by N. Hilário),,29,25
1,0:44.0,,Defensive rebound by N. Hilário,29,25
1,0:32.0,,C. Paul makes 2-pt jump shot from 1 ft,29,27
1,0:12.0,Z. Collins misses 3-pt jump shot from 24 ft,,29,27
1,0:11.0,,Defensive rebound by C. Paul,29,27
1,0:00.0,,C. Paul misses 3-pt jump shot from 25 ft,29,27
1,0:00.0,,Offensive rebound by Team,29,27
2,11:47.0,M. Harkless misses 3-pt jump shot from 25 ft,,29,27
2,11:46.0,,Defensive rebound by J. Ennis,29,27
2,11:40.0,,D. House misses 3-pt jump shot from 22 ft (block by M. Harkless),29,27
2,11:40.0,,Offensive rebound by C. Paul,29,27
2,11:30.0,,G. Green makes 2-pt hook shot from 4 ft,29,29
2,11:17.0,J. Layman misses 2-pt layup from 4 ft,,29,29
2,11:17.0,Offensive rebound by Team,,29,29
2,11:17.0,S. Curry enters the game for J. Layman,,29,29
2,11:04.0,Z. Collins misses 2-pt jump shot from 19 ft,,29,29
2,11:01.0,Offensive rebound by Z. Collins,,29,29
2,10:50.0,Z. Collins makes 2-pt layup from 1 ft (assist by E. Turner),,31,29
2,10:37.0,,C. Paul misses 3-pt jump shot from 25 ft,31,29
2,10:36.0,Defensive rebound by E. Turner,,31,29
2,10:23.0,Z. Collins misses 2-pt layup from 2 ft (block by G. Green),,31,29
2,10:21.0,,Defensive rebound by C. Paul,31,29
2,10:16.0,,D. House makes 2-pt layup from 1 ft (assist by C. Paul),31,31
2,10:03.0,M. Harkless makes 2-pt dunk from 1 ft (assist by E. Turner),,33,31
2,9:44.0,,G. Green misses 2-pt jump shot from 8 ft,33,31
2,9:43.0,,Offensive rebound by G. Green,33,31
2,9:31.0,,G. Green makes 3-pt jump shot from 26 ft (assist by D. House),33,34
2,9:04.0,E. Turner misses 2-pt jump shot from 17 ft,,33,34
2,9:03.0,Offensive rebound by Z. Collins,,33,34
2,9:03.0,C. McCollum enters the game for N. Stauskas,,33,34
2,9:03.0,,C. Capela enters the game for N. Hilário,33,34
2,8:55.0,C. McCollum misses 3-pt jump shot from 26 ft,,33,34
2,8:51.0,,Defensive rebound by J. Ennis,33,34
2,8:39.0,,Violation by Team (kicked ball),33,34
2,8:28.0,Personal foul by C. Paul (drawn by E. Turner),,33,34
2,8:28.0,,E. Gordon enters the game for J. Ennis,33,34
2,8:16.0,Turnover by E. Turner (bad pass; steal by G. Green),,33,34
2,8:14.0,,Shooting foul by M. Harkless (drawn by D. House),33,34
2,8:14.0,,D. House makes free throw 1 of 2,33,35
2,8:14.0,,D. House makes free throw 2 of 2,33,36
2,7:57.0,Turnover by C. McCollum (bad pass; steal by C. Capela),,33,36
2,7:48.0,,D. House misses 3-pt jump shot from 23 ft,33,36
2,7:45.0,Defensive rebound by Z. Collins,,33,36
2,7:37.0,S. Curry makes 3-pt jump shot from 24 ft (assist by E. Turner),,36,36
2,7:25.0,,E. Gordon misses 3-pt jump shot from 26 ft,36,36
2,7:24.0,Defensive rebound by Z. Collins,,36,36
2,7:08.0,C. McCollum misses 2-pt jump shot from 7 ft,,36,36
2,7:08.0,Offensive rebound by Z. Collins,,36,36
2,6:55.0,Z. Collins makes 3-pt jump shot from 25 ft (assist by E. Turner),,39,36
2,6:54.0,,Houston full timeout,39,36
2,6:54.0,A. Aminu enters the game for Z. Collins,,39,36
2,6:54.0,D. Lillard enters the game for M. Harkless,,39,36
2,6:54.0,J. Nurkić enters the game for E. Turner,,39,36
2,6:54.0,,J. Ennis enters the game for G. Green,39,36
2,6:54.0,,J. Harden enters the game for D. House,39,36
2,6:54.0,,P. Tucker enters the game for C. Paul,39,36
2,6:41.0,,E. Gordon makes 2-pt jump shot from 13 ft (assist by J. Harden),39,38
2,6:12.0,J. Nurkić misses 2-pt jump shot from 6 ft,,39,38
2,6:11.0,,Defensive rebound by J. Ennis,39,38
2,5:48.0,,P. Tucker misses 3-pt jump shot from 22 ft,39,38
2,5:45.0,,Offensive rebound by Team,39,38
