QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,ATLANTA_ACTION,SACRAMENTO_SCORE,ATLANTA_SCORE
1,11:41.0,,T. Prince misses 2-pt jump shot from 11 ft,0,0
1,11:38.0,Defensive rebound by I. Shumpert,,0,0
1,11:24.0,N. Bjelica misses 2-pt jump shot from 8 ft,,0,0
1,11:19.0,,Defensive rebound by T. Prince,0,0
1,11:10.0,,V. Carter makes 3-pt jump shot from 28 ft (assist by T. Young),0,3
1,10:56.0,D. Fox misses 2-pt jump shot from 22 ft,,0,3
1,10:53.0,,Defensive rebound by T. Prince,0,3
1,10:45.0,,Turnover by T. Prince (bad pass; steal by W. Cauley-Stein),0,3
1,10:39.0,N. Bjelica makes 2-pt layup from 1 ft (assist by B. Hield),,2,3
1,10:29.0,,T. Young makes 2-pt layup from 2 ft,2,5
1,10:22.0,D. Fox makes 2-pt layup from 1 ft,,4,5
1,10:12.0,,Shooting foul by W. Cauley-Stein (drawn by A. Len),4,5
1,10:12.0,,A. Len misses free throw 1 of 2,4,5
1,10:12.0,,Offensive rebound by Team,4,5
1,10:12.0,,A. Len makes free throw 2 of 2,4,6
1,10:02.0,Turnover by D. Fox (bad pass; steal by T. Prince),,4,6
1,9:58.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by T. Prince),4,8
1,9:51.0,N. Bjelica makes 3-pt jump shot from 26 ft (assist by B. Hield),,7,8
1,9:43.0,,T. Prince misses 2-pt layup from 4 ft (block by I. Shumpert),7,8
1,9:43.0,Defensive rebound by I. Shumpert,,7,8
1,9:31.0,N. Bjelica misses 3-pt jump shot from 27 ft,,7,8
1,9:27.0,,Defensive rebound by T. Young,7,8
1,9:20.0,,V. Carter misses 3-pt jump shot from 25 ft,7,8
1,9:16.0,,Offensive rebound by A. Len,7,8
1,9:15.0,,A. Len makes 2-pt jump shot from 17 ft,7,10
1,8:56.0,W. Cauley-Stein misses 2-pt layup from 2 ft,,7,10
1,8:52.0,,Defensive rebound by T. Prince,7,10
1,8:41.0,,Turnover by T. Young (bad pass; steal by N. Bjelica),7,10
1,8:36.0,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by D. Fox),,9,10
1,8:14.0,,Shooting foul by N. Bjelica (drawn by A. Len),9,10
1,8:14.0,,A. Len makes free throw 1 of 2,9,11
1,8:14.0,,A. Len makes free throw 2 of 2,9,12
1,8:01.0,Turnover by B. Hield (out of bounds lost ball),,9,12
1,7:49.0,,Turnover by T. Young (bad pass; steal by N. Bjelica),9,12
1,7:44.0,I. Shumpert makes 3-pt jump shot from 25 ft (assist by D. Fox),,12,12
1,7:42.0,,Atlanta full timeout,12,12
