QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DALLAS_ACTION,OKLAHOMA CITY_SCORE,DALLAS_SCORE
1,11:37.0,R. Westbrook misses 2-pt jump shot from 18 ft,,0,0
1,11:35.0,,Defensive rebound by L. Dončić,0,0
1,11:18.0,,H. Barnes makes 2-pt hook shot from 2 ft (assist by M. Kleber),0,2
1,11:03.0,P. George makes 2-pt jump shot from 5 ft,,2,2
1,10:48.0,,Turnover by D. Smith (bad pass; steal by J. Grant),2,2
1,10:46.0,Shooting foul by L. Dončić (drawn by P. George),,2,2
1,10:46.0,P. George makes free throw 1 of 2,,3,2
1,10:46.0,P. George makes free throw 2 of 2,,4,2
1,10:30.0,,Personal foul by A. Nader (drawn by H. Barnes),4,2
1,10:18.0,,L. Dončić misses 2-pt jump shot from 8 ft,4,2
1,10:13.0,,Offensive rebound by D. Jordan,4,2
1,10:13.0,,D. Jordan makes 2-pt layup from 1 ft,4,4
1,10:06.0,A. Nader misses 2-pt jump shot from 8 ft,,4,4
1,10:03.0,,Defensive rebound by H. Barnes,4,4
1,9:59.0,,Turnover by L. Dončić (bad pass; steal by P. George),4,4
1,9:51.0,A. Nader misses 3-pt jump shot from 23 ft,,4,4
1,9:49.0,Offensive rebound by P. George,,4,4
1,9:47.0,P. George misses 3-pt jump shot from 25 ft,,4,4
1,9:47.0,,Defensive rebound by M. Kleber,4,4
1,9:33.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),4,6
1,9:24.0,P. George misses 3-pt jump shot from 25 ft,,4,6
1,9:20.0,,Defensive rebound by L. Dončić,4,6
1,9:12.0,,Shooting foul by A. Nader (drawn by L. Dončić),4,6
1,9:12.0,,L. Dončić misses free throw 1 of 2,4,6
1,9:12.0,,Offensive rebound by Team,4,6
1,9:12.0,,L. Dončić makes free throw 2 of 2,4,7
1,9:03.0,S. Adams makes 2-pt layup from 2 ft (assist by R. Westbrook),,6,7
1,8:43.0,,D. Smith misses 2-pt layup from 2 ft,6,7
1,8:42.0,,Offensive rebound by D. Smith,6,7
1,8:32.0,,H. Barnes misses 3-pt jump shot from 24 ft,6,7
1,8:29.0,Defensive rebound by P. George,,6,7
1,8:19.0,S. Adams makes 2-pt hook shot from 2 ft,,8,7
1,8:03.0,,L. Dončić misses 2-pt jump shot from 8 ft,8,7
1,8:01.0,Defensive rebound by S. Adams,,8,7
1,7:57.0,R. Westbrook misses 2-pt jump shot from 16 ft,,8,7
1,7:54.0,,Defensive rebound by D. Jordan,8,7
1,7:33.0,,L. Dončić makes 2-pt layup from 7 ft,8,9
1,7:26.0,P. George makes 2-pt jump shot from 15 ft,,10,9
1,7:13.0,,Turnover by H. Barnes (lost ball; steal by A. Nader),10,9
1,7:07.0,P. George misses 2-pt layup from 1 ft,,10,9
1,7:05.0,,Defensive rebound by H. Barnes,10,9
1,6:59.0,,M. Kleber misses 3-pt jump shot from 26 ft,10,9
1,6:54.0,Defensive rebound by R. Westbrook,,10,9
1,6:53.0,Shooting foul by M. Kleber (drawn by P. George),,10,9
1,6:53.0,,Dallas full timeout,10,9
1,6:53.0,P. George makes free throw 1 of 2,,11,9
1,6:53.0,P. George misses free throw 2 of 2,,11,9
1,6:50.0,,Defensive rebound by D. Smith,11,9
1,6:33.0,,Turnover by D. Smith (out of bounds lost ball),11,9
1,6:17.0,Turnover by R. Westbrook (lost ball; steal by D. Jordan),,11,9
1,6:15.0,,Turnover by D. Jordan (bad pass; steal by P. George),11,9
1,6:10.0,A. Nader makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,14,9
1,5:48.0,,Turnover by D. Smith (bad pass; steal by S. Adams),14,9
1,5:45.0,P. George makes 2-pt layup at rim,,16,9
1,5:43.0,,Dallas full timeout,16,9
1,5:35.0,,Personal foul by P. George (drawn by L. Dončić),16,9
1,5:28.0,,L. Dončić misses 2-pt layup from 2 ft,16,9
1,5:25.0,,Offensive rebound by D. Jordan,16,9
1,5:25.0,,D. Jordan misses 2-pt layup from 1 ft,16,9
1,5:24.0,Defensive rebound by R. Westbrook,,16,9
1,5:21.0,R. Westbrook makes 2-pt layup from 2 ft,,18,9
1,5:02.0,,L. Dončić misses 3-pt jump shot from 26 ft,18,9
1,4:59.0,Defensive rebound by J. Grant,,18,9
1,4:48.0,R. Westbrook misses 2-pt jump shot from 15 ft,,18,9
1,4:44.0,,Defensive rebound by D. Jordan,18,9
1,4:38.0,,D. Smith misses 2-pt jump shot from 21 ft,18,9
1,4:35.0,Defensive rebound by R. Westbrook,,18,9
1,4:30.0,Turnover by R. Westbrook (bad pass; steal by M. Kleber),,18,9
1,4:28.0,,Turnover by M. Kleber (lost ball; steal by R. Westbrook),18,9
1,4:20.0,P. George misses 3-pt jump shot from 26 ft,,18,9
1,4:16.0,,Defensive rebound by D. Jordan,18,9
1,4:08.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by L. Dončić),18,12
1,3:48.0,J. Grant makes 2-pt jump shot from 9 ft,,20,12
1,3:48.0,Shooting foul by H. Barnes (drawn by J. Grant),,20,12
1,3:48.0,D. Schröder enters the game for A. Nader,,20,12
1,3:48.0,,J. Barea enters the game for M. Kleber,20,12
1,3:48.0,,D. Finney-Smith enters the game for D. Smith,20,12
1,3:48.0,J. Grant makes free throw 1 of 1,,21,12
1,3:36.0,,L. Dončić makes 2-pt layup from 1 ft,21,14
1,3:26.0,P. George misses 2-pt jump shot from 12 ft,,21,14
1,3:25.0,,Defensive rebound by Team,21,14
1,3:25.0,N. Noel enters the game for S. Adams,,21,14
1,3:25.0,,D. Powell enters the game for D. Jordan,21,14
1,3:01.0,,L. Dončić misses 3-pt jump shot from 23 ft,21,14
1,2:58.0,,Offensive rebound by D. Finney-Smith,21,14
1,2:54.0,,H. Barnes makes 2-pt jump shot from 7 ft (assist by J. Barea),21,16
1,2:40.0,R. Westbrook misses 2-pt jump shot from 14 ft,,21,16
1,2:37.0,,Defensive rebound by J. Barea,21,16
1,2:27.0,,D. Powell misses 2-pt layup from 1 ft (block by D. Schröder),21,16
1,2:27.0,,Offensive rebound by Team,21,16
1,2:27.0,H. Diallo enters the game for R. Westbrook,,21,16
1,2:15.0,,L. Dončić makes 3-pt jump shot from 26 ft,21,19
1,1:49.0,H. Diallo misses 3-pt jump shot from 23 ft,,21,19
1,1:45.0,,Defensive rebound by D. Finney-Smith,21,19
1,1:37.0,,D. Powell makes 2-pt layup from 1 ft (assist by J. Barea),21,21
1,1:21.0,D. Schröder makes 2-pt jump shot from 14 ft,,23,21
1,1:21.0,,D. Harris enters the game for H. Barnes,23,21
1,1:21.0,,D. Nowitzki enters the game for L. Dončić,23,21
1,1:03.0,,D. Harris makes 3-pt jump shot from 27 ft (assist by J. Barea),23,24
1,0:48.0,P. George makes 2-pt jump shot from 19 ft,,25,24
1,0:34.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by J. Barea),25,27
1,0:29.0,D. Schröder makes 3-pt jump shot from 25 ft,,28,27
1,0:08.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,28,27
1,0:04.0,Defensive rebound by N. Noel,,28,27
1,0:03.0,Turnover by N. Noel (bad pass; steal by J. Barea),,28,27
1,0:00.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft,28,27
1,0:00.0,,Offensive rebound by D. Powell,28,27
1,0:00.0,,D. Powell misses 2-pt layup from 1 ft,28,27
1,0:00.0,,Offensive rebound by Team,28,27
2,11:47.0,,D. Nowitzki misses 2-pt jump shot from 22 ft,28,27
2,11:44.0,Defensive rebound by H. Diallo,,28,27
2,11:31.0,D. Schröder makes 3-pt jump shot from 26 ft,,31,27
2,11:11.0,,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by J. Barea),31,30
2,10:54.0,D. Schröder makes 2-pt jump shot from 8 ft,,33,30
2,10:44.0,,Personal foul by H. Diallo (drawn by D. Powell),33,30
2,10:44.0,S. Adams enters the game for N. Noel,,33,30
2,10:35.0,,J. Barea misses 3-pt jump shot from 25 ft,33,30
2,10:32.0,,Offensive rebound by D. Finney-Smith,33,30
2,10:31.0,,D. Finney-Smith makes 2-pt dunk from 1 ft,33,32
2,10:09.0,P. Patterson misses 3-pt jump shot from 23 ft,,33,32
2,10:06.0,,Defensive rebound by D. Finney-Smith,33,32
2,9:57.0,,J. Barea misses 2-pt jump shot from 7 ft,33,32
2,9:57.0,Defensive rebound by Team,,33,32
2,9:57.0,A. Nader enters the game for H. Diallo,,33,32
2,9:49.0,D. Schröder misses 2-pt layup from 2 ft (block by D. Finney-Smith),,33,32
2,9:45.0,,Defensive rebound by D. Harris,33,32
2,9:42.0,,Turnover by D. Harris (bad pass; steal by D. Schröder),33,32
2,9:42.0,Personal take foul by D. Nowitzki (drawn by D. Schröder),,33,32
2,9:33.0,D. Schröder misses 3-pt jump shot from 25 ft,,33,32
2,9:30.0,,Defensive rebound by D. Nowitzki,33,32
2,9:22.0,,D. Harris makes 2-pt layup from 1 ft (assist by J. Barea),33,34
2,9:13.0,Turnover by D. Schröder (bad pass; steal by D. Finney-Smith),,33,34
2,9:12.0,,Turnover by D. Finney-Smith (palming),33,34
2,9:12.0,Oklahoma City full timeout,,33,34
2,8:54.0,P. Patterson makes 2-pt layup from 1 ft (assist by R. Felton),,35,34
2,8:41.0,,D. Finney-Smith makes 2-pt layup at rim (assist by J. Barea),35,36
2,8:41.0,,Shooting foul by A. Nader (drawn by D. Finney-Smith),35,36
2,8:41.0,R. Westbrook enters the game for A. Nader,,35,36
2,8:41.0,,D. Finney-Smith makes free throw 1 of 1,35,37
2,8:32.0,D. Schröder makes 2-pt jump shot from 11 ft,,37,37
2,8:21.0,,Personal foul by P. Patterson (drawn by D. Nowitzki),37,37
2,8:12.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by D. Harris),37,40
2,7:55.0,P. Patterson makes 3-pt jump shot from 24 ft (assist by D. Schröder),,40,40
2,7:30.0,,J. Barea makes 3-pt jump shot from 25 ft,40,43
2,7:15.0,S. Adams makes 2-pt hook shot from 6 ft,,42,43
2,7:15.0,,Violation by Team (def goaltending),42,43
2,7:04.0,Violation by Team (kicked ball),,42,43
2,6:56.0,,D. Harris makes 2-pt layup from 1 ft (assist by J. Barea),42,45
2,6:36.0,P. Patterson makes 3-pt jump shot from 25 ft (assist by D. Schröder),,45,45
2,6:22.0,,J. Barea misses 3-pt jump shot from 25 ft,45,45
2,6:20.0,Defensive rebound by D. Schröder,,45,45
2,6:13.0,R. Felton misses 3-pt jump shot from 25 ft,,45,45
2,6:10.0,,Defensive rebound by D. Harris,45,45
2,5:56.0,,J. Barea misses 2-pt layup from 5 ft,45,45
2,5:55.0,Defensive rebound by S. Adams,,45,45
2,5:55.0,Personal take foul by D. Harris (drawn by R. Westbrook),,45,45
2,5:55.0,P. George enters the game for P. Patterson,,45,45
2,5:55.0,J. Grant enters the game for D. Schröder,,45,45
2,5:55.0,,H. Barnes enters the game for D. Harris,45,45
2,5:55.0,,L. Dončić enters the game for D. Nowitzki,45,45
2,5:55.0,,D. Jordan enters the game for D. Powell,45,45
2,5:46.0,J. Grant makes 2-pt layup from 2 ft (assist by R. Felton),,47,45
2,5:46.0,Shooting foul by J. Barea (drawn by J. Grant),,47,45
2,5:46.0,J. Grant makes free throw 1 of 1,,48,45
2,5:28.0,,Turnover by J. Barea (bad pass; steal by R. Westbrook),48,45
2,5:17.0,Oklahoma City full timeout,,48,45
2,5:17.0,D. Schröder enters the game for R. Felton,,48,45
2,5:12.0,R. Westbrook makes 2-pt jump shot from 17 ft (assist by S. Adams),,50,45
2,4:50.0,,L. Dončić misses 3-pt jump shot from 25 ft,50,45
2,4:49.0,,Offensive rebound by D. Jordan,50,45
2,4:49.0,,Personal foul by J. Grant (drawn by D. Jordan),50,45
2,4:49.0,,D. Smith enters the game for J. Barea,50,45
2,4:36.0,,D. Smith misses 3-pt jump shot from 27 ft,50,45
2,4:31.0,Defensive rebound by S. Adams,,50,45
2,4:24.0,R. Westbrook misses 2-pt jump shot from 18 ft,,50,45
2,4:21.0,,Defensive rebound by D. Jordan,50,45
2,4:15.0,,Personal foul by R. Westbrook (drawn by D. Finney-Smith),50,45
2,4:15.0,,D. Finney-Smith makes free throw 1 of 2,50,46
2,4:15.0,,D. Finney-Smith makes free throw 2 of 2,50,47
2,4:03.0,P. George makes 2-pt layup from 2 ft (assist by R. Westbrook),,52,47
2,3:44.0,,H. Barnes misses 2-pt layup from 2 ft,52,47
2,3:42.0,Defensive rebound by S. Adams,,52,47
2,3:32.0,J. Grant misses 3-pt jump shot from 24 ft,,52,47
2,3:27.0,,Defensive rebound by H. Barnes,52,47
2,3:12.0,,Turnover by D. Smith (lost ball; steal by R. Westbrook),52,47
2,3:09.0,Turnover by R. Westbrook (offensive foul),,52,47
2,3:09.0,Offensive foul by R. Westbrook (drawn by D. Finney-Smith),,52,47
2,2:58.0,,Shooting foul by D. Schröder (drawn by D. Smith),52,47
2,2:58.0,,D. Smith makes free throw 1 of 2,52,48
2,2:58.0,,M. Kleber enters the game for D. Finney-Smith,52,48
2,2:58.0,,D. Smith makes free throw 2 of 2,52,49
2,2:37.0,P. George misses 3-pt jump shot from 23 ft,,52,49
2,2:34.0,,Defensive rebound by D. Jordan,52,49
2,2:21.0,,D. Smith makes 2-pt layup from 1 ft,52,51
2,2:12.0,Shooting foul by D. Smith (drawn by R. Westbrook),,52,51
2,2:12.0,R. Westbrook misses free throw 1 of 2,,52,51
2,2:12.0,Offensive rebound by Team,,52,51
2,2:12.0,R. Westbrook makes free throw 2 of 2,,53,51
2,2:02.0,,H. Barnes makes 2-pt layup from 2 ft (assist by L. Dončić),53,53
2,1:55.0,Turnover by R. Westbrook (bad pass; steal by L. Dončić),,53,53
2,1:45.0,,M. Kleber misses 3-pt jump shot from 27 ft,53,53
2,1:42.0,Defensive rebound by R. Westbrook,,53,53
2,1:40.0,J. Grant makes 2-pt dunk from 1 ft (assist by R. Westbrook),,55,53
2,1:20.0,,Turnover by L. Dončić (bad pass; steal by R. Westbrook),55,53
2,1:16.0,P. George makes 2-pt dunk from 1 ft (assist by R. Westbrook),,57,53
2,0:58.0,,L. Dončić makes 2-pt jump shot from 6 ft,57,55
2,0:39.0,P. George makes 2-pt jump shot from 20 ft,,59,55
2,0:20.0,,D. Jordan makes 2-pt layup at rim (assist by L. Dončić),59,57
2,0:01.0,R. Westbrook misses 3-pt jump shot from 27 ft,,59,57
2,0:01.0,,Defensive rebound by D. Smith,59,57
3,11:42.0,,M. Kleber misses 3-pt jump shot from 25 ft,59,57
3,11:39.0,Defensive rebound by R. Westbrook,,59,57
3,11:25.0,Turnover by P. George (lost ball; steal by D. Jordan),,59,57
3,11:17.0,,H. Barnes misses 3-pt jump shot from 23 ft,59,57
3,11:14.0,Defensive rebound by R. Westbrook,,59,57
3,11:07.0,R. Westbrook misses 2-pt jump shot from 17 ft,,59,57
3,11:04.0,Offensive rebound by P. George,,59,57
3,11:03.0,A. Nader misses 3-pt jump shot from 25 ft,,59,57
3,11:00.0,,Defensive rebound by L. Dončić,59,57
3,10:50.0,,Personal foul by J. Grant (drawn by M. Kleber),59,57
3,10:37.0,,D. Smith makes 3-pt jump shot from 26 ft (assist by L. Dončić),59,60
3,10:25.0,Personal foul by H. Barnes (drawn by P. George),,59,60
3,10:19.0,R. Westbrook misses 2-pt jump shot from 18 ft,,59,60
3,10:15.0,,Defensive rebound by D. Jordan,59,60
3,10:06.0,,L. Dončić misses 3-pt jump shot from 26 ft,59,60
3,10:03.0,Defensive rebound by P. George,,59,60
3,9:58.0,Turnover by P. George (bad pass),,59,60
3,9:46.0,,D. Smith makes 3-pt jump shot from 24 ft (assist by L. Dončić),59,63
3,9:28.0,Turnover by A. Nader (traveling),,59,63
3,9:17.0,,Offensive foul by D. Jordan (drawn by R. Westbrook),59,63
3,9:17.0,,Turnover by D. Jordan (offensive foul),59,63
3,9:00.0,J. Grant misses 2-pt layup from 3 ft (block by D. Jordan),,59,63
3,8:58.0,,Defensive rebound by M. Kleber,59,63
3,8:51.0,,H. Barnes misses 3-pt jump shot from 23 ft,59,63
3,8:46.0,Defensive rebound by A. Nader,,59,63
3,8:41.0,P. George misses 3-pt jump shot from 25 ft,,59,63
3,8:38.0,,Defensive rebound by D. Jordan,59,63
3,8:33.0,,Turnover by D. Jordan (bad pass; steal by J. Grant),59,63
3,8:29.0,J. Grant misses 2-pt layup from 2 ft,,59,63
3,8:25.0,,Defensive rebound by D. Jordan,59,63
3,8:09.0,,M. Kleber makes 3-pt jump shot from 26 ft (assist by L. Dončić),59,66
3,7:53.0,A. Nader misses 3-pt jump shot from 26 ft,,59,66
3,7:51.0,,Defensive rebound by D. Jordan,59,66
3,7:28.0,,L. Dončić makes 3-pt jump shot from 25 ft,59,69
3,7:26.0,Oklahoma City full timeout,,59,69
3,7:26.0,,Technical foul by D. Smith,59,69
3,7:26.0,P. George makes technical free throw,,60,69
3,7:15.0,P. George misses 2-pt jump shot from 8 ft,,60,69
3,7:13.0,,Defensive rebound by Team,60,69
3,7:02.0,,M. Kleber misses 3-pt jump shot from 23 ft,60,69
3,6:59.0,,Offensive rebound by Team,60,69
3,6:53.0,,D. Jordan misses 2-pt dunk from 2 ft,60,69
3,6:52.0,,Offensive rebound by H. Barnes,60,69
3,6:43.0,,Turnover by L. Dončić (traveling),60,69
3,6:33.0,J. Grant misses 2-pt layup from 4 ft (block by D. Jordan),,60,69
3,6:24.0,Offensive rebound by Team,,60,69
3,6:19.0,R. Westbrook misses 3-pt jump shot from 26 ft,,60,69
3,6:16.0,,Defensive rebound by D. Smith,60,69
3,5:54.0,,D. Smith makes 2-pt layup from 2 ft,60,71
3,5:47.0,Shooting foul by D. Jordan (drawn by P. George),,60,71
3,5:47.0,P. George misses free throw 1 of 2,,60,71
3,5:47.0,Offensive rebound by Team,,60,71
3,5:47.0,D. Schröder enters the game for A. Nader,,60,71
3,5:47.0,P. George misses free throw 2 of 2,,60,71
3,5:41.0,Offensive rebound by S. Adams,,60,71
3,5:26.0,R. Westbrook makes 2-pt layup from 1 ft (assist by S. Adams),,62,71
3,5:08.0,,D. Smith misses 3-pt jump shot from 26 ft,62,71
3,5:05.0,Defensive rebound by J. Grant,,62,71
3,5:00.0,R. Westbrook makes 2-pt layup from 2 ft,,64,71
3,5:00.0,,Dallas full timeout,64,71
3,4:48.0,,D. Smith misses 3-pt jump shot from 25 ft,64,71
3,4:45.0,,Offensive rebound by M. Kleber,64,71
3,4:33.0,,L. Dončić misses 3-pt jump shot from 27 ft,64,71
3,4:32.0,,Offensive rebound by Team,64,71
3,4:32.0,,Turnover by Team (shot clock),64,71
3,4:24.0,R. Westbrook misses 2-pt jump shot from 19 ft,,64,71
3,4:22.0,,Defensive rebound by Team,64,71
3,4:22.0,,Personal foul by S. Adams (drawn by D. Jordan),64,71
3,4:22.0,,J. Barea enters the game for D. Smith,64,71
3,4:07.0,,Turnover by L. Dončić (bad pass; steal by R. Westbrook),64,71
3,4:01.0,P. George misses 3-pt jump shot from 26 ft,,64,71
3,3:58.0,,Defensive rebound by M. Kleber,64,71
3,3:53.0,,H. Barnes misses 2-pt jump shot from 16 ft,64,71
3,3:49.0,Defensive rebound by S. Adams,,64,71
3,3:44.0,R. Westbrook misses 2-pt jump shot from 11 ft,,64,71
3,3:42.0,,Defensive rebound by H. Barnes,64,71
3,3:40.0,,Personal take foul by D. Schröder (drawn by J. Barea),64,71
3,3:40.0,,D. Finney-Smith enters the game for M. Kleber,64,71
3,3:27.0,,L. Dončić makes 2-pt layup from 1 ft,64,73
3,3:13.0,R. Westbrook misses 3-pt jump shot from 25 ft,,64,73
3,3:10.0,,Defensive rebound by H. Barnes,64,73
3,3:07.0,,Personal take foul by S. Adams (drawn by D. Jordan),64,73
3,3:05.0,Technical foul by R. Westbrook,,64,73
3,3:05.0,,H. Barnes makes technical free throw,64,74
3,3:01.0,,L. Dončić makes 2-pt dunk at rim (assist by D. Jordan),64,76
3,2:51.0,P. George makes 3-pt jump shot from 25 ft,,67,76
3,2:30.0,,L. Dončić makes 3-pt jump shot from 25 ft (assist by J. Barea),67,79
3,2:17.0,R. Westbrook misses 3-pt jump shot from 25 ft,,67,79
3,2:16.0,,Defensive rebound by Team,67,79
3,2:05.0,,L. Dončić misses 3-pt jump shot from 24 ft,67,79
3,2:03.0,Defensive rebound by D. Schröder,,67,79
