QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,CLEVELAND_ACTION,CHARLOTTE_SCORE,CLEVELAND_SCORE
1,11:38.0,Turnover by M. Bridges (lost ball; steal by C. Osman),,0,0
1,11:22.0,,A. Žižić makes 2-pt jump shot from 10 ft (assist by C. Sexton),0,2
1,11:04.0,D. Bacon makes 3-pt jump shot from 24 ft (assist by K. Walker),,3,2
1,10:45.0,,C. Osman misses 2-pt layup from 1 ft,3,2
1,10:42.0,Defensive rebound by M. Bridges,,3,2
1,10:37.0,D. Bacon misses 3-pt jump shot from 31 ft,,3,2
1,10:34.0,,Defensive rebound by B. Knight,3,2
1,10:19.0,,B. Knight makes 3-pt jump shot from 30 ft (assist by C. Sexton),3,5
1,10:05.0,Shooting foul by A. Žižić (drawn by B. Biyombo),,3,5
1,10:05.0,B. Biyombo makes free throw 1 of 2,,4,5
1,10:05.0,B. Biyombo misses free throw 2 of 2,,4,5
1,10:02.0,,Defensive rebound by C. Osman,4,5
1,9:48.0,,C. Osman misses 2-pt jump shot from 7 ft (block by N. Batum),4,5
1,9:44.0,,Offensive rebound by A. Žižić,4,5
1,9:43.0,,A. Žižić misses 2-pt layup from 1 ft,4,5
1,9:40.0,Defensive rebound by B. Biyombo,,4,5
1,9:35.0,K. Walker makes 2-pt jump shot from 18 ft,,6,5
1,9:18.0,,A. Žižić makes 2-pt layup from 1 ft (assist by C. Sexton),6,7
1,8:56.0,D. Bacon makes 3-pt jump shot from 26 ft (assist by M. Bridges),,9,7
1,8:39.0,,C. Sexton makes 2-pt jump shot from 5 ft,9,9
1,8:23.0,M. Bridges makes 3-pt jump shot from 29 ft (assist by N. Batum),,12,9
1,8:05.0,,B. Knight misses 2-pt jump shot from 9 ft,12,9
1,8:03.0,Defensive rebound by K. Walker,,12,9
1,7:57.0,B. Biyombo makes 2-pt jump shot from 16 ft (assist by K. Walker),,14,9
1,7:40.0,,L. Nance makes 2-pt jump shot from 8 ft (assist by C. Sexton),14,11
1,7:24.0,N. Batum makes 3-pt jump shot from 26 ft (assist by B. Biyombo),,17,11
