QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MEMPHIS_ACTION,LA LAKERS_SCORE,MEMPHIS_SCORE
1,11:38.0,,G. Temple misses 3-pt jump shot from 27 ft,0,0
1,11:34.0,Defensive rebound by J. McGee,,0,0
1,11:24.0,Turnover by L. James (bad pass; steal by M. Gasol),,0,0
1,11:07.0,,J. Jackson makes 3-pt jump shot from 26 ft (assist by G. Temple),0,3
1,10:50.0,J. McGee misses 2-pt layup from 4 ft (block by M. Gasol),,0,3
1,10:50.0,Offensive rebound by Team,,0,3
1,10:47.0,K. Kuzma makes 2-pt jump shot from 20 ft (assist by L. James),,2,3
1,10:29.0,,M. Conley misses 3-pt jump shot from 25 ft,2,3
1,10:27.0,Defensive rebound by J. McGee,,2,3
1,10:17.0,L. James makes 2-pt jump shot from 18 ft,,4,3
1,10:03.0,,G. Temple makes 2-pt dunk from 1 ft (assist by M. Gasol),4,5
1,9:49.0,L. Ball misses 2-pt layup from 1 ft (block by M. Gasol),,4,5
1,9:46.0,,Defensive rebound by J. Jackson,4,5
1,9:33.0,,M. Gasol misses 2-pt jump shot from 12 ft,4,5
1,9:28.0,Defensive rebound by J. McGee,,4,5
1,9:23.0,K. Kuzma misses 3-pt jump shot from 25 ft,,4,5
1,9:20.0,,Defensive rebound by K. Anderson,4,5
1,9:16.0,,K. Anderson misses 2-pt layup from 1 ft (block by J. Hart),4,5
1,9:16.0,,Offensive rebound by K. Anderson,4,5
1,9:12.0,,G. Temple misses 3-pt jump shot from 23 ft,4,5
1,9:10.0,Defensive rebound by L. James,,4,5
1,9:03.0,L. Ball misses 3-pt jump shot from 26 ft,,4,5
1,9:00.0,,Defensive rebound by Team,4,5
1,8:47.0,,G. Temple misses 3-pt jump shot from 23 ft,4,5
1,8:43.0,Defensive rebound by K. Kuzma,,4,5
1,8:28.0,L. Ball misses 3-pt jump shot from 25 ft,,4,5
1,8:25.0,,Defensive rebound by M. Gasol,4,5
1,8:23.0,,Personal foul by J. Hart (drawn by G. Temple),4,5
1,8:16.0,,Turnover by J. Jackson (step out of bounds),4,5
1,8:01.0,Turnover by K. Kuzma (offensive foul),,4,5
1,8:01.0,Offensive foul by K. Kuzma (drawn by M. Gasol),,4,5
1,7:47.0,,M. Gasol makes 2-pt jump shot from 10 ft,4,7
1,7:31.0,L. James makes 2-pt layup from 1 ft,,6,7
1,7:19.0,,G. Temple misses 3-pt jump shot from 23 ft,6,7
1,7:17.0,Defensive rebound by L. James,,6,7
1,7:09.0,J. McGee makes 2-pt jump shot from 18 ft (assist by L. James),,8,7
1,6:42.0,,M. Conley misses 2-pt jump shot from 8 ft,8,7
1,6:39.0,Defensive rebound by J. McGee,,8,7
1,6:35.0,Personal foul by K. Anderson (drawn by L. James),,8,7
1,6:35.0,,Memphis full timeout,8,7
1,6:35.0,,S. Mack enters the game for M. Conley,8,7
1,6:23.0,L. Ball misses 3-pt jump shot from 26 ft,,8,7
1,6:18.0,Offensive rebound by J. McGee,,8,7
1,6:17.0,L. James misses 3-pt jump shot from 27 ft,,8,7
1,6:13.0,Offensive rebound by J. McGee,,8,7
1,6:13.0,J. McGee misses 2-pt layup from 1 ft,,8,7
1,6:12.0,,Defensive rebound by J. Jackson,8,7
1,6:05.0,,K. Anderson makes 2-pt layup from 1 ft,8,9
1,5:49.0,J. Hart makes 2-pt jump shot from 12 ft,,10,9
1,5:30.0,,Turnover by K. Anderson (bad pass; steal by K. Kuzma),10,9
1,5:25.0,L. James makes 2-pt layup at rim (assist by J. Hart),,12,9
1,5:00.0,,S. Mack makes 3-pt jump shot from 25 ft,12,12
1,4:52.0,K. Kuzma makes 2-pt layup from 8 ft (assist by L. James),,14,12
