QUARTER,TIME_REMAINING,DETROIT_ACTION,DENVER_ACTION,DETROIT_SCORE,DENVER_SCORE
1,8:29.0,A. Drummond misses 2-pt layup at rim,,1,9
1,8:29.0,,Defensive rebound by P. Millsap,1,9
1,8:24.0,,Shooting foul by A. Drummond (drawn by P. Millsap),1,9
1,8:24.0,,P. Millsap makes free throw 1 of 2,1,10
1,8:24.0,,P. Millsap makes free throw 2 of 2,1,11
1,8:05.0,Personal foul by G. Harris (drawn by A. Drummond),,1,11
1,7:59.0,W. Ellington misses 3-pt jump shot from 24 ft,,1,11
1,7:56.0,Offensive rebound by A. Drummond,,1,11
1,7:44.0,A. Drummond misses 2-pt jump shot from 9 ft,,1,11
1,7:41.0,,Defensive rebound by N. Jokić,1,11
1,7:39.0,,Turnover by N. Jokić (bad pass; steal by R. Jackson),1,11
1,7:36.0,R. Jackson makes 2-pt layup from 2 ft,,3,11
1,7:19.0,,W. Barton misses 2-pt jump shot from 15 ft,3,11
1,7:16.0,,Offensive rebound by N. Jokić,3,11
1,7:06.0,,P. Millsap misses 2-pt jump shot from 14 ft,3,11
1,7:02.0,Defensive rebound by R. Jackson,,3,11
1,6:50.0,R. Jackson misses 3-pt jump shot from 25 ft,,3,11
1,6:46.0,Offensive rebound by A. Drummond,,3,11
1,6:45.0,Personal foul by N. Jokić (drawn by A. Drummond),,3,11
1,6:31.0,A. Drummond misses 2-pt jump shot from 17 ft,,3,11
1,6:28.0,,Defensive rebound by W. Barton,3,11
1,6:11.0,,Personal foul by A. Drummond (drawn by N. Jokić),3,11
1,6:11.0,L. Kennard enters the game for A. Drummond,,3,11
1,6:11.0,T. Maker enters the game for W. Ellington,,3,11
1,6:11.0,I. Smith enters the game for R. Jackson,,3,11
1,6:07.0,,G. Harris misses 2-pt layup from 2 ft,3,11
1,6:05.0,Defensive rebound by L. Kennard,,3,11
1,5:47.0,B. Griffin misses 2-pt jump shot from 3 ft,,3,11
1,5:44.0,Offensive rebound by B. Griffin,,3,11
1,5:44.0,B. Griffin misses 2-pt layup at rim,,3,11
1,5:43.0,Offensive rebound by B. Griffin,,3,11
