QUARTER,TIME_REMAINING,DETROIT_ACTION,DENVER_ACTION,DETROIT_SCORE,DENVER_SCORE
4,5:53.0,,N. Jokić makes 2-pt hook shot from 3 ft,73,87
4,5:35.0,W. Ellington misses 2-pt jump shot from 3 ft,,73,87
4,5:31.0,,Defensive rebound by N. Jokić,73,87
4,5:27.0,,N. Jokić misses 2-pt layup from 3 ft (block by A. Drummond),73,87
4,5:25.0,Defensive rebound by A. Drummond,,73,87
4,5:19.0,W. Ellington makes 3-pt jump shot from 25 ft (assist by L. Kennard),,76,87
4,5:08.0,,Turnover by J. Murray (bad pass; steal by A. Drummond),76,87
4,5:05.0,A. Drummond makes 2-pt dunk from 1 ft,,78,87
4,5:05.0,,Denver full timeout,78,87
4,4:52.0,,Personal foul by R. Jackson (drawn by W. Barton),78,87
4,4:42.0,,W. Barton misses 3-pt jump shot from 23 ft,78,87
4,4:39.0,Defensive rebound by A. Drummond,,78,87
4,4:21.0,Personal foul by W. Barton (drawn by R. Jackson),,78,87
4,4:15.0,A. Drummond misses 2-pt layup from 4 ft,,78,87
4,4:13.0,,Defensive rebound by N. Jokić,78,87
4,4:07.0,,G. Harris misses 2-pt dunk from 3 ft (block by A. Drummond),78,87
4,4:06.0,Defensive rebound by Team,,78,87
4,3:58.0,B. Griffin misses 3-pt jump shot from 25 ft,,78,87
4,3:56.0,,Defensive rebound by G. Harris,78,87
4,3:42.0,,N. Jokić makes 2-pt dunk at rim,78,89
4,3:39.0,Detroit full timeout,,78,89
4,3:29.0,R. Jackson makes 2-pt jump shot from 14 ft,,80,89
4,3:10.0,,P. Millsap misses 3-pt jump shot from 25 ft,80,89
4,3:08.0,,Offensive rebound by P. Millsap,80,89
4,3:02.0,,Turnover by N. Jokić (3 sec),80,89
4,2:50.0,B. Griffin misses 2-pt jump shot from 6 ft,,80,89
4,2:47.0,Offensive rebound by A. Drummond,,80,89
4,2:47.0,A. Drummond misses 2-pt layup from 1 ft,,80,89
4,2:47.0,,Defensive rebound by N. Jokić,80,89
4,2:43.0,,Personal foul by R. Jackson (drawn by W. Barton),80,89
4,2:34.0,,N. Jokić misses 3-pt jump shot from 24 ft,80,89
4,2:30.0,Defensive rebound by B. Griffin,,80,89
4,2:25.0,A. Drummond makes 2-pt layup from 2 ft (assist by R. Jackson),,82,89
4,2:10.0,,W. Barton misses 2-pt jump shot from 18 ft,82,89
4,2:07.0,Defensive rebound by L. Kennard,,82,89
4,2:00.0,R. Jackson makes 2-pt layup from 4 ft,,84,89
4,1:49.0,,Turnover by G. Harris (out of bounds lost ball),84,89
4,1:30.0,R. Jackson misses 2-pt jump shot from 6 ft,,84,89
4,1:27.0,,Defensive rebound by G. Harris,84,89
4,1:06.0,,Turnover by J. Murray (traveling),84,89
4,1:06.0,Detroit full timeout,,84,89
4,1:03.0,W. Ellington makes 3-pt jump shot from 25 ft (assist by A. Drummond),,87,89
4,0:50.0,,J. Murray makes 2-pt jump shot from 6 ft,87,91
4,0:35.0,A. Drummond makes 2-pt dunk at rim (assist by B. Griffin),,89,91
4,0:16.0,,J. Murray makes 2-pt jump shot from 14 ft (assist by N. Jokić),89,93
4,0:15.0,Detroit full timeout,,89,93
4,0:11.0,R. Jackson makes 3-pt jump shot from 23 ft (assist by B. Griffin),,92,93
4,0:09.0,,Personal take foul by A. Drummond (drawn by J. Murray),92,93
4,0:09.0,L. Galloway enters the game for A. Drummond,,92,93
4,0:09.0,,T. Craig enters the game for N. Jokić,92,93
4,0:09.0,,J. Murray makes free throw 1 of 2,92,94
4,0:09.0,,J. Murray makes free throw 2 of 2,92,95
4,0:01.0,B. Griffin misses 3-pt jump shot from 24 ft,,92,95
4,0:01.0,,Defensive rebound by Team,92,95
