QUARTER,TIME_REMAINING,TORONTO_ACTION,CLEVELAND_ACTION,TORONTO_SCORE,CLEVELAND_SCORE
1,11:46.0,,R. Hood makes 2-pt jump shot from 19 ft (assist by G. Hill),0,2
1,11:24.0,K. Leonard makes 2-pt jump shot from 13 ft (assist by P. Siakam),,2,2
1,10:56.0,,T. Thompson misses 2-pt jump shot from 8 ft,2,2
1,10:55.0,,Offensive rebound by Team,2,2
1,10:41.0,,T. Thompson misses 2-pt jump shot from 17 ft,2,2
1,10:40.0,,Offensive rebound by Team,2,2
1,10:40.0,,Turnover by Team (shot clock),2,2
1,10:26.0,S. Ibaka misses 2-pt hook shot from 7 ft,,2,2
1,10:23.0,,Defensive rebound by C. Osman,2,2
1,10:10.0,,C. Osman makes 2-pt jump shot from 11 ft,2,4
1,9:56.0,K. Leonard misses 2-pt jump shot from 19 ft,,2,4
1,9:54.0,,Defensive rebound by R. Hood,2,4
1,9:48.0,,R. Hood makes 2-pt jump shot from 8 ft,2,6
1,9:25.0,P. Siakam misses 2-pt layup from 6 ft,,2,6
1,9:19.0,Offensive rebound by D. Green,,2,6
1,9:19.0,D. Green makes 2-pt layup at rim,,4,6
1,9:04.0,,T. Thompson makes 2-pt hook shot from 6 ft,4,8
1,8:51.0,Turnover by K. Leonard (bad pass; steal by T. Thompson),,4,8
1,8:40.0,,R. Hood misses 2-pt jump shot from 7 ft,4,8
1,8:35.0,Defensive rebound by F. VanVleet,,4,8
1,8:33.0,K. Leonard misses 3-pt jump shot from 24 ft,,4,8
1,8:28.0,,Defensive rebound by C. Osman,4,8
1,8:19.0,,C. Osman misses 3-pt jump shot from 26 ft,4,8
1,8:14.0,Defensive rebound by D. Green,,4,8
1,8:10.0,K. Leonard misses 2-pt jump shot from 19 ft,,4,8
1,8:07.0,,Defensive rebound by T. Thompson,4,8
1,8:03.0,,Shooting foul by P. Siakam (drawn by C. Osman),4,8
1,8:03.0,,C. Osman makes free throw 1 of 2,4,9
1,8:03.0,,C. Osman makes free throw 2 of 2,4,10
1,7:53.0,F. VanVleet misses 2-pt layup from 3 ft,,4,10
1,7:50.0,,Defensive rebound by T. Thompson,4,10
1,7:41.0,,C. Sexton misses 2-pt jump shot from 18 ft,4,10
1,7:38.0,Defensive rebound by P. Siakam,,4,10
1,7:29.0,F. VanVleet makes 2-pt layup from 2 ft (assist by P. Siakam),,6,10
1,7:08.0,,C. Osman misses 2-pt jump shot from 17 ft,6,10
1,7:05.0,Defensive rebound by P. Siakam,,6,10
1,7:02.0,Turnover by P. Siakam (bad pass),,6,10
1,7:02.0,,Cleveland full timeout,6,10
1,7:02.0,,J. Clarkson enters the game for G. Hill,6,10
1,6:39.0,,R. Hood makes 2-pt jump shot from 22 ft,6,12
1,6:24.0,P. Siakam misses 2-pt layup from 9 ft,,6,12
1,6:24.0,,Defensive rebound by T. Thompson,6,12
1,6:09.0,,R. Hood misses 3-pt jump shot from 25 ft,6,12
1,6:05.0,Defensive rebound by F. VanVleet,,6,12
1,5:57.0,F. VanVleet makes 2-pt layup from 1 ft,,8,12
1,5:44.0,,J. Clarkson misses 3-pt jump shot from 26 ft,8,12
1,5:40.0,Defensive rebound by K. Leonard,,8,12
1,5:33.0,P. Siakam misses 3-pt jump shot from 27 ft,,8,12
1,5:30.0,Offensive rebound by K. Leonard,,8,12
1,5:28.0,K. Leonard makes 2-pt layup from 2 ft,,10,12
1,5:15.0,,C. Sexton makes 2-pt jump shot from 14 ft,10,14
1,5:02.0,F. VanVleet misses 2-pt jump shot from 16 ft,,10,14
1,4:59.0,,Defensive rebound by C. Sexton,10,14
1,4:54.0,,C. Osman misses 3-pt jump shot from 23 ft,10,14
1,4:49.0,Defensive rebound by S. Ibaka,,10,14
1,4:38.0,P. Siakam makes 2-pt jump shot from 13 ft (assist by F. VanVleet),,12,14
1,4:23.0,,Turnover by C. Sexton (lost ball; steal by F. VanVleet),12,14
1,4:19.0,S. Ibaka makes 2-pt dunk from 2 ft (assist by K. Leonard),,14,14
1,3:56.0,,J. Clarkson misses 2-pt layup from 13 ft,14,14
1,3:53.0,,Offensive rebound by J. Clarkson,14,14
1,3:53.0,,J. Clarkson misses 2-pt layup from 1 ft,14,14
1,3:52.0,Defensive rebound by D. Green,,14,14
1,3:50.0,D. Green makes 3-pt jump shot from 26 ft,,17,14
1,3:43.0,,Cleveland full timeout,17,14
1,3:43.0,O. Anunoby enters the game for S. Ibaka,,17,14
1,3:43.0,J. Valančiūnas enters the game for K. Leonard,,17,14
1,3:43.0,,A. Burks enters the game for R. Hood,17,14
1,3:43.0,,L. Nance enters the game for T. Thompson,17,14
1,3:30.0,,Offensive foul by L. Nance (drawn by O. Anunoby),17,14
1,3:30.0,,Turnover by L. Nance (offensive foul),17,14
1,3:21.0,D. Green misses 3-pt jump shot from 27 ft,,17,14
1,3:17.0,Offensive rebound by O. Anunoby,,17,14
1,3:16.0,O. Anunoby makes 2-pt layup from 2 ft,,19,14
1,3:09.0,,Personal foul by F. VanVleet (drawn by C. Sexton),19,14
1,3:09.0,D. Wright enters the game for D. Green,,19,14
1,3:09.0,,T. Thompson enters the game for C. Osman,19,14
1,3:03.0,,C. Sexton makes 2-pt jump shot from 20 ft,19,16
1,2:48.0,O. Anunoby misses 2-pt layup from 4 ft,,19,16
1,2:45.0,,Defensive rebound by A. Burks,19,16
1,2:30.0,,T. Thompson misses 2-pt hook shot from 5 ft,19,16
1,2:26.0,Defensive rebound by J. Valančiūnas,,19,16
1,2:22.0,P. Siakam misses 2-pt layup from 3 ft,,19,16
1,2:19.0,,Defensive rebound by L. Nance,19,16
1,2:14.0,,T. Thompson misses 2-pt layup from 3 ft,19,16
1,2:11.0,Defensive rebound by P. Siakam,,19,16
1,2:01.0,F. VanVleet misses 2-pt layup from 2 ft,,19,16
1,1:59.0,,Defensive rebound by T. Thompson,19,16
1,1:56.0,,L. Nance makes 2-pt layup from 1 ft (assist by C. Sexton),19,18
1,1:28.0,J. Valančiūnas misses 2-pt jump shot from 12 ft,,19,18
1,1:25.0,,Defensive rebound by A. Burks,19,18
1,1:21.0,,Shooting foul by F. VanVleet (drawn by L. Nance),19,18
1,1:21.0,,L. Nance makes free throw 1 of 2,19,19
