QUARTER,TIME_REMAINING,CHICAGO_ACTION,NEW ORLEANS_ACTION,CHICAGO_SCORE,NEW ORLEANS_SCORE
1,11:39.0,W. Carter misses 2-pt jump shot from 11 ft (block by A. Davis),,0,0
1,11:38.0,Offensive rebound by Team,,0,0
1,11:38.0,Away from play foul by N. Mirotić (drawn by J. Parker),,0,0
1,11:38.0,J. Parker misses free throw 1 of 1,,0,0
1,11:38.0,Offensive rebound by Team,,0,0
1,11:28.0,Z. LaVine misses 3-pt jump shot from 27 ft,,0,0
1,11:24.0,,Defensive rebound by W. Johnson,0,0
1,11:14.0,,N. Mirotić makes 3-pt jump shot from 27 ft (assist by J. Holiday),0,3
1,10:54.0,W. Carter makes 2-pt layup from 2 ft,,2,3
1,10:46.0,,A. Davis misses 2-pt layup from 3 ft (block by W. Carter),2,3
1,10:46.0,,Offensive rebound by J. Holiday,2,3
1,10:38.0,,Turnover by N. Mirotić (bad pass; steal by J. Holiday),2,3
1,10:35.0,J. Holiday makes 2-pt layup from 2 ft,,4,3
1,10:24.0,,J. Holiday misses 2-pt jump shot from 16 ft,4,3
1,10:24.0,,Offensive rebound by A. Davis,4,3
1,10:15.0,,N. Mirotić misses 2-pt hook shot from 3 ft,4,3
1,10:14.0,Defensive rebound by W. Carter,,4,3
1,10:06.0,C. Payne misses 2-pt jump shot from 23 ft,,4,3
1,10:03.0,,Defensive rebound by J. Holiday,4,3
1,9:58.0,,N. Mirotić makes 2-pt layup from 1 ft (assist by J. Holiday),4,5
1,9:49.0,C. Payne misses 2-pt layup from 3 ft,,4,5
1,9:47.0,,Defensive rebound by A. Davis,4,5
1,9:40.0,,A. Davis misses 2-pt jump shot from 12 ft,4,5
1,9:38.0,Defensive rebound by W. Carter,,4,5
1,9:33.0,C. Payne misses 2-pt layup from 2 ft,,4,5
1,9:29.0,,Defensive rebound by N. Mirotić,4,5
1,9:23.0,,Personal foul by C. Payne (drawn by N. Mirotić),4,5
1,9:14.0,,N. Mirotić misses 3-pt jump shot from 23 ft,4,5
1,9:12.0,Defensive rebound by W. Carter,,4,5
1,9:06.0,Shooting foul by E. Moore (drawn by J. Parker),,4,5
1,9:06.0,J. Parker makes free throw 1 of 2,,5,5
1,9:06.0,J. Parker makes free throw 2 of 2,,6,5
1,8:56.0,,E. Moore makes 3-pt jump shot from 25 ft (assist by J. Holiday),6,8
1,8:33.0,C. Payne makes 2-pt layup from 7 ft (assist by Z. LaVine),,8,8
1,8:25.0,,J. Holiday misses 3-pt jump shot from 25 ft,8,8
1,8:25.0,Defensive rebound by J. Parker,,8,8
1,8:14.0,Turnover by W. Carter (bad pass; steal by W. Johnson),,8,8
1,8:03.0,,A. Davis makes 2-pt jump shot from 11 ft (assist by W. Johnson),8,10
1,7:46.0,J. Parker makes 2-pt jump shot from 21 ft (assist by Z. LaVine),,10,10
1,7:33.0,,E. Moore misses 2-pt jump shot from 10 ft,10,10
1,7:30.0,Defensive rebound by W. Carter,,10,10
1,7:27.0,C. Payne makes 2-pt layup from 2 ft (assist by J. Parker),,12,10
1,7:09.0,,N. Mirotić misses 2-pt layup from 3 ft,12,10
1,7:03.0,,Offensive rebound by W. Johnson,12,10
1,7:03.0,,W. Johnson makes 2-pt layup at rim,12,12
1,6:47.0,W. Carter makes 2-pt dunk from 2 ft (assist by C. Payne),,14,12
1,6:36.0,,Turnover by J. Holiday (bad pass; steal by C. Payne),14,12
1,6:23.0,Turnover by C. Payne (bad pass; steal by J. Holiday),,14,12
1,6:18.0,,W. Johnson makes 3-pt jump shot from 25 ft (assist by J. Holiday),14,15
1,6:16.0,Chicago full timeout,,14,15
1,6:16.0,R. Arcidiacono enters the game for C. Payne,,14,15
1,6:05.0,J. Parker misses 3-pt jump shot from 26 ft,,14,15
1,6:02.0,,Defensive rebound by W. Johnson,14,15
1,5:43.0,,N. Mirotić makes 2-pt layup from 2 ft (assist by A. Davis),14,17
1,5:27.0,Z. LaVine misses 2-pt jump shot from 20 ft,,14,17
1,5:24.0,,Defensive rebound by N. Mirotić,14,17
1,5:18.0,,Shooting foul by W. Carter (drawn by A. Davis),14,17
1,5:18.0,,A. Davis makes free throw 1 of 2,14,18
1,5:18.0,,I. Clark enters the game for E. Moore,14,18
1,5:18.0,,A. Davis misses free throw 2 of 2,14,18
1,5:16.0,Defensive rebound by J. Parker,,14,18
1,4:56.0,W. Carter misses 3-pt jump shot from 23 ft,,14,18
1,4:56.0,,Defensive rebound by N. Mirotić,14,18
1,4:32.0,,A. Davis misses 2-pt jump shot from 11 ft,14,18
1,4:28.0,Defensive rebound by J. Parker,,14,18
1,4:22.0,J. Holiday misses 3-pt jump shot from 23 ft,,14,18
1,4:19.0,,Defensive rebound by A. Davis,14,18
1,3:58.0,,A. Davis misses 2-pt layup from 3 ft,14,18
1,3:55.0,Defensive rebound by R. Arcidiacono,,14,18
1,3:52.0,J. Holiday misses 3-pt jump shot from 24 ft,,14,18
1,3:47.0,,Defensive rebound by N. Mirotić,14,18
1,3:40.0,,N. Mirotić misses 3-pt jump shot from 26 ft,14,18
1,3:38.0,,Offensive rebound by Team,14,18
1,3:38.0,A. Blakeney enters the game for Z. LaVine,,14,18
1,3:38.0,,D. Miller enters the game for W. Johnson,14,18
1,3:38.0,,J. Randle enters the game for N. Mirotić,14,18
1,3:27.0,,J. Holiday makes 2-pt dunk from 1 ft (assist by J. Randle),14,20
1,3:17.0,J. Parker makes 2-pt jump shot from 20 ft,,16,20
1,3:02.0,,A. Davis makes 3-pt jump shot from 26 ft (assist by J. Randle),16,23
1,2:48.0,J. Parker makes 2-pt layup from 2 ft,,18,23
1,2:38.0,,J. Holiday misses 2-pt layup from 2 ft,18,23
1,2:34.0,Defensive rebound by J. Parker,,18,23
1,2:19.0,A. Blakeney makes 2-pt jump shot from 18 ft,,20,23
1,2:06.0,,J. Randle misses 2-pt jump shot from 7 ft (block by W. Carter),20,23
1,2:03.0,Defensive rebound by W. Carter,,20,23
1,1:58.0,R. Arcidiacono makes 3-pt jump shot from 29 ft (assist by A. Blakeney),,23,23
1,1:35.0,,Turnover by A. Davis (traveling),23,23
1,1:35.0,,New Orleans full timeout,23,23
1,1:35.0,C. Felício enters the game for W. Carter,,23,23
1,1:35.0,,T. Frazier enters the game for J. Holiday,23,23
1,1:18.0,Offensive foul by R. Arcidiacono (drawn by T. Frazier),,23,23
1,1:18.0,Turnover by R. Arcidiacono (offensive foul),,23,23
1,1:07.0,,A. Davis makes 2-pt jump shot from 10 ft (assist by I. Clark),23,25
1,1:07.0,,Shooting foul by C. Felício (drawn by A. Davis),23,25
1,1:07.0,,A. Davis misses free throw 1 of 1,23,25
1,1:04.0,Defensive rebound by J. Parker,,23,25
1,0:52.0,J. Holiday misses 3-pt jump shot from 23 ft,,23,25
1,0:50.0,,Defensive rebound by A. Davis,23,25
1,0:44.0,,A. Davis makes 2-pt dunk at rim (assist by T. Frazier),23,27
1,0:33.0,Turnover by A. Blakeney (out of bounds lost ball),,23,27
1,0:22.0,,I. Clark makes 2-pt layup from 2 ft (assist by A. Davis),23,29
1,0:03.0,J. Holiday makes 3-pt jump shot from 27 ft (assist by R. Arcidiacono),,26,29
2,11:41.0,,T. Frazier misses 2-pt layup from 2 ft,26,29
2,11:39.0,Defensive rebound by R. Arcidiacono,,26,29
2,11:34.0,C. Hutchison misses 2-pt layup from 1 ft,,26,29
2,11:31.0,,Defensive rebound by C. Diallo,26,29
2,11:24.0,,J. Randle makes 3-pt jump shot from 25 ft (assist by T. Frazier),26,32
2,11:11.0,Z. LaVine makes 2-pt jump shot from 19 ft (assist by C. Felício),,28,32
2,10:51.0,,J. Randle makes 2-pt layup from 2 ft,28,34
2,10:31.0,Z. LaVine makes 2-pt jump shot from 21 ft (assist by C. Hutchison),,30,34
2,10:16.0,,D. Miller makes 3-pt jump shot from 25 ft (assist by J. Randle),30,37
2,9:59.0,Z. LaVine makes 3-pt jump shot from 27 ft (assist by C. Felício),,33,37
2,9:48.0,,J. Randle misses 3-pt jump shot from 25 ft,33,37
2,9:45.0,Defensive rebound by A. Blakeney,,33,37
2,9:36.0,C. Hutchison misses 2-pt jump shot from 9 ft,,33,37
2,9:35.0,Offensive rebound by C. Hutchison,,33,37
2,9:35.0,Shooting foul by C. Diallo (drawn by C. Hutchison),,33,37
2,9:35.0,C. Hutchison misses free throw 1 of 2,,33,37
2,9:35.0,Offensive rebound by Team,,33,37
2,9:35.0,,J. Holiday enters the game for I. Clark,33,37
2,9:35.0,C. Hutchison makes free throw 2 of 2,,34,37
2,9:18.0,,C. Diallo makes 2-pt jump shot from 7 ft (assist by J. Holiday),34,39
2,8:58.0,Z. LaVine makes 2-pt layup from 1 ft,,36,39
2,8:53.0,,D. Miller misses 3-pt jump shot from 25 ft,36,39
2,8:53.0,Defensive rebound by Team,,36,39
2,8:52.0,,Loose ball foul by C. Diallo (drawn by C. Hutchison),36,39
2,8:37.0,Z. LaVine misses 2-pt jump shot from 19 ft,,36,39
2,8:32.0,,Defensive rebound by C. Diallo,36,39
2,8:24.0,,J. Randle makes 2-pt layup from 1 ft (assist by J. Holiday),36,41
2,8:11.0,A. Blakeney misses 2-pt jump shot from 14 ft,,36,41
2,8:07.0,Offensive rebound by C. Felício,,36,41
2,7:58.0,A. Blakeney misses 2-pt jump shot from 13 ft,,36,41
2,7:55.0,,Defensive rebound by D. Miller,36,41
2,7:36.0,,T. Frazier misses 2-pt layup from 2 ft,36,41
2,7:34.0,Defensive rebound by C. Felício,,36,41
2,7:28.0,C. Hutchison misses 2-pt layup from 2 ft,,36,41
2,7:27.0,,Defensive rebound by J. Randle,36,41
2,7:20.0,,Offensive foul by J. Randle (drawn by R. Arcidiacono),36,41
2,7:20.0,,Turnover by J. Randle (offensive foul),36,41
2,7:20.0,,E. Moore enters the game for T. Frazier,36,41
2,7:00.0,A. Blakeney misses 2-pt layup from 2 ft,,36,41
2,6:58.0,,Defensive rebound by J. Randle,36,41
2,6:45.0,,E. Moore misses 2-pt jump shot from 10 ft,36,41
2,6:43.0,,Offensive rebound by E. Moore,36,41
2,6:43.0,,E. Moore misses 2-pt layup at rim,36,41
