QUARTER,TIME_REMAINING,UTAH_ACTION,DENVER_ACTION,UTAH_SCORE,DENVER_SCORE
1,11:44.0,,N. Jokić misses 2-pt hook shot from 4 ft,0,0
1,11:42.0,Defensive rebound by R. Gobert,,0,0
1,11:36.0,D. Mitchell misses 2-pt layup from 1 ft,,0,0
1,11:35.0,Offensive rebound by R. Gobert,,0,0
1,11:34.0,R. Gobert misses 2-pt layup from 2 ft,,0,0
1,11:34.0,,Defensive rebound by J. Murray,0,0
1,11:24.0,,W. Barton misses 2-pt jump shot from 19 ft,0,0
1,11:18.0,Defensive rebound by R. O'Neale,,0,0
1,11:04.0,R. O'Neale misses 3-pt jump shot from 25 ft,,0,0
1,11:01.0,,Defensive rebound by J. Murray,0,0
1,10:48.0,,N. Jokić makes 2-pt layup from 2 ft (assist by M. Beasley),0,2
1,10:28.0,R. O'Neale makes 2-pt layup from 1 ft (assist by D. Mitchell),,2,2
1,10:17.0,,P. Millsap misses 3-pt jump shot from 24 ft,2,2
1,10:12.0,Defensive rebound by D. Mitchell,,2,2
1,9:56.0,D. Favors misses 3-pt jump shot from 24 ft,,2,2
1,9:53.0,,Defensive rebound by N. Jokić,2,2
1,9:53.0,,Personal foul by J. Ingles (drawn by P. Millsap),2,2
1,9:47.0,,P. Millsap makes 2-pt jump shot from 13 ft (assist by J. Murray),2,4
1,9:30.0,J. Ingles makes 3-pt jump shot from 26 ft,,5,4
1,9:15.0,,J. Murray makes 2-pt jump shot from 17 ft,5,6
1,9:01.0,Turnover by R. Gobert (lost ball; steal by P. Millsap),,5,6
1,8:54.0,,J. Murray misses 2-pt layup from 3 ft,5,6
1,8:53.0,Defensive rebound by D. Favors,,5,6
1,8:44.0,R. Gobert misses 2-pt layup from 2 ft (block by P. Millsap),,5,6
1,8:41.0,,Defensive rebound by N. Jokić,5,6
1,8:33.0,,W. Barton misses 2-pt jump shot from 14 ft (block by J. Ingles),5,6
1,8:33.0,,Offensive rebound by Team,5,6
1,8:23.0,,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),5,8
1,8:10.0,R. Gobert misses 2-pt dunk from 1 ft,,5,8
1,8:08.0,,Defensive rebound by N. Jokić,5,8
1,8:03.0,,P. Millsap misses 3-pt jump shot from 25 ft,5,8
1,8:00.0,Defensive rebound by J. Ingles,,5,8
1,7:51.0,J. Ingles makes 2-pt layup from 4 ft,,7,8
1,7:33.0,,M. Beasley makes 2-pt jump shot from 13 ft (assist by N. Jokić),7,10
1,7:14.0,D. Mitchell misses 3-pt jump shot from 25 ft,,7,10
1,7:10.0,,Defensive rebound by W. Barton,7,10
1,6:56.0,,M. Beasley misses 3-pt jump shot from 23 ft,7,10
1,6:53.0,Defensive rebound by D. Favors,,7,10
1,6:37.0,Shooting foul by P. Millsap (drawn by D. Favors),,7,10
1,6:37.0,,Denver full timeout,7,10
1,6:37.0,K. Korver enters the game for J. Ingles,,7,10
1,6:37.0,D. Favors makes free throw 1 of 2,,8,10
1,6:37.0,D. Favors makes free throw 2 of 2,,9,10
1,6:20.0,,J. Murray misses 3-pt jump shot from 25 ft,9,10
1,6:18.0,Defensive rebound by R. Gobert,,9,10
1,6:08.0,Shooting foul by N. Jokić (drawn by R. Gobert),,9,10
1,6:08.0,R. Gobert misses free throw 1 of 2,,9,10
1,6:08.0,Offensive rebound by Team,,9,10
1,6:08.0,J. Crowder enters the game for D. Favors,,9,10
1,6:08.0,,M. Plumlee enters the game for P. Millsap,9,10
1,6:08.0,R. Gobert misses free throw 2 of 2,,9,10
1,6:06.0,,Defensive rebound by W. Barton,9,10
1,5:56.0,,Turnover by N. Jokić (bad pass),9,10
