QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW YORK_ACTION,ATLANTA_SCORE,NEW YORK_SCORE
1,11:39.0,,K. Knox makes 2-pt jump shot from 9 ft (assist by T. Hardaway),0,2
1,11:24.0,D. Dedmon misses 3-pt jump shot from 24 ft,,0,2
1,11:22.0,,Defensive rebound by N. Vonleh,0,2
1,11:14.0,,Shooting foul by J. Collins (drawn by N. Vonleh),0,2
1,11:14.0,,N. Vonleh misses free throw 1 of 2,0,2
1,11:14.0,,Offensive rebound by Team,0,2
1,11:14.0,,N. Vonleh makes free throw 2 of 2,0,3
1,10:58.0,K. Bazemore makes 2-pt layup from 1 ft,,2,3
1,10:43.0,,N. Vonleh makes 2-pt layup from 4 ft (assist by T. Hardaway),2,5
1,10:28.0,Turnover by K. Huerter (bad pass; steal by K. Knox),,2,5
1,10:22.0,,E. Freedom makes 2-pt layup from 2 ft (assist by E. Mudiay),2,7
1,10:05.0,Turnover by K. Bazemore (traveling),,2,7
1,9:54.0,,E. Mudiay misses 2-pt layup from 1 ft,2,7
1,9:53.0,Defensive rebound by J. Collins,,2,7
1,9:41.0,K. Bazemore makes 2-pt layup from 2 ft (assist by T. Young),,4,7
1,9:41.0,Shooting foul by E. Freedom (drawn by K. Bazemore),,4,7
1,9:41.0,K. Bazemore makes free throw 1 of 1,,5,7
1,9:28.0,,Personal foul by D. Dedmon (drawn by E. Freedom),5,7
1,9:16.0,,E. Mudiay makes 3-pt jump shot from 25 ft (assist by E. Freedom),5,10
1,9:10.0,K. Huerter misses 3-pt jump shot from 23 ft,,5,10
1,9:08.0,,Defensive rebound by N. Vonleh,5,10
1,9:01.0,,K. Knox misses 3-pt jump shot from 26 ft,5,10
1,8:59.0,Defensive rebound by J. Collins,,5,10
1,8:54.0,K. Bazemore misses 2-pt layup from 1 ft,,5,10
1,8:52.0,Offensive rebound by J. Collins,,5,10
1,8:47.0,J. Collins misses 2-pt layup from 1 ft,,5,10
1,8:46.0,Offensive rebound by J. Collins,,5,10
1,8:46.0,Shooting foul by K. Knox (drawn by J. Collins),,5,10
1,8:46.0,J. Collins makes free throw 1 of 2,,6,10
1,8:46.0,J. Collins makes free throw 2 of 2,,7,10
1,8:31.0,,E. Mudiay misses 3-pt jump shot from 23 ft,7,10
1,8:29.0,Defensive rebound by D. Dedmon,,7,10
1,8:20.0,T. Young misses 2-pt layup from 2 ft (block by N. Vonleh),,7,10
1,8:18.0,Offensive rebound by J. Collins,,7,10
1,8:06.0,K. Bazemore misses 3-pt jump shot from 23 ft,,7,10
1,8:04.0,,Defensive rebound by K. Knox,7,10
1,7:59.0,,E. Freedom makes 2-pt layup from 1 ft (assist by K. Knox),7,12
1,7:43.0,Personal foul by E. Mudiay (drawn by T. Young),,7,12
1,7:43.0,D. Bembry enters the game for K. Bazemore,,7,12
1,7:41.0,J. Collins misses 3-pt jump shot from 26 ft,,7,12
1,7:39.0,,Defensive rebound by K. Knox,7,12
1,7:28.0,,N. Vonleh misses 2-pt hook shot from 9 ft,7,12
1,7:26.0,Defensive rebound by T. Young,,7,12
1,7:19.0,D. Bembry makes 3-pt jump shot from 24 ft (assist by T. Young),,10,12
1,7:02.0,,E. Mudiay makes 2-pt jump shot from 12 ft,10,14
1,6:37.0,K. Huerter misses 2-pt layup from 1 ft,,10,14
1,6:36.0,,Defensive rebound by T. Hardaway,10,14
1,6:31.0,,K. Knox makes 2-pt layup from 1 ft (assist by T. Hardaway),10,16
1,6:27.0,Atlanta full timeout,,10,16
1,6:27.0,A. Len enters the game for D. Dedmon,,10,16
1,6:27.0,J. Lin enters the game for T. Young,,10,16
1,6:16.0,D. Bembry makes 3-pt jump shot from 23 ft (assist by J. Lin),,13,16
1,6:00.0,,K. Knox makes 3-pt jump shot from 23 ft (assist by E. Mudiay),13,19
1,5:42.0,J. Lin makes 2-pt layup from 1 ft (assist by A. Len),,15,19
1,5:25.0,,E. Freedom misses 2-pt layup from 2 ft,15,19
1,5:23.0,Defensive rebound by A. Len,,15,19
1,5:18.0,A. Len misses 2-pt jump shot from 19 ft,,15,19
1,5:16.0,,Defensive rebound by E. Freedom,15,19
1,5:03.0,,N. Vonleh misses 3-pt jump shot from 27 ft,15,19
1,5:01.0,Defensive rebound by J. Lin,,15,19
1,4:54.0,J. Collins makes 2-pt layup at rim (assist by J. Lin),,17,19
1,4:39.0,,K. Knox makes 3-pt jump shot from 27 ft,17,22
1,4:15.0,K. Huerter makes 2-pt jump shot from 12 ft (assist by A. Len),,19,22
