QUARTER,TIME_REMAINING,BOSTON_ACTION,CLEVELAND_ACTION,BOSTON_SCORE,CLEVELAND_SCORE
1,11:43.0,T. Rozier misses 2-pt jump shot from 17 ft,,0,0
1,11:40.0,,Defensive rebound by C. Sexton,0,0
1,11:35.0,,C. Sexton makes 2-pt layup at rim,0,2
1,11:22.0,M. Smart misses 2-pt jump shot from 16 ft,,0,2
1,11:20.0,,Defensive rebound by K. Love,0,2
1,11:08.0,,K. Love misses 3-pt jump shot from 27 ft,0,2
1,11:04.0,Defensive rebound by T. Rozier,,0,2
1,10:54.0,Turnover by A. Baynes (lost ball; steal by K. Love),,0,2
1,10:42.0,,B. Knight makes 2-pt layup from 1 ft (assist by T. Thompson),0,4
1,10:28.0,J. Tatum misses 2-pt jump shot from 16 ft,,0,4
1,10:26.0,Offensive rebound by J. Tatum,,0,4
1,10:22.0,Personal foul by C. Osman (drawn by J. Tatum),,0,4
1,10:12.0,A. Horford makes 2-pt jump shot from 1 ft,,2,4
1,9:57.0,,K. Love misses 2-pt jump shot from 18 ft,2,4
1,9:54.0,Defensive rebound by A. Horford,,2,4
1,9:47.0,T. Rozier misses 2-pt jump shot from 6 ft,,2,4
1,9:43.0,,Defensive rebound by C. Sexton,2,4
1,9:40.0,,C. Osman misses 3-pt jump shot from 23 ft,2,4
1,9:37.0,Defensive rebound by A. Baynes,,2,4
1,9:32.0,M. Smart misses 2-pt layup at rim,,2,4
1,9:28.0,,Defensive rebound by K. Love,2,4
1,9:26.0,,C. Sexton misses 2-pt layup from 1 ft (block by A. Horford),2,4
1,9:23.0,Defensive rebound by T. Rozier,,2,4
1,9:19.0,T. Rozier makes 2-pt layup from 1 ft,,4,4
1,9:05.0,,Shooting foul by A. Baynes (drawn by T. Thompson),4,4
1,9:05.0,,T. Thompson misses free throw 1 of 2,4,4
1,9:05.0,,Offensive rebound by Team,4,4
1,9:05.0,,T. Thompson makes free throw 2 of 2,4,5
1,8:51.0,M. Smart makes 2-pt jump shot from 11 ft (assist by A. Baynes),,6,5
1,8:29.0,,C. Osman makes 2-pt layup from 2 ft (assist by K. Love),6,7
1,8:19.0,M. Smart misses 3-pt jump shot from 25 ft,,6,7
1,8:15.0,,Defensive rebound by K. Love,6,7
1,8:12.0,,Offensive foul by T. Thompson (drawn by A. Baynes),6,7
1,8:12.0,,Turnover by T. Thompson (offensive foul),6,7
1,7:56.0,J. Tatum misses 3-pt jump shot from 26 ft,,6,7
1,7:53.0,,Defensive rebound by K. Love,6,7
1,7:44.0,,Turnover by K. Love (out of bounds lost ball),6,7
1,7:37.0,Offensive foul by J. Tatum (drawn by C. Sexton),,6,7
1,7:37.0,Turnover by J. Tatum (offensive foul),,6,7
1,7:20.0,,C. Sexton makes 2-pt jump shot from 11 ft (assist by K. Love),6,9
1,7:06.0,J. Tatum makes 2-pt layup at rim,,8,9
1,6:53.0,,K. Love misses 2-pt jump shot from 20 ft,8,9
1,6:51.0,,Offensive rebound by Team,8,9
1,6:51.0,,Cleveland full timeout,8,9
1,6:51.0,G. Hayward enters the game for A. Horford,,8,9
1,6:51.0,M. Morris enters the game for T. Rozier,,8,9
