QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,NEW ORLEANS_ACTION,SAN ANTONIO_SCORE,NEW ORLEANS_SCORE
1,11:44.0,,J. Holiday misses 2-pt layup from 2 ft,0,0
1,11:42.0,Defensive rebound by L. Aldridge,,0,0
1,11:35.0,Personal foul by W. Johnson (drawn by D. DeRozan),,0,0
1,11:28.0,B. Forbes makes 2-pt jump shot from 2 ft,,2,0
1,11:16.0,,Shooting foul by L. Aldridge (drawn by A. Davis),2,0
1,11:16.0,,A. Davis makes free throw 1 of 2,2,1
1,11:16.0,,A. Davis makes free throw 2 of 2,2,2
1,10:53.0,R. Gay misses 3-pt jump shot from 28 ft,,2,2
1,10:50.0,Offensive rebound by D. Cunningham,,2,2
1,10:45.0,D. DeRozan misses 2-pt jump shot from 11 ft,,2,2
1,10:42.0,,Defensive rebound by A. Davis,2,2
1,10:33.0,,N. Mirotić makes 3-pt jump shot from 25 ft (assist by J. Holiday),2,5
1,10:12.0,R. Gay makes 2-pt layup from 3 ft (assist by D. DeRozan),,4,5
1,10:12.0,Shooting foul by A. Davis (drawn by R. Gay),,4,5
1,10:12.0,R. Gay makes free throw 1 of 1,,5,5
1,9:58.0,,E. Moore makes 2-pt layup from 1 ft (assist by J. Holiday),5,7
1,9:36.0,L. Aldridge misses 2-pt jump shot from 5 ft,,5,7
1,9:33.0,Offensive rebound by D. Cunningham,,5,7
1,9:32.0,D. Cunningham makes 2-pt layup from 3 ft,,7,7
1,9:28.0,,A. Davis misses 2-pt jump shot from 15 ft,7,7
1,9:25.0,Defensive rebound by D. Cunningham,,7,7
1,9:16.0,D. Cunningham makes 3-pt jump shot from 23 ft (assist by L. Aldridge),,10,7
1,9:04.0,,Turnover by J. Holiday (bad pass; steal by D. DeRozan),10,7
1,8:59.0,Turnover by D. DeRozan (bad pass; steal by J. Holiday),,10,7
1,8:48.0,,E. Moore misses 2-pt layup from 2 ft,10,7
1,8:42.0,,Offensive rebound by E. Moore,10,7
1,8:42.0,,E. Moore makes 2-pt layup at rim,10,9
1,8:30.0,D. DeRozan misses 2-pt jump shot from 18 ft,,10,9
1,8:26.0,,Defensive rebound by W. Johnson,10,9
1,8:18.0,,A. Davis misses 2-pt dunk from 3 ft,10,9
1,8:15.0,,Offensive rebound by A. Davis,10,9
1,8:15.0,,A. Davis misses 2-pt layup from 2 ft,10,9
1,8:15.0,,Offensive rebound by Team,10,9
1,8:12.0,,E. Moore makes 2-pt jump shot from 12 ft (assist by J. Holiday),10,11
1,7:47.0,R. Gay misses 2-pt jump shot from 21 ft,,10,11
1,7:42.0,,Defensive rebound by N. Mirotić,10,11
1,7:28.0,,J. Holiday makes 2-pt layup from 2 ft,10,13
1,7:28.0,San Antonio full timeout,,10,13
1,7:13.0,R. Gay makes 2-pt jump shot from 16 ft,,12,13
1,6:56.0,,A. Davis makes 2-pt layup from 2 ft (assist by E. Moore),12,15
1,6:40.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,15,15
1,6:24.0,,E. Moore misses 2-pt jump shot from 3 ft,15,15
1,6:22.0,Defensive rebound by L. Aldridge,,15,15
1,6:22.0,Personal foul by J. Holiday (drawn by D. DeRozan),,15,15
1,6:22.0,,I. Clark enters the game for J. Holiday,15,15
1,6:22.0,,J. Randle enters the game for N. Mirotić,15,15
1,6:11.0,D. Cunningham makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,18,15
1,5:57.0,,W. Johnson makes 2-pt jump shot from 17 ft,18,17
1,5:47.0,R. Gay misses 3-pt jump shot from 25 ft,,18,17
1,5:44.0,,Defensive rebound by J. Randle,18,17
1,5:34.0,,J. Randle makes 2-pt layup from 1 ft (assist by E. Moore),18,19
1,5:17.0,L. Aldridge misses 2-pt jump shot from 11 ft,,18,19
1,5:13.0,,Defensive rebound by J. Randle,18,19
1,5:03.0,,A. Davis misses 2-pt jump shot from 9 ft,18,19
1,5:01.0,Defensive rebound by R. Gay,,18,19
1,4:58.0,B. Forbes makes 3-pt jump shot from 26 ft,,21,19
1,4:45.0,,W. Johnson misses 3-pt jump shot from 24 ft,21,19
1,4:42.0,Defensive rebound by D. DeRozan,,21,19
1,4:32.0,L. Aldridge misses 2-pt jump shot from 14 ft,,21,19
1,4:28.0,,Defensive rebound by J. Randle,21,19
1,4:19.0,,J. Randle misses 2-pt jump shot from 6 ft,21,19
1,4:16.0,Defensive rebound by D. Cunningham,,21,19
1,4:09.0,B. Forbes makes 3-pt jump shot from 27 ft (assist by D. Cunningham),,24,19
1,4:07.0,,New Orleans full timeout,24,19
1,4:07.0,M. Belinelli enters the game for B. Forbes,,24,19
1,4:07.0,P. Mills enters the game for R. Gay,,24,19
1,3:49.0,,A. Davis misses 2-pt hook shot from 10 ft,24,19
1,3:46.0,Defensive rebound by L. Aldridge,,24,19
1,3:30.0,L. Aldridge makes 2-pt layup from 1 ft,,26,19
1,3:09.0,,J. Randle makes 2-pt layup from 1 ft,26,21
1,2:58.0,Personal foul by E. Moore (drawn by P. Mills),,26,21
1,2:58.0,J. Poeltl enters the game for D. Cunningham,,26,21
1,2:58.0,D. White enters the game for D. DeRozan,,26,21
1,2:58.0,,J. Holiday enters the game for A. Davis,26,21
1,2:58.0,,D. Miller enters the game for W. Johnson,26,21
1,2:58.0,,N. Mirotić enters the game for E. Moore,26,21
1,2:52.0,Personal foul by J. Randle (drawn by L. Aldridge),,26,21
1,2:52.0,L. Aldridge makes free throw 1 of 2,,27,21
1,2:52.0,L. Aldridge makes free throw 2 of 2,,28,21
1,2:39.0,,D. Miller misses 2-pt jump shot from 3 ft,28,21
1,2:36.0,,Offensive rebound by J. Randle,28,21
1,2:36.0,,Shooting foul by J. Poeltl (drawn by J. Randle),28,21
1,2:36.0,,J. Randle makes free throw 1 of 2,28,22
1,2:36.0,R. Gay enters the game for L. Aldridge,,28,22
1,2:36.0,,J. Randle makes free throw 2 of 2,28,23
1,2:26.0,Shooting foul by N. Mirotić (drawn by R. Gay),,28,23
1,2:26.0,R. Gay makes free throw 1 of 2,,29,23
1,2:26.0,R. Gay makes free throw 2 of 2,,30,23
1,2:22.0,,Personal foul by P. Mills (drawn by I. Clark),30,23
1,2:14.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by J. Randle),30,26
1,2:00.0,J. Poeltl makes 2-pt layup from 1 ft (assist by R. Gay),,32,26
1,1:48.0,,J. Randle misses 2-pt layup from 1 ft,32,26
1,1:46.0,Defensive rebound by D. White,,32,26
1,1:41.0,J. Poeltl misses 2-pt layup from 4 ft,,32,26
1,1:37.0,Offensive rebound by R. Gay,,32,26
1,1:37.0,R. Gay makes 2-pt layup from 1 ft,,34,26
1,1:23.0,,Turnover by J. Holiday (bad pass),34,26
1,1:09.0,R. Gay misses 2-pt layup from 4 ft (block by J. Holiday),,34,26
1,1:07.0,Offensive rebound by R. Gay,,34,26
1,1:05.0,R. Gay misses 2-pt layup from 2 ft,,34,26
1,1:05.0,Offensive rebound by R. Gay,,34,26
1,1:05.0,Shooting foul by I. Clark (drawn by R. Gay),,34,26
1,1:05.0,R. Gay makes free throw 1 of 2,,35,26
1,1:05.0,R. Gay makes free throw 2 of 2,,36,26
1,0:57.0,,I. Clark makes 2-pt jump shot from 13 ft (assist by J. Holiday),36,28
1,0:43.0,D. White makes 2-pt layup from 2 ft,,38,28
1,0:31.0,,J. Randle makes 2-pt layup from 4 ft (assist by D. Miller),38,30
1,0:12.0,D. White misses 2-pt jump shot from 14 ft,,38,30
1,0:11.0,Offensive rebound by Team,,38,30
1,0:11.0,,Loose ball foul by N. Mirotić (drawn by J. Poeltl),38,30
1,0:11.0,J. Poeltl misses free throw 1 of 2,,38,30
1,0:11.0,Offensive rebound by Team,,38,30
1,0:11.0,D. Cunningham enters the game for R. Gay,,38,30
1,0:11.0,J. Poeltl makes free throw 2 of 2,,39,30
1,0:04.0,,Personal foul by D. White (drawn by J. Holiday),39,30
1,0:00.0,,J. Holiday misses 2-pt jump shot from 17 ft,39,30
1,0:00.0,,Offensive rebound by Team,39,30
2,11:47.0,Shooting foul by D. Miller (drawn by J. Poeltl),,39,30
2,11:47.0,J. Poeltl misses free throw 1 of 2,,39,30
2,11:47.0,Offensive rebound by Team,,39,30
2,11:47.0,J. Poeltl misses free throw 2 of 2,,39,30
2,11:44.0,,Defensive rebound by J. Holiday,39,30
2,11:35.0,,N. Mirotić misses 2-pt jump shot from 19 ft,39,30
2,11:29.0,,Offensive rebound by A. Davis,39,30
2,11:19.0,,A. Davis makes 2-pt layup from 3 ft,39,32
2,11:10.0,M. Belinelli makes 3-pt jump shot from 27 ft (assist by D. White),,42,32
2,10:59.0,,A. Davis makes 2-pt layup from 1 ft (assist by I. Clark),42,34
2,10:48.0,J. Poeltl makes 2-pt dunk from 2 ft (assist by M. Belinelli),,44,34
2,10:40.0,,J. Holiday misses 3-pt jump shot from 25 ft,44,34
2,10:36.0,Defensive rebound by D. White,,44,34
2,10:31.0,P. Mills misses 3-pt jump shot from 26 ft,,44,34
2,10:27.0,,Defensive rebound by J. Holiday,44,34
2,10:20.0,,J. Holiday makes 2-pt layup from 1 ft (assist by A. Davis),44,36
2,10:00.0,P. Mills misses 2-pt layup from 4 ft (block by A. Davis),,44,36
2,9:57.0,Offensive rebound by D. Cunningham,,44,36
2,9:56.0,D. Cunningham makes 2-pt layup from 2 ft,,46,36
2,9:48.0,,Personal foul by P. Mills (drawn by A. Davis),46,36
2,9:48.0,L. Aldridge enters the game for J. Poeltl,,46,36
2,9:43.0,,Turnover by J. Holiday (bad pass; steal by P. Mills),46,36
2,9:36.0,P. Mills misses 3-pt jump shot from 23 ft,,46,36
2,9:31.0,,Defensive rebound by A. Davis,46,36
2,9:23.0,,Turnover by J. Holiday (bad pass; steal by P. Mills),46,36
2,9:10.0,L. Aldridge misses 2-pt jump shot from 16 ft,,46,36
2,9:08.0,,Defensive rebound by N. Mirotić,46,36
