QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MEMPHIS_ACTION,GOLDEN STATE_SCORE,MEMPHIS_SCORE
1,11:36.0,Q. Cook misses 2-pt jump shot from 14 ft,,0,0
1,11:32.0,,Defensive rebound by B. Caboclo,0,0
1,11:16.0,,Turnover by J. Holiday (bad pass),0,0
1,11:00.0,J. Bell makes 2-pt dunk from 1 ft (assist by K. Durant),,2,0
1,10:46.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by I. Rabb),2,3
1,10:34.0,K. Thompson misses 2-pt jump shot from 19 ft,,2,3
1,10:31.0,,Defensive rebound by I. Rabb,2,3
1,10:23.0,,T. Dorsey misses 2-pt jump shot from 16 ft,2,3
1,10:21.0,,Offensive rebound by D. Wright,2,3
1,10:19.0,,D. Wright misses 2-pt layup from 1 ft (block by A. Bogut),2,3
1,10:19.0,,Offensive rebound by D. Wright,2,3
1,10:10.0,,J. Holiday makes 3-pt jump shot from 25 ft,2,6
1,10:10.0,,Shooting foul by J. Bell (drawn by J. Holiday),2,6
1,10:10.0,,J. Holiday misses free throw 1 of 1,2,6
1,10:08.0,Defensive rebound by J. Bell,,2,6
1,10:03.0,K. Durant misses 3-pt jump shot from 24 ft,,2,6
1,9:58.0,,Defensive rebound by I. Rabb,2,6
1,9:56.0,,J. Holiday makes 2-pt dunk at rim (assist by I. Rabb),2,8
1,9:49.0,K. Durant makes 2-pt dunk from 1 ft (assist by K. Thompson),,4,8
1,9:39.0,,Shooting foul by K. Durant (drawn by D. Wright),4,8
1,9:39.0,Technical foul by K. Durant,,4,8
1,9:39.0,,J. Holiday makes technical free throw,4,9
1,9:39.0,,D. Wright makes free throw 1 of 2,4,10
1,9:39.0,,D. Wright makes free throw 2 of 2,4,11
1,9:27.0,K. Thompson makes 2-pt layup from 1 ft (assist by A. Bogut),,6,11
1,9:16.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by I. Rabb),6,14
1,9:01.0,K. Durant makes 2-pt jump shot from 7 ft,,8,14
1,8:49.0,,B. Caboclo makes 3-pt jump shot from 24 ft (assist by D. Wright),8,17
1,8:37.0,Shooting foul by I. Rabb (drawn by J. Bell),,8,17
1,8:37.0,J. Bell makes free throw 1 of 2,,9,17
1,8:37.0,J. Bell makes free throw 2 of 2,,10,17
1,8:27.0,,D. Wright makes 3-pt jump shot from 25 ft (assist by I. Rabb),10,20
1,8:10.0,K. Durant makes 2-pt jump shot from 12 ft,,12,20
1,8:01.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by D. Wright),12,23
1,7:53.0,Q. Cook makes 3-pt jump shot from 25 ft (assist by K. Thompson),,15,23
1,7:43.0,,I. Rabb misses 3-pt jump shot from 26 ft,15,23
1,7:40.0,Defensive rebound by J. Bell,,15,23
1,7:23.0,K. Thompson misses 3-pt jump shot from 24 ft,,15,23
1,7:21.0,,Defensive rebound by J. Holiday,15,23
1,7:16.0,,Shooting foul by Q. Cook (drawn by D. Wright),15,23
1,7:16.0,,D. Wright makes free throw 1 of 2,15,24
1,7:16.0,,D. Wright makes free throw 2 of 2,15,25
1,7:00.0,K. Durant misses 3-pt jump shot from 26 ft,,15,25
1,6:57.0,,Defensive rebound by D. Wright,15,25
1,6:53.0,,Turnover by J. Holiday (out of bounds lost ball),15,25
1,6:53.0,,Memphis full timeout,15,25
1,6:42.0,Shooting foul by B. Caboclo (drawn by J. Bell),,15,25
1,6:42.0,J. Bell misses free throw 1 of 2,,15,25
1,6:42.0,Offensive rebound by Team,,15,25
1,6:42.0,J. Bell makes free throw 2 of 2,,16,25
1,6:25.0,,I. Rabb misses 2-pt layup from 2 ft,16,25
1,6:23.0,,Offensive rebound by I. Rabb,16,25
1,6:21.0,,Turnover by I. Rabb (bad pass; steal by K. Durant),16,25
1,6:17.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Durant),,19,25
1,6:04.0,,B. Caboclo makes 2-pt hook shot from 7 ft,19,27
1,5:49.0,Q. Cook misses 3-pt jump shot from 23 ft,,19,27
1,5:47.0,,Defensive rebound by J. Holiday,19,27
1,5:38.0,,I. Rabb makes 2-pt layup from 1 ft (assist by T. Dorsey),19,29
1,5:24.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by Q. Cook),,22,29
1,5:17.0,,J. Holiday misses 3-pt jump shot from 25 ft,22,29
1,5:14.0,,Offensive rebound by T. Dorsey,22,29
1,5:13.0,,T. Dorsey misses 3-pt jump shot from 25 ft,22,29
1,5:13.0,Defensive rebound by K. Thompson,,22,29
1,5:05.0,K. Thompson misses 3-pt jump shot from 26 ft,,22,29
1,5:03.0,,Defensive rebound by D. Wright,22,29
1,5:00.0,,Personal take foul by A. Bogut (drawn by D. Wright),22,29
1,5:00.0,,J. Carter enters the game for I. Rabb,22,29
1,5:00.0,,T. Zeller enters the game for D. Wright,22,29
1,4:51.0,,B. Caboclo makes 2-pt jump shot from 23 ft (assist by T. Dorsey),22,31
1,4:40.0,Shooting foul by J. Holiday (drawn by K. Durant),,22,31
1,4:40.0,K. Durant makes free throw 1 of 2,,23,31
1,4:40.0,J. Evans enters the game for J. Bell,,23,31
1,4:40.0,J. Jerebko enters the game for Q. Cook,,23,31
