QUARTER,TIME_REMAINING,DALLAS_ACTION,GOLDEN STATE_ACTION,DALLAS_SCORE,GOLDEN STATE_SCORE
1,11:46.0,J. Brunson misses 2-pt jump shot from 6 ft,,0,0
1,11:43.0,,Defensive rebound by S. Curry,0,0
1,11:39.0,,K. Thompson misses 3-pt jump shot from 25 ft,0,0
1,11:36.0,Defensive rebound by H. Barnes,,0,0
1,11:23.0,Turnover by L. Dončić (bad pass; steal by K. Thompson),,0,0
1,11:19.0,,K. Looney makes 2-pt dunk from 1 ft (assist by K. Durant),0,2
1,10:55.0,H. Barnes misses 2-pt jump shot from 9 ft,,0,2
1,10:54.0,,Defensive rebound by K. Durant,0,2
1,10:46.0,,S. Curry misses 3-pt jump shot from 27 ft,0,2
1,10:44.0,Defensive rebound by D. Jordan,,0,2
1,10:28.0,L. Dončić makes 3-pt jump shot from 26 ft (assist by W. Matthews),,3,2
1,10:08.0,,S. Curry misses 3-pt jump shot from 28 ft,3,2
1,10:06.0,Defensive rebound by D. Jordan,,3,2
1,9:46.0,J. Brunson misses 2-pt jump shot from 12 ft (block by D. Green),,3,2
1,9:45.0,,Defensive rebound by D. Green,3,2
1,9:32.0,,K. Looney misses 2-pt layup from 2 ft (block by D. Jordan),3,2
1,9:30.0,,Offensive rebound by K. Durant,3,2
1,9:26.0,,S. Curry misses 3-pt jump shot from 31 ft,3,2
1,9:24.0,Defensive rebound by L. Dončić,,3,2
1,9:20.0,L. Dončić makes 3-pt jump shot from 29 ft,,6,2
1,9:03.0,,D. Green makes 3-pt jump shot from 26 ft,6,5
1,8:38.0,Shooting foul by S. Curry (drawn by D. Jordan),,6,5
1,8:38.0,D. Jordan makes free throw 1 of 2,,7,5
1,8:38.0,D. Jordan makes free throw 2 of 2,,8,5
1,8:29.0,,K. Durant makes 2-pt jump shot from 12 ft (assist by D. Green),8,7
1,8:15.0,L. Dončić misses 2-pt layup from 5 ft (block by K. Thompson),,8,7
1,8:14.0,Offensive rebound by Team,,8,7
1,8:10.0,Turnover by L. Dončić (bad pass),,8,7
1,7:54.0,,K. Durant makes 2-pt jump shot from 19 ft (assist by S. Curry),8,9
1,7:33.0,H. Barnes makes 2-pt jump shot from 17 ft,,10,9
1,7:23.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by K. Durant),10,12
1,7:11.0,Turnover by J. Brunson (bad pass),,10,12
1,6:58.0,,D. Green misses 2-pt jump shot from 10 ft,10,12
1,6:57.0,,Offensive rebound by K. Looney,10,12
1,6:52.0,,K. Looney misses 2-pt layup from 1 ft,10,12
1,6:52.0,,Offensive rebound by K. Looney,10,12
1,6:52.0,,Turnover by D. Green (3 sec),10,12
1,6:52.0,,Golden State full timeout,10,12
1,6:38.0,H. Barnes misses 3-pt jump shot from 26 ft,,10,12
1,6:36.0,,Defensive rebound by D. Green,10,12
1,6:29.0,,Turnover by D. Green (bad pass; steal by J. Brunson),10,12
1,6:24.0,J. Brunson misses 2-pt layup from 5 ft,,10,12
1,6:22.0,Offensive rebound by H. Barnes,,10,12
1,6:13.0,H. Barnes makes 2-pt layup at rim,,12,12
1,6:02.0,,K. Thompson misses 3-pt jump shot from 25 ft,12,12
1,6:00.0,Defensive rebound by D. Jordan,,12,12
1,5:57.0,Turnover by W. Matthews (bad pass; steal by K. Looney),,12,12
1,5:54.0,,K. Durant makes 2-pt layup from 2 ft,12,14
1,5:54.0,,Shooting foul by L. Dončić (drawn by K. Durant),12,14
1,5:54.0,,K. Durant makes free throw 1 of 1,12,15
1,5:40.0,J. Brunson makes 2-pt jump shot from 12 ft (assist by D. Jordan),,14,15
1,5:27.0,,K. Thompson makes 2-pt jump shot from 20 ft (assist by S. Curry),14,17
1,5:09.0,J. Brunson misses 3-pt jump shot from 27 ft,,14,17
1,5:07.0,,Defensive rebound by S. Curry,14,17
1,4:58.0,,K. Thompson misses 3-pt jump shot from 26 ft,14,17
1,4:56.0,Defensive rebound by D. Jordan,,14,17
1,4:53.0,L. Dončić makes 2-pt layup from 3 ft (assist by D. Jordan),,16,17
1,4:53.0,Shooting foul by K. Looney (drawn by L. Dončić),,16,17
1,4:53.0,,J. Jerebko enters the game for K. Looney,16,17
1,4:53.0,L. Dončić makes free throw 1 of 1,,17,17
1,4:44.0,,Personal foul by W. Matthews (drawn by D. Green),17,17
1,4:40.0,,D. Green makes 3-pt jump shot from 27 ft (assist by K. Thompson),17,20
1,4:23.0,Shooting foul by S. Curry (drawn by H. Barnes),,17,20
1,4:23.0,H. Barnes makes free throw 1 of 2,,18,20
1,4:23.0,J. Barea enters the game for J. Brunson,,18,20
1,4:23.0,,S. Livingston enters the game for S. Curry,18,20
1,4:23.0,H. Barnes makes free throw 2 of 2,,19,20
1,4:13.0,,D. Green misses 3-pt jump shot from 27 ft,19,20
1,4:11.0,Defensive rebound by W. Matthews,,19,20
1,3:52.0,L. Dončić makes 3-pt jump shot from 28 ft,,22,20
1,3:39.0,,D. Green makes 2-pt layup from 6 ft (assist by K. Durant),22,22
1,3:24.0,L. Dončić makes 2-pt dunk from 1 ft (assist by D. Jordan),,24,22
1,3:15.0,,Turnover by K. Durant (out of bounds lost ball),24,22
1,3:15.0,,J. Bell enters the game for D. Green,24,22
1,3:15.0,,A. Iguodala enters the game for K. Thompson,24,22
1,3:10.0,L. Dončić misses 3-pt jump shot from 26 ft,,24,22
