QUARTER,TIME_REMAINING,LA LAKERS_ACTION,OKLAHOMA CITY_ACTION,LA LAKERS_SCORE,OKLAHOMA CITY_SCORE
1,11:47.0,,Shooting foul by B. Ingram (drawn by S. Adams),0,0
1,11:47.0,,S. Adams makes free throw 1 of 2,0,1
1,11:47.0,,S. Adams makes free throw 2 of 2,0,2
1,11:34.0,T. Chandler makes 2-pt dunk from 1 ft (assist by L. Ball),,2,2
1,11:19.0,,R. Westbrook misses 2-pt jump shot from 15 ft,2,2
1,11:16.0,,Offensive rebound by J. Grant,2,2
1,11:02.0,,J. Grant makes 2-pt layup from 1 ft (assist by R. Westbrook),2,4
1,10:54.0,Turnover by K. Kuzma (lost ball; steal by P. George),,2,4
1,10:46.0,,S. Adams makes 2-pt dunk from 1 ft (assist by J. Grant),2,6
1,10:21.0,L. Ball makes 2-pt jump shot from 18 ft (assist by B. Ingram),,4,6
1,10:12.0,,T. Ferguson misses 2-pt jump shot from 8 ft,4,6
1,10:10.0,Defensive rebound by T. Chandler,,4,6
1,10:04.0,Turnover by L. Ball (lost ball; steal by S. Adams),,4,6
1,9:59.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),4,8
1,9:37.0,T. Chandler misses 2-pt jump shot from 6 ft,,4,8
1,9:34.0,,Defensive rebound by P. George,4,8
1,9:28.0,,Turnover by P. George (bad pass; steal by K. Kuzma),4,8
1,9:24.0,Turnover by L. Ball (bad pass),,4,8
1,9:03.0,,T. Ferguson makes 3-pt jump shot from 26 ft (assist by R. Westbrook),4,11
1,8:48.0,B. Ingram misses 2-pt layup from 5 ft,,4,11
1,8:45.0,,Defensive rebound by S. Adams,4,11
1,8:38.0,,Personal foul by L. Ball (drawn by J. Grant),4,11
1,8:24.0,,R. Westbrook misses 2-pt jump shot from 20 ft,4,11
1,8:22.0,Defensive rebound by B. Ingram,,4,11
1,8:16.0,K. Kuzma makes 3-pt jump shot from 23 ft (assist by B. Ingram),,7,11
1,8:03.0,,Turnover by T. Ferguson (lost ball; steal by L. Ball),7,11
1,7:52.0,Turnover by B. Ingram (bad pass; steal by T. Ferguson),,7,11
1,7:39.0,,S. Adams makes 2-pt layup from 1 ft,7,13
1,7:27.0,Turnover by T. Chandler (bad pass; steal by S. Adams),,7,13
1,7:23.0,,P. George makes 3-pt jump shot from 25 ft,7,16
1,7:21.0,LA Lakers full timeout,,7,16
1,7:21.0,J. McGee enters the game for T. Chandler,,7,16
1,7:07.0,K. Kuzma makes 3-pt jump shot from 25 ft (assist by B. Ingram),,10,16
1,6:50.0,,R. Westbrook makes 2-pt jump shot from 17 ft (assist by T. Ferguson),10,18
1,6:31.0,J. McGee makes 2-pt hook shot from 6 ft (assist by B. Ingram),,12,18
1,6:16.0,,R. Westbrook misses 3-pt jump shot from 25 ft,12,18
1,6:14.0,Defensive rebound by L. Ball,,12,18
1,6:09.0,Offensive foul by K. Kuzma (drawn by J. Grant),,12,18
1,6:09.0,Turnover by K. Kuzma (offensive foul),,12,18
1,5:56.0,,R. Westbrook makes 3-pt jump shot from 25 ft (assist by P. George),12,21
1,5:42.0,K. Kuzma makes 3-pt jump shot from 26 ft,,15,21
1,5:27.0,,J. Grant misses 2-pt dunk from 1 ft,15,21
1,5:25.0,Defensive rebound by L. Ball,,15,21
1,5:22.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by L. Ball),,17,21
1,5:05.0,,T. Ferguson makes 3-pt jump shot from 22 ft (assist by R. Westbrook),17,24
1,4:46.0,L. Ball misses 3-pt jump shot from 25 ft,,17,24
1,4:44.0,,Defensive rebound by P. George,17,24
1,4:40.0,,R. Westbrook misses 2-pt jump shot from 16 ft,17,24
1,4:37.0,Defensive rebound by J. McGee,,17,24
1,4:20.0,K. Kuzma misses 3-pt jump shot from 25 ft,,17,24
1,4:18.0,,Defensive rebound by R. Westbrook,17,24
1,4:12.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by R. Westbrook),17,27
1,3:54.0,Turnover by K. Caldwell-Pope (bad pass),,17,27
1,3:54.0,,D. Schröder enters the game for T. Ferguson,17,27
1,3:37.0,,P. George makes 2-pt jump shot from 10 ft,17,29
1,3:15.0,B. Ingram misses 3-pt jump shot from 22 ft,,17,29
1,3:12.0,,Defensive rebound by P. George,17,29
1,3:09.0,,Shooting foul by K. Kuzma (drawn by P. George),17,29
1,3:09.0,,P. George makes free throw 1 of 2,17,30
1,3:09.0,J. Hart enters the game for K. Kuzma,,17,30
1,3:09.0,,P. George misses free throw 2 of 2,17,30
1,3:06.0,,Offensive rebound by S. Adams,17,30
1,2:56.0,,J. Grant makes 2-pt hook shot from 5 ft,17,32
1,2:56.0,,Shooting foul by J. McGee (drawn by J. Grant),17,32
1,2:56.0,,Oklahoma City full timeout,17,32
1,2:56.0,M. Beasley enters the game for L. Ball,,17,32
1,2:56.0,,A. Nader enters the game for R. Westbrook,17,32
1,2:56.0,,J. Grant makes free throw 1 of 1,17,33
1,2:41.0,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by J. Hart),,20,33
1,2:28.0,,Personal foul by J. Hart (drawn by S. Adams),20,33
1,2:28.0,,S. Adams makes free throw 1 of 2,20,34
1,2:28.0,,P. Patterson enters the game for J. Grant,20,34
1,2:28.0,,S. Adams misses free throw 2 of 2,20,34
1,2:26.0,,Offensive rebound by S. Adams,20,34
1,2:26.0,,P. George misses 2-pt dunk from 1 ft,20,34
1,2:26.0,,Offensive rebound by P. George,20,34
1,2:22.0,,P. George makes 3-pt jump shot from 23 ft (assist by S. Adams),20,37
1,2:21.0,LA Lakers full timeout,,20,37
1,2:21.0,I. Zubac enters the game for J. McGee,,20,37
1,2:21.0,,N. Noel enters the game for S. Adams,20,37
1,2:08.0,M. Beasley misses 3-pt jump shot from 23 ft,,20,37
1,2:05.0,Offensive rebound by I. Zubac,,20,37
