QUARTER,TIME_REMAINING,MIAMI_ACTION,OKLAHOMA CITY_ACTION,MIAMI_SCORE,OKLAHOMA CITY_SCORE
1,7:53.0,,Turnover by P. George (lost ball; steal by D. Jones),0,9
1,7:49.0,D. Wade misses 2-pt layup from 3 ft (block by J. Grant),,0,9
1,7:46.0,,Defensive rebound by D. Schröder,0,9
1,7:44.0,,Shooting foul by D. Jones (drawn by D. Schröder),0,9
1,7:44.0,,D. Schröder makes free throw 1 of 2,0,10
1,7:44.0,,D. Schröder misses free throw 2 of 2,0,10
1,7:42.0,Defensive rebound by J. Richardson,,0,10
1,7:33.0,Offensive foul by B. Adebayo (drawn by T. Ferguson),,0,10
1,7:33.0,Turnover by B. Adebayo (offensive foul),,0,10
1,7:33.0,H. Whiteside enters the game for B. Adebayo,,0,10
1,7:19.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by P. George),0,13
1,6:56.0,D. Wade makes 2-pt jump shot from 16 ft,,2,13
1,6:43.0,,S. Adams makes 2-pt dunk at rim (assist by D. Schröder),2,15
1,6:29.0,Turnover by J. Richardson (bad pass; steal by S. Adams),,2,15
1,6:23.0,,T. Ferguson misses 3-pt jump shot from 23 ft,2,15
1,6:21.0,Defensive rebound by H. Whiteside,,2,15
1,6:08.0,Shooting foul by J. Grant (drawn by J. Richardson),,2,15
1,6:08.0,J. Richardson makes free throw 1 of 2,,3,15
1,6:08.0,,A. Nader enters the game for P. George,3,15
1,6:08.0,J. Richardson makes free throw 2 of 2,,4,15
1,5:57.0,Violation by Team (kicked ball),,4,15
1,5:57.0,G. Dragić enters the game for J. Richardson,,4,15
1,5:48.0,,J. Grant makes 2-pt layup from 1 ft (assist by S. Adams),4,17
1,5:48.0,,Shooting foul by H. Whiteside (drawn by J. Grant),4,17
1,5:48.0,,J. Grant misses free throw 1 of 1,4,17
1,5:46.0,,Offensive rebound by S. Adams,4,17
1,5:43.0,,Personal foul by D. Waiters (drawn by D. Schröder),4,17
1,5:33.0,,T. Ferguson misses 3-pt jump shot from 23 ft,4,17
1,5:29.0,,Offensive rebound by A. Nader,4,17
1,5:23.0,,Offensive foul by S. Adams (drawn by H. Whiteside),4,17
1,5:23.0,,Turnover by S. Adams (offensive foul),4,17
1,5:11.0,H. Whiteside misses 2-pt hook shot from 8 ft,,4,17
1,5:09.0,,Defensive rebound by S. Adams,4,17
1,5:02.0,,S. Adams misses 2-pt dunk at rim,4,17
1,5:00.0,Defensive rebound by G. Dragić,,4,17
1,4:55.0,D. Wade misses 2-pt layup from 2 ft,,4,17
